,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9474779325914274,0.053560482711997585,0.5236134775032854,0.6546132961538632,0.5202009678849823,0.9865590141055837
freq_0.1072,0.852716071368933,0.051584257687290705,0.5048932931069439,0.6313768579252115,0.49163503811548703,0.9461812642674253
freq_0.1150,0.7575616813062782,0.04969203569113929,0.48219684925021494,0.6103086272148096,0.46914964494044065,0.9083456452405116
freq_0.1233,0.6683438824093815,0.04761069716079656,0.4585635388462598,0.5839275040350923,0.4667431777895611,0.8769840609389408
freq_0.1322,0.6070715718086541,0.04630985772264507,0.443179032025984,0.5699742477177084,0.4461561420927061,0.8487246907071236
freq_0.1417,0.543137509483701,0.044756825034418295,0.4337209822702767,0.5470780632359145,0.44581927298097035,0.8283496374700323
freq_0.1520,0.47362568224957224,0.04223606051290336,0.43165213182402773,0.5045662586243223,0.44497449699932595,0.7993203207914693
freq_0.1630,0.41321300672726685,0.03990932229288065,0.43315728982892987,0.46331390023674585,0.44270678543805886,0.7734819362838593
freq_0.1748,0.3759536059408666,0.038768609871668656,0.4347623215201173,0.4430721108282851,0.4361776177598177,0.758671263355891
freq_0.1874,0.35329860006770486,0.037930944504891824,0.42646968777561267,0.43366405696490135,0.4220520465840199,0.740316715278296
freq_0.2009,0.32388875370996156,0.03707696276640782,0.4134685552737852,0.4239188800502308,0.4232453963615698,0.7278737037457086
freq_0.2154,0.29243419607434273,0.03598500711733874,0.398216084423586,0.4103446065827126,0.42804941423538195,0.7142723899692801
freq_0.2310,0.26968880059922457,0.03552309889042105,0.3870658473377512,0.4069483328531881,0.42810382912615497,0.7061868055265239
freq_0.2477,0.24186473355700638,0.03569377335168375,0.3883831443783539,0.4084392897258676,0.4350378046283758,0.7119845586000201
freq_0.2656,0.22005967009247068,0.03705818496943727,0.3899627436980753,0.4312030907535561,0.44143993756821515,0.7299837432629441
freq_0.2848,0.20630353531005258,0.03879040968853115,0.38464705536402544,0.46281104481819935,0.4482626530279974,0.7503911156894301
freq_0.3054,0.1972092836134915,0.04058865511123076,0.37857317313772515,0.494090167884278,0.46321503065704445,0.7758936177376939
freq_0.3275,0.17566178738613378,0.04150668607752947,0.37005893458152234,0.5123988804244365,0.46566771866834494,0.7850749339608343
freq_0.3511,0.15935972365911513,0.041993029852419074,0.36504072096983076,0.5217459513817886,0.470142591278585,0.7915223445257904
freq_0.3765,0.15327425903453898,0.042231216467635946,0.3667506717992885,0.5247844883789666,0.4731545110231983,0.7961030120593723
freq_0.4037,0.16763623519189447,0.04276682454454699,0.36805166514541543,0.5332620545261997,0.4736216484350047,0.8025882586233789
freq_0.4329,0.20738129358912208,0.043881314702287275,0.3702255858608155,0.5512892906248776,0.4723569756605766,0.8149282047142995
freq_0.4642,0.255709828874087,0.04583292022110593,0.36587876849851675,0.5840421375085046,0.4798328978115771,0.839769076261891
freq_0.4977,0.3081186394541837,0.04716368541958692,0.35235869098993,0.6102514115374765,0.475896645831359,0.8503182050933388
freq_0.5337,0.341888537916877,0.047131953017741514,0.34362245853138224,0.613690477887081,0.4625892593632072,0.8418320613605934
freq_0.5722,0.3900930467734022,0.04636443794955057,0.3418611931549502,0.602068711071136,0.4600437583059522,0.8312617324239403
freq_0.6136,0.45677323610225334,0.045614092292501754,0.3490714737971709,0.5869157537100027,0.4679292992446293,0.8278156949849884
freq_0.6579,0.490816818033281,0.04467874389343324,0.35815474798939384,0.5687363288669132,0.46892008802881524,0.8195254018255392
freq_0.7055,0.48116262373809415,0.04410821613920803,0.35743601792559987,0.5597843607370169,0.46705708458512263,0.811949110287963
freq_0.7565,0.4256054717252068,0.043334100319656475,0.3542338551832705,0.5470142322275143,0.4753480505073688,0.8066362027200461
freq_0.8111,0.3390755393416055,0.04158599054097736,0.35479160440952634,0.5185009691415629,0.4691713218627525,0.7841186560838023
freq_0.8697,0.23080547063719,0.040195195145449544,0.35506401638186685,0.49530886679061803,0.4669909297707236,0.7677772188198564
freq_0.9326,0.12960304759650662,0.040097960805078985,0.36066480099020815,0.4910466857228203,0.47199170640656446,0.7707023531489009
freq_1.0000,0.04375521481452625,0.040104692897993476,0.36831954865409544,0.48796602103943026,0.47540051549316253,0.7744519208711248
freq_1.0723,-0.054089415769852996,0.03975930945924746,0.3555970133811677,0.48620900011879264,0.47874309789902636,0.7694435531655842
freq_1.1498,-0.137118464985077,0.03992744644414486,0.3405272493323551,0.49377703828696895,0.482560800259536,0.7698308236388269
freq_1.2328,-0.18226104239900387,0.03943896047528883,0.34158791849106845,0.48402358826217323,0.4913495540615971,0.7696658523864632
freq_1.3219,-0.2069544269004078,0.0388735694605212,0.35876716428621835,0.4683371492602071,0.4906298288063616,0.7673142722911594
freq_1.4175,-0.22110235870456252,0.038978284561200296,0.37303941438863775,0.46427264723062067,0.4942448716539642,0.773941528030503
freq_1.5199,-0.22051835718503393,0.03941361435141197,0.3728430042121498,0.47136094181704535,0.49803497652464135,0.780533074957425
freq_1.6298,-0.2300049938118203,0.03929506992262351,0.3701628464999836,0.46980514684013897,0.5018011834915944,0.7807316034848466
freq_1.7475,-0.24793794959259297,0.038246787075690965,0.3824935485385484,0.44667421574200183,0.5019392491277721,0.7731508129060558
freq_1.8738,-0.2526301924240884,0.03744371450517213,0.3890524073191445,0.42863433555801495,0.5092386767192912,0.770981970688613
freq_2.0092,-0.2478923534984315,0.03722428080620499,0.3928489932322338,0.42175930895084607,0.5179331727581847,0.7748974239301835
freq_2.1544,-0.23638758969081944,0.03666604355351556,0.3872730200606248,0.4135959564761997,0.5213380942185026,0.7699580610421063
freq_2.3101,-0.23002909500019378,0.035965975806421586,0.38851991561891025,0.4000396959485747,0.5232300639285273,0.7646889452357762
freq_2.4771,-0.23696321840206533,0.03612413852450181,0.39919082152030116,0.3980866794919993,0.5231808666726734,0.7691193247002628
freq_2.6561,-0.23582878457623827,0.03763950009327785,0.4075607104681034,0.4222537269719279,0.5214971732313654,0.7850880487864105
freq_2.8480,-0.24053074755627485,0.03893626606152941,0.4173201418818437,0.4418299654506474,0.5187331003730531,0.799033071038391
freq_3.0539,-0.24158761539077236,0.03920968781687878,0.42146398465319646,0.4457125256380865,0.5135780131660025,0.8000337002139162
freq_3.2745,-0.2293497960083856,0.03868627347568161,0.42405487225293864,0.4352826123231985,0.5123198145665077,0.7948365112838142
freq_3.5112,-0.22753196605121767,0.03788442918159804,0.4195931057888547,0.42229497102958496,0.5149105162186876,0.7870986321262478
freq_3.7649,-0.23193321791615773,0.03742647400785275,0.4069660696024809,0.4189182423898936,0.5197172494496695,0.7818055352773213
freq_4.0370,-0.2288401433119887,0.038699904927751126,0.39818694338111876,0.4461118732362698,0.5165503634888263,0.7901853727714848
freq_4.3288,-0.2259784575692594,0.03956991762043026,0.393632914114128,0.46344182116744864,0.5160217610877647,0.7974983702786482
freq_4.6416,-0.23270415189091848,0.04000091157306833,0.3925914297726936,0.4719063160123543,0.5125401418021458,0.799700568201551
freq_4.9770,-0.24259589933322714,0.03984992810584265,0.3909224059682657,0.4700747609158953,0.5114850740560374,0.7971245757849044
freq_5.3367,-0.24690529243350548,0.04023823935628003,0.3963646688661869,0.4747673804258046,0.5111007787520122,0.802329746602166
freq_5.7224,-0.2503575641996489,0.04099971296239204,0.4094708027293044,0.48414492390795855,0.5020692911924031,0.8087868809470552
freq_6.1359,-0.24507490457066516,0.042239980185792156,0.417554517543092,0.5037013380648543,0.4938606889745968,0.8197348310297863
freq_6.5793,-0.24820816485495625,0.043051964507216864,0.4180886985517435,0.5178559232745983,0.4915943888995956,0.8274285227890347
freq_7.0548,-0.25201782815867235,0.04427963330722064,0.41555217228752195,0.5403730412890453,0.4876718106141355,0.8381589506248321
freq_7.5646,-0.2535270918528477,0.04545134271547799,0.4201341230042757,0.5596856322541491,0.4793067771692814,0.848230908953866
freq_8.1113,-0.25413971335813834,0.04593216146277884,0.42456599474888507,0.5660682296542167,0.48070402868047346,0.8554331579443286
freq_8.6975,-0.2616481645611413,0.0474135483368374,0.4178228872291074,0.5933542226593489,0.48042580042663574,0.8703184177964529
freq_9.3260,-0.27592120607602943,0.049420137184197306,0.4182645971400851,0.6264583593317282,0.48120285307552635,0.8938408890878651
freq_10.0000,-0.2797572772378154,0.05134181299450128,0.42921163622601266,0.6545573903431356,0.481988801309987,0.9192285953520295
freq_10.7227,-0.2892517931095007,0.0530225750853769,0.42903036773328684,0.6820353044133067,0.4830943735634913,0.939478252367884
freq_11.4976,-0.3122545066744931,0.054564178104371,0.42607677062266053,0.7079406499872986,0.4835693970539716,0.9573717878315695
freq_12.3285,-0.32112215213816275,0.056106418194973945,0.42934107587195275,0.7320803530657042,0.4820721488203315,0.9760476215041681
freq_13.2194,-0.3216276040980204,0.05820025765614966,0.4324921990455582,0.7652665110197583,0.4779071473324806,1.0005386432292787
freq_14.1747,-0.3167591186157427,0.059872393598744515,0.43149719840624773,0.7922886285048424,0.47746595783290297,1.0207276051816254
freq_15.1991,-0.3030565107400737,0.06072205319782614,0.43068676626932656,0.805516550094472,0.48271536404279236,1.0331321918315173
freq_16.2975,-0.27422824052579897,0.062105914278515764,0.42632899673667446,0.8279743990089526,0.4891646500298515,1.0519410980238213
freq_17.4753,-0.2373466012187486,0.06337887474951076,0.4296353956839953,0.8466644331143316,0.49550703066381574,1.0709595944584591
freq_18.7382,-0.19388432086524757,0.06342518144247958,0.42770282589230685,0.8474437035293328,0.5001864919236155,1.0729757987161825
freq_20.0923,-0.1424717766518059,0.06442297911203179,0.42055688120444,0.8646552628926286,0.5031198382709356,1.0851849545759924
freq_21.5443,-0.10022554079652093,0.06770027354097334,0.4221105007706055,0.914407523905082,0.51703848480201,1.1320985775988734
freq_23.1013,-0.08295076187272153,0.07518364649337782,0.4255212181420766,1.0265760812083133,0.5569348266099053,1.2430217852834036
