,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.07112829929440957,0.03687485099777016,0.40870391912525716,0.408812641556426,0.514775706959689,0.7740547124593553
PGV,-0.0029878630099242198,0.03175168820454587,0.3867726605346487,0.3260818148121101,0.49708303885902005,0.7092347907495288
CAV,0.19747947583010028,0.033101689552836405,0.3238033229446742,0.402227246467176,0.3397347957209462,0.6181060436317803
AI,-0.14089003880016088,0.0666222726961668,0.7165523506016381,0.7679062519199185,0.7986041333241214,1.3194301211708035
Ds575,0.15809062626145187,0.02961450637505656,0.2845027360673683,0.32931965955100084,0.52773507385863,0.6840303744550964
Ds595,0.5072835294103764,0.02542468040757857,0.26644614482592255,0.2856293905987247,0.3749836488114816,0.5414706213104898
pSA_0.010000000000,0.0741054377263996,0.03691458022430459,0.40889967959829904,0.4096786764314093,0.5133083700745051,0.7736414212584071
pSA_0.010722672220,0.07443311940210354,0.03690709130711392,0.4089803967393738,0.40948982767594433,0.5134022770053793,0.773646419187395
pSA_0.011497569954,0.07487846457870614,0.036891280109502725,0.4086970090164426,0.4093189965641724,0.5134730850586382,0.773453227549619
pSA_0.012328467394,0.07525336826415348,0.03686732409699152,0.40822858204839185,0.40908681010545644,0.5135237855893374,0.7731165964907895
pSA_0.013219411485,0.07573063145978162,0.03685718729069285,0.4077280262904825,0.40915340846353315,0.5133752808721042,0.7727889971334808
pSA_0.014174741629,0.07674482461892311,0.03688426547426113,0.40760269243355857,0.4097877855025329,0.5128519769334037,0.7727115466140365
pSA_0.015199110830,0.07967345996562002,0.03687434150176026,0.4072706422085586,0.40983956716591957,0.5123233801521008,0.7722131135057174
pSA_0.016297508346,0.08300210605807308,0.036891379650209825,0.40731874884823754,0.4101733284866967,0.5120396770868504,0.7722275270128327
pSA_0.017475284000,0.08322794087426194,0.03696124561766566,0.40786807427485533,0.4112521795827349,0.511709020926249,0.7728718155823313
pSA_0.018738174229,0.08508079843646575,0.03701749870449851,0.4081362835262002,0.41223085233641243,0.5112415173538642,0.7732253168481135
pSA_0.020092330026,0.08802308700790687,0.03713694913067073,0.40839408107099084,0.4143615233241817,0.5108170713846316,0.7742191407368635
pSA_0.021544346900,0.09000139939879251,0.0372441032726565,0.40894044303050026,0.41616600963870665,0.5101877751452896,0.7750599973113607
pSA_0.023101297001,0.09171034845043627,0.037400345717939196,0.4095520121795567,0.4188677481244513,0.509335906747448,0.7762770813320574
pSA_0.024770763560,0.09217524640044264,0.037558082314781374,0.4096535386839224,0.4218344174252727,0.5083988699657537,0.7773221394397785
pSA_0.026560877829,0.09378278551521702,0.03779519623947788,0.40908693703924903,0.4265033303985521,0.5076408919219726,0.7790741223070798
pSA_0.028480358684,0.09424168441956357,0.03812963467007126,0.40854510170439173,0.4326842691822668,0.508315303574275,0.7826296855935452
pSA_0.030538555088,0.09337179335488048,0.038373128506124544,0.40979918669740983,0.43652739269799384,0.5082883041566534,0.78539705763137
pSA_0.032745491629,0.08968770716226884,0.03859712585884828,0.41042254537751666,0.44006024109901665,0.5098001092381391,0.7886671242859709
pSA_0.035111917342,0.08813643936690764,0.03898118951405416,0.41165257479628636,0.4463377106824785,0.5103549850794905,0.7931818234863776
pSA_0.037649358068,0.08436683293789646,0.039351797502018775,0.4116930915994463,0.45303232107104,0.5097571720965409,0.7966064650186981
pSA_0.040370172586,0.07962066886801107,0.0398445532855199,0.4110623744859356,0.46217336977270806,0.5089828799345508,0.8010243888369101
pSA_0.043287612811,0.07542760329152291,0.040387743226473594,0.4115123668382767,0.4715661890850972,0.5091914012755828,0.8068413610382611
pSA_0.046415888336,0.06888731950675525,0.040793505167298835,0.4106823720635471,0.47900617982209315,0.5094796132838765,0.8109725071686372
pSA_0.049770235643,0.0634376629081096,0.04125678373486349,0.41133832073415505,0.4869533610955001,0.5088487548071753,0.8156284970839431
pSA_0.053366992312,0.05574370076236164,0.04216226700639149,0.41394311469948764,0.5015541574622102,0.5100484735804149,0.8264713670033899
pSA_0.057223676594,0.046846109022408704,0.04291383733394845,0.4127451223157774,0.5148958366769616,0.511114427667763,0.8346940857541039
pSA_0.061359072734,0.031275012293614915,0.043152232969431575,0.41452566313887884,0.5182202170878019,0.5119591934404594,0.8381443399244914
pSA_0.065793322466,0.015871252066793608,0.04343138154384898,0.41695625244835166,0.5217530443106582,0.5146388085478449,0.8431677525657386
pSA_0.070548023107,0.012609741352474358,0.04355412273021255,0.4194690413514918,0.5226176783465412,0.5168506483755596,0.846296701576288
pSA_0.075646332755,0.001177828745493929,0.043487918325195024,0.4208713427298133,0.5207651200212166,0.5181230237025625,0.8466288827181566
pSA_0.081113083079,-0.01032421593315791,0.04311038344011467,0.4232039344575561,0.5133039904157091,0.5182164054980989,0.8432857164949586
pSA_0.086974900262,-0.013376326241164374,0.0429808085208524,0.4261362174658256,0.5096190463655423,0.5202454729971324,0.8437766294634003
pSA_0.093260334688,-0.01609925108498538,0.04286788607610418,0.4288362709798512,0.5066956955201122,0.5193828011048096,0.842852044697047
pSA_0.100000000000,-0.023080639541378963,0.042586136992988216,0.42790140009060273,0.5022350009412238,0.5186886395535552,0.8392720114312444
pSA_0.107226722201,-0.0250251651107585,0.041981330033570366,0.42606399887523666,0.4919246777541092,0.5217793569491154,0.8341307553730855
pSA_0.114975699540,-0.025169540419030734,0.04136423788589163,0.4264919039243276,0.48079748791938537,0.5221774381364858,0.8280886700114746
pSA_0.123284673944,-0.03231010225843011,0.040989493879182604,0.4262059715567695,0.4740696684187332,0.5235503986942752,0.8249233907934918
pSA_0.132194114847,-0.039823694456896534,0.04080051371606574,0.4253638482152914,0.47091189592660726,0.5245848300065183,0.8233356915418407
pSA_0.141747416293,-0.04875300183172202,0.040479923616941034,0.42107786273674347,0.46644054171395827,0.5284880991753442,0.8210803958269391
pSA_0.151991108295,-0.05317013825209131,0.04001676088637298,0.42191778623079007,0.45750323162780354,0.5305464556179755,0.817803990487067
pSA_0.162975083462,-0.06891315373430482,0.039490955076916925,0.4243101480894895,0.44564467858818735,0.5395480924406661,0.818382811025534
pSA_0.174752840001,-0.07768207844477691,0.039031653552192284,0.42485131268865606,0.4363298077363663,0.5443629394422601,0.8168312854260336
pSA_0.187381742286,-0.08562482213178994,0.03837048796084334,0.4155072497903578,0.4278831764151028,0.5482257037773465,0.8101121586358223
pSA_0.200923300257,-0.09133177160094544,0.037976483988291024,0.41473484509257075,0.4209826972986501,0.5485528113770402,0.8063135928585479
pSA_0.215443469003,-0.10579927583135884,0.03788724175254371,0.4158267838511003,0.41885230300120335,0.5485324715649927,0.8057524671129224
pSA_0.231012970008,-0.11474340464969929,0.037554512393906885,0.41707118637990304,0.4120586153391742,0.5491558547539569,0.8033136559240894
pSA_0.247707635599,-0.12495208551738435,0.03715624466998281,0.42029101367515526,0.40322908546036257,0.5487635555722361,0.8002372594809446
pSA_0.265608778295,-0.13987109042781115,0.03658474548476651,0.4241352043767926,0.3906099920058305,0.5491597055952251,0.7962683088607588
pSA_0.284803586844,-0.14898138118119172,0.036626403964402636,0.4301184310918686,0.3886857420275335,0.5476188398270833,0.7974740525897914
pSA_0.305385550883,-0.1632265996192736,0.03709342528750733,0.42936830152483885,0.39779363978587373,0.5480375707583883,0.8018367023098742
pSA_0.327454916288,-0.18900378154356762,0.037346122169002786,0.42952917026371734,0.4030168784059826,0.5445412031523906,0.8021490100462589
pSA_0.351119173422,-0.19698991071210809,0.0367229544747157,0.4244497577745897,0.3942266160518064,0.5419597377696614,0.793279634833724
pSA_0.376493580679,-0.2112715882112846,0.03574567921749245,0.4197536450330594,0.37823064970311043,0.5412486963808786,0.7824331909034644
pSA_0.403701725860,-0.22849380059150914,0.035392372086145304,0.4135719440701138,0.37519642743008147,0.5377772724981268,0.7752538338465371
pSA_0.432876128108,-0.24098797781811748,0.035024935563279166,0.4013545334609967,0.3748339484053996,0.5344170596389862,0.766281634935913
pSA_0.464158883361,-0.25588763524196134,0.035148897147659695,0.4014283543889734,0.3777175851770434,0.5307717752670177,0.7652019179795081
pSA_0.497702356433,-0.2703004889204586,0.03532981039636971,0.40129017676056483,0.3820801246532122,0.5251228365063739,0.7633957172004828
pSA_0.533669923121,-0.282357636308732,0.0350899876632801,0.39632615781953506,0.38152601472639036,0.5155079889608629,0.7539131315791429
pSA_0.572236765935,-0.2873640454807161,0.03544159067956466,0.39301107817434766,0.3907318941161821,0.5082350862332694,0.7519521417789309
pSA_0.613590727341,-0.28605251042228264,0.035878308137544626,0.38607339435071153,0.4025811169210465,0.5035678816447174,0.7514684510683237
pSA_0.657933224658,-0.2874060475127474,0.03575292111781197,0.38075326070126647,0.403161584805009,0.5002809752829018,0.7468556508637694
pSA_0.705480231072,-0.2868450897032608,0.035346375034918415,0.37541990909748724,0.39901228191925364,0.4946247231133737,0.7381087494293488
pSA_0.756463327555,-0.2843575419386648,0.0356281310894802,0.36698201105889516,0.40922807904432246,0.48439524187774363,0.7326541936500023
pSA_0.811130830790,-0.2700358969397606,0.035907829216898605,0.3600992216620231,0.41821778060863296,0.47633908772643235,0.7290243397547542
pSA_0.869749002618,-0.24535237212915592,0.03587659245679209,0.36024094783392224,0.41905774395396295,0.46629795723832623,0.7230606601030813
pSA_0.932603346883,-0.20522725509832923,0.0352501130956006,0.36269462404292685,0.4085235905748858,0.4555548547273406,0.7113150778884737
pSA_1.000000000000,-0.15735311837239527,0.034895117143333036,0.35890315638818254,0.4052421097587685,0.4455965187113141,0.7011340104964104
pSA_1.072267222010,-0.11099861410255593,0.034405390249743574,0.35301674267303895,0.3998083876551617,0.44002698395055856,0.6914414755071667
pSA_1.149756995398,-0.06596980993157672,0.03394916497498381,0.3461704821630096,0.39576240230574894,0.4316605803900977,0.6802887169889738
