,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09370764333843042,0.09004050163719009,0.0632611128308779,0.1473892174397103,0.0920910593563255,0.06754097859358148,0.09347494055149577,0.09349119203042289,0.09349653083144552,0.09349468394737658,0.09346072876346342,0.09337505410797238,0.09328228322296184,0.09323809484194874,0.09319886261129315,0.09313129658171648,0.09307466507973032,0.0929890099888676,0.09287132043502803,0.09273042066051197,0.09261127126572996,0.09273148056648232,0.09276472305649254,0.09303594108588957,0.0931713695892221,0.09309512257540545,0.09298294969004846,0.09305314255180722,0.09310368031926768,0.09303523705437873,0.09332295021320319,0.09350439846754141,0.09368791012372213,0.09418568930606462,0.09460244212991283,0.09483566347836037,0.09488130872564116,0.09526465400790239,0.09517067984244144,0.09502608230080983,0.09546714614442257,0.09550937834347968,0.09570860612070556,0.0958515155106542,0.09638903248558263,0.09671508299684314,0.09819513555439799,0.09895974111305682,0.09936352607085554,0.09937622212262268,0.09938858242178275,0.09949136264522589,0.09946067511161974,0.09955135472418586,0.09940907300748396,0.09950208130129856,0.0989562742174516,0.09839906444893223,0.09812222125946037,0.09742124399332484,0.09662451131695654,0.09604603951451442,0.09514265099788106,0.09347474836207204,0.0922578662224457,0.09139557378953536,0.09074996098089584,0.0897031213903109,0.08788985212407786,0.08645501674599991,0.0848289564294376,0.08310038754549415,0.08138535756985682,0.08033832065170433,0.07881815589129754,0.07779125528813799,0.07703157008326231,0.07590897400725956,0.07515991863605888,0.07430191346581749,0.07386495989498013,0.07400375998275717,0.07396526800072786,0.07387771123510443,0.07362299871287531,0.07325456371945653,0.0727076461895448,0.07214391107535449,0.07205799450359143,0.0718484208638552,0.07127520877103852,0.07091619283275147,0.0706905015708408,0.07052958857899486,0.07003490791884406,0.06951734913287864,0.06911704030600666,0.06926954036907765,0.06947630302283242,0.06957798764942773,0.06942493583990435,0.06939105196369551,0.06959641135780903,0.06993057200350339,0.07024785673375113,0.07057611933038725
event_2,0.10146528975230464,0.09752309770011046,0.06847866863194017,0.1596022088315228,0.09936367600020596,0.07308436568782971,0.10121411140320297,0.10123185009041996,0.10123729489192708,0.10123475400632653,0.10119738101037444,0.10110447308969742,0.10100390190277893,0.10095613864915286,0.10091405905707727,0.1008410606253494,0.10077928295630453,0.10068673394955281,0.1005592578930195,0.10040593110846989,0.10027444547831904,0.10040068322789816,0.1004364439092536,0.10072838203861752,0.10087336751423315,0.10078831159566151,0.10066278024945309,0.10073541352266387,0.10078620263437636,0.10071020199990491,0.1010185525115754,0.10120870709185065,0.10140764795846002,0.10194643830210594,0.10239869922211445,0.10265254517917954,0.10270674551285403,0.10312495786882997,0.10302721361015561,0.10287174461956296,0.10334997296689744,0.1034003437172755,0.10361781985993783,0.10377240946448547,0.10434899291466379,0.10470556177208881,0.10631043611651274,0.10713994273103493,0.10756348464884828,0.10757897968552964,0.10759527349526854,0.10771152252751254,0.10768868890005369,0.10779996387831742,0.10765769175041989,0.10775153913413385,0.10716032745219446,0.1065563459450815,0.10625925127297428,0.10549477451188838,0.10461404714537556,0.10398970786147989,0.10301403545063618,0.10120854262799212,0.09988689524205431,0.09894057989456725,0.09823576218951109,0.0971007279384791,0.09512891224507644,0.09356845776981328,0.09181647879502719,0.0899599650813554,0.08810595330090248,0.08697099695790522,0.0853237645287385,0.08421320136126097,0.08338798038462718,0.08216696485064169,0.08135098517315431,0.08042591966536859,0.07995490311470368,0.08010799853858702,0.08007018542151022,0.07998405127070622,0.07971678500687247,0.07932325482484162,0.07873334382249213,0.07812685353359755,0.07803384531820604,0.07780917045272336,0.07719367386820437,0.07680483139675626,0.07656357648126029,0.07639398705796993,0.07586239241726693,0.07530619697487224,0.07487467549777894,0.07503877378147437,0.0752618434076177,0.07537029237901681,0.07520501710449275,0.075172262954865,0.07539591802016316,0.07575740133613264,0.0761013908172632,0.07645665529269269
event_3,0.11138623217336865,0.10711319388606193,0.0751324516598357,0.1752075974789898,0.10857752063794449,0.08016141537824593,0.11111135787716232,0.11113107919171582,0.11113659405089368,0.11113304642620164,0.11109109647629235,0.11098874210963547,0.1108780908135724,0.11082569839940526,0.11077989946570767,0.11069980521100513,0.11063095673870772,0.11052932109027012,0.11038884158724496,0.1102188858082727,0.11007018930278009,0.11020225474234266,0.11024066920664387,0.11055830875997297,0.11071431140366465,0.11061640775258456,0.11047150067398029,0.11054527413033886,0.11059450989564058,0.11050744133726345,0.11083994341498167,0.1110383340974086,0.11125682161131198,0.11184786060830702,0.11234586905921223,0.11262670217697594,0.1126938497360902,0.11315801327377921,0.11305677594948936,0.11288810369479022,0.11341535611057332,0.11347868315280153,0.11372087801288572,0.11389082406813611,0.1145167227961166,0.11491462337487744,0.11668227738256892,0.11759709417285412,0.11804360667348593,0.11806427667510101,0.11808678210898992,0.11822287450641548,0.11821458552646316,0.11835840882537103,0.1182198695979865,0.11831112134247956,0.11766039518951547,0.1169975712812896,0.116678193607153,0.11583089960959317,0.1148368646815505,0.11415343675853351,0.11308452725584402,0.11110202432668427,0.10964278120154122,0.10858298748552865,0.10780033781631224,0.10655202682365902,0.10437260983806189,0.10264772708364202,0.100736147210181,0.09872050045632887,0.0966890807182334,0.09544146663589936,0.09363111717986171,0.09241450056380869,0.09150502539967598,0.09015612475628788,0.08925309195897896,0.08824298355794037,0.08772861984021461,0.0879010407446686,0.08786544471729375,0.08778471698104874,0.08750455718136103,0.08708138989873299,0.08643735777220948,0.08577732502220588,0.08567571490280389,0.08543339580854085,0.0847670316862259,0.08434104041651037,0.08408204865069531,0.08390441409343877,0.08332731437288744,0.08272387373618502,0.0822534386806576,0.08243285076127171,0.0826772026546378,0.08279373856988308,0.08261187046796699,0.08258140943597629,0.08282908082906026,0.08322551262520522,0.08360359201965134,0.08399249220368699
event_4,0.08696981828473385,0.08346005477274633,0.05884762929377308,0.13692934989223976,0.08560365831564624,0.06270049330006905,0.0867556926544932,0.08677039579892601,0.08677528752384438,0.08677357772838044,0.086742623577215,0.08666437477427465,0.08657887434291468,0.08653844378592185,0.08650330817789534,0.08644201878815368,0.08639246450897971,0.086315406757728,0.08620991495542368,0.08608359986820398,0.08597999435834182,0.08609955513796204,0.08613452653002993,0.08638952041802024,0.08652194439677177,0.08645949415868802,0.08636668474558212,0.08644195765007212,0.0864971006475575,0.08644181786981311,0.08672181184155532,0.08690276972158592,0.0870751695731331,0.08753846348840036,0.08792429699320187,0.08813804205083413,0.08817253704960377,0.08852277492970637,0.088432186053745,0.08829412093166861,0.08869180297941352,0.08871846198733746,0.0888951505213405,0.08902401409692201,0.08951816674370273,0.08980854885751569,0.09116135131787279,0.09185588180174122,0.09222602994295709,0.09222868557954919,0.09223593849201935,0.09231973525649036,0.09227440606188043,0.09233380934451603,0.09219310264883251,0.09229521480486187,0.0917988415811264,0.09127362852450371,0.09099493961866945,0.09034760276063768,0.08962314635335299,0.08909229868956521,0.088263319249465,0.08672371305334634,0.08561463659582656,0.08483937820764284,0.08424699606086068,0.08327668713840572,0.08161730245526122,0.08030391374722487,0.07879816143398487,0.07718441645798085,0.07559554347389419,0.07462333625002882,0.07321533322267239,0.07225704645945899,0.07155080382198503,0.07051555899111271,0.06982358645301726,0.06902852625253326,0.06862509423769976,0.0687504412957117,0.06871072884211242,0.06861603049530893,0.06836975727449503,0.0680178985145375,0.06750763952883046,0.06698283473779947,0.06689915720969956,0.06669520717730201,0.0661470109095088,0.06580571222383876,0.06558497177168643,0.06542045616082454,0.0649554403917572,0.06446609016090356,0.06409039318610554,0.06422670803416919,0.06441421310545381,0.06451000190007705,0.06437561880194952,0.06434447076009898,0.06453266590922996,0.06484216691607973,0.06513782095298704,0.06544886558189558
event_5,0.1290629107296976,0.12414667675107488,0.08715003931528201,0.203255405180409,0.12445124642417209,0.09267382690837547,0.12875021602168213,0.12877337944444162,0.12877803679764374,0.12877124858738784,0.12872021047997934,0.1286022126147253,0.12847402129818658,0.12841432443445316,0.12836456636365945,0.12827403998699047,0.12819512200770783,0.12808092171312035,0.12792192045296974,0.12772593853201514,0.127548647355474,0.1276903685194358,0.12773820696240634,0.12810096900455256,0.12828067959855657,0.12816363976408432,0.1279873334988419,0.12806675434834416,0.12811260251256656,0.12801129951177934,0.12839496563227135,0.12860591103576438,0.12886285678135123,0.1295481870841644,0.1301295136641024,0.13045875102868512,0.1305528855937847,0.13110091939824092,0.13100144742783418,0.1308071645259518,0.13140714249308788,0.1314903464937819,0.13177058205721826,0.13196232065271446,0.13265421517664336,0.13312006770724766,0.13515815581999008,0.13621102710038102,0.13665894858234787,0.13668296763040638,0.13671888484910982,0.1368894293000986,0.1369133337547052,0.1371189097074151,0.1370060464015762,0.137094046989287,0.13634879261580612,0.13556994579159473,0.13519227122610716,0.13418791143450304,0.13296610195285807,0.1321886580259096,0.13097003351172962,0.12868278017854354,0.12699166703945988,0.12572682372551142,0.12479891472248847,0.12334642765648357,0.12080262004398595,0.11878823113668277,0.11661859467881726,0.11434917265382655,0.112014003615162,0.11056145387074859,0.10846069376180331,0.10705218092735046,0.10598352114950092,0.10439978961887063,0.1033321453805391,0.102182980169062,0.10160004579109419,0.10181047971003633,0.10178486797709255,0.10172142743238463,0.10143059709655065,0.10095729179798918,0.10022019006326903,0.09947506969593857,0.09935225935758478,0.09907172891879179,0.09830740668226909,0.09780360474071244,0.09750673725055821,0.09730769018637332,0.09665301806423457,0.09596521065813304,0.09542526970468342,0.09562221737838279,0.09589663645727509,0.09602497435611701,0.09582459999302079,0.09580958202932406,0.09610047059655881,0.09655735860902835,0.0969990160928143,0.09745610820627647
event_6,0.11392131416529247,0.10954433603135875,0.07685658183089839,0.17922520620881377,0.11089244939218011,0.0819647554537675,0.11364092454590057,0.11366109162304482,0.11366655510487407,0.11366266197805402,0.11361956647007676,0.11351505592838756,0.11340194211661996,0.113348509214737,0.11330210798629542,0.11322054022976985,0.11315047302668937,0.11304708347133066,0.11290409261665257,0.11273073839600749,0.11257877112479377,0.11271344284185417,0.11275339036354505,0.11307803480270982,0.11323804632289225,0.11313825836233937,0.11299018995699027,0.11306589610947515,0.11311588694073761,0.11302744578871886,0.1133683690308608,0.11357055965891939,0.11379451138884233,0.1143991468958703,0.11490879538377075,0.11519615433991261,0.11526566513100116,0.11574087065519646,0.11563860718937882,0.1154659176442538,0.11600336823101334,0.11606805430552242,0.11631509214375997,0.1164881393752689,0.11712478506058539,0.11753115551763543,0.11933620383649797,0.12026972690676614,0.12071868088376905,0.1207388965978813,0.12076254439803417,0.12090193402502726,0.12089534602585157,0.12104410799045483,0.12090661405489592,0.12099962827734576,0.120335980277468,0.119656168479273,0.11932654867827809,0.11845785817135876,0.11743506523583937,0.116738324601344,0.11564824345638597,0.1136225252156776,0.11213205332956419,0.1110467270161381,0.11024471829933805,0.1089674757992553,0.1067388274139622,0.10497482413450362,0.10302469880133752,0.10096879672816808,0.09889311829267032,0.09761642674406157,0.09576481601941451,0.09452018875825169,0.09358851295378806,0.09220748940525354,0.09128211036497604,0.09025118678354485,0.08972653275291227,0.08990358659726973,0.08986830166962018,0.08978741083615173,0.089503121182464,0.08907107216440643,0.08841297183833777,0.08773945377664773,0.08763483651271108,0.08738635157904058,0.08670430757482941,0.08626707498562278,0.08600158132628444,0.08581928838169448,0.08522989317194134,0.08461305187283487,0.08413205248860324,0.08431405251162995,0.08456272277821225,0.08468137168370374,0.08449706062893367,0.08446787564018914,0.08472135650585218,0.08512652620773298,0.08551364681633165,0.08591251592254923
event_7,0.15328729445818418,0.14743390280416452,0.1038957328925975,0.24213771697526718,0.14509893737147128,0.10961368343668336,0.15293102937480077,0.15295892014248622,0.1529603739162838,0.15294610705428058,0.15288036317719256,0.152742752508963,0.15259109003805796,0.15252305696082127,0.1524728003755171,0.15237187313893086,0.1522828857780601,0.1521578027884535,0.151981226668254,0.1517548148244379,0.15153902343888556,0.15168824971908704,0.15175672079970953,0.1521781916644863,0.15239544828457952,0.15225574260174335,0.1520370932005267,0.15212659710344023,0.1521622411438999,0.152048695092861,0.15251286939801798,0.1527301280747167,0.15304632059698667,0.15386270629526047,0.15456249034974318,0.15496012066730455,0.1551035316142992,0.15577357745115866,0.15569515267352949,0.15546338157307335,0.1561382279788744,0.15624844665822998,0.15657244797077433,0.15678428622859425,0.15752315456232105,0.15807654416351155,0.16045507231905548,0.16167588259024496,0.1620462479368757,0.16206741000163696,0.1621286900244317,0.16235052653856283,0.1624402480045643,0.16275123243619724,0.16271787029276064,0.16279586852265135,0.16193975565969385,0.16098279469328927,0.16049797127404297,0.15925686717878826,0.1576615316364446,0.15677534401757368,0.15538056330425887,0.15269337554852142,0.15070154409547215,0.14913688829498584,0.14799286361907588,0.14625511290295937,0.14321146689194106,0.14079837494649686,0.13832760318475068,0.1357770962302193,0.13305007508413297,0.13130809029321622,0.12880834549836434,0.12713340462584322,0.12582824672061352,0.12390478910616991,0.12259020939304657,0.12127573187069371,0.12061580808942629,0.12088758838228346,0.1208903488505014,0.12087369205149001,0.12059950546194269,0.12006847162358328,0.11921243992396442,0.1183736841832935,0.1182113578665986,0.11786908141120744,0.11696366192191412,0.11633280646009642,0.11597680044057844,0.11574162081369267,0.11499138220449588,0.11419255348294499,0.11355932304512786,0.11376234652816762,0.11406365830304284,0.1142018381083921,0.11399542050664947,0.11402570000536785,0.11437806340056603,0.1149142565431214,0.11544846385920653,0.11601318423504375
event_8,0.12910637836681088,0.12418608119336459,0.0871837947707584,0.20333037347480176,0.12448148786926971,0.092702909510204,0.12879369739757232,0.1288168630266583,0.12882149860889214,0.12881467462392668,0.1287636028678006,0.12864560445240011,0.12851738521202086,0.12845769541535892,0.12840799396468688,0.12831750109341525,0.12823864206146698,0.12812450867079378,0.12796559381263775,0.1277696675137119,0.127592424267514,0.12773424462312363,0.12778224046360553,0.12814513676089556,0.12832505553443943,0.12820812788862257,0.12803192108466488,0.1281115270477425,0.12815743859510045,0.12805628359158006,0.1284403511068369,0.12865140790120266,0.1289085341970842,0.12959413132996422,0.13017568765372475,0.13050502504290412,0.13059922343262187,0.1311474478929886,0.1310480940698466,0.130853672680734,0.131453446915683,0.1315365143766783,0.13181664768019852,0.1320082967954696,0.13269989432682497,0.13316567434330537,0.135203821520848,0.1362565885719288,0.13670369519908024,0.1367274956995039,0.1367634387820644,0.13693390369905212,0.1369577931281913,0.1371632666632879,0.13705072746430566,0.1371389584494524,0.13639383131153962,0.1356143735780655,0.13523589325280397,0.13423100142159486,0.13300832094361587,0.13223095150079925,0.13101240926733407,0.12872472476952443,0.12703355858453777,0.12576846066208483,0.12484014890062609,0.12338712964814706,0.12084280348094113,0.11882797131596004,0.11665823062624839,0.11438864067506194,0.11205298388644304,0.11059984631368908,0.10849840466170708,0.10708931044987541,0.10602007714884049,0.10443570659652411,0.10336751334562819,0.10221825055057777,0.10163532931648808,0.10184588803993622,0.10182037223924076,0.10175697818557292,0.10146624781830639,0.10099276374153185,0.10025546740325215,0.09951031382008062,0.09938729873965647,0.0991064429753962,0.09834155681800032,0.0978372456154328,0.09754002761349245,0.097340600311221,0.09668573049295555,0.09599759467471784,0.09545742418048746,0.09565415164931128,0.09592842838965723,0.09605676276347265,0.09585666677668626,0.09584191575154662,0.09613288728454861,0.09658987976961708,0.09703176568916541,0.09748927244303696
event_9,0.12904346964561608,0.12413071022270941,0.08712560046993971,0.2032094580376552,0.1244491854969429,0.09266430270759049,0.1287305880746846,0.1287537530878593,0.12875846191116652,0.12875175129198888,0.12870076973825467,0.1285827260367422,0.12845453137552146,0.12839479309834242,0.12834489968801896,0.12825426766919742,0.1281752234256463,0.1280608422315811,0.12790160817335267,0.1277054537409771,0.12752806932498684,0.12766980449096083,0.12771737044685907,0.12808011368958164,0.12825956316485324,0.12814232232467987,0.12796585717504874,0.12804505193570878,0.1280909255886865,0.12798931385656892,0.12837243541344104,0.12858347184620664,0.12884016142599566,0.12952531718425891,0.13010644848526653,0.13043561832835182,0.13052950411173914,0.13107733689465983,0.13097738927822333,0.13078326607054586,0.13138404984231347,0.13146743906063435,0.13174799145960567,0.13194002797524668,0.13263305896633462,0.13309916026869192,0.13513799981440605,0.13619143946846243,0.1366412228800113,0.13666551463099003,0.13670131948605882,0.1368718851244389,0.13689550241786877,0.1371008873118319,0.13698713751251695,0.13707504417229568,0.13632932220389601,0.13555115397514017,0.13517444625355182,0.13417067630621962,0.1329502002123182,0.13217237108352406,0.1309531765351921,0.1286657623611759,0.12697425236816753,0.12570972620270707,0.1247822715800318,0.12333011374832756,0.12078641748190225,0.11877215969120399,0.11660152827851226,0.11433085652486476,0.11199534057781797,0.1105432490571476,0.10844279038706038,0.10703465790349025,0.1059666656725471,0.1043835517866911,0.10331657714104839,0.10216691316715631,0.10158358559742492,0.10179378743204669,0.10176783684451085,0.10170396791455576,0.10141245327263892,0.10093906326188089,0.10020186651564279,0.09945621115299427,0.09933379304610676,0.09905373258817632,0.09828998487322457,0.09778695305127716,0.09749050312066086,0.09729190229479753,0.09663713981001133,0.09594945852289019,0.09540961434538908,0.09560707867744195,0.0958818848498456,0.09601033946477755,0.09580939164722373,0.09579374506763183,0.09608456940788991,0.09654149180684875,0.09698292105147527,0.09743946131601472
event_10,0.12910637836681088,0.12418608119336459,0.0871837947707584,0.20333037347480176,0.12448148786926971,0.092702909510204,0.12879369739757232,0.1288168630266583,0.12882149860889214,0.12881467462392668,0.1287636028678006,0.12864560445240011,0.12851738521202086,0.12845769541535892,0.12840799396468688,0.12831750109341525,0.12823864206146698,0.12812450867079378,0.12796559381263775,0.1277696675137119,0.127592424267514,0.12773424462312363,0.12778224046360553,0.12814513676089556,0.12832505553443943,0.12820812788862257,0.12803192108466488,0.1281115270477425,0.12815743859510045,0.12805628359158006,0.1284403511068369,0.12865140790120266,0.1289085341970842,0.12959413132996422,0.13017568765372475,0.13050502504290412,0.13059922343262187,0.1311474478929886,0.1310480940698466,0.130853672680734,0.131453446915683,0.1315365143766783,0.13181664768019852,0.1320082967954696,0.13269989432682497,0.13316567434330537,0.135203821520848,0.1362565885719288,0.13670369519908024,0.1367274956995039,0.1367634387820644,0.13693390369905212,0.1369577931281913,0.1371632666632879,0.13705072746430566,0.1371389584494524,0.13639383131153962,0.1356143735780655,0.13523589325280397,0.13423100142159486,0.13300832094361587,0.13223095150079925,0.13101240926733407,0.12872472476952443,0.12703355858453777,0.12576846066208483,0.12484014890062609,0.12338712964814706,0.12084280348094113,0.11882797131596004,0.11665823062624839,0.11438864067506194,0.11205298388644304,0.11059984631368908,0.10849840466170708,0.10708931044987541,0.10602007714884049,0.10443570659652411,0.10336751334562819,0.10221825055057777,0.10163532931648808,0.10184588803993622,0.10182037223924076,0.10175697818557292,0.10146624781830639,0.10099276374153185,0.10025546740325215,0.09951031382008062,0.09938729873965647,0.0991064429753962,0.09834155681800032,0.0978372456154328,0.09754002761349245,0.097340600311221,0.09668573049295555,0.09599759467471784,0.09545742418048746,0.09565415164931128,0.09592842838965723,0.09605676276347265,0.09585666677668626,0.09584191575154662,0.09613288728454861,0.09658987976961708,0.09703176568916541,0.09748927244303696
