,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08565400211428018,0.08152635814151037,0.05829152731013313,0.13520828609398164,0.08504475889871738,0.06190997433514143,0.08544984190417568,0.08546218925292651,0.08546756149809422,0.08546725415919458,0.08544091467949552,0.08537014563945788,0.08528904605118853,0.08525171445805585,0.08522194687835925,0.08516761334719011,0.08513356160478135,0.08506783667235379,0.08498011372455222,0.08487670768491774,0.08481114417693092,0.08497400417632574,0.0850250766671677,0.08529498135521885,0.0854564298484116,0.08543414282748453,0.08539772304609586,0.08551898868543246,0.08561664249335653,0.08559511557533386,0.08592201162490605,0.08616594004252372,0.08633949884402511,0.08680040780093491,0.08717284072245325,0.08736978793282942,0.08735826364191007,0.08767273168829351,0.08755264142917765,0.08740126374293314,0.0877599775333407,0.08772755342071185,0.087868441333073,0.08798397441688284,0.08847646221922131,0.08870330352828595,0.08994129383430857,0.09055089487969348,0.09091818135262177,0.09086746540093014,0.09084674876287058,0.09085617425555158,0.09070043716350609,0.09059547002067292,0.09039460440842732,0.09059747118977705,0.09016789855502355,0.08960460051719311,0.08919220452464179,0.08857739205145328,0.08796772368495673,0.08748443548486554,0.08672640351838808,0.08525978971667683,0.08428775723046535,0.08367871531516857,0.0831415382861871,0.08219538113591274,0.08069500100817219,0.07950250944842041,0.07800627235195509,0.07632538356092634,0.07475725664726078,0.07380324484875903,0.07243068023042318,0.07146346840754744,0.07077442626201712,0.06979974740380143,0.06914862592537278,0.06835415026900343,0.06795461343471362,0.06805460120932481,0.0679855167410585,0.06781068476401665,0.06749802796547676,0.06709549029868903,0.06657383848866963,0.06603299024535701,0.06593872500577214,0.06569715198262156,0.0650781059106084,0.06470955574890347,0.06443328095313756,0.06418696137963817,0.06369060831438784,0.06315365427861451,0.06275790264527806,0.06286456557586391,0.063024357969755,0.0631288352652197,0.06304062562914411,0.06300538453948387,0.0631756162453161,0.06347759024282285,0.06377446021954682,0.06411435768671064
stat_2,0.11545646809392132,0.10928015682772592,0.07858769327293126,0.18229748603770454,0.11444811735742914,0.0835686484765191,0.11518623693848619,0.11520097407781948,0.11520898516785662,0.1152101962199246,0.11517868558716718,0.11508869951634786,0.11498208831369353,0.11493376636092616,0.11489725094487516,0.11482877455395883,0.11479535984912682,0.11471459741702528,0.11460900063591209,0.11448686646204567,0.11443033424851473,0.11469099458219167,0.11477222653866644,0.11515341068185196,0.11539657533660061,0.1153994482793556,0.1153977833503921,0.11560105677269673,0.11577245432030861,0.115768552395742,0.1162478186799194,0.11663831167888537,0.11687200064357343,0.11749634247854521,0.11798970881175543,0.11824263780550295,0.11818184928792667,0.1185762690461784,0.11837767560081042,0.11816219870590751,0.11863163882451638,0.11853817729091568,0.11870351806535943,0.11885344008502087,0.11953688238537934,0.11979169148253906,0.12138140576699626,0.1221375241024836,0.12263293908271901,0.12251365125836591,0.12246053998920114,0.12240540234163305,0.12209497635376212,0.12180511192017442,0.12148220857511786,0.12184841451657288,0.12132384826835352,0.12052208336021675,0.11983709158305121,0.11902566001449294,0.118286812756378,0.11767723243803258,0.11671528816695283,0.11478662379489953,0.11358860426643758,0.11290966635095452,0.11222786963449906,0.11096097616447444,0.10906373244347116,0.10755091324766447,0.10551762051217121,0.10315483976928723,0.10102993094015385,0.09975002945511087,0.09791245684372547,0.09658936453971113,0.0956720404298261,0.0944030839526855,0.09355775748229353,0.09247035855099411,0.0919244866633959,0.0920354013530207,0.09191060377683151,0.09159519623273664,0.09110008929174274,0.09050516554575312,0.08978165451962715,0.08902026319813593,0.08888924548205147,0.08853455387373824,0.08763675998873513,0.08711961913210758,0.08669871324675377,0.08629529790426693,0.08559101365620361,0.08481896162337442,0.08426301810032363,0.08438540899791626,0.08458021087053325,0.08473027311666091,0.08464847325583397,0.08459335759351246,0.08480941789433354,0.08521462595636424,0.08561867394449309,0.08610234218750229
stat_3,0.06164895240470012,0.05876700480576911,0.042422190879075714,0.09796195924067833,0.060352355616507876,0.044306738443872014,0.06151091618073473,0.06152024885233091,0.06152146574115024,0.06151717708656659,0.06149457299901165,0.061444619828161594,0.06138632085215266,0.06136103814570662,0.06134482897545138,0.06130944712692624,0.0612867620135444,0.061245627921404804,0.061189557673747376,0.061118058824424414,0.06106488908121806,0.0611658651264174,0.061210037704811524,0.06139651223609371,0.06151399917081991,0.06149587686341033,0.06146088318229738,0.06154332041222947,0.06159796186957063,0.06158760661974953,0.06183014213601249,0.06197826354546103,0.06211265215948982,0.06244638465227673,0.06272220778161632,0.06286925696607677,0.06288733749084674,0.06312940594229628,0.06307725855103417,0.06296683509646492,0.06319146998615008,0.06317741314483107,0.06327195621383129,0.06334285589954577,0.0636354014706306,0.06380252125408127,0.064673721194685,0.06510234687162793,0.06527652301761211,0.06524476856752794,0.06524377233137042,0.06527213783050297,0.06520887331301829,0.06519326242058449,0.06510994081336031,0.06522688622762741,0.06492551853284044,0.06450888503565892,0.06421469326556209,0.06374507458620006,0.06322145583089389,0.06288323777592328,0.062352751816062243,0.0613041570222947,0.06059565038466167,0.06010138548631781,0.05968519117841381,0.058996040540852085,0.057884983897974106,0.057001576267481535,0.05599101299162367,0.054887041652088284,0.05379326633140999,0.053093884378127267,0.05210214020221605,0.05140545245948428,0.05088295379260318,0.05014860188241982,0.049645711136027545,0.04910978396730249,0.048846137323935265,0.048935445600519434,0.04891210340575773,0.048834015054853463,0.04866723222073247,0.04840314863570657,0.04804397471321248,0.04769439176131748,0.04761182365555296,0.04742985808316835,0.04698700886351091,0.04669832002335864,0.046500217316966484,0.04632976457380411,0.04599370737937447,0.04562355845817633,0.04534610606851309,0.04540565428444507,0.045508352854466486,0.045573962841063555,0.04552492956976,0.04553100469123943,0.04565927250139343,0.045872593711313546,0.046092192704698436,0.0463494200055053
stat_4,0.05202540781670915,0.04951456607011007,0.036230051762174476,0.08325498749106824,0.05019986103980202,0.03720718165362255,0.05191783667094367,0.05192559452287201,0.0519245550327792,0.05191788091975502,0.05189673027891271,0.051856829798027235,0.05180840168207762,0.05178894828289874,0.05178068800127785,0.05175527884140313,0.05174099753271532,0.05171367173296034,0.051675819065811375,0.051622629493433075,0.051581135702340845,0.051663328840445166,0.051710426948636715,0.05186571209178402,0.05197295312266089,0.05196487591673753,0.0519407284111011,0.052017107413042066,0.05206045888155258,0.05206338823194273,0.052285562204703984,0.052403536419979434,0.05252541758670136,0.05280971014323574,0.05304697110707425,0.05317221143844037,0.05319820811288044,0.0534081402226977,0.05338443209349047,0.05328661763244705,0.05344202353644593,0.05342435065134948,0.05349114921817926,0.053538527367262105,0.05373634107366217,0.05386693895877138,0.05456393360597987,0.05489985922594063,0.05497042230254952,0.054934880408033585,0.0549394450858559,0.05496459678363705,0.05492707733657169,0.05492711550184488,0.05489471183231349,0.054992301075323234,0.05475821175871886,0.05438656650944181,0.05410856090923037,0.05369414343541192,0.053202586417722096,0.05293521971312861,0.05251469875904351,0.05164758434000743,0.051070379528189574,0.05064202677818475,0.05027645071704394,0.049690095325576306,0.048757909726154625,0.0480152861642825,0.04721574446232918,0.04635057299462962,0.04545522592302297,0.04485546839996241,0.04401864890448919,0.04342490937124438,0.04296374284272696,0.042327407059539274,0.041881706669451645,0.04145654997010872,0.0412532048405743,0.0413373200007632,0.04133219585003098,0.04128633744855563,0.041176489250006054,0.04096159282885873,0.04066715097363047,0.04039809250403827,0.04031428013907045,0.04014545573967196,0.03975660777734809,0.03948719590920274,0.03930769307525004,0.03915086995044984,0.03887601808978356,0.038564860364740224,0.03833110204130443,0.03836140256859685,0.03843256049870202,0.03848228049859699,0.03846241825602564,0.038492001688150056,0.038601607437954474,0.038777773844075936,0.03896909346410307,0.03920347273103682
stat_5,0.05220165305439202,0.04966456270422513,0.03633435297055522,0.08349675233749268,0.050476163827934,0.03736056006726943,0.05209303134376874,0.052100725154388385,0.052099943070384,0.052093659017769064,0.05207287197197351,0.05203288631863892,0.05198435814594907,0.05196474803705949,0.05195608811898556,0.05193039191730832,0.051916252550833396,0.051888527406977275,0.05185032878400425,0.05179726118761795,0.051757159060141285,0.05184230922180873,0.051889435936922385,0.052046458384006816,0.052154916268891405,0.052148244050489574,0.052126556040526045,0.052205222217350675,0.05225145203959809,0.0522552649034283,0.05247969743149172,0.052602610583561006,0.05272443134807875,0.05300972333708451,0.05324693343984918,0.053371660702453264,0.053394067945495616,0.05360235145932933,0.05357491821528419,0.05347624276784047,0.053633235634194476,0.053612614918835094,0.05367896774217058,0.053727059338157884,0.053930612123543865,0.05405955400074304,0.054758073305017446,0.05509435041647423,0.055173817068891615,0.05513685971325109,0.05513962792412933,0.0551616437130475,0.05511744191798454,0.05510912750946305,0.055069034638788275,0.05517136791074568,0.054936460510000756,0.05456413244387586,0.05428349366608969,0.05387104810167974,0.0533884878691789,0.05311935573241215,0.05269624747461278,0.05182603474997458,0.051249568637436654,0.05082798408563443,0.05046482898860064,0.049877423776239195,0.048947689110660414,0.04820710062943445,0.0473992345571014,0.04652008183764976,0.045618930017273615,0.04501825597842336,0.04417941104922927,0.04358292290996171,0.04312246725988397,0.042487960603065436,0.04204431784333202,0.04161468382801998,0.041408828453744405,0.041491125602945,0.04148296842421319,0.041430453955422,0.04131320470302279,0.041093569038305876,0.04079614317526957,0.04052206929180764,0.04043877808213038,0.04026871434713415,0.039875897630775835,0.039606860475148324,0.03942523610948553,0.03926538736534775,0.038986642461122135,0.03867166597754182,0.038435859547364566,0.03846773485308543,0.03854019478055494,0.03859131187287077,0.038570367051914835,0.03859651807677665,0.03870560534371928,0.038882764937369495,0.03907418202992492,0.039308629303703595
stat_6,0.050280157474977695,0.04782047014244061,0.03511607113642443,0.08059377018639999,0.04837193133661656,0.03592504483567516,0.050178211454107176,0.050185623537835455,0.05018421226896254,0.05017717666554289,0.05015642974688282,0.050118510084355444,0.05007195363612689,0.05005361012911152,0.050046876992989375,0.050023407185441286,0.05001103279065186,0.049986439144677326,0.04995228061429086,0.04990297432105871,0.04986466863792991,0.049944846726892825,0.049992915319045886,0.05014313393530997,0.050249426267558926,0.05024435825006121,0.05022389475224056,0.05030066159164254,0.050343372813353125,0.05034976700974126,0.05056992410968861,0.050684630730073045,0.05080437596196815,0.051079850382395084,0.05130985591745318,0.05143067645592213,0.05145656593461889,0.05165962542654951,0.051639993619508356,0.051543955239184765,0.05168578640053631,0.0516655533961808,0.05172630366685003,0.051769110387965535,0.05195014647303249,0.052072365138104364,0.052735208153653575,0.05305239347619954,0.05310484359506469,0.05306727273064512,0.0530720678491213,0.05309471773949538,0.053058811448652335,0.05305732227520309,0.05303192189765811,0.05312867630152883,0.05290805253654923,0.05254365153301214,0.052265545886345084,0.051862031351221145,0.051379631206670856,0.0511258261686046,0.050726346674192103,0.04989320029253141,0.04934276075292811,0.048930667720919516,0.0485756295186187,0.048008198071963694,0.047112135860110156,0.04639790573733765,0.04563622859251758,0.04481144806534574,0.0439518992784122,0.043370360931590995,0.042562097617409825,0.04198631352722752,0.041536539561085085,0.0409194101031382,0.04048503317196628,0.04007960673264365,0.0398871176975792,0.03996953266357034,0.039966724535063225,0.0399240200319779,0.03982204549717044,0.03961419153753524,0.03933079151674594,0.03907529231056865,0.03899101402747337,0.038823428530796074,0.03844207203652132,0.038175523823927,0.03799782698198296,0.03784125429708858,0.03757624521455263,0.03727420117276698,0.037047634159450726,0.037072302714283384,0.03713741359934135,0.03718464751882956,0.03717080447787381,0.03720400028947241,0.0373097679212247,0.03747920292055785,0.03766542316990366,0.03789624478975668
stat_7,0.06088106168830284,0.058031663679400644,0.04193138826577087,0.09679709294510364,0.05951079492274324,0.04373356682646066,0.06074562167722165,0.06075484779413526,0.06075582460127953,0.06075125096762749,0.06072866525724022,0.06067950800518777,0.060621984386436935,0.06059718998664583,0.060581705229378155,0.06054717032415985,0.06052512243673144,0.060485167667022506,0.06043061064017167,0.06036051384337463,0.06030793856407746,0.060406812058291924,0.06045125011847037,0.060634959292997455,0.06075143119071456,0.06073377346996805,0.06069903952293588,0.060780497624507365,0.06083357637909851,0.06082404420469926,0.06106454188470948,0.06120912223438277,0.06134261233175653,0.06167238662587868,0.0619453425081291,0.06209088968108803,0.06211050540142329,0.06235058812753003,0.06230156350987169,0.062192286342350654,0.06241120879529966,0.06239756779939947,0.06249007232938873,0.06255897655340434,0.06284279861634683,0.06300749785596675,0.06386496636728217,0.06428633069846815,0.06445013728140724,0.0644183378665341,0.06441819777704014,0.06444699957954284,0.06438721653455066,0.06437457159623444,0.06429696912606303,0.0644115264924171,0.06411562747170636,0.06370237581959101,0.06340962176446646,0.0629436570390502,0.062420229078350875,0.06208794628059897,0.061566616276034374,0.060532618672165854,0.05983410681599069,0.05934327373737408,0.05893025877422678,0.05824908486786465,0.05715098669277094,0.056277694503839196,0.05528534578009697,0.05420307614575872,0.053125769739249686,0.05243407649367157,0.0514544944622171,0.05076620248935912,0.05024806541300033,0.04952057273329176,0.04902137691306307,0.0484950122399103,0.04823660206155326,0.04832600432152783,0.048304833408096305,0.04823084730061008,0.04807020700352768,0.04781094486909998,0.04745737192784767,0.047115103533141495,0.047032263374575646,0.04685148464656767,0.04641348073485314,0.04612602137286004,0.045929672758005864,0.04576074160793076,0.04543015410283527,0.045065215719990614,0.04479147138960742,0.04484831693312269,0.04494822006552029,0.04501231505698679,0.044965915943818296,0.04497462014481519,0.04510156223841546,0.045311830740078954,0.04552930360196372,0.045784924715054985
stat_8,0.10231738612926555,0.09713211452757084,0.06956554784566941,0.1614320128588189,0.10167130010782596,0.07404029146497362,0.1020740745659066,0.1020880169861912,0.10209513674165359,0.1020960204066964,0.1020666620637872,0.10198407097645708,0.10188823175958506,0.10184416943546475,0.10180921156960104,0.10174558230472577,0.10170945743870093,0.10163302916410345,0.10153204309031753,0.10141472429771109,0.10134958415516106,0.10156244387098969,0.10162705192621752,0.1019573325397899,0.1021597606489857,0.10214602680085287,0.10212195781867395,0.10228269156790401,0.10241690200146057,0.10239983419425523,0.10280368387485324,0.10312269699789904,0.10332836548563815,0.10387977503719989,0.10432016222698479,0.10454986916753352,0.10451484021107646,0.10487688952576942,0.10471411652751142,0.10452922641115867,0.10495779552776464,0.10489876210688728,0.1050588193488398,0.10519655123178216,0.10580211563157244,0.1060530002225987,0.10750459175268319,0.10820903457049715,0.10866208871146339,0.10858096365029819,0.10854421544783896,0.10852563130197425,0.1082927123688178,0.10809988831401036,0.10783026316827869,0.10811346254828308,0.10762055200324354,0.10693265327930583,0.10638870642535173,0.10566515524465833,0.10498249714851388,0.10442020353075658,0.10353590929677227,0.10180181984304983,0.10068588881892329,0.10002224966838057,0.09940163135451685,0.09827599263778952,0.09653697127415667,0.09515282085343772,0.09334825325785599,0.09128625384696781,0.0894032275038448,0.08826793524459198,0.08663371246536469,0.08547106322227789,0.08465657986627724,0.08351462403603185,0.08275470528475219,0.08179351679282823,0.08130956993936939,0.0814171672860357,0.0813183955770399,0.08107169778383595,0.0806611024703896,0.08015634947316046,0.07952296065464944,0.07885855292435098,0.07874663375334687,0.0784481066229092,0.07768377668990545,0.07723905752511456,0.07689003578831785,0.07656686472412218,0.07595708875499295,0.07529435858127048,0.07481170090171882,0.07493305471161615,0.07511749249108639,0.07524730503062582,0.0751545999561775,0.07510510107792293,0.07530235452988696,0.07566290775410466,0.07601824569702675,0.07643259027630092
stat_9,0.12042832143505863,0.11378068433992952,0.0821869477541737,0.19041034473177693,0.11922129732372042,0.08715064893395791,0.1201510170751451,0.12016574573495163,0.12017364754105779,0.12017439600637868,0.12014209241599474,0.12005069767265565,0.11994061133944499,0.1198914785368957,0.11985638102040003,0.1197879979517223,0.11975881043402431,0.11967966902293029,0.1195769641623107,0.11945773459905337,0.11941034795318517,0.11969450467838808,0.11978700628285384,0.12018950205975792,0.1204546750167266,0.12047142716920896,0.12048768797613997,0.12071589352945164,0.12090693286386048,0.12091636047201901,0.12143711893988951,0.12186253134381132,0.12210999567601702,0.12276341526651537,0.12327700656246125,0.12353696096194954,0.1234627261980417,0.12386641415478483,0.12365572783151606,0.1234249233082576,0.12389457053438926,0.12377766159566554,0.12393638346325211,0.12408570375211486,0.12478563226827238,0.12503079164189526,0.12664980530260833,0.12740914908507409,0.12790235919568144,0.12776002848076676,0.1276985776154873,0.12762104870396582,0.12727157423817562,0.1269286973212263,0.1265864135706508,0.12699585551708142,0.12647098714432067,0.12561610711339619,0.12485535445805912,0.12400959876318966,0.12325119173767406,0.12263187701940917,0.12165306866945763,0.11966060667352381,0.11845094552264819,0.11778295581322515,0.11708037117291714,0.11576005320526521,0.11382163653468967,0.11227433763587831,0.11016721658442294,0.10769634921475489,0.10548735913678335,0.10415055049267885,0.10223816639546836,0.10084935798424553,0.09988833804566559,0.09857304799540059,0.09769369761985622,0.09656466906541603,0.09600060313102798,0.09611188922666533,0.09597710074686351,0.09562958680272747,0.09510113109731201,0.09446622220197395,0.09370829647038098,0.0929140575253796,0.09277010684959726,0.0923841008621693,0.09142066383521481,0.09086500643479657,0.09040597730613116,0.08995816753564331,0.08921531877127938,0.08839526878145633,0.0878084832624514,0.08792342316340726,0.08811579067739538,0.08827350455668767,0.08820584935201692,0.08815356467288826,0.08837517388478103,0.08879605260758429,0.08922059678247557,0.08973871599860493
stat_10,0.07383309593442941,0.07036358648927447,0.05041930298191889,0.11678789862350764,0.07298664126136853,0.0532582492815352,0.0736600609572887,0.07367104793325767,0.07367459718960549,0.07367263144925802,0.07364817150196563,0.07358705242957206,0.07351692636114161,0.07348517035327287,0.07346117221419005,0.07341532313909656,0.07338552495362695,0.0733305045773529,0.0732564175729389,0.07316680750586654,0.07310507939499848,0.07323548828635205,0.07328117317174491,0.0735092610947647,0.07364653200558072,0.0736234482980029,0.0735842704097419,0.0736832031130505,0.07375770852003455,0.0737386816466499,0.07401946656523106,0.07421348998650239,0.07436666217529017,0.07476441759951523,0.0750892015777266,0.07526217212625548,0.0752664919843541,0.07554630690643024,0.0754591685646692,0.07532923842007129,0.07562723731721266,0.07560752746377916,0.07572872154708095,0.07582423786195558,0.07622351314639027,0.0764252544370946,0.07749213106497253,0.07801971029313193,0.07830171576161535,0.07826437550648106,0.07825411665325105,0.07827658531476571,0.07817006249581439,0.07811579453025237,0.07797085418496007,0.07812632507103745,0.07775419337950024,0.0772681071392613,0.07692503711632978,0.07638308592449562,0.075817501831901,0.07540096007391987,0.07474809603243643,0.07348230127991952,0.07263098605017135,0.07207178128662542,0.07159359296022026,0.07077412036658515,0.06945752246037276,0.06841135917805095,0.06714836319629408,0.06574860227080799,0.0644111049409132,0.06358337062577708,0.06239758317029824,0.061565469627424055,0.06096040110523072,0.06010360480301792,0.05952634880406669,0.05885663182940321,0.05852194565802953,0.0586169334775459,0.05857032695142027,0.05844517045328849,0.05820458697137594,0.057872209912348524,0.05743060829704029,0.05698241577953018,0.056895982901544274,0.056687416899848124,0.056160714708370474,0.05583599748334013,0.055602560910005,0.05539930520105088,0.0549827267640215,0.05453045340267805,0.05419415949749789,0.05428140857151227,0.054416250701607195,0.054501808864334464,0.05442802442104401,0.05441037266138984,0.05456050979550572,0.05481943325546731,0.05507725660351805,0.05537277332484066
