,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9442517580820158,0.05343924654749959,0.5224702387405171,0.653004900064397,0.5199293622779596,0.9847421447447305
freq_0.1072,0.8502650140955532,0.05151620020430809,0.5041049227457017,0.6305413717785923,0.49138430512664477,0.9450728701987346
freq_0.1150,0.7562624787757068,0.04967486989165975,0.48169635092020086,0.610231247238779,0.468905737219889,0.9079020541854504
freq_0.1233,0.6681862017928875,0.047629641795580296,0.4582131919704603,0.584395699238305,0.4666079004668377,0.8770408173865432
freq_0.1322,0.6077355589584996,0.046336424500279895,0.442780665004256,0.5705471294409731,0.44635111652148085,0.8490041598454734
freq_0.1417,0.5447105546549187,0.044775850872273384,0.43367973537588034,0.5473948092147793,0.4460077307646116,0.8286386944457618
freq_0.1520,0.4756914568037959,0.042247767167829034,0.43184774298625056,0.5046766787832616,0.4450912887788373,0.799560678483396
freq_0.1630,0.41527545536938837,0.039918312613429624,0.43347766889762135,0.46333435739106865,0.4427189818564219,0.7736806273055421
freq_0.1748,0.3768265394099498,0.038777134899602994,0.43505332880124714,0.4431165574019787,0.4360267339982457,0.7587773027087751
freq_0.1874,0.34555939223111504,0.037813246205038356,0.426613793151133,0.4315277199167856,0.4216682579135319,0.7389314049999569
freq_0.2009,0.28394077673067974,0.03639978033356301,0.4138568173675704,0.4115240731395341,0.42294284378961394,0.7207705440483906
freq_0.2154,0.19209022946984983,0.034479514535224624,0.3998147171457529,0.38216986828849986,0.4279098271845117,0.6992942417002063
freq_0.2310,0.09822739347364358,0.0336172832700348,0.38913233162844446,0.37128397260495466,0.4281712668026451,0.6874637398054447
freq_0.2477,0.0005669628186998473,0.0341972920067567,0.3897217495013863,0.3806573778876506,0.43501803287065194,0.6971540506210766
freq_0.2656,-0.08770280955418118,0.036189970992594446,0.3904680926528321,0.4155280380152632,0.4413289218547675,0.7210409829005882
freq_0.2848,-0.16557399654911167,0.038464220823945704,0.3849920997497979,0.4569783461197987,0.44842096833861655,0.7470806452705674
freq_0.3054,-0.23604336170865733,0.04094164350056373,0.378912542196918,0.49996574143085376,0.463375036526767,0.7799082521135529
freq_0.3275,-0.3171860486579765,0.04239556675393466,0.3702167979552175,0.527318871943725,0.4655105696621223,0.7948746823640633
freq_0.3511,-0.3892004891551688,0.0430803028367631,0.36511247819450815,0.5399423501491518,0.46982951714645016,0.8034828177378723
freq_0.3765,-0.44817989664281693,0.043276875493212345,0.36636905108130974,0.5424521328266692,0.47269923502319083,0.8074188286075149
freq_0.4037,-0.484659808370978,0.04397517225840476,0.3672331774524355,0.5537129418063887,0.47327396295205537,0.8157490254692559
freq_0.4329,-0.4938807956590358,0.04537588196915883,0.3683084704714285,0.576650381571499,0.4722852790398891,0.8314025359507538
freq_0.4642,-0.4915864944662942,0.047274073823106506,0.3637961875282391,0.608253629812911,0.4798712729869652,0.8559185608916271
freq_0.4977,-0.47426778454840507,0.048105790195518215,0.3513567746149519,0.6257899591509831,0.4758308643399091,0.8610921364758107
freq_0.5337,-0.4544643065267289,0.0482461910115966,0.3432926931084114,0.6317419620876895,0.46234545596086846,0.8548164133027003
freq_0.5722,-0.40624794802513337,0.04747524183308602,0.3422776224618872,0.6198724413690885,0.46005088169689745,0.8444185148118964
freq_0.6136,-0.32769646149215276,0.04661482424210505,0.35053288153585754,0.6026816067368241,0.46866204674172257,0.8400848374972923
freq_0.6579,-0.26133650813114,0.04638714147085061,0.36308494058090524,0.5950855906503157,0.47023671585468557,0.8408805522867532
freq_0.7055,-0.21226341816692665,0.045758145714611065,0.36915018814373735,0.5831836608622758,0.4679530191161099,0.8338795307495951
freq_0.7565,-0.1670663131421978,0.045068042599494706,0.37417879386429076,0.5690161575080694,0.47806643447772057,0.8320677094186651
freq_0.8111,-0.11872807134002426,0.04420649196843606,0.3778042323598552,0.5543553086511448,0.4711391266436707,0.8197669930372204
freq_0.8697,-0.08659763329099453,0.04295511585451317,0.36918284349486635,0.5372774328391489,0.46351425826596176,0.7998802906591872
freq_0.9326,-0.05855153457876639,0.041761117042003054,0.36519232606080965,0.5183324293987921,0.46590165188630733,0.7868279936622415
freq_1.0000,-0.05093920210747542,0.040860665976281976,0.37004331063825163,0.5008647768005499,0.47040613856049285,0.7804354627917519
freq_1.0723,-0.09311132818329614,0.04013947754883989,0.3575592723463898,0.492365237971255,0.4756969048476986,0.772372776633829
freq_1.1498,-0.1505434367450755,0.039993653769110446,0.3407865317885183,0.4950422129279181,0.4807061888923794,0.7695977474424239
freq_1.2328,-0.18599165151543057,0.03940675452126512,0.34108723679864067,0.48377461449370934,0.4904220981216994,0.7686951379198119
freq_1.3219,-0.20768140589131992,0.038840338732530684,0.35861828243576926,0.46787857618406065,0.4902097270879533,0.7666961660793998
freq_1.4175,-0.2212240954724501,0.03896899250008089,0.3730071437327189,0.46413857521605656,0.49413893627289657,0.7737778974745544
freq_1.5199,-0.22055859558148175,0.03941203442869128,0.37284312217415483,0.4713370095644204,0.49801016026769235,0.7805028443686511
freq_1.6298,-0.23002658889715713,0.03929465747236358,0.37016099888685255,0.4697997381219197,0.5017938022459439,0.7807227286359596
freq_1.7475,-0.24794830097405401,0.038246797552424244,0.3824924743440425,0.44667544006109494,0.501935046162813,0.7731482601998572
freq_1.8738,-0.2526360992308327,0.03744377021651825,0.38905251911653915,0.42863562563854063,0.5092363851644129,0.7709812307525953
freq_2.0092,-0.24789613327853166,0.03722430397434221,0.39284933142731426,0.42175971504886844,0.5179322787647327,0.774897218879652
freq_2.1544,-0.23639059132452458,0.03666603412407245,0.3872732026233035,0.4135957546965545,0.5213377789911094,0.769957831037847
freq_2.3101,-0.2300314826754014,0.0359659637338259,0.38851993596925394,0.40003949328689037,0.5232298920683349,0.7646887319613298
freq_2.4771,-0.23696496493939204,0.03612411973136093,0.39919076538387527,0.39808638676644154,0.5231806945896325,0.769119026996352
freq_2.6561,-0.23583023473380046,0.03763948002559342,0.40756059741392325,0.422253435004718,0.5214970279790759,0.7850877365802416
freq_2.8480,-0.240531929305277,0.038936251994420946,0.41732004005853174,0.44182977509770666,0.5187329751157703,0.7990328312840487
freq_3.0539,-0.24158861229879908,0.039209675096474175,0.42146389275736373,0.4457123555512103,0.5135778859775091,0.8000334753960777
freq_3.2745,-0.22935064357842042,0.038686263502457525,0.4240547871697651,0.4352824855588817,0.5123197068701311,0.7948363270531926
freq_3.5112,-0.22753268066838,0.03788442019564986,0.41959301648414143,0.4222948572895944,0.5149104522376459,0.7870984816394178
freq_3.7649,-0.23193385240176942,0.03742647443478676,0.4069658496341507,0.4189183564573131,0.5197171999806239,0.7818054490095618
freq_4.0370,-0.2288407024520562,0.038699899458497056,0.3981868701377572,0.44611181387087345,0.5165503137738944,0.7901852698482633
freq_4.3288,-0.22597894581582376,0.03956991318712619,0.39363284677357313,0.46344177606397885,0.5160217208560723,0.7974982847979453
freq_4.6416,-0.23270460919377153,0.040000906976510216,0.39259135951213187,0.4719062682182797,0.5125401076428614,0.7997004836123602
