,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.06473811085833098,0.03688011983350416,0.407948463661136,0.4092065159679498,0.5150934296784123,0.7740756830000401
PGV,-0.05387814634006329,0.032503595741211685,0.3927609152648064,0.33727600546394576,0.4981576226029709,0.7184547705867141
CAV,0.17502124349190779,0.032710347940707596,0.32136823948528204,0.39617955703635666,0.3417424911122203,0.6140225704279765
AI,-0.1587956028878458,0.06648021458887587,0.7131761029106668,0.7664953043035105,0.8009020771761918,1.318172728631311
Ds575,0.15005325080283963,0.02931993822143661,0.2852611823682369,0.3235193496331416,0.5287220610342986,0.6823384274519002
Ds595,0.49534461065305885,0.024832144340282337,0.2679914330292685,0.2736602156793238,0.37810299093535993,0.5382111050294297
pSA_0.010000000000,0.0677413132362853,0.03692156351627469,0.4081396183017864,0.4101033957289514,0.5136402875710041,0.7736853935754304
pSA_0.010722672220,0.06807119228915258,0.036913981485169625,0.40819912245108536,0.4099225742962946,0.5137353036827398,0.7736840458078053
pSA_0.011497569954,0.06851687650614913,0.036897710062029514,0.4079275692127787,0.4097384813236212,0.513801796816802,0.7734874344250254
pSA_0.012328467394,0.06889342748049235,0.03687393374754299,0.40744652117743757,0.4095140387627676,0.5138599292187908,0.7731535697519156
pSA_0.013219411485,0.06937500229967025,0.036864244189961884,0.40694577292899825,0.4095883704061864,0.5137122383691256,0.7728310029540691
pSA_0.014174741629,0.07039203970379451,0.036891497785394405,0.4068155626801934,0.4102272958527609,0.5131910147843632,0.7727550413661988
pSA_0.015199110830,0.07333316498576294,0.03688244269169705,0.40647186656906403,0.4102994951805643,0.5126656431600067,0.7722636309798799
pSA_0.016297508346,0.07666762565883388,0.0368993822243482,0.4065125342963597,0.41063444939754234,0.5123830516581722,0.7722755228534781
pSA_0.017475284000,0.076887288329474,0.036969096317842204,0.4070672185672745,0.4117094784949317,0.512040699602472,0.7729127332138181
pSA_0.018738174229,0.07876165653809869,0.037027574610555544,0.4073299697903479,0.41273093091197743,0.511571965522027,0.7732854592768076
pSA_0.020092330026,0.08171577202181289,0.0371471832459053,0.40755588904985046,0.4148750536152742,0.5111629876168355,0.7742807712457154
pSA_0.021544346900,0.08369975695638454,0.03725586630361694,0.4081322711101844,0.41669315395603146,0.5105315393583052,0.7751435918298897
pSA_0.023101297001,0.08540569853756011,0.037414633819044675,0.40874097389012526,0.4194396526816458,0.5096848749288984,0.7763874533437763
pSA_0.024770763560,0.08593478663291644,0.03757408133867058,0.4088592876403481,0.4224242532671076,0.5087693094090447,0.777466640464144
pSA_0.026560877829,0.0875309246141446,0.03781174738937661,0.40830150614762506,0.42710190864624353,0.5079653516778848,0.7792014879329483
pSA_0.028480358684,0.0880372627319923,0.03814449346237227,0.40776024612336004,0.43324032263762824,0.508682653083518,0.7827666555403507
pSA_0.030538555088,0.08716770145240102,0.038389947748513314,0.40899062456175467,0.4371276916186214,0.5086515234914003,0.785544602240612
pSA_0.032745491629,0.08359692906270261,0.038610077986570866,0.40959079442655777,0.4405993216590613,0.5101603928795843,0.7887686654453607
pSA_0.035111917342,0.08201597679637279,0.03899401959854967,0.41085581466211746,0.446849144432126,0.51076111772606,0.7933180810382235
pSA_0.037649358068,0.07850299001540265,0.039367993413585614,0.4110141965995506,0.45356566866176856,0.5100509854251621,0.7967474463894756
pSA_0.040370172586,0.07373357623269992,0.039854938295231006,0.4103142381141128,0.4626200539304158,0.509319451174423,0.8011125961076639
pSA_0.043287612811,0.06964669262138537,0.04039244637619044,0.41069100839528844,0.4719411787885179,0.509500511714556,0.8068372525177733
pSA_0.046415888336,0.06341285275613694,0.040792922450156074,0.40981062664475687,0.4793013916307169,0.509805668402556,0.8109108417486396
pSA_0.049770235643,0.05817873751199877,0.041248010447363447,0.41034609347764656,0.4871466683070033,0.5091935651297359,0.8154593059402225
pSA_0.053366992312,0.05064633540551651,0.042149548387516445,0.41277692010160993,0.5017048382664351,0.5106532434061477,0.8263529908639158
pSA_0.057223676594,0.04222537134562967,0.042916728408951305,0.4117833712255518,0.515248565989493,0.5115822616775555,0.8347233314309792
pSA_0.061359072734,0.026716918829965138,0.043122396707617125,0.41361183268640606,0.5179848898900344,0.5124613224943088,0.8378542244001725
pSA_0.065793322466,0.011242871258863557,0.04342348959366344,0.41601016232000076,0.5219080316209788,0.5151434386398956,0.8431045077555533
pSA_0.070548023107,0.00795849864893098,0.04355969664121207,0.4181429948348719,0.523162313750469,0.5172684002342365,0.8462322190386667
pSA_0.075646332755,-0.002773230289207486,0.04349355207618419,0.41952758918128846,0.521314909879527,0.5185817099685558,0.8465811380256913
pSA_0.081113083079,-0.01339156584468113,0.04311453789908324,0.4221191911845253,0.5137435615486307,0.5186187990461967,0.8432570885104191
pSA_0.086974900262,-0.01633847618735813,0.04296579183029977,0.4254412219528766,0.5096107616820326,0.5203944051977089,0.8435127140239057
pSA_0.093260334688,-0.01858742958962024,0.04284574619577147,0.42797659801844945,0.5066484884085574,0.5194008401366069,0.8423977041710968
pSA_0.100000000000,-0.025789274929996955,0.04260004937125078,0.42711606764339854,0.5027782572697889,0.5187946781838594,0.8392627891991282
pSA_0.107226722201,-0.027711713975399684,0.041991526250197454,0.4253531195570431,0.4923597117100196,0.5220146294108918,0.8341718260353034
pSA_0.114975699540,-0.027483765864267835,0.04137789121963287,0.4260386296370361,0.4812014853653262,0.5223572218719575,0.8282033872803162
pSA_0.123284673944,-0.03437610453093446,0.040987075665009726,0.425772240564929,0.4742113020182299,0.5235323073366521,0.8247693232793902
pSA_0.132194114847,-0.04202283214700184,0.04077449065233313,0.42458629157802397,0.4707651301786294,0.5246615438787074,0.8228991811961351
pSA_0.141747416293,-0.050641102574648454,0.04045515723735889,0.4205321582740774,0.46623591372077683,0.5284434221461966,0.8206556365463438
pSA_0.151991108295,-0.05483572995952652,0.04000868673147116,0.4213324655966606,0.4576159636531897,0.5305043964514329,0.8175379693997691
pSA_0.162975083462,-0.07012181004312276,0.03949778238812816,0.42363753251360015,0.4460420701675997,0.539697425191176,0.818349312990238
pSA_0.174752840001,-0.07919771693556558,0.03902332464028268,0.42441067963657747,0.4363786718795764,0.5443464203246924,0.8166172883188741
pSA_0.187381742286,-0.08724821076831603,0.03835598617385646,0.4151177609020245,0.4277798179606311,0.5483153453808991,0.8099185428491655
pSA_0.200923300257,-0.09259838732551007,0.03797118189937222,0.4145393630999841,0.4209777150863028,0.5485320683656563,0.8061963471662036
pSA_0.215443469003,-0.10679290311022087,0.037894968739664955,0.4155164365169986,0.4191276273661759,0.5485853302651905,0.8057715194889635
pSA_0.231012970008,-0.11604636414111881,0.03754098658036443,0.41678309417535603,0.4119300245819517,0.5492371472781378,0.8031537441192053
pSA_0.247707635599,-0.1263047853944591,0.03713320147121733,0.4201654446916616,0.4028537623362191,0.5488029744011939,0.8000092871042098
