,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09374595128056613,0.09038360293221426,0.06353429441541093,0.1477035456269386,0.09225561730046068,0.06804020147380715,0.09351565944337822,0.09353170666523763,0.09353650272333294,0.09353560793929194,0.09350177106916155,0.09341635656080521,0.09332395022283616,0.09327981083923362,0.09323880290713057,0.09317110590102512,0.09311640926605495,0.09303108613817113,0.09291438075394652,0.09277737025864626,0.09265077568463871,0.0927776360320499,0.09280989387391886,0.09307986095531215,0.09322334463796851,0.09313107256271813,0.09302403636852749,0.09308788365643518,0.09313971234072554,0.09307151202108592,0.09339791388290042,0.09356132176570836,0.09375015832854416,0.09424857899895503,0.09464409215787706,0.09488376847985555,0.09492578362796303,0.09527475092066968,0.0951560832354292,0.09502901696750837,0.09549240853918453,0.09553086480074235,0.09569734487834942,0.09584793911616821,0.09636988450926998,0.09669658029246699,0.09820700783259778,0.09894817114273699,0.0993693990743873,0.09936866694028451,0.09939156756704073,0.09949804544754488,0.09946303986351201,0.09953330896925927,0.09937531487513436,0.09946886334907767,0.09893788604116283,0.09840568753055977,0.09811889494826412,0.09739041021878382,0.09657934787264738,0.09599893673872592,0.09506532725622388,0.09343305983663083,0.09217385542246882,0.09125134428333755,0.09052779524085172,0.0894569648250796,0.08758246655233148,0.08610554174920174,0.08438570573898331,0.08267382000206096,0.08112903348709509,0.0806446659007579,0.07975088259599,0.07919665486225692,0.07881875326939257,0.07821995048313549,0.07760531472646154,0.07665274045794233,0.07607876305526715,0.07630273159315126,0.07614557659277149,0.07618542766057725,0.07566951055185277,0.07510221662314498,0.07441081824315102,0.07377130919249125,0.0734774425163005,0.07293332622339768,0.0723052413695926,0.07193239507986067,0.07171508245961535,0.0715775233922227,0.0711140878571666,0.07068419623984155,0.07033547385364226,0.07045692307046779,0.070573633645191,0.07066415085667485,0.07049928128510018,0.0705810167604035,0.07084416299528931,0.07117704174318004,0.07155506348666778,0.07196821231776904
event_2,0.10150532989939987,0.09789594085521894,0.06877681444614192,0.15994125917164875,0.0995449392934378,0.0736296835138929,0.10125675588355841,0.10127423950357009,0.10127911651618697,0.1012775724364285,0.10124031777111679,0.1011476886549687,0.10104748680991935,0.10099977107600625,0.1009558018830896,0.10088264757827783,0.10082292337719043,0.1007307904541683,0.10060438125107794,0.1004552895865511,0.10031579423099464,0.10044922991826577,0.10048390882343768,0.10077449170413233,0.10092825439875118,0.10082606664971112,0.10070605348609367,0.10077180432194281,0.1008239561103963,0.10074815289977317,0.10109814531385795,0.101268972249495,0.10147392575297186,0.10201325644193018,0.10244206955800524,0.10270286132284566,0.10275348278728945,0.10313514764263922,0.1030106203021636,0.1028739339138886,0.10337631181313742,0.10342288128807231,0.10360511002847066,0.10376769254991502,0.1043277046094746,0.10468476774691235,0.10632207657367847,0.10712676672868633,0.10756916329599533,0.10757049072490846,0.10759779859215722,0.10771826489518492,0.10769121246609804,0.10778020275301355,0.10762111983797906,0.10771513094532882,0.10714019697703107,0.10656309536693793,0.1062558288411753,0.105461694785727,0.10456494415462775,0.10393883393409824,0.10293042782986701,0.10116330446199316,0.0997961379327783,0.098785539050159,0.09799736029949681,0.09683611644084675,0.09479957648788827,0.09319247958528872,0.09133824570710598,0.08949808025070682,0.08783005768164943,0.08730408020410707,0.08633614393936521,0.08573664372087947,0.08532470754382938,0.0846723520570485,0.08400330280569068,0.08297415912891305,0.08235444254717517,0.08259970712143498,0.0824336180217462,0.08248402540898442,0.08193160085625092,0.08132139168497655,0.08057445064375462,0.07988475095803967,0.07956746245475124,0.07898074673803958,0.07830447530407236,0.07790115841406282,0.0776680912372949,0.07752250504033154,0.07702335122706001,0.07655996279199442,0.07618319186598801,0.07631425729890842,0.07644153421455044,0.07654002932272674,0.07636313378532979,0.07645678851703373,0.07674353394452985,0.07710474810196451,0.07751504029065491,0.07796298447762094
event_3,0.11142804241917204,0.10752234581900223,0.07546362234897126,0.1755781899090264,0.10878205838974216,0.08076930922365312,0.1111560153946,0.11117540548899406,0.11118032788961414,0.11117782404737217,0.11113598882257948,0.11103393625835456,0.11092365057156432,0.11087130228078132,0.11082347732058725,0.11074318531344875,0.11067653073852511,0.11057543393462994,0.11043612296969145,0.11027085318227312,0.11011343704541633,0.11025341253497124,0.11029061183830667,0.11060677153595967,0.11077250095246448,0.11065610237126208,0.11051720710410266,0.11058341725213836,0.11063411048671987,0.11054717720271631,0.11092505587112966,0.1111025034508603,0.11132800567113556,0.11191937885651333,0.11239095297272614,0.11267934855989542,0.11274308037657003,0.11316812999027923,0.113037417922969,0.11288901968411445,0.11344276192148549,0.11350233059754661,0.11370615155526911,0.11388443350667958,0.11449256049207004,0.11489066373895346,0.11669323206978702,0.11758166627700946,0.11804886445773068,0.11805450145716988,0.11808847484135515,0.11822957822652844,0.11821737008023234,0.11833637775869855,0.11817967981109886,0.11827041866138335,0.1176379496951625,0.11700433723447655,0.11667480115495911,0.1157950490377525,0.11478254054842281,0.1140977360713684,0.11299279656487726,0.11105204639199924,0.10954329597851295,0.10841430739498885,0.10754161853399365,0.10626396926386845,0.10401565161844807,0.10223786737694919,0.10021284571313617,0.09821195817032484,0.09638663198854994,0.09580639488387042,0.0947426318035571,0.09408534141623472,0.09362877477611245,0.09290610873610114,0.09216621685618806,0.09103942848691982,0.09036133978448575,0.0906348349152186,0.09045888242411498,0.09052586481314709,0.08992921034090608,0.0892661600888835,0.08844893367574384,0.08769625358820471,0.08734996370447362,0.08671047609127518,0.08597493561725554,0.08553388284628412,0.08528251434156739,0.08512902503010879,0.08458559640841967,0.08408069002102878,0.08366851073333799,0.08381228008529987,0.08395380089532892,0.08406274586889907,0.08387023090915685,0.08398088686648975,0.084298583762198,0.08469641758058404,0.08514811543593759,0.08564022179695793
event_4,0.08700636889746136,0.08379224160909071,0.05909342952303507,0.13721778894381967,0.08574613344371033,0.06314438475805653,0.0867944988707744,0.08680904092919751,0.08681340741249505,0.08681260443606267,0.08678177348131226,0.08670376724283821,0.08661863810100202,0.08657825432663593,0.08654145234209716,0.08648009269077062,0.08643234908012873,0.08635557467578761,0.08625102549086004,0.08612829214632602,0.08601777600748266,0.08614341117202541,0.08617750892900249,0.08643127456356342,0.08657106053662711,0.08649371416117263,0.08640554601304958,0.08647486005681981,0.08653111621285477,0.08647595699880148,0.08679170768089366,0.08695608090264086,0.08713283644923622,0.08759708464409537,0.08796371864392553,0.0881834595088628,0.0882144215077459,0.0885323045616793,0.08841885757368388,0.08829760646328808,0.08871588888117649,0.08873896460435038,0.08888508154020189,0.08902088604443617,0.08950050554529196,0.0897919151150967,0.09117334120912454,0.09184558850434603,0.0922316997817138,0.09222187706985903,0.09223941515407154,0.09232601996295228,0.09227612546769146,0.09231727105942679,0.09216188199655097,0.09226525546782936,0.09178206408290428,0.09128017125616952,0.09099104245498196,0.09031872689190014,0.08958222836357257,0.0890488018805531,0.0881923596909719,0.08668632856029129,0.08553774140130711,0.08470592060209138,0.08404088008055485,0.08305014013391505,0.08133429396078047,0.07998354673246337,0.07839244876652766,0.07680082976863925,0.07537378969597203,0.07493031071843968,0.07410942926821842,0.07359549000857134,0.0732487648260705,0.07270093820578505,0.07213426169550007,0.0712528949015751,0.07072339642226372,0.07092838548005719,0.07077761214750672,0.07080307377847411,0.0703167003239749,0.06978070018441364,0.06913642337675087,0.06853867170655789,0.06825835698476562,0.06774285916175615,0.06714701323425415,0.06679047438136834,0.066577434681572,0.06643666221721435,0.06600021763095087,0.06559452635668926,0.06526872670323706,0.06537728237127464,0.06548146059295717,0.06556441029825574,0.06541648152446572,0.06548828422370553,0.06572983345210257,0.06603718494864566,0.06638892425418312,0.06677653055412994
event_5,0.12910526831306365,0.12463967370522605,0.08753056388903017,0.203670201953952,0.12469482969005515,0.09338445836850996,0.12879583602119873,0.12881847773528426,0.12882253032468166,0.12881681434614217,0.1287658791475933,0.12864821050473968,0.12852034818101168,0.12846067070244194,0.12840869442767935,0.12831790855693062,0.12824132388996715,0.12812798225213648,0.12797034170094015,0.12777985487586496,0.12759270446269258,0.12774346317395918,0.12778982509359502,0.12815079700765605,0.1283419033451552,0.12820451426037288,0.1280347766392421,0.12810526242027806,0.12815251584929838,0.12805085419786388,0.12848549558298605,0.12867347777116683,0.12893914176537175,0.1296244492221982,0.13017332256170164,0.13051109508325298,0.1306029435718948,0.13110877859159698,0.13097493477275218,0.13080374266638578,0.13143421449997741,0.13151452926479293,0.13175123609960288,0.1319507112382372,0.13262351122261057,0.13308904215474784,0.13516584202877144,0.13619043812544315,0.1366620496460906,0.13667038441491772,0.13671817229188127,0.136894969646373,0.13691596012479962,0.13709253548009961,0.136959492324188,0.13704560974325644,0.13632200417695103,0.13557614738135196,0.13518844220290704,0.13414756770064834,0.13290308782848995,0.13212489953710665,0.1308650132570115,0.12862559918200564,0.12687839731774203,0.1255371321546503,0.124509437233492,0.12302350981949652,0.12040783037773177,0.11832868926071331,0.11602640978918596,0.11377362246151831,0.11169162217644865,0.1110187092852289,0.10979672762151525,0.1090393034677014,0.10850004270682263,0.10765077099476826,0.10677849260870456,0.10548989810410446,0.1047195677747782,0.10504879101332208,0.10486245492626768,0.1049670012443905,0.10430324902729014,0.10354499051799437,0.10260507807832943,0.1017441129925662,0.10133502602229365,0.10059184528196227,0.09974237766837103,0.09921767751042349,0.09892318896701632,0.09874650090543957,0.098123208231743,0.09754096909518992,0.0970651228527965,0.09722398846457242,0.09738766737463654,0.09751518392200292,0.09730742976269473,0.09745893825329534,0.09783357376350771,0.0982966882090884,0.0988268273379263,0.09940642573436588
event_6,0.11396355963986693,0.10996623754229487,0.07719520608542783,0.1796031538937347,0.11110104698178938,0.08258497621893142,0.1136860834895675,0.11370590059690826,0.11371076355198886,0.11370792530782554,0.11366494468009293,0.11356074188672545,0.11344799594628016,0.11339460592922992,0.1133461459378285,0.11326437936486357,0.11319653909562258,0.1130937245243276,0.1129519360775736,0.11278338173664601,0.11262252187360966,0.1127652631144609,0.11280396899759002,0.113127086722353,0.11329705283825231,0.11317845161002532,0.11303648809316612,0.11310444130276731,0.11315589003768987,0.11306753877534591,0.11345472800550786,0.11363562498311636,0.11386676309305607,0.11447173269851792,0.11495422539227206,0.11524929930366906,0.11531545533710472,0.1157508957643242,0.11561847802355539,0.115466527239628,0.11603103260589032,0.11609199643391714,0.11629985423622517,0.11648123374769544,0.11709982394355116,0.11750638223143703,0.11934699617264886,0.12025371289676932,0.12072375947383408,0.12072878385842523,0.12076405942030304,0.12090855786608475,0.120898080946602,0.12102150580682594,0.12086552175337156,0.12095795062485505,0.1203129709687071,0.11966295561884648,0.11932300763724224,0.11842129459671911,0.11737960420079985,0.11668146518980763,0.1155546442677389,0.1135716188401028,0.11203061827635236,0.11087484922539652,0.10998120295799364,0.10867419767476436,0.10637592862883832,0.10455761201690086,0.10249140516934153,0.1004509669626255,0.09858752074517772,0.09799445578374641,0.09690793839268355,0.09623604330163373,0.09576851821318692,0.09502895558657472,0.09427124794387669,0.09312034374465171,0.09242818029169618,0.09270865184557787,0.09252968038574268,0.09259946715096891,0.09199067411994878,0.0913127280321976,0.0904771932742112,0.08970785816340075,0.08935286388387825,0.08869815957491307,0.08794539628699428,0.08749269066782199,0.08723463887273954,0.08707688365822684,0.08652118328357847,0.08600455405510535,0.0855829883530167,0.08572907051412955,0.08587348322374949,0.0859849431068361,0.08578973233066901,0.08590457250638675,0.08622986335192849,0.08663682996123777,0.08709941673529091,0.08760372164355967
event_7,0.15332441575093553,0.14807445103255976,0.10432708180893464,0.24258869744096012,0.14539540338539866,0.11045691877542806,0.15297192836601728,0.1529989062625569,0.1529998180699216,0.15298653748422997,0.1529208645816191,0.15278359058725793,0.15263212662473113,0.1525640377900462,0.15251141160978543,0.15241013713078527,0.1523234316311553,0.15219986552924175,0.15202491517668168,0.15180513107395247,0.15157818589646238,0.15173775987497004,0.15180431971000571,0.1522234302201907,0.15245437957337232,0.15229300348619842,0.1520810784156091,0.15215947334801339,0.15219604139591564,0.15208070552550632,0.1526013853761192,0.1527946530631198,0.1531220194212183,0.1539377296799955,0.1545950817571767,0.15500230798392975,0.1551468033787969,0.15577377678334317,0.15565400912312538,0.15544924269064375,0.1561597993604198,0.1562700273281233,0.15654440767677044,0.15676071623532156,0.15748045609502034,0.15803257383570612,0.1604535080427274,0.16164559904184775,0.1620433841669965,0.16204981225306095,0.16212241937488986,0.1623521713650577,0.16244161368445278,0.16271817414412235,0.16266270711226416,0.16273619638210032,0.16190640513032512,0.16098677140441786,0.1604929536100105,0.159211425529854,0.1575873536768687,0.1567015488101799,0.15525936404351506,0.15262822002290682,0.1505724964946547,0.14892500561018396,0.147672427907616,0.14589771087499764,0.14278713093871045,0.14029072649814855,0.13766180266294287,0.1351371486582261,0.13274967287570666,0.1319550538903589,0.13053827981310737,0.12964943328533096,0.12898800125126042,0.1279582693106935,0.1268895790867006,0.12540361253018573,0.12453022203888509,0.12494892201405038,0.12476639025999371,0.1249459204819214,0.12421976852772591,0.12333398836876804,0.12223298320942104,0.12123463027985204,0.12071935231396258,0.11981881923997449,0.11880227788487636,0.11813312761799429,0.1177630733064559,0.1175421368373612,0.11681079298870056,0.11611905243327092,0.11555590994233715,0.11572151554450123,0.1159109153337187,0.11606436346400009,0.11586005685362288,0.1160927122277024,0.11655076837474415,0.1171042987887801,0.11775158103446845,0.11846794376370945
event_8,0.1291486989874621,0.12467987316598901,0.08756422638898245,0.2037450316606603,0.12472497668375519,0.09341337163105728,0.12883928132874092,0.1288619240645893,0.12886595520613994,0.12886020273564264,0.1288092339156971,0.12869156454254957,0.12856367401966445,0.12850400320305203,0.1284520838360764,0.1283613321684471,0.12828480483843002,0.1281715325355549,0.12801397940081324,0.1278235499735253,0.1276364470534607,0.1277873039543443,0.12783382263290774,0.12819492564276566,0.1283862426345904,0.12824897173718283,0.12807932765113844,0.12814999159204363,0.1281973034036644,0.12809578059775192,0.1285308166965013,0.12871892272241822,0.12898476455818875,0.12967034153362608,0.13021942184049795,0.13055729448730918,0.13064922323567074,0.13115526413238493,0.13102152510555826,0.13085020957310725,0.13148048323703707,0.1315606774314921,0.13179727519460702,0.13199663476380097,0.13266914877453,0.13313461040399194,0.13521147179594387,0.13623597009228747,0.1367067663983435,0.13671489807609744,0.136762711199615,0.1369394208228779,0.13696040064136816,0.13713687864751795,0.13700416083402422,0.13709051201688127,0.13636703162974845,0.1356205672741595,0.13523204219829915,0.13419065190005194,0.13294531129575615,0.13216718688937343,0.13090739024920164,0.12866756732100965,0.12692030263309126,0.1255787855355486,0.12455070120320001,0.12306428135290241,0.12044816244433332,0.11836855134086326,0.1160661491733542,0.11381335330748107,0.11173122288833026,0.1110582138431909,0.10983615225313406,0.1090785363773503,0.10853905091307174,0.10768951486865555,0.10681683205517628,0.10552808078342625,0.10475776095781864,0.10508719420085266,0.10490091806392654,0.10500559961278189,0.10434182405681164,0.10358322542930272,0.10264303188311569,0.10178183127945563,0.1013723179102137,0.10062860505096334,0.09977857635879092,0.09925325886959667,0.09895834748201678,0.09878128665494706,0.09815770774239174,0.0975751377289465,0.097099098997026,0.09725780871999284,0.09742143115760649,0.09754897982413314,0.0973414900980653,0.09749325386345133,0.09786803236845726,0.09833128928148922,0.09886172126732552,0.0994417513619842
event_9,0.12908595692663755,0.12462272016744487,0.08750691051935992,0.20362507919969425,0.12469275291048058,0.09337516801633873,0.12877633952701706,0.1287989857500295,0.12880308794997483,0.128797451858448,0.1287465732016748,0.12862885977250296,0.128500995750971,0.1284412781456961,0.1283891650420442,0.12829827356231105,0.12822156906017082,0.12810804218234167,0.1279501695659709,0.12775951035788602,0.12757226206655106,0.1277230412201413,0.12776913377834354,0.12813009194127578,0.12832093830082175,0.12818332006576033,0.12801344218038113,0.12808371370389335,0.12813100509708314,0.12802905934463682,0.12846321480796782,0.1286512396314774,0.12891665282152376,0.12960178544714743,0.1301505106579841,0.13048822197225848,0.1305797735357573,0.13108532443281912,0.1309510184811627,0.13077997199517738,0.13141125098747805,0.13149170348641345,0.1317287082953948,0.13192854945991708,0.13260243803452829,0.1330682168058177,0.13514579117778522,0.1361709115990279,0.1366443891820281,0.13665295706301692,0.1367006495263011,0.1368774751824879,0.13689815777598033,0.13707453089873933,0.1369405863361863,0.13702661755626183,0.13630254851453574,0.13555738340857418,0.1351706414740653,0.13413031833388883,0.13288716819359392,0.1321085977003789,0.13084811663852924,0.12860853029546168,0.12686091267276245,0.12551990240879085,0.1244925751072922,0.12300691181151582,0.12039112978460252,0.11831215936415991,0.11600883212082515,0.11375447376416511,0.11167137490080636,0.11099831171159343,0.10977571546848841,0.10901821926541974,0.10847924063677829,0.10763017596024049,0.10675841760229576,0.10546922725680181,0.10469822435804588,0.10502703129000744,0.10484022530416254,0.1049441937445435,0.10427968662770593,0.10352161570002513,0.1025816446047933,0.10172050377460413,0.10131230688298277,0.10056993816822005,0.09972119061007965,0.09919769942215856,0.09890395791965578,0.09872789388090114,0.09810476164525758,0.09752282704285561,0.09704708969396417,0.09720640244214575,0.09737025775637763,0.09749775951482396,0.09728925451600362,0.09744007343154705,0.0978145419278547,0.09827758888755446,0.09880734492213142,0.09938626796590432
event_10,0.1291486989874621,0.12467987316598901,0.08756422638898245,0.2037450316606603,0.12472497668375519,0.09341337163105728,0.12883928132874092,0.1288619240645893,0.12886595520613994,0.12886020273564264,0.1288092339156971,0.12869156454254957,0.12856367401966445,0.12850400320305203,0.1284520838360764,0.1283613321684471,0.12828480483843002,0.1281715325355549,0.12801397940081324,0.1278235499735253,0.1276364470534607,0.1277873039543443,0.12783382263290774,0.12819492564276566,0.1283862426345904,0.12824897173718283,0.12807932765113844,0.12814999159204363,0.1281973034036644,0.12809578059775192,0.1285308166965013,0.12871892272241822,0.12898476455818875,0.12967034153362608,0.13021942184049795,0.13055729448730918,0.13064922323567074,0.13115526413238493,0.13102152510555826,0.13085020957310725,0.13148048323703707,0.1315606774314921,0.13179727519460702,0.13199663476380097,0.13266914877453,0.13313461040399194,0.13521147179594387,0.13623597009228747,0.1367067663983435,0.13671489807609744,0.136762711199615,0.1369394208228779,0.13696040064136816,0.13713687864751795,0.13700416083402422,0.13709051201688127,0.13636703162974845,0.1356205672741595,0.13523204219829915,0.13419065190005194,0.13294531129575615,0.13216718688937343,0.13090739024920164,0.12866756732100965,0.12692030263309126,0.1255787855355486,0.12455070120320001,0.12306428135290241,0.12044816244433332,0.11836855134086326,0.1160661491733542,0.11381335330748107,0.11173122288833026,0.1110582138431909,0.10983615225313406,0.1090785363773503,0.10853905091307174,0.10768951486865555,0.10681683205517628,0.10552808078342625,0.10475776095781864,0.10508719420085266,0.10490091806392654,0.10500559961278189,0.10434182405681164,0.10358322542930272,0.10264303188311569,0.10178183127945563,0.1013723179102137,0.10062860505096334,0.09977857635879092,0.09925325886959667,0.09895834748201678,0.09878128665494706,0.09815770774239174,0.0975751377289465,0.097099098997026,0.09725780871999284,0.09742143115760649,0.09754897982413314,0.0973414900980653,0.09749325386345133,0.09786803236845726,0.09833128928148922,0.09886172126732552,0.0994417513619842
