,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.02990454135929711,-0.21245559885180937,0.07902351906166225,0.23383189706782317,0.1014862630018095,-0.023733738534907428,0.029178256716830338,0.029408310619789418,0.029020033707987402,0.029641453943922993,0.03046444940538682,0.030174794146418146,0.030128035077073918,0.028972733758761936,0.02970240496964853,0.02505462576950863,0.022553216873017517,0.017708823479912757,0.014902471708272531,0.01049122577128587,0.011905251161862728,0.012434806425844215,0.01527610919854902,0.01779444863421532,0.022321465170110466,0.027330619879715346,0.028366583582983412,0.034256567951232664,0.05021500364942171,0.05462361296022034,0.051382401306084124,0.054884065935153395,0.05374069931310696,0.03566431447505632,0.049642672675791345,0.06957595608278914,0.08619530986214638,0.08141907406132573,0.06633283367359613,0.06294915974654583,0.11503241496245625,0.1323087878920651,0.14722580425634935,0.19660652011390028,0.16983332782338809,0.19959638032062346,0.20697258256494724,0.2220991655500457,0.20831809262160875,0.17517208488987285,0.20035501842287112,0.18466264818232933,0.15795880377666793,0.14980920942961812,0.13116280796671037,0.09820612208474282,0.06079254427685568,0.054744388801529584,0.006572403061876991,0.030040162752259125,0.03037208176745286,0.05304941242821532,0.032745263536558,-0.028819400611368846,-0.07975434584000535,-0.15529122231262157,-0.16926825654893665,-0.2218303704283712,-0.2684092967394943,-0.3057079356469766,-0.3363228549943667,-0.4147808450336709,-0.4977009665552468,-0.6145832511706755,-0.7054302826818306,-0.7752077901174433,-0.8383774954202708,-0.855001615961515,-0.8299592845778438,-0.8252714524226337,-0.8199859522366995,-0.8445913080980105,-0.8187421111550162,-0.7907175272842574,-0.789531220855757,-0.7525785201733045,-0.6870178570371213,-0.6542805587075485,-0.6330333461976798,-0.5829803293538124,-0.511692477155084,-0.445952051274056,-0.396425451130674,-0.3704306955017408,-0.35630324583829265,-0.34506224417397713,-0.299916524367209,-0.2671513975091191,-0.2704277566311568,-0.2682898804711292,-0.2945005910104827,-0.33417619339493576,-0.370290625227475,-0.40459192715550696,-0.42890242070298196,-0.44753646715200096
event_10,0.4051419323835055,0.45301350494377496,0.49090007722383044,0.9704284753829434,0.06392280957360874,0.005571396810237829,0.40440228883805274,0.4043585045567191,0.40380661355213876,0.4027118377826479,0.4026345075620079,0.40227834246688954,0.3999733157870802,0.40424575852986144,0.40735955775023247,0.4012800411480329,0.4038945032842881,0.4053649077772084,0.41225519387342346,0.4085616414729269,0.4066904927742391,0.420150773498577,0.4285628014876473,0.41366562280592856,0.4028899617013322,0.3863064661120321,0.39089581982879973,0.3845600997941652,0.4053495835862798,0.43810311887309084,0.4292500571096545,0.4098143273409469,0.37126176817619444,0.40146309155038745,0.4032023202132488,0.3429274234094939,0.2977629142865325,0.2743630996744507,0.2866588274862854,0.2858461921999169,0.3213685035458035,0.32422484097655285,0.2990180305244303,0.28045551407868324,0.3576008998994909,0.3726452122385842,0.3484331652189422,0.39514737369776776,0.43871655467877274,0.5071103760699802,0.4900537627190331,0.5527592877739448,0.6394954943113884,0.6244384277613839,0.6472464856002224,0.5496914061855299,0.5334599177588164,0.4911362224404766,0.46236969878143075,0.4246844604172365,0.45309433985300074,0.3959755102094048,0.31430821496770833,0.3425245947923378,0.3582345229663298,0.35969816837193047,0.34477061483464383,0.36854354180895144,0.325651815438076,0.3132871759239868,0.3034358991686512,0.3084033053188578,0.33572899100947323,0.2847818781756043,0.21568576210136897,0.22592635202640288,0.27329933079211116,0.3024678306397659,0.319637037041672,0.30599728862324793,0.28208346103624854,0.25557975105032704,0.23087301601460283,0.23557093438518073,0.2364355583645844,0.2274408286796525,0.22750503782650233,0.22136172610379432,0.22280411200198758,0.21842797720129,0.21299126082868663,0.20032382203067273,0.18552613488551892,0.17731354500838925,0.17971625172296793,0.19859193450260978,0.20773089193068128,0.24740156188723644,0.25981946000014045,0.25613422317869466,0.2710030362602426,0.28868141831136745,0.2991936162544548,0.3084849309675136,0.35147166404142666,0.3787141066768839
event_100,0.3922014780645857,0.3250024511701016,0.35736085877435,0.7489091555703036,-0.11912631703009961,-0.036385498969677216,0.38963797978110387,0.390986682333287,0.38944872592084223,0.39144649638567947,0.39610380464531575,0.3955917016291979,0.39268412466357233,0.3959536230200904,0.40255031994006224,0.39806152760779373,0.39515397387754697,0.39286182845385104,0.3960276527984828,0.40130780856614834,0.4203115270458053,0.43470702566891073,0.4343980213899907,0.4231264630259828,0.43156710465156667,0.43848689396138113,0.4397025532454794,0.4492939447465168,0.4545289718050693,0.4358966595795094,0.4202352828174269,0.43802814496777587,0.3943157138103612,0.4019015955940856,0.4358150788776063,0.49103049756118583,0.4768998754274738,0.46855802413799597,0.4529313358799805,0.4348148939041055,0.42193551325084444,0.3964299499193822,0.47633197588212883,0.5392528486050648,0.5036296049681377,0.49007879752195993,0.4360204629314604,0.3880679157525573,0.3567453689626619,0.3771997099029361,0.38332387741594826,0.3633375242221623,0.3036062683125294,0.3229441877311803,0.35398833638061605,0.41186264062635525,0.40995431064878507,0.4049590017809958,0.3645546721844079,0.3336707527137776,0.3132309179672284,0.3149612330210281,0.3069651454331787,0.2504783459399161,0.19299400899968672,0.2191577832722418,0.21524748769845298,0.17651228703820118,0.15804577497305217,0.21648676627567115,0.2643306995514623,0.27198405061724973,0.2597276609519983,0.24594276953184702,0.23893513248336554,0.21797233494213403,0.171615099332679,0.18001076540573296,0.1841135890398542,0.19720601397906223,0.21947060513934052,0.228726325577211,0.2609775732384233,0.2960693370153864,0.2864592300249007,0.247251427855246,0.24068357322742942,0.2172411036126261,0.21392551284988803,0.2211181891457973,0.20254468324878241,0.19905072635402407,0.1862510935551124,0.17735209841926888,0.201798213720435,0.21509147991373176,0.21140925489678883,0.219381755126207,0.2249469018596159,0.23253228968232403,0.21896893497278205,0.22557903188010447,0.24086110498809146,0.24952483773914794,0.2502950122064713,0.23249493199175578
event_101,-0.13039636031721819,-0.2670278122382566,-0.24262069542903786,-0.27013745095007025,0.08129547441718991,-0.13603784165427185,-0.12860701759797308,-0.12844721393890768,-0.13040725835961256,-0.12886795158640452,-0.12971172579972431,-0.13172856437580505,-0.13248117382656976,-0.13442273707592545,-0.13713436628663164,-0.13990085041291025,-0.14171501545685325,-0.13892350856737778,-0.14100926841188136,-0.13890817602816663,-0.146438770016306,-0.14974698084266233,-0.14322623871966259,-0.13558525002044117,-0.1297499740984485,-0.1298642446376672,-0.13221101612020048,-0.1348366749092847,-0.13266063634374378,-0.12122559719243883,-0.13195900944736813,-0.1137622822115052,-0.11675143656350018,-0.06464221535698442,-0.04497827080548867,-0.016662101690799763,-0.015635240947494865,-0.04552090073124197,-0.02340636558393384,-0.019019589915162498,-0.020382031085333433,0.009098118204861352,0.02599252624278262,-0.010417016131580461,-0.029539894799711166,-0.05792858362527408,-0.08746761225528095,-0.12447031964845798,-0.12648651573931366,-0.172052867260575,-0.18016328220458067,-0.13576745280990532,-0.089730247585328,-0.06971449987342394,-0.057906845098334575,-0.042527291662963956,-0.056391076036384,-0.05006797899170273,-0.06280291834902223,-0.01467127609688917,0.014612637181884087,0.04053680210369689,-0.023867738257286657,-0.010620524965921594,-0.02917041942182597,-0.045053681175076334,-0.07517528296415298,-0.14507315438788354,-0.15510506819785505,-0.21179181341179704,-0.30320385510248105,-0.3602418228507659,-0.3686857209858282,-0.4209028570148711,-0.4106906330654667,-0.40632886414264535,-0.36814294075388515,-0.34748000263109574,-0.3491545396101259,-0.4089816384479186,-0.41655085776181433,-0.3843813289145601,-0.3265605574534999,-0.30522971663567433,-0.3401831841624421,-0.34325592111298275,-0.32668368980799617,-0.3389972332762988,-0.34652723775940714,-0.3944457767411154,-0.4199281846751978,-0.44544748663450423,-0.4459214174229557,-0.42027605021662484,-0.42920407153060613,-0.38977392075068296,-0.3939403891069884,-0.40295122084744533,-0.4103416824318948,-0.40695200461258024,-0.4026869910261786,-0.41808000735532,-0.43185798352112903,-0.43403173329597966,-0.45106118607340817,-0.4684579283820463
event_102,0.40273905550249073,0.218714185703336,0.36393777104832215,0.8322939701806352,-0.021671649357742226,-0.05897785929430364,0.40523288785158446,0.4051500543341645,0.40624906075821715,0.4044463901658747,0.40210982660634875,0.4004259015298814,0.40136109638711215,0.40083293511295826,0.3995790596094271,0.40098013799342613,0.4053323408479266,0.4004377418244676,0.39650702988241865,0.40465991065848794,0.40668380660511827,0.41888101155745755,0.4235214857727051,0.4278243705247395,0.42604711288287195,0.43785319259613054,0.4477921424950082,0.449400638018463,0.4513570028950935,0.472093117578936,0.4909082842721704,0.5064908580583478,0.5215250464583958,0.5475663011661349,0.5921306946779097,0.5792140791308144,0.5567369182187065,0.5737521624902064,0.6062253346949413,0.639894050128172,0.6397174904528905,0.6240351987048296,0.5647469618676356,0.5279993429106342,0.5209015142088286,0.5127724875277819,0.5045517014366617,0.5068486625963818,0.5293285544971719,0.5217724116648993,0.5066058970817132,0.46380633076058314,0.404766610001448,0.40184252507874435,0.3683858515634777,0.38299320103654017,0.4098140242523676,0.41799681745796596,0.4006298007150018,0.3264563731460586,0.28338091645935876,0.25329714303266326,0.2951853686619331,0.3468453805266307,0.382507012791108,0.411510150862513,0.44835438226017466,0.42192413632607273,0.39285474027111356,0.30936011805273606,0.20838247798653264,0.09478581001636925,0.03434119499751048,-0.023748842408163464,-0.08370435036771433,-0.12702942621489602,-0.18749822112888048,-0.2161944372896057,-0.20298223146728836,-0.20010307146382714,-0.21000879037592107,-0.21133057931702232,-0.18091293488020999,-0.15114697293124385,-0.10636246930656741,-0.07011431907921546,-0.055687157162141517,-0.06486775075591732,-0.07704212069510863,-0.088374440205089,-0.08262219848256726,-0.08695705827584953,-0.08293665556065773,-0.09071085575599228,-0.0844599736189488,-0.08231750151814593,-0.0728567542487701,-0.08012604156171696,-0.08211994738824917,-0.08215172263995844,-0.09067948069848297,-0.0799435421207556,-0.07426253988546455,-0.08181509569393855,-0.10091935292858847,-0.11424658465404693
event_103,0.7656192169481647,0.7675488285110028,0.7020698976154537,1.515693298696238,-0.1815002375750349,-0.16731302339733833,0.7682718822596043,0.7671629419916042,0.7669142283331927,0.7664691149949439,0.7655075241904674,0.7649935283621878,0.7662155767369114,0.7656676607570554,0.7669002945290674,0.7741911950239622,0.7808793910179255,0.7819232250843959,0.785671500169023,0.7907859753739195,0.7740880179303192,0.7635406633225459,0.7641871216336524,0.7602723399411115,0.7713201578331358,0.7904764134925963,0.811656899428395,0.8214818458349247,0.8293337924967886,0.8042371633183489,0.7781925424253376,0.7806395135997902,0.7835641049248918,0.7608811009965415,0.7529872824257718,0.7680548368036292,0.7672305242728801,0.7589391902128164,0.7414311056468896,0.7300619710777451,0.7285313383378875,0.8242033622365048,0.8628918747163777,0.8432318784666739,0.8263982300686097,0.8547667796351711,0.809991245010475,0.7911549262366397,0.7523161568682734,0.7323217683245643,0.7724239234178841,0.7479329352175976,0.7161559134337695,0.6884573660245049,0.7392250251897013,0.7668598464278793,0.8001716197412028,0.8242319410317459,0.8313957655813855,0.8154763391603105,0.7102316993539548,0.7353095166872141,0.7438203666804704,0.749318821227148,0.7119283110610295,0.6436250073468228,0.6033870754820668,0.5899753367482076,0.5710235295837518,0.5643511089077891,0.5624829035984823,0.5488923449843113,0.5218997173648324,0.513453947787912,0.5132114921076347,0.5065709999925652,0.5179612234589677,0.47658094006070045,0.4595811399093569,0.4829839704327139,0.4848005988994967,0.49499158916450736,0.5191252344505618,0.5196722882326887,0.5200348433720298,0.5442928677729848,0.5486290530049206,0.5523863931316091,0.5323172525188409,0.5311038509669996,0.5140945736979571,0.5006273678198544,0.49139148782689335,0.48029666944280774,0.4730499404585933,0.4838038747253685,0.47645203528746877,0.4755034792181991,0.48469058878587773,0.5012917821318178,0.5177375045002813,0.5196061284620181,0.5270529557754395,0.5331895763081208,0.5254704269657643,0.5344252633090419
event_104,0.23197885086176073,-0.21679667446462506,-0.04103327624964922,0.25513793510811855,-0.2911811174873217,-0.34356860327801547,0.23769045170274056,0.24049839659339334,0.23911288128696603,0.23962668331426387,0.2373173980791306,0.23641010238826493,0.23649359877492887,0.23514098791568339,0.23800227868578958,0.23957896489549466,0.24452410569283575,0.24726147194230938,0.25060095378800895,0.247932268850768,0.24923451997714596,0.24533129209899024,0.25469086419892506,0.25717906202818114,0.2743616318026722,0.2869337072239348,0.3129602111251095,0.30568401010883495,0.3062484906939241,0.31718693571418993,0.34972559004176135,0.39075138580980057,0.3952918831603189,0.3679609868436945,0.36989334119671,0.3718709049713335,0.44085938334209973,0.48831796433158525,0.494872728071812,0.5325832893317995,0.5726600851042336,0.5384096159133852,0.49951865504514675,0.47806138897491435,0.45014980409175415,0.40951959882183026,0.3681433111936793,0.3499474497886842,0.31152560738306007,0.29107803925159403,0.26535294393326164,0.2349567905419323,0.23808738123040668,0.24608727538564823,0.2156925183239927,0.19498454526817563,0.2335605637323806,0.22684668223232105,0.15506214704341004,0.09921266074750637,0.043927793662134874,-0.0656836898283986,-0.12095128867746134,-0.20727045240965497,-0.22672569904746612,-0.2638393416138464,-0.2682472011571493,-0.2676982623798067,-0.21284463927884192,-0.18784926462523102,-0.17344073880058072,-0.2110035329529869,-0.29120725757142846,-0.34037693029465643,-0.3569668679664282,-0.3497197542369616,-0.34761222048433316,-0.31296423494453984,-0.2496533522861957,-0.23431478252644047,-0.3073159031083993,-0.3245670543920904,-0.34549064671849294,-0.32654482693067555,-0.31203008017330724,-0.32911667339097467,-0.3127399082360365,-0.3348373060691204,-0.3618803802489481,-0.3331111083011378,-0.3284532187943958,-0.28126008259942054,-0.26551226814527074,-0.2797164542497776,-0.296003339122267,-0.2808180990853011,-0.25811360252248283,-0.2392084027414947,-0.2649084383293509,-0.28750061984694886,-0.3064952447483101,-0.32528180215990826,-0.3212999553351753,-0.3381102697764133,-0.34130506398301197,-0.34572395015650187
event_105,0.4266987332081097,0.5728087699193571,0.4258369957561456,0.8590994742566291,-0.011569202780375272,-0.06536588135130257,0.4275604207586116,0.4220119879689679,0.4207023570653885,0.42120548551133064,0.42204104206864596,0.4221776624011514,0.4230558232061982,0.42212885500114766,0.42473959833835645,0.42474989811312197,0.41991893269427805,0.4270286600985186,0.43171126959894934,0.4304906986835768,0.44313597372268915,0.4520526187077847,0.44186983536927493,0.4185901737935307,0.41815821884341536,0.41289847888452835,0.4155750976264823,0.4103011979079262,0.39584542892412405,0.40937799874383307,0.41570531706482344,0.402110428540796,0.365506737155716,0.3171094889107186,0.26341520090916204,0.24292860315386397,0.22484051947608477,0.21835118255635483,0.15318818805226284,0.1672117750622752,0.15894067004825604,0.16804258254639587,0.14903265132772855,0.12921321913603248,0.21665642322203849,0.2622999992072465,0.3160303082327135,0.3281197076872702,0.37298512840257836,0.4075843403146041,0.46728302158317087,0.47790797291743614,0.5278381074622133,0.6022519592812978,0.6113767710582094,0.6394633810491283,0.723732750547206,0.6930554944753071,0.6155118532344402,0.5957827421468121,0.5731036946590773,0.5638522595730968,0.5824826075215407,0.5538719452923995,0.48724989685642545,0.519136678891481,0.5431975648891207,0.5539050114573867,0.4666258240834197,0.4291753036541316,0.42804195417288954,0.44294018594068557,0.46457426036758415,0.5006066097367436,0.53827290485138,0.5691062084893854,0.5832756922570947,0.611466565167774,0.6339212070583635,0.656192439553695,0.6974599132100917,0.7097453789349785,0.6705984971480997,0.6569871418089408,0.6647017552966635,0.655807262083948,0.6507215325916014,0.6387515884119842,0.6257266310711634,0.6059212074602633,0.6110146332424894,0.6090313280555686,0.6019345984079881,0.5823949729612464,0.5698913399055969,0.5649982921037942,0.5645851755577445,0.5635400875457098,0.5502512795888121,0.5276333121033923,0.549302995169146,0.5649932776100259,0.5749718420693773,0.5742238350526462,0.5732227201805588,0.5694974575106545
event_106,0.6609156090998499,0.6651925949956756,0.5573744872102968,1.2497615261848978,-0.23115817994750443,-0.17683919257548036,0.6609972674761723,0.6616681913379492,0.6614246104951029,0.6593607236961908,0.6594519522012078,0.6581039190889127,0.6557023953283612,0.6562269302701449,0.6546844889558232,0.6515370624575806,0.6464115905826204,0.6483689537918212,0.6498110441406449,0.6500587548631747,0.6433190621362154,0.6375685619650101,0.6415665618917347,0.6499142311670514,0.6537434673336833,0.6322906414889358,0.6191767918492083,0.6022075085297209,0.6016886217414055,0.610698329285312,0.6089385682719263,0.6295782372916295,0.6624012885323669,0.6604689638029484,0.6382130875469499,0.6381558427085227,0.6188667896150344,0.621268578664914,0.6283879691881694,0.6248231505468498,0.6017058000394078,0.5948647778777297,0.6086900182423848,0.5450940172837202,0.5446310545833523,0.5429346166115108,0.5741599853579317,0.6405684072194853,0.6594443538806388,0.6572547911084753,0.664609538856659,0.6287712431691992,0.6480647611743042,0.6892893060266603,0.732478090390372,0.7441412361316164,0.7034399347043967,0.7098112006492624,0.7487833654910444,0.720567074681467,0.6881764017747435,0.7000010147795976,0.6562914307119352,0.590288562097074,0.5559854400419978,0.5516278467994175,0.5397929080953262,0.5564503194846235,0.5599241151107669,0.5002029904425617,0.4560166562729373,0.42835974590032405,0.44457342412627293,0.4405779301803449,0.4633017429359702,0.4365266306470212,0.43421909998087244,0.4491645989109136,0.4682445802389849,0.49667937667281514,0.5062105582394955,0.4967947910178881,0.47855716946731736,0.4998390729443503,0.5195863907136539,0.5365162512378069,0.530484056373905,0.4969025325440276,0.4886386066075343,0.5112525864513655,0.5205108540360001,0.5000133950066393,0.47459602257936545,0.45913908561670475,0.45465558929958877,0.4626471707779686,0.4730624764235439,0.47377617773924224,0.45912782372559174,0.4540890955076575,0.4591703233245035,0.46457224087027327,0.4690006293272019,0.4768253626163212,0.4879396481406991,0.4956374205364585
event_107,0.581142875600086,0.6126171160444731,0.4586155755864775,1.1385374411031441,-0.3528807703510975,-0.289760881332981,0.5772639743483223,0.577788462942422,0.5791545276260751,0.5796511839901757,0.5776144595697104,0.5756571323668295,0.5744535025368472,0.5730881834344456,0.5725336912179774,0.5679977018526207,0.5660991567662977,0.5613076874498891,0.5592508305388559,0.5574997834822016,0.5503030461236759,0.5520584558270918,0.5523941201426155,0.5422846687012981,0.5427505030754766,0.5372866673309032,0.550336930120967,0.5473121051710577,0.5375019277430686,0.5077507141592345,0.4828315087638155,0.4889917634857579,0.4696225894669683,0.4392682475893158,0.3930635379449675,0.37971061280352925,0.39319658060937257,0.4028663200866301,0.4245244552391408,0.4789682675105392,0.4909251297008929,0.534252585572952,0.5839979129695222,0.6211794027905674,0.6500129621217242,0.7079213007925735,0.7892791550952261,0.7559598962250454,0.7221845441650753,0.6826705254986823,0.6879815933724797,0.6994891158691627,0.6905325606166708,0.6787105425667533,0.6734285457757081,0.6574949479048248,0.6643048022521598,0.6827061521376849,0.6535799314958265,0.615201328384659,0.556769356558437,0.5025417624796997,0.4240625903292009,0.42481968681796706,0.4533401881031945,0.43888278953028637,0.40847535673632446,0.42323162304524686,0.4338820772654426,0.4180189659378357,0.3875155165617196,0.3628941153398688,0.30667467763243816,0.21606702564476502,0.187623479294841,0.18475849958852597,0.1690082187027286,0.2245023110199755,0.25530619875427296,0.24761849850175396,0.25129080213186755,0.21110858115438746,0.1648608333193824,0.14601368047518373,0.1910932267247545,0.2329953964935665,0.27666405045503395,0.269188655826622,0.28724490297263405,0.3063382350588416,0.3199823834086011,0.3096373403887304,0.33063867474480535,0.32655669518290786,0.3257163620227684,0.32205430525394574,0.3312392930788116,0.35782072569162776,0.3539064370735717,0.34852962308377416,0.35852293026884785,0.35020415823975776,0.32734662320338437,0.3281024900965309,0.3301840243704855,0.3089779205224522
