,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08569823361687631,0.081952823643816,0.05852959826965799,0.1355018132235428,0.08507837638448888,0.06221650707800075,0.08549646772546897,0.0855088701870347,0.08551356141076355,0.08551432308574038,0.08548818660761462,0.08541769710538585,0.0853371932255799,0.0852999460235237,0.08526841442697813,0.08521432631964414,0.0851823024145245,0.08511665933257404,0.08503008548140267,0.08493010772636413,0.08485765837559014,0.08502619070935354,0.08507672524598094,0.08534519038246677,0.0855134039437687,0.08547562486746833,0.08544369655277576,0.08555909939620174,0.08565784372272092,0.08563670582147334,0.08600019907412566,0.08622722563660934,0.08640242965737173,0.08686603699307172,0.08722330785544097,0.08742637195175498,0.08740899225673211,0.08768667105808677,0.08754455652695063,0.08741210520779039,0.08779063461471302,0.08775291279737789,0.08786206476350387,0.08798517484951761,0.08846156793445772,0.08869166923858393,0.08996081088318862,0.09054440691938906,0.09092603988504688,0.09086232937215664,0.09085513090684315,0.09086340194462103,0.09069929251325061,0.09058063971245088,0.09036454445232155,0.09057359476977524,0.09015330633039167,0.08961384130680661,0.08918297406927674,0.08854712819644157,0.08793421362741997,0.08744296052383098,0.08666135825057444,0.08523076843868178,0.08421746142536936,0.08354698309419252,0.08293445864043733,0.08197789552266095,0.08041759914099807,0.07919673480402584,0.07762195378065977,0.07598832347695174,0.07457735029969223,0.07416329422515158,0.07337318980113543,0.07286318879337542,0.07254646742856541,0.07204641816015141,0.07151739822986287,0.0706366690953686,0.07010479468545476,0.07028250424810252,0.07009617980276421,0.07005189604086705,0.06951289701655412,0.06894300602695215,0.06829021564729569,0.06767293136739846,0.06738430121527261,0.06684532872127427,0.06621091949322806,0.06583563737265927,0.06558421456919972,0.06538964674525401,0.06492699656892183,0.06449523315836496,0.06416324382434782,0.06425617886856724,0.06433919093606769,0.06441495785073104,0.06428304760675495,0.06431837187479807,0.06453939148890933,0.06483335002401211,0.06517886480769491,0.06557160729079013
stat_2,0.11552414613469972,0.10995110860829192,0.07893798261885958,0.18272552211840073,0.11438025470305198,0.08385016681584362,0.1152574050952545,0.11527241964590763,0.11527933581579593,0.11528213108944947,0.11525095448435235,0.11516141968489803,0.11505584107538376,0.11500769686900635,0.11496874497214568,0.114900938240942,0.11487059187813034,0.11478982349039508,0.11468609950719234,0.11456860724605498,0.11450275865079285,0.1147709016357117,0.11485184852238628,0.1152309421652824,0.11548294763110482,0.11546396324800148,0.11546865001679754,0.11566430122266048,0.11583738468717401,0.1158347899937872,0.11636601375106048,0.11673242233582665,0.11696614152553302,0.11759574324068373,0.11807282013307943,0.11833428950715089,0.118262647048655,0.11860145378091574,0.11837385522952973,0.11818577704804287,0.1186813358026997,0.11857830188850756,0.11869894983991015,0.11886060319463393,0.11951984896656079,0.11978099271428244,0.1214152643724138,0.12213224022800508,0.12264533443551204,0.12250803986015292,0.12247618406027022,0.12241578033090597,0.12209065558814755,0.12178635919652213,0.12144232276238535,0.12182132124751349,0.12130592283606945,0.12053700325965541,0.11981960591922876,0.1189833652769702,0.11824821591677077,0.11762281472564408,0.11663241111151472,0.11475492085653423,0.11349895706271382,0.11273196205045845,0.11194537208409294,0.11067367977569999,0.1086908292724623,0.10714698562711052,0.10500969519491202,0.1027264939609681,0.10079720775864653,0.10025470863532954,0.09918993527215533,0.09849486021510288,0.09809402503015022,0.0974565582240381,0.09677739649178438,0.09556114506546819,0.09481581879197801,0.09502507453850012,0.09472785125291854,0.09459311411892232,0.09379099949156061,0.09298836604305492,0.09208648671282123,0.0912207423512706,0.09084372832916923,0.09010829737561302,0.0892263751500528,0.08872471712279356,0.08836351822549147,0.08806302924959046,0.08741172832226977,0.0868049708861982,0.08634826332598597,0.08646819692868432,0.08656563543083844,0.08666263701771038,0.08648575809092368,0.0864919360526135,0.08677350084315626,0.08716234004081505,0.08762216501340801,0.08815030347808303
stat_3,0.06167171039729282,0.059083509721416946,0.042549805298827674,0.09812472085869137,0.060413299477553035,0.044555799001804786,0.061535218647001295,0.06154438857638254,0.061545263703442495,0.061541576576007145,0.06151909459760827,0.061469271806111274,0.061411245006084345,0.06138594560308258,0.06136858168578469,0.06133326591627881,0.061311626544008895,0.061270799296257054,0.06121541931836771,0.06114635583622648,0.061088533499883184,0.06119330992068877,0.06123683017665139,0.0614221112168286,0.06154446327675174,0.06151694432296448,0.06148423591059896,0.06156191825719854,0.061616721754043986,0.06160532808439342,0.06187044840172423,0.062009130196914196,0.06214521914707266,0.06248032914698905,0.06274193192820672,0.06289294428387601,0.0629099636605568,0.0631315656269047,0.06306297696754902,0.06296594126249346,0.06320474780022234,0.06318981645632549,0.06326330045345163,0.06333605402749129,0.06362010135981597,0.06378890319000782,0.06468024873048372,0.0650937806309423,0.06527843864227802,0.06523948252300739,0.0652462623530286,0.06527470917146196,0.06520762975249185,0.06518149155966939,0.06508827415924275,0.06520774197435415,0.06491389867816807,0.0645133124515559,0.06420870517941914,0.06372479564869346,0.0631963594108814,0.06285404425462697,0.062306889678187045,0.06128348041805128,0.06054732329349056,0.06001411578237758,0.05954960292265429,0.0588530206570786,0.057710807884327364,0.05680292447496051,0.05573794169859317,0.05467576496832994,0.05373133683187686,0.05343845318605113,0.05290363426735492,0.052547149523100634,0.05230116692725424,0.05192455468306219,0.0515149848822905,0.050924804811451826,0.0505851630650728,0.05073943403326018,0.05064284625328822,0.05066189877219396,0.05033700499851465,0.04993653934822366,0.049482928912562604,0.049063569895230495,0.048817281880702466,0.048403595710638965,0.04793206247030756,0.04761266897524123,0.04740980784284613,0.047257874839417985,0.04693201852898777,0.046620782720483624,0.04638353540986308,0.04643172047088534,0.046487840020210815,0.04654403187082098,0.04648308430686108,0.046552601306833565,0.04672245219723728,0.046936643551778505,0.04720063792171294,0.04750914255001652
stat_4,0.05203895807775683,0.04981266069300637,0.03630514051724376,0.08335774009122912,0.05025707737231488,0.03740961785697491,0.051932600744012826,0.051940101849708514,0.05193885526421698,0.05193258337761809,0.051911530607763975,0.05187169629561512,0.05182342265990265,0.05180390413561033,0.051794748887779456,0.05176938624249822,0.051755713933376656,0.0517288237799191,0.05169151342991043,0.051640347777834904,0.05159516901982083,0.051680266774475486,0.05172669339264978,0.051880787909126695,0.05199204105796482,0.05197729088126902,0.05195429938040273,0.052026250406583076,0.052069230179652246,0.05207030654132378,0.05230887731358267,0.05242093523712816,0.05254408028128313,0.05282949004796073,0.05305296162940825,0.05318124309474691,0.05320835605337351,0.05340471275532511,0.053366798777510806,0.05328062172446481,0.05344775476107875,0.05343129092011035,0.05348137048370529,0.05352756064616607,0.05372024645898888,0.05385222133309253,0.05456495596876512,0.05489020006048571,0.05496933673993769,0.05492941158161411,0.05493965545583516,0.05496472445944005,0.05492499106531563,0.0549165782928807,0.0548765591483109,0.05497578284481402,0.05474790920045109,0.05438906260978124,0.05410281506035633,0.053677904161352985,0.05318218609801067,0.05291148899791306,0.052477972694982326,0.05163215808751224,0.051032805523247404,0.05057476022098767,0.0501726180336857,0.049582396883670825,0.04863309581967215,0.04786836753050801,0.04702550350017862,0.04620712536024846,0.04546589480153014,0.04522788683053209,0.04480733374811131,0.044513923810756605,0.044297704686049946,0.0439755713144779,0.043613760441725734,0.04314719647903756,0.042891848673203885,0.04303709715647821,0.04297613921083541,0.043016076737239964,0.042776768382328766,0.042437098400567676,0.04206254188389434,0.041721216786024605,0.04148165812113283,0.041106318382357586,0.04068684190065492,0.04037429540900639,0.0401771885734323,0.040027655316308454,0.03975116951852052,0.03948120769643462,0.03927992606796665,0.03930287194001858,0.03934314366431715,0.039390601267745046,0.039368879202406976,0.03945440181721511,0.03960255165553727,0.039783517252731763,0.04001798883647561,0.0403005667253113
stat_5,0.052216286635042304,0.04996278445971875,0.03641186309508733,0.08360378075047202,0.05053131789025966,0.03755983451581772,0.05210890240318656,0.05211636279827141,0.052115355148397935,0.0521094939871229,0.052088808291508505,0.05204889534619177,0.05200054135861007,0.051980873543679994,0.05197130137657957,0.05194566844818289,0.05193218112976045,0.05190486412395547,0.051867225004776585,0.05181618465868634,0.051772349381947184,0.05186041953701484,0.0519069015175467,0.05206273116703276,0.05217519341260337,0.05216165130444967,0.05214118321197671,0.052215436467300896,0.05226132751082633,0.052263376166384184,0.05250455569625817,0.052621301981017984,0.05274424530563937,0.05303076846751557,0.053254522003711766,0.053382344392576116,0.05340558076466675,0.053599640830472584,0.05355802250987051,0.05347113966308925,0.05363988841264361,0.053620206638852454,0.05366959335519161,0.053716798933290566,0.05391490702287476,0.05404535913390129,0.05475995507927418,0.05508509937072904,0.05517313152919372,0.05513155560955976,0.05514027017030976,0.05516206069547946,0.05511536132315229,0.05509869335444495,0.05505083181199279,0.05515507905605098,0.05492627041608136,0.05456691510797637,0.054277610617417704,0.05385456506916579,0.05336817069379812,0.05309548036724307,0.05265934448284447,0.05181063393590066,0.05121173331890492,0.05075977691291254,0.05035931814227701,0.04976822757073835,0.04882031577957674,0.04805823827871755,0.04720701972195378,0.04637516036481512,0.04562607175659981,0.04538783962134964,0.04496436098626546,0.04466910669243713,0.04445450489593053,0.044134220345343124,0.043774420753411376,0.04330299381758538,0.04304362910844636,0.043186479418628944,0.04312103342453015,0.04315426012858243,0.04290688694536803,0.04256331162772488,0.04218548410447182,0.04183983999273885,0.041601644416143016,0.041225498208448105,0.04080366008818067,0.04049298337167132,0.04029544990624931,0.04014450429872296,0.03986539052473224,0.03959355363391193,0.03939109695213988,0.03941544860694965,0.03945565731451273,0.039502958173835166,0.03947835207974591,0.039558986209981314,0.03970611295238239,0.03988718221459884,0.040120984284939154,0.040402475561783426
stat_6,0.05029233100125019,0.04811691408774486,0.03518157636940753,0.08068628713164082,0.04842682479646727,0.036115954966937064,0.0501915462427431,0.050198692023168526,0.050197092017009816,0.05019042774497151,0.05016977583757704,0.05013191233314287,0.05008549628560032,0.050067080738367305,0.050059496401042375,0.0500360793844448,0.050024244514633096,0.050000103527052954,0.04996646847253857,0.04991910888731627,0.049877287176841485,0.049960195628844024,0.05000760091531373,0.050156621281475675,0.05026675558138223,0.05025547464151478,0.05023595949420658,0.05030835603544608,0.050350594314366795,0.05035499641225031,0.05059047106922232,0.05069987019012081,0.05082071240609422,0.05109731628339882,0.05131373815616924,0.05143744223409642,0.05146477413610108,0.05165534477952551,0.05162193584071335,0.05153729714970316,0.05169039245598527,0.05167168500955432,0.051716446501390706,0.051757549183742695,0.0519339982734377,0.05205760911908645,0.05273548689649462,0.05304265890084885,0.05310329431413288,0.053061820343578356,0.05307201170376417,0.05309445037565512,0.05305651253259204,0.05304705552673607,0.05301442213288941,0.05311278765708189,0.05289804811973752,0.052545889941332566,0.052259721542543325,0.0518464647254819,0.05136023610493936,0.05110310745791792,0.050691375079513254,0.049878904303301747,0.04930725090032859,0.04886697625188196,0.0484773815633572,0.04790698963574361,0.04699625700836843,0.04626065341988069,0.0454578324344958,0.04468148623424635,0.04397678062699128,0.043749473481651986,0.04335021650626159,0.04306810600534387,0.04285818309664649,0.04254734303021661,0.04219523831834131,0.04175067710470552,0.041510249120754,0.04165294470537759,0.04159700506846219,0.04163804317752225,0.04141180353895619,0.041081586104105276,0.04072062002777969,0.04039225666125701,0.04015373541032179,0.03978444743516071,0.0393729208483596,0.03906124636020992,0.038864076496183765,0.03871341236351881,0.03844484046237889,0.03818144018179602,0.037986342528997775,0.03800454965807443,0.038041455680664575,0.03808714735759244,0.03807248379049516,0.0381593286530408,0.038302918788680244,0.038477579151548265,0.0387064594700412,0.038984295121639
stat_7,0.06090285059839639,0.058347124980272023,0.042054451236549946,0.09695426132729136,0.05957209822662128,0.04397974316704607,0.06076892479050929,0.060777975292588306,0.06077862487145884,0.06077463218991936,0.06075216563692629,0.060703132151337894,0.060645866976798,0.06062105033564482,0.060604435073588044,0.06056996121715652,0.060548914691286676,0.06050928384769982,0.060455401992802665,0.0603877081816434,0.06033056437182779,0.06043316325084016,0.06047694089867542,0.06065945540872888,0.06078072869500196,0.060753930795523166,0.060721376716286184,0.0607980979475905,0.06085128667551199,0.060840628908263694,0.06110314909302067,0.0612386206721173,0.06137381491535715,0.061704917799891554,0.06196359570469032,0.06211302315784565,0.062131823752213614,0.0623521331421722,0.06228683105864171,0.06219077302924972,0.06242367472433532,0.06240939008230363,0.06248122608088882,0.06255167145716688,0.06282733129415612,0.06299365868899198,0.06387085611848164,0.06427757515672335,0.06445171595420028,0.06441299377418772,0.06442040589049254,0.06444930655347347,0.06438589817491858,0.06436286898933298,0.06427558144534982,0.06439253462931133,0.0641040814645154,0.0637065888679007,0.06340367006341549,0.06292374144179953,0.06239548277925171,0.06205920667787818,0.06152150367812112,0.06051235411616006,0.05978667644683759,0.05925777358549351,0.05879752746277161,0.058109167612013256,0.056981278491567276,0.05608352812584126,0.055037599072856484,0.05399741213950201,0.053070395573319246,0.052781727871751304,0.052256314580995715,0.05190504868200907,0.051660882644079094,0.05128789043317965,0.0508813561206114,0.05030176424567247,0.049969532525118265,0.050123759152167505,0.050031005233288836,0.050053309963078184,0.049736849893894076,0.049341873176622426,0.04889500157538314,0.0484825473309583,0.04823638005818486,0.04782569771906817,0.04735855172303097,0.04703910824563784,0.04683666127771118,0.04668509979961624,0.04636352625524238,0.04605576630845202,0.0458214843354852,0.045867360487442485,0.04592223984198294,0.04597779714121058,0.045920591102382696,0.04599244004591531,0.04616086114310644,0.04637249987934799,0.04663444222389593,0.04694131025109076
stat_8,0.10237473504548071,0.09767853695586265,0.0698677105791668,0.161802158742429,0.10165972038368157,0.07435043420764763,0.10213440903080587,0.10214852689367732,0.10215474287714721,0.1021569862845646,0.10212789876693629,0.10204568057867677,0.10195066573381387,0.10190674008664526,0.10186963228113906,0.10180644242314707,0.10177293127074359,0.10169651465077764,0.10159704343081657,0.10148383044899766,0.1014104051445697,0.10163002599774595,0.10169419782636861,0.10202272830717111,0.10223313044688394,0.1022002421908377,0.10218180356214748,0.10233572708538843,0.10247142793867993,0.1024553326201049,0.10290449988635965,0.10320240146891016,0.10340912844401652,0.10396446079106746,0.10438882954543209,0.10462602332608387,0.10458235934072468,0.10489721727393521,0.10470847722928431,0.1045469430979451,0.10499898490280676,0.1049322336535006,0.10505337369673115,0.1052013041330109,0.10578621260985492,0.10604183796891528,0.10753199394191493,0.10820323184370365,0.10867277039302208,0.10857559046233133,0.10855647888057163,0.10853492416073275,0.1082903202413983,0.10808282532906498,0.107794609549223,0.1080872354670476,0.10760397170070894,0.10694499255963646,0.10637558743715855,0.10562818504481054,0.1049452103407357,0.10437114451188734,0.10345994798379342,0.10177002461885964,0.10060355561602109,0.09986364257155389,0.09915081428267572,0.09801629149042436,0.09620182925819042,0.09478713601291641,0.09288913800806549,0.0908884706204906,0.08918126903578714,0.08869171497042518,0.08774254697577975,0.08712876100214517,0.08676306165535105,0.08618206129875439,0.08556744571760094,0.08449734913793357,0.0838443865360309,0.08404117528781144,0.08379547091219373,0.08370661080389206,0.0830247581545639,0.08232964491760267,0.08153916110138776,0.08078540040202808,0.08045096895257037,0.07980766528990069,0.07904193760154461,0.07860255522884355,0.07829692986838849,0.07805156038596178,0.07748719343913008,0.0769619264881194,0.07656154363108207,0.07667317120924932,0.07676723103986559,0.07685550352575092,0.07669343864737174,0.0767132999714169,0.07696944412848532,0.07731733950246014,0.07772562838228089,0.078190679312721
stat_9,0.12049956864032506,0.1145154001585476,0.082543147957177,0.19085097494424944,0.119124272077028,0.08740493199651687,0.12022594131135601,0.12024098443226164,0.12024771850149926,0.1202501333284311,0.12021819677751991,0.1201272751968943,0.12001831050891983,0.11996936203510603,0.119931720868207,0.11986413117355721,0.11983814200067604,0.11975900287603534,0.11965831957878745,0.11954390683905967,0.11948685844223925,0.119778637867817,0.11987091710480384,0.12027110765200069,0.12054534476128646,0.1205394404707523,0.12056208116424107,0.12078222363229431,0.12097486135229885,0.12098545654607257,0.12156005569058295,0.12196077264553783,0.122207413236052,0.12286685278690765,0.12336408081356248,0.12363291939698691,0.12354725936670048,0.12389253401565244,0.12365167052797768,0.12345026236783914,0.12394689946595513,0.12382003695447193,0.1239319528410111,0.12409291062623726,0.12476763960859151,0.12502004919523382,0.1266859720219984,0.12740392792149832,0.12791504561921083,0.12775428549407333,0.12771566916114924,0.12763150275456783,0.12726596009788804,0.12690934752951907,0.1265450359035887,0.12696902667933546,0.12645267575796842,0.12563206410122177,0.12483546169621315,0.12396526204869605,0.12321301629395533,0.12257577640515874,0.12156857264880348,0.11963032484116841,0.11835996526436308,0.1175995584724023,0.11678798434347927,0.11546625775920917,0.11344040436538255,0.11186286930850318,0.10964950132979767,0.10727230282421445,0.10527472159035754,0.10471844670948563,0.1036222973137205,0.10289823408763299,0.10248535791860867,0.10183149220994422,0.10112749711818049,0.09986407676372211,0.09909228881696346,0.09930713208071874,0.09899087266501083,0.09883503255788587,0.09798876651092715,0.09713808082238137,0.09619377244964489,0.09528502481610165,0.09487996054509719,0.0940966531143378,0.09315686224151412,0.0926153302098195,0.09221951681111261,0.09188415490294645,0.09119489218646848,0.09055080913096504,0.09007095404071376,0.09018744325757354,0.09028165069943027,0.09038116022603111,0.09020829272497888,0.09021143887750184,0.09050152798305099,0.09090469190711753,0.09138697340728268,0.09194647572693375
stat_10,0.07386702376752241,0.07072651108111838,0.05060565103280804,0.11701972395845106,0.07303960889670552,0.05354502467445628,0.0736959614225221,0.07370690010304233,0.07370993489705974,0.07370881323309111,0.07368451348243939,0.07362360186712352,0.07355390874155407,0.07352219031136158,0.07349672139347552,0.07345101129251927,0.07342277339700268,0.07336792955062973,0.0732947523643459,0.07320808429611408,0.07314054003398644,0.07327574693023116,0.07332082791317895,0.0735476294380132,0.07369075782837005,0.07365507629448764,0.0736193860618403,0.07371303892543928,0.0737882306683847,0.0737689719264484,0.07407964904804512,0.07426025190818078,0.07441524937049374,0.07481496253811395,0.07512503761788715,0.0753030872369409,0.07530382467280676,0.07555475840930428,0.07544834918152485,0.07533446240961914,0.07564956232431358,0.07562662103617733,0.07572131099308715,0.07582185635979383,0.07620865560681125,0.07641277304474227,0.07750539671531426,0.07801231384149465,0.0783068911747935,0.07825921982845738,0.07825959157416505,0.07828174602722447,0.07816916019317705,0.07810247879416674,0.07794487466873767,0.07810453824730221,0.07774103034904316,0.07727499860652541,0.07691777658224923,0.07635771071784955,0.07578766278015232,0.07536533218231768,0.07469197061523637,0.07345670768271084,0.07257080380506285,0.0719611309921325,0.07142055064160158,0.07059129662290359,0.06922803920847012,0.06815518209227125,0.06682505933564824,0.06546742450188987,0.06428049289318144,0.06392398435818573,0.06325551898421734,0.06282058047433117,0.0625382893979313,0.062097422459387014,0.061627341511836894,0.06088723802353873,0.06044755533980663,0.06061352732672055,0.06047139625742828,0.060459574768105824,0.0600258243278123,0.05954160757007728,0.058987085888912084,0.05846756150964619,0.05820327545821801,0.05772997447133448,0.057180150030981605,0.056837789158066136,0.05661494668917903,0.05644633607651775,0.0560528150020869,0.05568275891783371,0.05539808332195175,0.055471590217815094,0.05554309796677876,0.05560950997825988,0.055508624461563634,0.05555962118694175,0.055755735875081903,0.0560108031540206,0.056314983514011104,0.056663416591979925
