,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9472612342076582,0.05356537321980414,0.523566225478483,0.6547027647364503,0.5202969698907057,0.986643927408864
freq_0.1072,0.8523921227597312,0.05157721908377633,0.5048449507151513,0.6312533504429856,0.4918126358546579,0.9461653584307473
freq_0.1150,0.7573274183046061,0.04968297893463435,0.482127777866984,0.6101666645661724,0.4692618883088358,0.9082715852419573
freq_0.1233,0.6682682241991746,0.04760822215855892,0.4585019161247989,0.5839000225615866,0.4668096008606075,0.8769688973351183
freq_0.1322,0.607061869444889,0.04631736684835871,0.4431601072519153,0.5701021578032576,0.4462095859991117,0.8488288081992494
freq_0.1417,0.5431676552941265,0.044760956287223326,0.4336884063615335,0.5471566225588078,0.44585229000582016,0.8284022380014447
freq_0.1520,0.4737031598049079,0.04223702772403646,0.43165173941734636,0.504582799514428,0.4449778567137245,0.7993324206319784
freq_0.1630,0.41336593048670806,0.03991245168602548,0.4332241882963416,0.46334276855374296,0.4426926435892593,0.7735286001074029
freq_0.1748,0.37604117392670944,0.038768049515032627,0.43482964385653716,0.4430351783286006,0.4361535414559327,0.7586744361961921
freq_0.1874,0.3519729601947469,0.03785263623542409,0.42648932704545434,0.43224691567935225,0.42201411693255536,0.7394771511604412
freq_0.2009,0.3165162288950777,0.03666814609629747,0.41358844036685494,0.41648282827544797,0.423195621114501,0.7236075441728701
freq_0.2154,0.2735292470836249,0.03504326342550786,0.39857075757122545,0.39308636014399856,0.42803407755869455,0.7046905043163846
freq_0.2310,0.23667057662107652,0.03404877494490247,0.3873457473240588,0.38006775591717923,0.42816241587438825,0.6912389466930713
freq_0.2477,0.19424225902275405,0.033663909152321175,0.3882753333955697,0.371506174473313,0.4350523648675643,0.6914080794813557
freq_0.2656,0.15765477903343106,0.03444473369297944,0.3896965169781722,0.38426833865950577,0.4412616187822484,0.703020161625103
freq_0.2848,0.1288500179102762,0.03555565511655025,0.38417701661973935,0.4058890936953826,0.4481803231947186,0.7163822573030582
freq_0.3054,0.10493584528939486,0.0367859543190002,0.37822547842922083,0.4282031612417056,0.4631118260775754,0.735448858373789
freq_0.3275,0.06887082423471087,0.037204364056062145,0.36969464361636906,0.4386980194152088,0.4654315441201482,0.7387534121880768
freq_0.3511,0.0379961353760582,0.03680675131390676,0.36470525295772216,0.43310015639506033,0.46984454486591287,0.7357578156870905
freq_0.3765,0.017648848043027836,0.03613029031718203,0.36606451691755015,0.42022131963524495,0.4728138791407651,0.7308502940617895
freq_0.4037,0.01863200030067217,0.036220639212070506,0.36644946083864266,0.42157627998640107,0.4733954076626364,0.732198729302488
freq_0.4329,0.04463847461101157,0.036972549896895364,0.3671140822503581,0.43467810197156104,0.47243711181930653,0.7395367647009102
freq_0.4642,0.07865408574278553,0.038412657980650786,0.36300876516159936,0.4602726028360028,0.4799807245080748,0.7576329773741863
freq_0.4977,0.11926739702692432,0.03934959173438235,0.350367788495026,0.4814694617017701,0.475958794523601,0.7623038789424116
freq_0.5337,0.14794276342009938,0.03950412404666664,0.3421459837945941,0.48867622383720216,0.46258568856511023,0.7548866439643869
freq_0.5722,0.1967978151417414,0.039074039732526746,0.34126354813369497,0.48204220964022043,0.4601792594070575,0.7487258857205705
freq_0.6136,0.27181843014678564,0.03891639309875449,0.34972149185741386,0.475332342982982,0.46842379796688416,0.7534366679783953
freq_0.6579,0.33028758335250546,0.03924702512591067,0.3611598937180914,0.4765887825472142,0.4703712469294002,0.7608038159855783
freq_0.7055,0.36602004690465506,0.04031521836216998,0.36358760297925496,0.494200623399329,0.4681156251408163,0.7717269204255239
freq_0.7565,0.38077118636680446,0.04144185815871623,0.364445782307862,0.5116858868347081,0.4779715831025067,0.7893668407536053
freq_0.8111,0.3772604809934525,0.04126976093827544,0.3649055996697009,0.5095176302925493,0.4709779996540177,0.7839544555695432
freq_0.8697,0.34209197806626157,0.04003286190585968,0.35874357139135205,0.4911570699850702,0.4678860095176391,0.7673653206350164
freq_0.9326,0.30035696900117664,0.03893765663317024,0.3624642436371222,0.4706303288837964,0.47173788611447975,0.7585577549379212
freq_1.0000,0.25329592678111684,0.03868545556699483,0.36939859955378757,0.46326055857223813,0.47489248992315336,0.7593342791329613
freq_1.0723,0.173155614880558,0.03882305319892773,0.35669145555469767,0.4699573198446318,0.4779207693187465,0.7592739549645444
freq_1.1498,0.09052765427930234,0.039273861601962376,0.3407685095568306,0.4827364092075937,0.4820811631890084,0.7626007250074527
freq_1.2328,0.03342255365534796,0.03884102042275205,0.34134664629539224,0.4740180508600604,0.4909850879262381,0.7630707713208639
freq_1.3219,-0.007189005989017598,0.0383255142900865,0.3583512367618103,0.4590622289754802,0.49057702249532226,0.7614588327421458
freq_1.4175,-0.03785614534163515,0.03865121961305381,0.37236144022218554,0.45885294431385887,0.49424988511633605,0.7703778395095155
freq_1.5199,-0.05381047552606575,0.03929176534426846,0.37202784135143213,0.4695614620015107,0.4980457573542853,0.7790649894304108
freq_1.6298,-0.08020616324274951,0.039155902402140716,0.3693587688939721,0.4677008362429807,0.5018164270354355,0.7790954362745715
freq_1.7475,-0.11511403948065908,0.03804356014225153,0.3816788493134449,0.4434150889122498,0.5019886244705577,0.7709009431737235
freq_1.8738,-0.13676942803918832,0.037261638639488406,0.38824976820829793,0.4257072304168711,0.5093054852670073,0.7689971429505196
freq_2.0092,-0.1488831465546103,0.03704812508331368,0.3921596673457261,0.41887512889900075,0.51798259423446,0.7730145834541069
freq_2.1544,-0.15389352556346544,0.03650247945124821,0.3866550561360944,0.41091302324557977,0.5213132190873745,0.7681921097640028
freq_2.3101,-0.16419254888360005,0.035885200629856194,0.3879596284234206,0.39881781743570716,0.5232255542086923,0.7637625975181116
freq_2.4771,-0.1874480187188073,0.03603677196221993,0.3986437598322685,0.39672179658060236,0.523242056044942,0.7681713873540764
freq_2.6561,-0.20227853909928642,0.037482587967681356,0.407160173047219,0.41957213498100726,0.5215446115650435,0.7834723765525458
freq_2.8480,-0.22280956620344167,0.03880668024647039,0.41704430587278385,0.43961232928619554,0.5187356943872317,0.7976663925180438
freq_3.0539,-0.2393681593449641,0.039148582023185496,0.4212384929906812,0.4447146358273944,0.5135464619532746,0.7993390669052015
freq_3.2745,-0.24244084395519894,0.03867515109395427,0.42398866256109785,0.4351103113421847,0.5123195644495735,0.7947066786773861
freq_3.5112,-0.2555888345290624,0.037920083101756694,0.419576552273925,0.42295455731733483,0.5149088175784406,0.7874427796313864
freq_3.7649,-0.2744732803393165,0.03748529712620998,0.407070923009514,0.41994513241056003,0.5196944242593576,0.7823956449274277
freq_4.0370,-0.28551830407096035,0.03874040145298827,0.39838903544548687,0.4467548229037146,0.5165031101416223,0.7906194774585834
freq_4.3288,-0.2962936585420483,0.03959607988809128,0.39385877281968074,0.4638178265449276,0.5159734416602993,0.7977971557022874
freq_4.6416,-0.31607014375191467,0.04004704191107095,0.39280458264297413,0.472636164429661,0.5124857567425136,0.8002012465224292
freq_4.9770,-0.33833005666288135,0.03992617692287323,0.391199275463494,0.47129898596177494,0.5114791902461955,0.7979790532004357
freq_5.3367,-0.35455223040390876,0.04033326146318091,0.3968672222120626,0.4762389992556379,0.5110345664282708,0.8034074337239238
freq_5.7224,-0.36944137072981337,0.04107241401783733,0.41008371631463936,0.48518096736251054,0.5020072562459859,0.8096792641539426
freq_6.1359,-0.37529965497426887,0.04229136905279217,0.41822953758393777,0.5043402998360058,0.49378585467432734,0.8204264466866013
freq_6.5793,-0.3892239646339709,0.04308133318130519,0.4189071932235779,0.5180591777369178,0.4915245979711701,0.8279281240437649
freq_7.0548,-0.40359825471726973,0.044228019825341476,0.41652923351893617,0.5391406972332111,0.4876203385592407,0.8378203198571958
freq_7.5646,-0.415431144499057,0.0453985790425921,0.4213283329174153,0.5583732143242165,0.479229674138721,0.8479146721037621
freq_8.1113,-0.42598317636184935,0.04579874943626915,0.4261205576781706,0.5632604739177548,0.48062693988855465,0.8543086950866444
freq_8.6975,-0.4434223826593682,0.04719806847354586,0.41935576288296417,0.5892388339328802,0.4803483349262227,0.8682143641659748
freq_9.3260,-0.4673270064564036,0.049265332249045855,0.41969986059340914,0.6234416114038275,0.4811302464691342,0.8923641240431945
freq_10.0000,-0.480277935750684,0.05133086920917151,0.43073261735288176,0.6539053397066763,0.48189401669375953,0.9194262473270018
freq_10.7227,-0.4983518679846154,0.05307670430212582,0.43054638695998165,0.6824671581296345,0.4829925787126582,0.9404325836238009
freq_11.4976,-0.5296988532200547,0.054685640560768176,0.42746776249079593,0.7095118418293082,0.4834632504562638,0.9590998155596949
freq_12.3285,-0.5468143305309041,0.05635356995423647,0.4307249829638708,0.7356793266255715,0.4819737883776189,0.9793093562590703
freq_13.2194,-0.5556305748252242,0.058534273999135154,0.4338382440637764,0.7702540604640654,0.477805350646361,1.0048904879537934
freq_14.1747,-0.5590286857432515,0.06027318534738502,0.4326832827293103,0.7983635282911725,0.4773656975393859,1.025903092716952
freq_15.1991,-0.5534800276648506,0.061127604947275295,0.4319018521404141,0.8116497155584873,0.48261810078894246,1.038380807727887
freq_16.2975,-0.532820076991465,0.062493358789830665,0.42758475491548925,0.8337907108043416,0.4890810654798757,1.0569938318981236
freq_17.4753,-0.5040112024411593,0.06376777816991533,0.43095805511820656,0.8524811930897132,0.4954092340558525,1.076048018924218
freq_18.7382,-0.4685676450476547,0.06402105572554917,0.42890875940254425,0.8565545933587027,0.5000823887837348,1.080615977518271
freq_20.0923,-0.4252892999747565,0.06529089975138296,0.421392617019428,0.8780947715890491,0.5030443140923917,1.0962097187633357
freq_21.5443,-0.3910889457277791,0.06866260644607154,0.4227637849775104,0.9292932339739,0.5169741685881277,1.144367695972569
freq_23.1013,-0.3814512706161134,0.07611977481584364,0.4259521400784995,1.0409675398118885,0.5568946918068082,1.2550618878533717
freq_24.7708,-0.36271928249531693,0.09013196657837358,0.43353477070611735,1.2480035839165544,0.6405554100393848,1.4682563046724828
freq_26.5609,-0.2700348499307281,0.10339415983307589,0.44581726878542893,1.4428861324244848,0.704844242765012,1.666576981375049
freq_28.4804,-0.026621502976121196,0.088717263429157,0.4248585404294263,1.227305429750962,0.6491438976123306,1.4519542682465394
freq_30.5386,0.1962814811018738,0.08461773486130972,0.4192642774743229,1.166857754438196,0.6330993133342692,1.3921761002125193
freq_32.7455,0.44511451454393175,0.08351922114911212,0.41899531249023125,1.1502617151225323,0.6305401227554966,1.3770402795742516
freq_35.1119,0.7149501781871359,0.0844616769187008,0.4266947614964367,1.1624677993609964,0.6401098741254971,1.3939657294900254
