,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,-0.013160007799302336,0.03676982059822585,0.4104600151887957,0.4058108520334889,0.516458002785557,0.7745248481089415
PGV,0.012371808419716161,0.03194554526083352,0.38314107899403343,0.33152233989716073,0.49822726516557186,0.7105874724606154
CAV,0.12209883395927008,0.03397905583815553,0.3289542335505249,0.4149419518558519,0.3426294541622687,0.6307001300461984
AI,-0.2912331455236446,0.06741327899673262,0.7246188721790525,0.7778936386862157,0.8033019670812234,1.33247329179353
Ds575,0.1577020794666828,0.029559064322988184,0.284002863096385,0.32859085260688853,0.5273575824665091,0.6831804991719149
Ds595,0.5061248965643593,0.025383357800530946,0.2660720808098735,0.285074644815041,0.3747920429447176,0.5408613322817528
pSA_0.010000000000,-0.011048859323540976,0.03680617842164639,0.4107496850042543,0.4065727015550631,0.5150014445150646,0.7741079725939267
pSA_0.010722672220,-0.01086051615860685,0.03679725776843657,0.4108531125777491,0.40634693102461195,0.5150896445582163,0.774102997280759
pSA_0.011497569954,-0.010578579252856988,0.03678093775480544,0.41061809599614923,0.4061430667447716,0.5151698824454509,0.7739246857435228
pSA_0.012328467394,-0.010383601946053466,0.0367579307893925,0.4101584450199106,0.40592443426907043,0.5152232164562015,0.7736016798930117
pSA_0.013219411485,-0.010116482453995252,0.03674900986317667,0.4096684192986838,0.4060080195336366,0.5150896960918813,0.7732969162723556
pSA_0.014174741629,-0.009373010925026534,0.0367747260647475,0.4095665489164662,0.40660663877097386,0.5145842384339354,0.7732209613872393
pSA_0.015199110830,-0.006723436244295044,0.036761934181141265,0.40925296903986486,0.40659813317772986,0.5140588855666758,0.7727008298181206
pSA_0.016297508346,-0.0037558953655357457,0.03677959203945349,0.4092540985233395,0.40696319458199126,0.5137942843334212,0.7727176234021219
pSA_0.017475284000,-0.003973452160460502,0.03684799318634533,0.40973842858572285,0.4080443124148025,0.5134840300701,0.7733379532203226
pSA_0.018738174229,-0.0026864770320630636,0.03690056338632886,0.4100042250963066,0.40896221232848967,0.5129985035244423,0.7736414029301641
pSA_0.020092330026,-0.0005176385632371457,0.03701594631365001,0.41027473675041154,0.4110388660006739,0.5124494431316624,0.7745209750191987
pSA_0.021544346900,0.0004908571311854649,0.03712946747819594,0.410845752316305,0.41296584610169496,0.5117417613517283,0.7753803276806864
