,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.0940061108723435,0.09018338367550523,0.06386649834977104,0.14834326281103505,0.0920120801480638,0.06749952967634643,0.09377662964183295,0.09379223206671795,0.09379996442818359,0.09379881696590614,0.09376765077688722,0.09368527600156852,0.09359320572928073,0.09355134164572868,0.09351418369759162,0.09344343562312576,0.09336662063853801,0.09326913683054248,0.09316423567372674,0.09303153579764976,0.09289890425599756,0.09302605301647199,0.09306262593802779,0.09333039897506108,0.09342119803495015,0.09335249794729597,0.09332188214122479,0.0933567939558829,0.09342474617761785,0.09338191566901907,0.0936880038621324,0.09377941236057233,0.09390174913576468,0.09442617443417833,0.09487430893533397,0.09514605927795022,0.0951751809277597,0.09546507893951164,0.09535866163053819,0.09521816427630247,0.09566110403507816,0.09571550504411383,0.09588408011381741,0.09602370004966672,0.09654834641520255,0.0968585801673294,0.09835330791836272,0.09914239692401373,0.09956084653018049,0.0995283511367574,0.09952081272059317,0.09962788041048619,0.09960778498617524,0.09968431506962491,0.09950281393036722,0.09957428691890509,0.09904232133487262,0.09844984368461168,0.09810068086048207,0.09739763270750737,0.0966096547084177,0.09598755604163632,0.09512066564285512,0.09333972734319017,0.09205820509984619,0.09117099235237637,0.09052104048604542,0.08935234088081234,0.08738559442794151,0.08585226888295672,0.08428241421785362,0.08249759835042494,0.08079062269696811,0.07991773038727759,0.07866929445423373,0.07786856391853399,0.07727929954363719,0.07615490190696116,0.07538491607395668,0.07450994117512574,0.07400836771703916,0.07411847608796569,0.07407895217056142,0.07400470232246789,0.07369401864118617,0.07327442616206162,0.07269554449942374,0.07208895173909946,0.07189989721392458,0.07161287262899767,0.07109016200702076,0.07080600254921975,0.07053779155445221,0.07036442816243396,0.0698865906584849,0.06935470475079354,0.0689198041995534,0.06900273111583173,0.06921302459785844,0.0692852948163893,0.06914746753051676,0.06912573403259929,0.0693633548949294,0.0697407737994768,0.07003160630443848,0.07041842159598968
event_2,0.10179126339409336,0.09766711200059798,0.06913097333250114,0.16063478330735823,0.09927705951461417,0.07303918049241727,0.10154372957955558,0.10156082157569289,0.1015689350688068,0.10156715612729038,0.10153279520758099,0.10144348705822459,0.10134372276344945,0.10129837913995644,0.10125843279238358,0.10118201570773425,0.10109847913259587,0.1009931154887385,0.10087939022804304,0.10073490809120601,0.10058878160432926,0.10072277835485512,0.10076211213944303,0.10105026259498642,0.1011475312277183,0.10107145623878316,0.10103424621572482,0.10106808756639915,0.10113911775727977,0.10109155886575026,0.10141896878067909,0.10151119542158205,0.10164429909789867,0.10221234033650715,0.10269695067826011,0.10299245278742239,0.10302848374212266,0.10334553355779517,0.10323431892985191,0.10308418805988369,0.10356515759388621,0.10362804430295193,0.10381154494617605,0.10396195286203606,0.10452372682783588,0.10486301140877471,0.10648298488124941,0.10733841114189002,0.10777739275987251,0.10774392757960442,0.10773929390976683,0.10786009683154785,0.10784747657402634,0.10794195780481762,0.10775738435314569,0.10782801763919564,0.10725217154988596,0.10661007982969795,0.1062337329277979,0.10546618451397063,0.10459401452179955,0.10392268250823,0.10298706648636423,0.10105868539018202,0.09966688722687159,0.09869381806884,0.0979838471582767,0.09671703700565597,0.09458093753225254,0.09291417982848779,0.0912217612137093,0.08930459332269879,0.08746020203947927,0.08651453751021372,0.08516221657696268,0.08429556835980857,0.08365451887898068,0.08243348940606486,0.08159965778942332,0.08065589794007608,0.08011525045166798,0.08023696520734278,0.0801985095938121,0.08012605769364362,0.07979758134390151,0.0793481474724225,0.07872287940791818,0.07806836527356299,0.07786244839262356,0.07755350059611792,0.0769931117573794,0.0766859420197775,0.07639864571182754,0.07621535361702568,0.07570076389891452,0.07512831732509155,0.07465908795852923,0.07474758121034654,0.07497404804796708,0.07505093900406667,0.07490237594598222,0.07488160530606006,0.07513987941633926,0.07554838846863116,0.07586386506598178,0.07628267086814115
event_3,0.11174886114722264,0.10725437420248918,0.07584319029707949,0.17633982591909453,0.10848089888690407,0.08011142359488453,0.1114782300750643,0.11149733030584738,0.11150589492905993,0.1115031889909152,0.11146453183170442,0.11136617240504287,0.1112564858441635,0.11120660204745222,0.11116297650993319,0.1110791714656671,0.11098656187671276,0.11087081457668213,0.11074525939303997,0.11058498231408544,0.11042010007577138,0.11056108052593502,0.11060337306092406,0.11091669586166594,0.11102119313710497,0.11093437596451743,0.11088647815615109,0.11091666067596512,0.11099022148510312,0.11093544545082899,0.11128754020070644,0.11137755871753009,0.11152426794225939,0.11214793326277195,0.11267894610380419,0.11300545425941375,0.11305228320569452,0.11340539426595721,0.11328947831072698,0.1131281016971552,0.11365962282596896,0.11373570713432042,0.11393929938088015,0.11410372550998363,0.11471193778460406,0.11509062197440985,0.11687360406082158,0.11781600432135346,0.11827880420104159,0.1182456244422502,0.11824616970597035,0.1183871200072414,0.11838812788497818,0.11851111871637675,0.11832641239639782,0.11839238326296907,0.11775921864902662,0.11705473559439371,0.11664671897200295,0.11579476345493098,0.11480856775677746,0.11407404235593285,0.11305002653653864,0.11093171677541784,0.109395254533536,0.1083063210792173,0.10751735203574238,0.10612446257693735,0.10376763192396003,0.10192674991726632,0.10007882915307817,0.09799688804138393,0.0959773146466082,0.09493830773047451,0.09345227632662753,0.09250171886965114,0.09179382025834355,0.09044823229284527,0.08953335690208057,0.0885027487969767,0.08791244409307086,0.08804965327875579,0.08801421852762786,0.08794732102118724,0.0875989693078751,0.08711348420380695,0.08642920771873494,0.08571389432569042,0.08548635942496195,0.08515091559458553,0.08454580427737049,0.08421056349175021,0.08390099130130826,0.08370788197854358,0.08314762436000428,0.08252506027439817,0.0820126872695901,0.08210855784286347,0.08235592521726362,0.08243814091449941,0.08227505549222439,0.08225575865744666,0.08254087836044414,0.08298930653949113,0.08333628721355656,0.08379537156305357
event_4,0.08724022517931057,0.08360653906195734,0.05941905572538187,0.13782165734720814,0.0855306357424921,0.06266178022740733,0.08702890043066894,0.08704292499163652,0.08704994463243378,0.08704889320314331,0.08702054614904037,0.08694530888039773,0.08686036888660015,0.08682218107187806,0.08678904350901653,0.08672475787560491,0.08665652023802477,0.08656873959371782,0.08647537684317602,0.08635651552418952,0.08624078325269187,0.08636632215180776,0.08640434820090276,0.08665675208033843,0.08674754252429738,0.08669134110616972,0.08667387902657402,0.08671781372429095,0.08678778948534606,0.08675566117785767,0.08705395245588929,0.08715349961819825,0.08726979321221093,0.0877582621188461,0.0881750129977792,0.08842421724912758,0.08844324710530864,0.08870704204125388,0.08860405505063132,0.08846837730212574,0.08886552897063592,0.0889039415685096,0.08905383442206237,0.08918009020756422,0.08966388386451675,0.08993975849622116,0.09130727114175635,0.09202486603201722,0.09240898877158224,0.0923701766633533,0.09235783174904624,0.09244574729049072,0.09241147342775355,0.0924601987816527,0.09228277407665839,0.09236451375342612,0.09187978591039704,0.09132134204037462,0.09097780672864798,0.09032951955971394,0.08961520207281673,0.08904282317633053,0.08824647595762926,0.0866035315712213,0.08543443436658084,0.08463684475935823,0.08404070097674214,0.08295851049515253,0.0811545847276523,0.07974811284315624,0.07829382805901489,0.07662824214522546,0.0750466524610738,0.074237893622857,0.0730854229233312,0.07233972307040545,0.07179239182839617,0.07075044154340919,0.07003067487970989,0.06921608892151007,0.06875253986849324,0.06885399534951943,0.06881174984595305,0.06873092597563833,0.0684340693534441,0.06803668468285907,0.0674999875959045,0.06693781152991997,0.06676015881988731,0.06648438875946482,0.06598159459994936,0.0657078797183711,0.0654478525394139,0.06527257444927169,0.06482384437678956,0.0643229641870974,0.06391653029896505,0.06398935407935553,0.06418088468781843,0.06425000431761557,0.06412906163795967,0.06411182980351594,0.0643307955621055,0.06467958960306697,0.06495059043532614,0.06531437286177967
event_5,0.12949017389698045,0.1242730976323995,0.0879729447937383,0.2045764519288303,0.12433545755020237,0.09261437904866658,0.12918296764048567,0.12920561068929232,0.12921408907442095,0.12920831131636015,0.12916107175946887,0.1290477825891708,0.1289208562854836,0.1288636721115572,0.12881594342946498,0.12872120263773018,0.12861527985073148,0.12848496245682342,0.12834304649943984,0.12815793898238628,0.12796210638383743,0.1281149180617519,0.1281670434813399,0.12852518673747113,0.12864813675379974,0.12854733810263633,0.12848315761643714,0.1285106456225881,0.1285904769339203,0.12852975678416834,0.12893330021206492,0.1290189747357629,0.12919588913129315,0.1299218166928363,0.1305346856799129,0.13091611520649907,0.1309850791242435,0.13140494856050597,0.13128756109819842,0.1311048481912923,0.1317104387462195,0.1318053211130704,0.1320385085516893,0.13222101724934449,0.1328894768790192,0.1333323880296741,0.13538528572827382,0.13646751053335066,0.1369324932128405,0.13689440290552046,0.13690676430258064,0.1370826435346648,0.13711255039934409,0.13728931481325504,0.1371234146262628,0.1371822384506858,0.13645795596342264,0.13563077988563385,0.13514811999092385,0.1341353974392409,0.1329202543435292,0.1320837938106237,0.13091849244590287,0.1284729144950606,0.12669144843949529,0.1253946414928617,0.12445751471061967,0.12283942484627798,0.12009709982215175,0.11794837249797552,0.11584545128621943,0.11350058734918814,0.11118349441865116,0.1099785067772765,0.1082609878388004,0.1071586087667032,0.10632219005487191,0.10474653897057352,0.10368044451308614,0.10250216874584646,0.10183300873736233,0.10200420368352356,0.10197961951223525,0.10193032617147817,0.10155927925915503,0.10101356367102281,0.10023014653698581,0.09941568349181795,0.09914203505598368,0.09875108545516866,0.09805791283317229,0.09765990117991707,0.09730445903676509,0.09708706020059116,0.09644637415061659,0.09573463735538901,0.09514637957787762,0.09524612479217034,0.09552253164043878,0.09561317147854538,0.09543524442551413,0.09543049087382448,0.09576412896909721,0.09628117042842325,0.09668742839801789,0.09722489564329445
event_6,0.1142923047748763,0.10968611121212757,0.07758356285435639,0.18038412096413486,0.11079309527570846,0.0819134191675868,0.1140162962063553,0.11403584093286788,0.11404444334908452,0.11404141497685914,0.11400168694167813,0.11390126587537636,0.11378914537682633,0.11373824709194288,0.11369402784290138,0.1136086702314877,0.1135143578326962,0.11339658131853748,0.11326885755311335,0.11310535696982207,0.11293688857211742,0.11308071101177265,0.11312460270050989,0.113444918390092,0.1135525057782091,0.1134643053332522,0.11341539660677559,0.11344649643423725,0.11352178427731814,0.11346659265246162,0.11382737982201982,0.11391891903823952,0.11406976563918016,0.11470803649621751,0.11525099448150812,0.11558498473294274,0.11563355663651013,0.11599524086578249,0.11587780670278686,0.11571274665237553,0.11625450000016263,0.11633200601679776,0.11653949453167826,0.11670668475736146,0.1173251234048265,0.1177117970876018,0.1195323469664321,0.12049385750817576,0.12095932412980602,0.12092454468848796,0.12092582007355579,0.12107016127321478,0.1210726925009743,0.12119989533691405,0.12101520474128447,0.12108233814724363,0.1204366055102758,0.11971412509747237,0.11929382262371745,0.11842013876518795,0.11740529627471641,0.11665621105379204,0.11561207111643934,0.11344751914037861,0.11187798612876249,0.11076312433910877,0.10995447481675974,0.10852968718516424,0.1061201230349173,0.10423732269118018,0.10235153130932612,0.10022802764304335,0.09816486659166916,0.0971022202194036,0.09558325397364348,0.09461077049168629,0.09388523632190572,0.09250760537376632,0.09157089394350917,0.09051812880165647,0.08991593546043175,0.09005732708925927,0.09002213676873086,0.08995531411415299,0.08960122464069992,0.089105546194068,0.08840650570498325,0.08767610337767161,0.08744244869169082,0.08709855359752079,0.08647910479933178,0.08613465146503102,0.08581746677085235,0.08561939959205628,0.08504675625738185,0.0844103348538648,0.0838865796659617,0.08398322193896259,0.08423492216358812,0.08431873563134377,0.08415359642476837,0.08413574470157836,0.0844275312920053,0.0848858134510725,0.08524116574846835,0.08571157229164315
event_7,0.1538051908423468,0.14751236630749912,0.10488486416073287,0.24373829677090275,0.1449544877884186,0.10953960566029729,0.15345659918698437,0.1534842640846368,0.15349083751563203,0.15347786089461785,0.15341660786601458,0.15328473116256222,0.15313483224369814,0.15306894867476623,0.15302003528144695,0.15291426284443557,0.15279447950506303,0.15265104156215667,0.1524945247265207,0.15228009605810766,0.1520431597442867,0.15220692947138775,0.15227998664919157,0.152697447327637,0.15285399990819282,0.15274094632355154,0.1526545347574902,0.15268036791479778,0.15276890555259953,0.15271063856784725,0.15319303748873614,0.15326428995752878,0.15349372425727906,0.1543655274895582,0.15508840479241925,0.15554596919611158,0.15565552400694999,0.15617491538094316,0.15607235245686482,0.15586042321572477,0.15654093569115257,0.15665794426505072,0.15692202088279314,0.15711649603971842,0.15782184908253963,0.1583465142695655,0.16073661938679756,0.16198653300051882,0.16237328448571836,0.1623217081648059,0.162358329663376,0.16258595407162094,0.16267309586193307,0.1629414024773517,0.16284575640242446,0.1628890127039485,0.1620581231126439,0.16104324296835204,0.16043062775193617,0.1591737970276117,0.15758279947021822,0.15662601384433636,0.1552963279214107,0.15242016292967528,0.15031887869966867,0.14872100630468177,0.1475620075308562,0.14563292037393416,0.14236763477939868,0.1397937452264418,0.13738542725170977,0.13474849463371358,0.13205289306556947,0.13062043530351672,0.12859665434171175,0.127282672048352,0.1262506301326689,0.12434190466735578,0.1230569982885697,0.12169239460732671,0.12093428761579554,0.12116581794628598,0.1211705024445164,0.12116788456264915,0.1207973315199102,0.1201819387713198,0.11927523616868954,0.1183442483001799,0.11799223628912076,0.11751250430011592,0.11669031947122961,0.11618441193100851,0.11575896273549677,0.11550163512588735,0.11475563944627318,0.1139259818496611,0.11323741438677962,0.1133249083876267,0.11362561541629856,0.11372440412400389,0.11354583422771702,0.11358492458396753,0.11398739676022972,0.11459388701776434,0.11508752899224595,0.11574397761981177
event_8,0.12953370803891703,0.12431247247772487,0.08800718259301755,0.20465215334572393,0.12436562965924369,0.09264341798404707,0.1292265202370547,0.12924916582926113,0.12925762493276818,0.12925181236246033,0.12920454075943466,0.12909125260678148,0.12896429851377905,0.1289071195981825,0.1288594442273982,0.1287647358389059,0.12865887138721085,0.12852862535636111,0.12838680620495593,0.12820175063637315,0.12800597311736744,0.1281588872482341,0.12821116886658585,0.12856946481243411,0.12869263682424048,0.1285919822879404,0.12852792938632338,0.1285556015666091,0.12863555139117702,0.12857502086470268,0.12897896765513145,0.12906476422802757,0.12924188754771926,0.1299681413104952,0.1305812053574517,0.13096273659885377,0.1310317326302582,0.1314517626036313,0.13133445734455546,0.13115161724924837,0.13175695908994964,0.13185167810936999,0.13208475527619146,0.13226714505044165,0.1329352983652163,0.1333781241811147,0.1354310741401876,0.13651318014954453,0.13697734002975365,0.13693902557516036,0.13695139955661265,0.1371272008633443,0.13715706782852127,0.13733372791321605,0.13716813103298472,0.13722716565004103,0.13650299294227197,0.13567517621072692,0.13519170895051388,0.13417844134928233,0.13296245378016683,0.1321260212518957,0.1309608017547227,0.12851476673272033,0.1267332024885965,0.1254361691285733,0.12449861943248867,0.12287999414845521,0.12013711490809219,0.11798785867162072,0.11588475273768319,0.11353971885313878,0.11122219319216506,0.1100168169487205,0.10829891567390483,0.10719609397522409,0.1063591797648392,0.10478282731878805,0.10371618084302761,0.10253764695338241,0.10186849148461766,0.10203988094044411,0.10201536831708946,0.10196613893444793,0.1015951844632213,0.10104931149021848,0.10026576831886759,0.09945124066100125,0.09917731411007996,0.09878597225491784,0.09809222894778916,0.09769370439012971,0.09733789865414008,0.09712013155490838,0.09647919998434916,0.09576715394947216,0.09517869269789742,0.09527821081845862,0.09555447866400466,0.0956451454415249,0.09546749128288108,0.09546304530276728,0.09579679614205709,0.09631393802710134,0.09672041735989394,0.0972582674705018
event_9,0.12947070879642938,0.12425754006220006,0.08794769136555952,0.20452948149553657,0.12433342685023635,0.09260489845760171,0.1291633059743793,0.12918594783444629,0.1291944722132029,0.12918877036163787,0.12914158638352036,0.1290282502372433,0.1289013194668348,0.12884410166659213,0.1287962489621506,0.12870140250063708,0.12859534023236185,0.1284648277729576,0.1283226724579609,0.12813740694174564,0.12794146140842935,0.12809427897715328,0.12814613872945482,0.12850422735278705,0.12862683945269712,0.12852575582115972,0.12846141899551855,0.1284886738970773,0.12856838654030844,0.1285072623931942,0.12891029029832551,0.12899597139867572,0.12917249471035985,0.12989811975486434,0.13051094824656806,0.13089234214966428,0.1309611201521691,0.13138077416377245,0.13126297353498242,0.13108037197054417,0.13168686918222464,0.13178202914232864,0.1320155559336381,0.13219844502457234,0.1328680891023421,0.1333112705085354,0.13536497300894806,0.13644782608645037,0.13691470726630967,0.13687687815152239,0.13688911958136052,0.13706502236677948,0.13709471772934512,0.13727133038854114,0.1371045529518885,0.1371632985314775,0.13643857330424455,0.13561209790092416,0.13513039617124495,0.13411830212159245,0.13290447987897566,0.1320676729870095,0.13090180823959277,0.1284560724514244,0.12667425408945696,0.1253776998960638,0.12444106674230261,0.1228232450794811,0.12008095257839185,0.11793242864648341,0.11582872142312331,0.11348258471535239,0.11116501870761107,0.10996019222145292,0.1082425373790533,0.10714045942676434,0.10630470680861294,0.10472974883069498,0.10366419255206318,0.10248570494126204,0.10181610180397586,0.10198690357017429,0.10196200546760573,0.10191226700546158,0.10154050201044644,0.10099462228214674,0.10021093805707852,0.09939599535179389,0.09912288490002345,0.09873253119419972,0.09804000097554916,0.09764283061071972,0.09728781724183311,0.09707085973228391,0.09643022270192952,0.0957185952036612,0.09513037311192024,0.09523063310572974,0.0955074545038266,0.09559813567786829,0.09541961807089595,0.09541418092760047,0.09574773137799832,0.09626484314153624,0.09667085635819975,0.09720784725475703
event_10,0.12953370803891703,0.12431247247772487,0.08800718259301755,0.20465215334572393,0.12436562965924369,0.09264341798404707,0.1292265202370547,0.12924916582926113,0.12925762493276818,0.12925181236246033,0.12920454075943466,0.12909125260678148,0.12896429851377905,0.1289071195981825,0.1288594442273982,0.1287647358389059,0.12865887138721085,0.12852862535636111,0.12838680620495593,0.12820175063637315,0.12800597311736744,0.1281588872482341,0.12821116886658585,0.12856946481243411,0.12869263682424048,0.1285919822879404,0.12852792938632338,0.1285556015666091,0.12863555139117702,0.12857502086470268,0.12897896765513145,0.12906476422802757,0.12924188754771926,0.1299681413104952,0.1305812053574517,0.13096273659885377,0.1310317326302582,0.1314517626036313,0.13133445734455546,0.13115161724924837,0.13175695908994964,0.13185167810936999,0.13208475527619146,0.13226714505044165,0.1329352983652163,0.1333781241811147,0.1354310741401876,0.13651318014954453,0.13697734002975365,0.13693902557516036,0.13695139955661265,0.1371272008633443,0.13715706782852127,0.13733372791321605,0.13716813103298472,0.13722716565004103,0.13650299294227197,0.13567517621072692,0.13519170895051388,0.13417844134928233,0.13296245378016683,0.1321260212518957,0.1309608017547227,0.12851476673272033,0.1267332024885965,0.1254361691285733,0.12449861943248867,0.12287999414845521,0.12013711490809219,0.11798785867162072,0.11588475273768319,0.11353971885313878,0.11122219319216506,0.1100168169487205,0.10829891567390483,0.10719609397522409,0.1063591797648392,0.10478282731878805,0.10371618084302761,0.10253764695338241,0.10186849148461766,0.10203988094044411,0.10201536831708946,0.10196613893444793,0.1015951844632213,0.10104931149021848,0.10026576831886759,0.09945124066100125,0.09917731411007996,0.09878597225491784,0.09809222894778916,0.09769370439012971,0.09733789865414008,0.09712013155490838,0.09647919998434916,0.09576715394947216,0.09517869269789742,0.09527821081845862,0.09555447866400466,0.0956451454415249,0.09546749128288108,0.09546304530276728,0.09579679614205709,0.09631393802710134,0.09672041735989394,0.0972582674705018
