,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.08707661703477058,-0.11539494119205906,0.16988530714231506,0.3673092816692348,0.11004068459673753,0.005618428359888092,0.08642499907001265,0.08671962642924372,0.0861769588757754,0.08672929984245213,0.08777694230492301,0.08764028941579298,0.08760800996599646,0.08645331442339031,0.08671571268941135,0.08224395881187925,0.07990078721167061,0.07608889167272605,0.07316701244020793,0.06844167122389962,0.06995422019950391,0.06993011546932477,0.07722465082587705,0.08164656001396726,0.08600879414138386,0.08871395318109919,0.09209246359539164,0.0972525779596162,0.11274630270768828,0.11716769727317645,0.11324762780732037,0.12066340270323832,0.11629097184474364,0.0936684156500039,0.10209775138163599,0.12256267397066345,0.13803308915809273,0.12161568576469478,0.10037542954652888,0.10170472006058515,0.1520119007908488,0.16537284155484774,0.18129633583985633,0.22260236059677171,0.1942266551282891,0.2188793100705685,0.2214637402444454,0.24075894503900322,0.22539322947691406,0.19333962665443655,0.2208677192784601,0.19970869629290378,0.1712128144950108,0.1554580099807738,0.13864185162768491,0.11014674027587497,0.07191291808497297,0.06703598969103297,0.01708987163762777,0.043775297931536505,0.04165803939566029,0.06407707796853056,0.04129547291772299,-0.01905412218203752,-0.0763345930235827,-0.15311916600182945,-0.16056229871914884,-0.20597991598920462,-0.24417207879491135,-0.2788528603880505,-0.30531265169114796,-0.3782805944272013,-0.4343194098414591,-0.5256144231602027,-0.6162529705692735,-0.6965356057275607,-0.7633948817264357,-0.7753587658065474,-0.7524820123890543,-0.74626624938494,-0.7359393661549443,-0.7483531097684137,-0.7197648588746511,-0.7011555694177696,-0.6911713922526697,-0.6549723877439245,-0.6085386385661798,-0.5804746899936228,-0.5594549376673752,-0.5042180600062329,-0.44598463057646104,-0.4000831343777492,-0.3705865740720427,-0.35576979905392,-0.34420800028606896,-0.32631488858758684,-0.2701656726535514,-0.22013447026747865,-0.2168690112159681,-0.208924133134868,-0.2350455947594714,-0.27513947467314176,-0.3136783082633506,-0.35397935385107987,-0.3789275201404547,-0.3950652711106579
event_10,0.4046622711264052,0.4109124716266575,0.4828302269648519,0.9614735316008238,0.0572059417225435,-0.0070182568532006,0.4043273994499233,0.40431217623668586,0.40389207993551807,0.40245966924872423,0.4025954041390408,0.402142211856612,0.40015654990613886,0.4050638842304106,0.4084432884682059,0.4008520582812196,0.402966540027909,0.4058922051981496,0.41408081962303617,0.4088526447085613,0.40690305461771414,0.4222534340165932,0.43259496220127125,0.4187709535027362,0.40732700198129845,0.39149817685727256,0.39295200842193423,0.3926204564426934,0.4123120037892175,0.44933370142547757,0.4353336950293687,0.4151357349587,0.372445572289497,0.4058974894536704,0.408642125507676,0.34889269243680215,0.2992890711340989,0.27993243124354783,0.2991397392623056,0.291018938253553,0.3309867165984699,0.3344647730620707,0.30796147486319186,0.28782331110931964,0.36540824273270694,0.3747647594653402,0.35153457843248115,0.39637322321810975,0.4387056509316451,0.5107780291560835,0.4899279071069446,0.5541417630520025,0.6407441107601396,0.6277927755065688,0.6448545253200265,0.5468709607576832,0.5287195006342386,0.48921495982981045,0.45295764589565496,0.4143825593617296,0.44547244688812765,0.3889614471795113,0.3065834490596759,0.33424607718361854,0.352140884016945,0.35087498915470294,0.33535456104714306,0.35178946989705384,0.31229207040184254,0.29275465237094705,0.27516588466375375,0.2763565021668778,0.2991771979927564,0.27966971084530545,0.2537305682541448,0.26729735781800795,0.2904942317450433,0.2989068158902334,0.2961682821638526,0.288518436715743,0.27135915669640026,0.2638832404466256,0.25311019759422065,0.2366900218982409,0.23041287643647,0.22528063612034868,0.22689427158255812,0.22426006788682115,0.22364962129744992,0.2004879783218073,0.19838171884784814,0.19023911461320092,0.1785334792409081,0.17241476843240602,0.17985537070654475,0.20003136574877525,0.1995364503502058,0.23124086924065068,0.2469241033839315,0.24655137299950705,0.26005933047718927,0.26945908496297993,0.2667471356437134,0.27273719876907326,0.3117378612714903,0.3385993105298917
event_100,0.4094479061068516,0.346653592194893,0.38693096061419496,0.7844153518038218,-0.1088905495066185,-0.008620028928867039,0.40704047714670594,0.4084171392343711,0.40698563429075435,0.40905131059033856,0.41362159792286474,0.41303659208884125,0.41082439813322,0.41410551713420596,0.4206010648003761,0.415529374191441,0.4128289456118436,0.4106583217921875,0.4133900120559604,0.4192025788536403,0.43925007118918574,0.45421513470656644,0.4536053852745032,0.44569561369595356,0.44812668823660073,0.4603854224868774,0.4677971654556027,0.46934685143850335,0.47051702300010306,0.44813842716962005,0.43609302814546386,0.4610044703152951,0.4133425030419007,0.41712502093711484,0.45153999725552024,0.5073555043486951,0.49445989636176,0.48402701392248415,0.4682171167581057,0.44881172506210915,0.43511960521069587,0.411465415258984,0.4883685836203654,0.5476606076963545,0.519773541766923,0.5015873910288362,0.4441963757983601,0.3979783205980571,0.3639990830318194,0.38990148920118334,0.39318279429498243,0.3696649536195368,0.3081811965393358,0.32487607089996046,0.3567762960185726,0.414899156069117,0.411303294204898,0.4022897540751731,0.3603108939752058,0.33307296263625397,0.3124018528559802,0.308679452120286,0.2990776419888876,0.2447825624103917,0.18858058284711574,0.21496028647766915,0.2122197969228923,0.16998187074385512,0.15569855836859803,0.22078015282652316,0.26054910715429014,0.29200054975842293,0.29353721778500835,0.29507695146634344,0.28559701148774475,0.2845252057566674,0.2697343105953065,0.27162387552600564,0.2724828042324333,0.2709681342737521,0.2809829853665382,0.30317907189733173,0.324606174544137,0.3605950324401911,0.3576873766118512,0.32092089641893834,0.3085936289434183,0.2855832747509654,0.2839509618508165,0.28814881272081716,0.26749048350565047,0.25330310763590425,0.23669762441574746,0.21555558391406782,0.24043683889349482,0.2599553225861735,0.254001939411269,0.25548165347228335,0.25878220387256384,0.2611258081867423,0.24574562585016138,0.25260808193871465,0.274270008853513,0.28561797429921426,0.28900174185077077,0.27124261247605175
event_101,-0.08592109861259059,-0.17929342695496908,-0.15631340530333457,-0.15234298752217548,0.1123822472672099,-0.04819915134538088,-0.08408583263004424,-0.08388015433629262,-0.08589650523856096,-0.0844002142095567,-0.0851649343199984,-0.08699252869148036,-0.08753834508003148,-0.08942721816032688,-0.0917774733102782,-0.09418927004099877,-0.09653495497333103,-0.09401964905720016,-0.09663207288002054,-0.09368914299572809,-0.10065195348421052,-0.10173900017134857,-0.0943339188194272,-0.0880581538266698,-0.08062949455492055,-0.08016508734098711,-0.08533674044275427,-0.08984035575731565,-0.0837777478766191,-0.0686380660125827,-0.07820644231853155,-0.06441887057612776,-0.07166219871261675,-0.022377114532368937,-0.004964989492384639,0.023177060795843373,0.013400347498889771,-0.016797715280790097,0.010014371835225628,0.011220083075192589,0.001928702557881639,0.03460215250709374,0.05045154559660453,0.01235267036017839,-0.01149741489723567,-0.03902093156414984,-0.06629811092567385,-0.10895212262747477,-0.11184698740073534,-0.15880781799707552,-0.17135771115348325,-0.12408933427261817,-0.0809659538118291,-0.0587166242107877,-0.048985195613573736,-0.0342145506105918,-0.04897947134449307,-0.04435793255411914,-0.056488739407457994,-0.010490295638339515,0.017513444928043274,0.04755078839324015,-0.019467425823111863,-0.003303927671475849,-0.015083531218627702,-0.029733450824904948,-0.06134679915643924,-0.13093075857294142,-0.13827672033336533,-0.19625301031535458,-0.28261977627626717,-0.34330823354894185,-0.33529995603978624,-0.36533655406721116,-0.3669065557067288,-0.3427895297494306,-0.28024973133398645,-0.24364440844148075,-0.23629763334375833,-0.2963596908552589,-0.3057252153367695,-0.2753654863300418,-0.2292676054709416,-0.20772053423681663,-0.2370971903220503,-0.24834477394934756,-0.23224249500059901,-0.25123362429239154,-0.2671158534969231,-0.3227503394194832,-0.36134397751795994,-0.39617774517659765,-0.4013842926740242,-0.38133320201952947,-0.4000424762432785,-0.3676247993349081,-0.38451546312476853,-0.39421802465721983,-0.40395520414156805,-0.3984147960163727,-0.4006892858825569,-0.4241765529905424,-0.43268273862905754,-0.42961650027498816,-0.4382111797400664,-0.44635321514813464
event_102,0.4539074638387001,0.34136708359932644,0.4424202615372924,0.9546084297178017,0.00914065791685266,-0.026411974552490877,0.4567805846790646,0.45678133810738014,0.4579136773053158,0.4562028475360996,0.4538894734382555,0.4523378718408132,0.45349029916159656,0.4529447229461484,0.451501606336498,0.4528579685020179,0.45780092826724356,0.4532588565264705,0.4496666846678036,0.4585462239341757,0.4613611989957913,0.4742223158312419,0.47959251258724117,0.48293959937064834,0.48143763289406544,0.48788353260050865,0.4987796534072221,0.5026675367557117,0.5023880114001237,0.5204103305316775,0.5331435008414316,0.5506552499971117,0.5612924898142851,0.5854594689154705,0.6291289806145731,0.6120961654957977,0.5939333873036223,0.6063857499042038,0.636252400531247,0.671967903537563,0.6647778389425137,0.6484356512003066,0.590070658783864,0.5511868048927993,0.546515947640427,0.5416759735821641,0.5269620133725593,0.5320198655962622,0.5451779225338439,0.5369030262468674,0.5209697782727415,0.47673467502878814,0.418862294991965,0.4109742807603781,0.3803736150427548,0.3965023755758271,0.42094095259869035,0.4269182666941485,0.41107618688842334,0.33543481517321616,0.2895342836565856,0.2615661843580903,0.3003933037801179,0.3518688631160144,0.39031339334837367,0.4184797150738106,0.4536669074068249,0.43538552927948515,0.4089713929469969,0.3346833666861669,0.24336833812707115,0.13380123584826914,0.0910036159373137,0.051437399193426575,0.024930774680703302,-0.023060979161005465,-0.08496122339917535,-0.11978952248834918,-0.11206938196680916,-0.1198009471895071,-0.13540398973620715,-0.13675474920934869,-0.10271381616937422,-0.07749310627196086,-0.0391973083474809,-0.01109704351811742,0.0012065101035737243,-0.005196027725383328,-0.020652586928008317,-0.040513783653980485,-0.0306468869628987,-0.038931235443865175,-0.03388057917503042,-0.03442200705979915,-0.028248520133649722,-0.029181866328614803,-0.025353966984164252,-0.0455008960832154,-0.04835335363774548,-0.05289437243722464,-0.05650305621835573,-0.05059724839796195,-0.04820403393595447,-0.05646090667120204,-0.07698811847218423,-0.08930316551055512
event_103,0.7624591162106841,0.7411464665758094,0.7023227529376767,1.518172174634157,-0.19178361166398267,-0.1805189265655989,0.7653661053367877,0.7642966338486654,0.763996238538878,0.7637876978639058,0.7629712202728101,0.7621226230666083,0.7633850819841395,0.7627632928478987,0.7640253273128121,0.7713492440597188,0.7780987857443215,0.7805461798111087,0.7850337890854421,0.7895709778471123,0.772292504356844,0.7631276001299896,0.7619267037436321,0.7596939749953007,0.7724606404119723,0.7979468690723731,0.813337238220761,0.8226718160176071,0.8361072179824787,0.8123754145207499,0.7856605478168246,0.7877187980854734,0.7908028866051677,0.7672256026783711,0.7577599271399862,0.7744821921246571,0.7717013160794018,0.7683019792056143,0.7527998333078243,0.7387097503169819,0.7350392885205375,0.8311134221070074,0.8707039094153061,0.8475247325276447,0.8328264675916123,0.8624607851614355,0.8146528565248217,0.7981392109513749,0.7599185345821672,0.7369952332151953,0.7749013585520835,0.7485226531864042,0.7196640991169457,0.6884510553704871,0.7385667218199494,0.7644369100375985,0.799751428027251,0.8226096771499174,0.8313071571066104,0.8091421470522463,0.708110395058576,0.7346532608515303,0.7390759849520067,0.7407495928518114,0.7035486698027654,0.6384786249864665,0.6010729370192865,0.5832923437004054,0.5708589950024906,0.5631031992986077,0.562350566445216,0.5436512508214764,0.49608837837460457,0.48210286181713286,0.4863420184759123,0.48122186165234737,0.4858967554561671,0.45636186916689686,0.4502610483255106,0.4775752276005133,0.4852249938072275,0.49620626944466434,0.5168446733397427,0.5084393410693494,0.5057798547518394,0.5215396359180424,0.5350518471272845,0.5452155408528185,0.5350151574717266,0.536638878170645,0.5185702169743547,0.510750924195417,0.5086619131081359,0.4988400001457568,0.49272072615997636,0.49993692922263544,0.49400357571919107,0.48272759285350925,0.48864890617834816,0.5014363298330717,0.5130356736906161,0.5122599390775318,0.5064993199038823,0.5069058283637247,0.4999916166210582,0.5032834864843804
event_104,0.2851298428638165,-0.027419844654598662,0.10563399568996107,0.4867667804631509,-0.1946215144891604,-0.3110005621435176,0.29049359859277246,0.2933300792814474,0.2919582887407253,0.29243257387021304,0.2900655030541261,0.2891895600670934,0.2891888020008689,0.2875534672365196,0.2898773184405284,0.2906643717697441,0.2953315660020667,0.29875553122516435,0.3043354456415914,0.3009843251777807,0.3018126449738489,0.2979919916974498,0.30596086211165047,0.30763460483359456,0.32550984838277863,0.34153059366132443,0.361772813331517,0.3530224653712462,0.35677602370602457,0.36701261174497934,0.4028378521027055,0.44024838085463885,0.4418035559501946,0.41482949741581576,0.4107808150945034,0.42332181947603303,0.4836653872039888,0.5251719061507361,0.5340150730259633,0.5694868042709375,0.6098204367314264,0.5720140145292363,0.5241923158371323,0.5015678844044663,0.47238629260269405,0.4298218817749783,0.3915849018818442,0.36789997708102923,0.33402394296215987,0.31281749498772227,0.2794658462916813,0.2563549551900196,0.25897494687316835,0.2600753437191995,0.22774626831437783,0.20696204526955486,0.24754490235854518,0.24660388818275858,0.1786980077736568,0.11420573896468844,0.058334764051633944,-0.05515330729933377,-0.10975833864072021,-0.19032842777028514,-0.20977087692328278,-0.24282109055480403,-0.24767559236489478,-0.24290600353642736,-0.1728236207403059,-0.13725381290370847,-0.09335035501195639,-0.10947740629144305,-0.14200336867228405,-0.17111130941018257,-0.2037311730689473,-0.21450676343264674,-0.2254726989553516,-0.18982290712736868,-0.13268849538498037,-0.12504413951726298,-0.20291158301900794,-0.2211895274668322,-0.2505635752632363,-0.22813333832854546,-0.21731596741865294,-0.2471281058042852,-0.24617863312824864,-0.2758668060249167,-0.3009646968557362,-0.27389076863470213,-0.2773257823887941,-0.23716217460503577,-0.22323270959878044,-0.2529777722107381,-0.2699374136444794,-0.2531891568639889,-0.22998446275071918,-0.2035845306877279,-0.2251520483784217,-0.23804958970647375,-0.26123210923730095,-0.2761452255740795,-0.2701175734729952,-0.2828506182311517,-0.27535388442161124,-0.27626189028308845
event_105,0.4181350889282456,0.5158456055894465,0.39528624853470246,0.8281272503950833,-0.02633695606807762,-0.09294290947247263,0.41935614300816454,0.413971852507176,0.41283412831968114,0.4132716260229411,0.414217071230049,0.4139225608971742,0.415305161548094,0.4146139141794369,0.4175641100191415,0.4162300135154094,0.4110255389834012,0.42083759611254784,0.42341225772057345,0.4220540672057633,0.4373509967081162,0.4430307800838391,0.4324387991400212,0.4085019073020438,0.4079347467762493,0.4045436598846243,0.40453508821499207,0.39884698513073724,0.38977998224821064,0.40538848827477547,0.41363500814475823,0.3949097682919788,0.3606383622278921,0.31544733016514215,0.26081708341830123,0.2407714671926914,0.2229000078133955,0.21463919941893791,0.15398513320272464,0.16692667898532415,0.1593920145721519,0.1701763002057329,0.14882010627199696,0.13131959491718784,0.21712302506396453,0.26117396407887783,0.31817868939616406,0.32925903393739897,0.3735493186143782,0.40621662478685294,0.46756661204826966,0.4755956010738968,0.5252735564880369,0.5980683768117934,0.6090589195616061,0.6347900722149101,0.7168716048882077,0.6861565568675222,0.6094239348035965,0.5850796216676238,0.563481387693397,0.55148590047017,0.5657861662916905,0.5359528851396959,0.4679773070357833,0.49861663531013095,0.5246303211141702,0.538751952549096,0.44679068894555407,0.40471356645077267,0.39827694269493064,0.3879062261465488,0.39796646466054,0.39630261826153046,0.411868632327719,0.4365181144129647,0.42926863443357416,0.4457963542491364,0.47795892646480864,0.5023716850765741,0.5387894044523251,0.5686178031205344,0.5282012404003205,0.5213425826578822,0.5341218690335452,0.5305845739066115,0.5338094535499495,0.5439517669867763,0.5261877854546839,0.5094770657029121,0.5194722529792232,0.5225295530860647,0.5113384138533118,0.4918835488541637,0.48520637998219046,0.48795754758528015,0.49085699602765026,0.49394959325363796,0.4821889681311894,0.46165023235380503,0.47771817079063145,0.4908472488413944,0.4982965136482417,0.4903862877898235,0.48352968161403836,0.4767043771993353
event_106,0.6733224079418473,0.6397616374175805,0.5526108634133504,1.252760752388176,-0.2461804210235602,-0.19736772429415725,0.6732511936767062,0.6739733054361075,0.6740006750710777,0.6719554875893887,0.6718571197502646,0.6708407912533221,0.6677633767690617,0.6679360867005214,0.6657841530893638,0.662066848256187,0.6564568858559672,0.6576001760051073,0.6598190418069221,0.6595277325014823,0.6562619424057876,0.6499394221096925,0.6514561073527385,0.6622320482337317,0.6687146888577132,0.6467369510335251,0.6343961475397457,0.6140906524574109,0.614614205476543,0.6196005137457592,0.6221509659608845,0.6396116659630869,0.6678932318846439,0.6673429511795292,0.645902344430207,0.6457569207065706,0.6206768638306909,0.6292810253209711,0.6368985252088324,0.6357697993343082,0.6157970852205724,0.5973112078083272,0.614795021938185,0.55211831979267,0.5548402829662328,0.5546239551160096,0.5838391321424434,0.644408926358495,0.6619935594353441,0.6601574253962079,0.6676399020276645,0.6302022840947301,0.6482330262751859,0.690933327121553,0.7305078939075655,0.741867010068677,0.7024425385702263,0.7061161894460727,0.7407288602056997,0.7098110426017817,0.6817062578333875,0.69491395274778,0.6509381502763362,0.5814523410817918,0.5390978537226032,0.5365361884816704,0.5308065108699931,0.5461507989505991,0.5552863616114047,0.49744558965240643,0.44685568789838764,0.41130202690276046,0.4099437253773352,0.4020342055266075,0.4075554226157031,0.37963253435963296,0.3775336521972815,0.3691319140301528,0.37749782423644035,0.40870785375368723,0.43668102272056425,0.443337452602987,0.4335769232021204,0.45269028764212155,0.4861566394981542,0.5082813224892985,0.5098024820325724,0.4942219661685921,0.48744225111420125,0.49361271658127726,0.48290790881049855,0.45897499098203004,0.4372724236635896,0.4257749980618524,0.42676970354299393,0.4362026044348289,0.44808723698980574,0.45388924875762227,0.4378489252200154,0.43267713193202995,0.4358418304538348,0.4354328529443287,0.43450208326880174,0.4357977047147896,0.4367851299996856,0.43959104919584546
event_107,0.5927129153366659,0.6116685989605368,0.48317512997341655,1.1649807213186805,-0.34847264482670853,-0.2565578139785003,0.5891975569063311,0.5899631286099677,0.5913768178160642,0.591779089882995,0.589925618007138,0.5877975098082846,0.5873403236062038,0.5849148742728498,0.5837514808570997,0.5809091533663109,0.579951413607144,0.5734007850638804,0.5697491853553162,0.5657943111916387,0.5610388969329154,0.5688926365740785,0.5627367659669487,0.5549624353940216,0.554263868512762,0.5517030845323286,0.5637891682145104,0.5580025594509516,0.5484792259122243,0.5188074154593745,0.4984975764565661,0.5005679956796641,0.4749346223981416,0.44846640545067,0.400830850669224,0.3873577725046368,0.4037293706212479,0.41109217606967197,0.42793208992355486,0.47870633447748323,0.49986281251231,0.5381770975058626,0.5915926336268239,0.6326065593220854,0.6578803896477743,0.7190408843958048,0.7950236111741907,0.7604680246942548,0.7248961699456271,0.6887748719137247,0.6945100902968872,0.707538510120187,0.6941830627520283,0.6801587870745858,0.675240599132025,0.6583591714743878,0.6650899357265296,0.6846975704987078,0.6506945824567026,0.6101685623612696,0.5535242689371135,0.4988345141320392,0.42001371925375414,0.41805247054835576,0.4426886162824803,0.4315719651683941,0.399446700768118,0.4169856208983471,0.4231631155203089,0.4028682091728679,0.36929130985160563,0.34931802505810516,0.31866168242355686,0.2740860133278697,0.26136727495914835,0.2683120575613928,0.251597516795261,0.2891735794243014,0.2968211199107661,0.2961743218080816,0.29359464654026185,0.2633064572285706,0.22426795289859397,0.21398569093018843,0.24920831075127756,0.28149617266077237,0.31679784801092703,0.31693633893081596,0.3346210212465033,0.35224079082251475,0.3579825766909078,0.33936945406322416,0.34622034230038046,0.3360672290175045,0.3293666691903238,0.32139454336818796,0.3321493438592504,0.3610051704762849,0.36359514756142103,0.35791364108833534,0.3685380087978471,0.3678987714734091,0.3395949337961168,0.33838121955380196,0.34447962324301784,0.33060785965027434
