,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08588195000742373,0.08176793969527633,0.05887163276784813,0.13609684686363227,0.08497133716839826,0.0618704513357988,0.08567956006421916,0.08569071796236015,0.08569750455388098,0.08569781166342248,0.08567413066277334,0.08560613286769318,0.08552508775106632,0.08549068040757289,0.08546369336714035,0.08540631523529583,0.08535409370749644,0.08527923873671607,0.08520521884420373,0.08510891392868122,0.08503348740682154,0.08519980732381417,0.08525419197137384,0.08552415804790545,0.08564179176530017,0.08561997005435097,0.08565681793212711,0.08575451657842126,0.08585632079096266,0.08585230687163557,0.08620474462492864,0.08637594285964215,0.08649309552141514,0.0869773110042376,0.08739376583116287,0.08762550005968353,0.08760008760390835,0.0878299316660266,0.0876953288945694,0.08753805240497271,0.08788750166329318,0.08787139933048871,0.08799473223733895,0.0881120097965494,0.08860365743063194,0.08881760469042928,0.09007750829729076,0.09071311708813361,0.09109703794559385,0.09100822870721982,0.09096097676270522,0.09097540616964221,0.09083917319188305,0.09074017058933263,0.09050090088088905,0.09068111072925779,0.09025558640869079,0.08965638771729575,0.08919488575960695,0.08858588338815035,0.08800012160634453,0.08746858061490276,0.08673430844004335,0.08517567619936349,0.08414416246533853,0.08351644670951096,0.08297783140805065,0.08192727599949579,0.08026879593880558,0.07897549240403527,0.07753095900202377,0.07579969029418371,0.07423424885242803,0.07344403891026721,0.07232991607062776,0.07158574934059793,0.07105882642995404,0.0700528971352158,0.06932677625887733,0.06850061763920513,0.06803964400994984,0.06812589564781632,0.06804705110648833,0.06789391632936621,0.0675377765122621,0.06709887644170001,0.06656365354957401,0.0659990574511727,0.0658250128881887,0.06551725741572888,0.0649392098810359,0.0646300863634849,0.06431765707282447,0.06406743844465683,0.06359346740624433,0.06305658979338284,0.06263860139023998,0.06269125824036986,0.06286187646014944,0.0629433936536228,0.06286077484099113,0.06285269891637986,0.06305841108445041,0.06339495575033907,0.06366588854312259,0.06404696425475793
stat_2,0.11572911311714783,0.10968894443946975,0.07935836335685197,0.18348165873008143,0.11434252304761608,0.08351328482857051,0.1154604096768648,0.11547305915260565,0.11548231827161025,0.11548429244980836,0.11545642388584483,0.1153700069509249,0.11526301728947093,0.11521933756267205,0.1151874107323971,0.11511478006021982,0.11505700903501571,0.1149651683552461,0.11487964470119844,0.11476702767622361,0.1146988628430721,0.11496186429070487,0.11504794831432893,0.11543116521997128,0.11561175170848415,0.1156090141471368,0.11570531920529313,0.11588303261838628,0.1160484460603681,0.11606167508779523,0.11658214999453534,0.11687929713465942,0.11703298778008965,0.11768504324361058,0.11825293583470739,0.11855345534325094,0.1184762240804079,0.11875641039175047,0.11853700782474057,0.11830549626639049,0.11875735858339531,0.11869203683212981,0.11884218493174585,0.11899967593889088,0.11969150843283087,0.1199306178197957,0.1215575507131503,0.12235221255451835,0.12287290070727408,0.12270496172827967,0.1226094339892035,0.12256194451254628,0.12228527117264196,0.12201819734540482,0.12164151264349025,0.12197491159655986,0.12144921634440625,0.12059592582950994,0.11985780999362405,0.11905994886829373,0.11836602493060913,0.11768452834631674,0.11674725118844391,0.11470393173062671,0.11342582284813173,0.11272522288236297,0.11204355477596152,0.11064155248081264,0.1085168441800418,0.10685966867425985,0.10489799771305403,0.10246828022377445,0.10034164138332292,0.09928188337069573,0.09779355662142249,0.0967834440060293,0.09609130959232585,0.09475923897809437,0.09376859638119589,0.09262901581042884,0.09199705898719257,0.09209597421370314,0.09195147160379358,0.09167217324563108,0.09112262760492826,0.09048464042620882,0.08975016089412276,0.08896757670214879,0.0887434444815731,0.08830655267059871,0.08746317548348774,0.08702233533875031,0.08655573029018133,0.08615384526221363,0.08548629638989616,0.08472429747919133,0.08414490305695872,0.08420295676064386,0.08441943652947671,0.08454143460506298,0.08445888446915346,0.08445026716866408,0.08471849800528752,0.08516737429596784,0.08553443399461953,0.08606402613664665
stat_3,0.06182345613547266,0.05889068218213622,0.04287088102410082,0.0986405784689186,0.060300419702475294,0.04427727195104155,0.06168742078132491,0.06169619959066527,0.06169888821308741,0.06169512949516386,0.061674432627133624,0.06162655631374507,0.06156850068504811,0.06154470467685558,0.061529678863586096,0.06149216254363327,0.06145714518522317,0.061409765626886284,0.06136318044251948,0.061296096279128874,0.06123624753397145,0.06134082384368205,0.061386922065252286,0.06157436863383175,0.061665366334862574,0.0616533987825856,0.06167054279564947,0.06173442317614812,0.06180225801071847,0.06181066027963201,0.06206767480182121,0.062166163318779985,0.06226763947429927,0.06262467995373806,0.06291988311171587,0.06309003462077674,0.06309477108844937,0.0632774389984364,0.06321269117379716,0.06310297127566453,0.06331855308257883,0.06331001118796313,0.06338825208003081,0.06345501729102607,0.06374167767933236,0.06389815561830997,0.06477998273348191,0.06522319107453986,0.06540655355920175,0.06534743302188167,0.06533019732840384,0.06536170445368042,0.06530621117003814,0.06528801367781821,0.06517771010680222,0.06527863767276991,0.06498123645509524,0.06453913915558626,0.06420606525549336,0.06373679036221866,0.06322642902211373,0.0628544826672912,0.062343060851329395,0.061225977285398595,0.06047325724956727,0.059967603071714795,0.059547880679694916,0.05878565606112657,0.05757092528719041,0.05661551201732587,0.055631497348528174,0.054492570287822346,0.053408119337983936,0.05283831890169914,0.05204888923603602,0.05150986181282746,0.05110040921880275,0.05034775183934712,0.04981256584551306,0.04924446761321669,0.04894046629322441,0.04902486531511979,0.04899569358805594,0.04893138181055653,0.048733673564773046,0.04844518591605763,0.048081231665050024,0.047708437923337885,0.04755809668293039,0.04732146041186318,0.04690525723190963,0.04665713206016203,0.04643196357391327,0.04625679954211701,0.04592809436623344,0.0455553647521727,0.04526265130113987,0.04528124013629216,0.045388090734911304,0.04543990467141671,0.045398214855863414,0.04542241807294834,0.045575417963130783,0.04581271021361582,0.04601527948675744,0.046301477717168756
stat_4,0.05217256415815008,0.049597977405934156,0.03663512158529627,0.08385932212953096,0.0501554723532782,0.037180972418034246,0.05206705605637603,0.05207447892249591,0.052074901640840714,0.05206873931152395,0.052049211979237286,0.05201108448168263,0.05196291568067649,0.05194436684278621,0.05193661170756002,0.05190942452715038,0.05188539563847738,0.05185338509706532,0.05182361416164395,0.05177351512949619,0.05172717980229799,0.051812748093930654,0.05186115378248271,0.05201859887901517,0.0521069235873698,0.052107428999670885,0.05212654040886066,0.05218758266289343,0.05224790545469716,0.0522703296816393,0.05250318265766975,0.05258313863534015,0.0526830618924754,0.052991870356179444,0.05323874639443894,0.0533819100639331,0.05339423591324488,0.05355532772649402,0.053518662492323364,0.05342353406143337,0.05356765624941585,0.05355078501489385,0.05360294009951251,0.053643516203726024,0.05383434473315978,0.053955204441218284,0.054658720516538944,0.055004297488208356,0.05508096711692141,0.05502304351202805,0.05501464536191596,0.05504228046452543,0.055007933594896814,0.055003721421788075,0.0549486212694849,0.055032360655700815,0.05480083755836634,0.054407247923407,0.05409675137059235,0.0536808492750444,0.05320024828370639,0.052903590887243904,0.05249897903470717,0.051574499463974535,0.050958809852325995,0.05052343293356062,0.05015325915415599,0.04950841510285293,0.04849373425026374,0.047688638892577975,0.04690277446580006,0.046009556756985544,0.04512714277016608,0.04464688145291259,0.04399554004952652,0.04353567282947753,0.043168404977901406,0.04251450711949658,0.04204852240841282,0.041585384863258065,0.04135049543788832,0.04143668121426999,0.04142583521394336,0.041391799927329546,0.04125730961895748,0.041024997269405596,0.040733038683166196,0.040442158158092996,0.040295980364667694,0.0400765987632405,0.039707246550895935,0.03946892557181302,0.03926636304360325,0.03910555763862187,0.0388311795717566,0.038518167146572364,0.03827384043763429,0.038269844147327294,0.038343127743733205,0.0383842074676221,0.03837143864458395,0.038417900202962464,0.03854882406573835,0.038743633108184954,0.03892150040014622,0.03917741308564703
stat_5,0.05234748427265934,0.04975487284329114,0.036740129727999324,0.08410075227917306,0.050431675140536265,0.037334358475772454,0.052240821638963555,0.05224814021747426,0.05224877103862497,0.05224299695462953,0.05222384376659457,0.052185618016987304,0.05213731693726939,0.05211868399382925,0.05211061337439072,0.05208311403868312,0.05205911406968259,0.052026674621063966,0.051996640485184605,0.0519467096947926,0.051901749612346226,0.05199011271584186,0.05203857583074066,0.052197762567138546,0.0522867167019753,0.05228798663356814,0.05230970625026734,0.05237334918650514,0.05243547307786305,0.052458183572064054,0.05269388892897521,0.052778821379181454,0.05287804822014662,0.053187441869669456,0.05343568477529843,0.0535785026149589,0.053587436215291405,0.053746611200882546,0.053706198871744854,0.053609517676703425,0.053755031509188034,0.053735849088489974,0.053788113695087014,0.05382995824995546,0.05402725733985068,0.05414657250865126,0.05485226669499457,0.05519867190712413,0.05528458710592685,0.05522520530283164,0.05521457039436894,0.055239133685726055,0.05519888554802925,0.05518724452529471,0.055124305024482574,0.05521267892480051,0.054980132161995696,0.054585710729825244,0.05427303152970399,0.053859582932643146,0.05338851252519638,0.0530898479293824,0.05268242032349838,0.051755015564197523,0.05114008765894446,0.050711305585578376,0.05034379221951558,0.04969761825583304,0.0486839283789101,0.047880414500897424,0.047087184455390285,0.046179882210161984,0.0452910193200844,0.044809451427061976,0.04415577013560789,0.04369426191613312,0.04332842775459792,0.04267516008312135,0.04220795908328076,0.041740476305017316,0.041502576333190336,0.04158690725401956,0.0415726152466322,0.04153229989774384,0.04139043986952366,0.04115342175228235,0.04085851745944818,0.04056354484021691,0.04041893630949409,0.04019876172432925,0.03982544812907757,0.039587483314136994,0.03938277796220387,0.039219124765084254,0.0389418603275323,0.038625466927250336,0.03837910046977011,0.03837680155173183,0.03845178013402612,0.038493964388453226,0.03847985775762369,0.03852350029055057,0.03865414668995005,0.03884999165285549,0.039027756668568614,0.03928381211162315
stat_6,0.05042126306412553,0.047899351145369515,0.03551386782364478,0.08118471152095598,0.048328849398614336,0.035899395100552844,0.05032135048397038,0.05032845138284474,0.05032848030764429,0.05032195387576871,0.05030278223993092,0.050266571588266626,0.050220261307716174,0.050202738964752296,0.05019641111330246,0.05017122004967961,0.05014955960067093,0.050120591965212784,0.05009430134665257,0.05004783538195908,0.05000506787566409,0.05008849984977282,0.050137765023984766,0.05029042827088302,0.050379058011055994,0.05038280525124542,0.050403956973994864,0.05046619607012737,0.050526209315697686,0.0505520365238974,0.05078242139500603,0.050861486489061976,0.050961215198309956,0.0512613712991683,0.051499678374151786,0.05163747141008234,0.05164965584207269,0.051805793306014196,0.051773042372821494,0.05167975960654179,0.05180964910625705,0.05178953472820272,0.05183624151592534,0.05187192637457965,0.052046108631273555,0.05215879888047442,0.05282765957490737,0.05315371752336987,0.053211813514362626,0.053152830627217866,0.05314505932669817,0.0531700978364416,0.053136790970612684,0.05313120177789069,0.053083838167106254,0.05316707453769611,0.05294858224640812,0.05256279732575833,0.05225372917687163,0.05184858684938634,0.0513770342668221,0.05109458985989265,0.050710255629922076,0.0498220179435979,0.0492341507896103,0.0488158887619934,0.048456118260021046,0.04783298239149628,0.046857835432875854,0.0460826168221688,0.04533234176647447,0.0444808387223124,0.043634739137618526,0.04317092356320515,0.04254527359913639,0.04209946787390185,0.04174029221105991,0.04110498339371404,0.04065102947201202,0.0402061623648795,0.039983626702914374,0.04006965925412257,0.04006088619097412,0.0400298530303283,0.039904508953690854,0.03968071816777901,0.03940144884817595,0.03912481416085159,0.03897962357645071,0.038762383036466036,0.038399074302526044,0.03816168954827785,0.03796170183740815,0.037801421109320076,0.037535908702777676,0.03723243600250025,0.03699631924231813,0.03698808868685375,0.03705513450628121,0.037094691236259296,0.0370877362136806,0.03713797574569274,0.037264572360299106,0.03745158672403464,0.03762495412996409,0.03787576236244154
stat_7,0.061053770426661796,0.05815082988784904,0.04237663046392012,0.0974702520013628,0.05945942200866461,0.04370433154024289,0.06092036122651824,0.060929059203400575,0.06093151910784314,0.06092747519011923,0.060906773708579,0.06085967400103,0.06080240258220742,0.060779033189714685,0.060764659623513906,0.06072802356228636,0.06069387006877849,0.06064779953981188,0.060602605726741525,0.06053681212831501,0.060477710408478776,0.06058021176692276,0.06062652262155349,0.060811302534499345,0.06090201285640259,0.060890862752310385,0.06090756830705659,0.06097064741762317,0.06103749501579239,0.061046940053293815,0.061301488472150584,0.0613973262498681,0.061498902747962755,0.061852193831761895,0.062143415552944635,0.06231162706566158,0.0623178090255057,0.06249935014188271,0.062437688412416315,0.06232943701971569,0.06253917341609554,0.06253051565488424,0.06260670600589956,0.06267113093404203,0.06294881030211134,0.06310290312570321,0.06397052431194798,0.0644059744229116,0.06457864869418371,0.06451987595392655,0.0645038460290055,0.06453572312257284,0.0644831696523232,0.06446761522444316,0.06436339315528779,0.06446211030885912,0.06417010351852408,0.06373168097361011,0.06340045254262315,0.0629345794314626,0.062424111310811034,0.06205847601886339,0.061556013307341756,0.06045433913206554,0.05971202342249138,0.05921016739545916,0.058793468728408335,0.05804040645345829,0.05684059083934755,0.05589610113558959,0.054929053987238755,0.05381239969033403,0.05274486900925881,0.05218213235357094,0.051403728086680006,0.05087104232513154,0.05046432995283114,0.049718871771937824,0.04918913252270046,0.048630071223700784,0.048332097327494924,0.04841714112631495,0.04839023394831139,0.048329765353859334,0.04813865107208321,0.04785550935336641,0.047497720779290105,0.047132125298837056,0.04698167754320357,0.046746432387186065,0.04633452742531941,0.04608690556249208,0.04586380577758395,0.04569019481784937,0.04536620311301453,0.044998670667143595,0.0447100475810796,0.044726433191921156,0.04483025943093729,0.04488103086874516,0.044841993953265186,0.04486862913735421,0.0450200070192032,0.04525381952706981,0.045454576484625024,0.045738549712962664
stat_8,0.10257465039036477,0.09746118811751903,0.07024934732649848,0.162482431603267,0.10158088352986915,0.07399244372001132,0.10233302076249247,0.10234530745404546,0.10235379033793357,0.10235536683973996,0.10232920738493231,0.10224985435139547,0.10215387576902937,0.1021136753683885,0.10208249676873872,0.1020152092163612,0.10195732971679539,0.10187043267128479,0.10178650777751072,0.10167777091761875,0.101601441960262,0.10181738254882682,0.1018861826628695,0.10221714514544417,0.10236512011351007,0.10234866986579229,0.10241193636029125,0.10254714812402849,0.1026803064755707,0.1026807539373166,0.10311833401831415,0.10335176707142325,0.10348732548158661,0.10406412672193144,0.104564802483495,0.10483665015394862,0.10478645653355427,0.105047127284512,0.10486693023858654,0.1046711634515515,0.10508706891140282,0.10505082947110958,0.10519369063000994,0.10533632186841375,0.10594530101356617,0.10618163496984385,0.10766314337247172,0.10840063983286852,0.1088750959005093,0.10874950771242489,0.10867802453587605,0.10866584281492855,0.10846011378473255,0.10828126337964183,0.107964853829705,0.10822004476161916,0.10772921597421005,0.10699715109939015,0.1064002417003326,0.105686486531887,0.10503803962210138,0.10441521670282831,0.10355607699330534,0.10171606790427226,0.10052929366681336,0.09984437204403354,0.09922324368998454,0.09797473328581918,0.09603963351180553,0.09453170049964305,0.09279135224769891,0.09066925491262855,0.08878619254756744,0.08784445574518943,0.08651665889295966,0.0856255989548215,0.08500788275679177,0.08381992044558587,0.08295007596116413,0.08194902728093245,0.08138986813603939,0.08148274812387105,0.08136968779255044,0.08115187217146416,0.0806909556184108,0.08014481707784947,0.07949729738516172,0.07880962514460446,0.07860946002349042,0.0782356497162808,0.07752046924268322,0.07714560803737022,0.07675476963767046,0.07642992858431953,0.07585074207225603,0.07519243037024645,0.07468569937606812,0.07474621225716149,0.07494693442213407,0.07505006692401588,0.07496022903730439,0.07494725264230347,0.07518873026437287,0.0755895605124806,0.07591287225493602,0.07637266972086366
stat_9,0.12070178341812718,0.11422616861222798,0.083002844126176,0.19165651089019003,0.11910982972564696,0.08709198929455962,0.12042588031605346,0.12043832553944715,0.12044740350314728,0.12044896090925189,0.12042048419679427,0.12033275061502491,0.12022213861891072,0.12017794101409844,0.12014769969015983,0.12007494838185122,0.12002058750172412,0.119930445481553,0.11984916830662211,0.11973957391789454,0.11968083710644971,0.1199667807899909,0.12006430039658225,0.12047005670979855,0.12067008876628896,0.12068023587024121,0.1207981048030174,0.12100185655496579,0.12118519794541,0.12121187955775917,0.12177732000391989,0.122108795305041,0.12227414685141086,0.12295742996647156,0.12355094162653564,0.12386002248910763,0.1237682979969901,0.1240533476452813,0.12381949799516938,0.12357006332539246,0.12401785833220436,0.12393069037461786,0.12407602542120623,0.12423361002469986,0.12494459477993605,0.1251735974470239,0.12683293242680854,0.127632640919298,0.1281525463575561,0.12796047739388847,0.12785299112917733,0.12778365490650428,0.12747068889286986,0.12715540933667796,0.12675646937342544,0.12713092684862026,0.12660264867611062,0.1256929894623106,0.1248808481173159,0.124050485291057,0.12334254474149788,0.12264604439698876,0.12169073660571332,0.11958159028563722,0.11828808224115742,0.11759937417428556,0.11689704413582036,0.11543851377723996,0.11326011621075179,0.11155908226239546,0.1095241855908481,0.10698433439429593,0.10477380139785125,0.1036705107284444,0.10212889790917858,0.10107088295944844,0.10034606492752124,0.0989570315270172,0.09791410213924807,0.09672335680428083,0.09606947924857635,0.09617302412906523,0.09601516165847922,0.09570766197773936,0.09512451770455684,0.09444799065099993,0.09368398622375929,0.09287072248376253,0.09263210741530568,0.09216047203901012,0.0912517708618616,0.09077281622078773,0.09026671515242897,0.08982225701929392,0.08911786335303165,0.08831141514094154,0.08770290797455159,0.08775306956292418,0.08796946856884912,0.08809965490374663,0.08802951328595547,0.088029817927699,0.08830732669694642,0.08877219925410673,0.0891579746347091,0.08972040163311193
stat_10,0.07403671499516318,0.07054517854000061,0.05093178709956021,0.11756968423011757,0.07292423913280147,0.05322396851482845,0.07386556493515593,0.07387568572510873,0.07388068673039452,0.07387928936750442,0.07385711327682026,0.07379843098425731,0.0737284715129522,0.0736989373883624,0.07367694959406929,0.07362850457165791,0.07358331965141633,0.07352044468620648,0.07345788362071626,0.07337413938678794,0.07330392157711516,0.07343795403117918,0.0734862891759537,0.0737146025109994,0.0738163500560556,0.07379645802894505,0.07382029232123616,0.07389772732082443,0.0739807557355704,0.07397975883608737,0.07428044780078867,0.07441233719362049,0.07452013999228435,0.07494078332009269,0.07529744183528948,0.07549961074091542,0.07549048911926325,0.0756979383655469,0.07559760392072726,0.07546522540483261,0.07575483962135605,0.07574626910720399,0.07585014559391531,0.07594464026818798,0.07634030374348921,0.07653025919306729,0.07761336435253839,0.07816146754042173,0.07845648919611926,0.07838609232576776,0.0783546529348994,0.07838117761032656,0.07828839165612482,0.07823531251086956,0.07805770105778419,0.07819395145966958,0.07782630016504846,0.07730968883365735,0.0769217712413843,0.07638284162645452,0.07583522065685075,0.07537807363131077,0.07474709679125927,0.07340028021704399,0.07249714054554755,0.0719223013180645,0.07144172956113566,0.07053255030892958,0.06908482834926127,0.067952742199013,0.0667300782787228,0.06528729701353848,0.06395540755031422,0.06327333974069717,0.06231637622565798,0.06167428651187376,0.061206983077811736,0.060326812893683336,0.0596972747378382,0.0589975923933998,0.05861171286083206,0.058696114629625346,0.05864216523029541,0.05853436815733158,0.05825604169761328,0.057892427332541435,0.05744030737231904,0.05696829530073216,0.05680784719772544,0.056538950765681543,0.05604662827900706,0.0557726789018765,0.05550742400935469,0.055299492615780974,0.054898272838045215,0.05444417326609102,0.054088415709278935,0.05412757728228653,0.05426974354767906,0.05433630081058416,0.05426931345795952,0.054273621680121814,0.05445364835720298,0.054742292775723775,0.05497855824662906,0.05531015230082551
