,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.24575270659331416,-0.22382916341363993,0.10388515245767904,0.22944318324705323,0.18777626191324406,-0.03174165808802946,0.2564827944684904,0.2581205675821981,0.2604231960430675,0.2631459927883481,0.2666213181116708,0.2696506973555164,0.273871857201816,0.28006564072926293,0.29255684692498407,0.31196040165871874,0.33420684482168533,0.36569405798790433,0.3969638059683827,0.4341996280369948,0.47124295870113214,0.4960531598695229,0.5354080605736279,0.5890203379625973,0.6069964076011608,0.6193117695605072,0.6781434911126455,0.7056559127301691,0.7318021647042017,0.7432127870219989,0.7787797169485852,0.7609623247819629,0.6995749734709183,0.7142524449520926,0.703261887185639,0.6647972012583069,0.5818242293153816,0.4996847220065163,0.4387357668308781,0.40294396837429214,0.33959628909739414,0.19183204214149177,0.04679265410813773,-0.02720914239689256,-0.06883071118986235,-0.09996855566759141,-0.13022896270381243,-0.1498993684851062,-0.1771345459377069,-0.2365891079734561,-0.2859795318993548,-0.37882604776103607,-0.4714785841650059,-0.5437735501392568,-0.5267907633438398,-0.482514966248145,-0.4471860021275738,-0.4861773469620693,-0.48170363139651934,-0.4790460332088246,-0.5122207285211134,-0.5463082994959766,-0.5399877187730566,-0.5169103903157146,-0.4803081244048668,-0.48776780816898474,-0.49562887275441153,-0.48628038058167117,-0.5375989017871059,-0.5713062044529905,-0.5552369544210426,-0.5593799322165346,-0.5606092171445668,-0.5639882916910459,-0.6159477738073095,-0.6587860063903673,-0.6480582480224946,-0.6640889955794452,-0.660494477320898,-0.638600054387915,-0.6243421091975984,-0.6291792120496911,-0.6304687974916507,-0.5875888318133632,-0.5440648840462093,-0.5135825319551536,-0.5075060321034459,-0.5006714176647387,-0.48009208477871573,-0.46322588423142697,-0.4733403685006108,-0.4808159824013479,-0.4671716736014183,-0.4769943005669107,-0.49328059556340204,-0.49890865878751367,-0.5009313315086735,-0.5112577842558509,-0.49334767634633425,-0.4838651468417838,-0.4728949344091964,-0.46357215276597646,-0.463311854162659,-0.47137047928263703,-0.47507561231533146,-0.4749526207858128
stat_10,0.36123111840891653,0.13036412213480358,-0.1424504396216751,0.1927337511138719,-0.4889776818980005,-0.3955817086148524,0.3651784235833151,0.366432542501437,0.3690642493131293,0.37068671261065206,0.3745169764855521,0.3764564850665819,0.3761246166417182,0.37920429210148887,0.3863102142886096,0.39004054886276884,0.40787579825189,0.41197874139741747,0.40577414534476763,0.40987503227753713,0.41057465061756276,0.4105400285300323,0.4041869486688143,0.40934361957520454,0.4339624159659908,0.49712869145926214,0.5458820491991146,0.6044426349582066,0.6447305036679278,0.6746002086178973,0.6605692764476376,0.605106428542241,0.5353208376590675,0.48615470974383845,0.42643056605362645,0.40482493333313013,0.4207717810270253,0.3625167124966001,0.2766778137692435,0.2696016628184834,0.27299835674077355,0.28343878403013484,0.3196609536437034,0.314945466467209,0.22948551705720494,0.1479489656723172,0.07317791426136899,0.022838033392048224,0.040264013588200705,0.05230184734848418,0.03697272699503217,0.0015319624473426195,-0.026910940378272546,-0.06633594874106885,-0.08237715295509909,-0.06540027519268497,-0.00864420263373585,0.018607015451452498,0.04765024777673531,0.09215461730917454,0.13566374761882746,0.12731130291695889,0.1507988768785976,0.15714674066864115,0.17757939279373333,0.15021526105339705,0.07868677440080213,0.024270051169826994,-0.0039890075248816695,0.0034370185991143536,0.019463809055205863,-0.0018602446994850895,-0.043886752530197,-0.10755983929634715,-0.14754538317715707,-0.18976559035997817,-0.20012503624876482,-0.21798094314218877,-0.22264284337593904,-0.22719458080753596,-0.22686865839416456,-0.20760794345678077,-0.17619376771778925,-0.1445706284970044,-0.117901407736164,-0.08874097086255787,-0.06335774483243808,-0.04310651719460828,-0.015083099738359116,0.00320074234543579,0.005357835584804564,0.0008259100104971581,-0.014483132993683043,-0.04440102814294703,-0.062178758554217,-0.08078604230989485,-0.09553542404900876,-0.10041546646213133,-0.09038827594776616,-0.07833577310939306,-0.06804204879874022,-0.07977620440580446,-0.08363141078369239,-0.07554668318849918,-0.07446861335672439,-0.07165846085622998
stat_100,-0.7196216104437286,-0.23874702561877686,-0.3685171784804211,-0.9758967690546135,0.28271671750978034,0.33056846213551444,-0.722436822915214,-0.7226316503446502,-0.7233209088014708,-0.7247583784751226,-0.7251329946814739,-0.7245787337887413,-0.7230976294827024,-0.7251372447152387,-0.7291454142891571,-0.7318745399968112,-0.734692063368145,-0.7364763159306168,-0.7400910765509148,-0.7423232888233852,-0.7458870477051969,-0.7510720408010053,-0.7544364040903458,-0.757527224316035,-0.7610037523498695,-0.7691102356890243,-0.7787023781530502,-0.7907760915008961,-0.7988718945470847,-0.8192747759350503,-0.8493264687879054,-0.875432253410617,-0.8869376365256519,-0.898560745015745,-0.9178632074286784,-0.9237342840989763,-0.9343217815558361,-0.9445853818666783,-0.9207090393698828,-0.950681020009852,-0.9488505283589562,-0.9254005630727886,-0.8958054992962595,-0.8923477608059716,-0.9382320015062146,-0.9381927031306188,-0.9352897249532345,-0.9354708602404567,-0.8866517522333829,-0.8442299037267401,-0.7885988561142021,-0.7306347791869003,-0.6795394864549502,-0.6894279615296162,-0.6879224266236543,-0.6008337338787167,-0.50469525188962,-0.48202653815025187,-0.46408863635946307,-0.41915844943072733,-0.38610787591025625,-0.35264681220844474,-0.3056128433583211,-0.21777545618442706,-0.06759174591173865,0.08888465679692041,0.21168123587330573,0.28350787271931976,0.33792250353105324,0.33641295546221606,0.3521758463559087,0.4050665093394121,0.42766525518141774,0.44018157289461063,0.38337745506335275,0.35386938139882085,0.2790412250287918,0.19829081088009662,0.14400410971222366,0.09690790154804138,0.06851300706852817,0.038872779357967645,0.0029847666079221096,-0.00844164911160725,-0.004746797373838412,-0.01978377424243479,-0.012735578272534133,-0.01586508687080752,-0.02192755366801738,-0.02705894805673794,-0.02084293468786234,-0.016931344605778855,-0.020799662405027092,-0.019417667772629457,-0.02476777041818353,-0.017733603159800403,-0.007879957223257171,-0.008911654579446381,-0.01681373718312442,-0.015293473198717268,-0.017236216245106226,-0.03809120377327907,-0.05346075419784831,-0.049507941513905425,-0.051382062518072126,-0.07246883829789823
stat_101,0.05819715467569628,0.0021396364859818944,-0.1393907296683646,-0.026308017931876055,-0.25425873540917765,-0.17980777153441568,0.05734363925734771,0.05746950947652849,0.05723010883001583,0.05778889116056698,0.05760162538986451,0.05832461414496992,0.05934519319977266,0.05841780127832186,0.057132023152110745,0.05561093828208982,0.054914491120502756,0.04988830655713847,0.04740344049499612,0.04553264613842871,0.045805340597721074,0.045832872832227534,0.04594046260565379,0.04704781820075963,0.0447221101851954,0.04701585055095698,0.04559787797767707,0.04101048270254154,0.03609188293778297,0.02942592290154858,0.012779214611358522,0.01160623247749414,0.00568083276895423,0.011122355193359882,0.029940446129991253,0.035979025583542705,0.05734087759727002,0.06948526923849319,0.10676517248661221,0.10890668206231227,0.0840976042014873,0.14290827304412826,0.1788615023316516,0.2239761274951208,0.2786198338749407,0.24921978781863546,0.23203498873154957,0.2349140873698262,0.2456498667578957,0.2103102035689017,0.12467535924802815,0.09878729941723573,0.06835973720239123,-0.005948615616745207,-0.027236719750593944,-0.03895529014572695,-0.041468434489137805,-0.08643306186329706,-0.09134740184955532,-0.1342713351375252,-0.12277517636930993,-0.09897560843537154,-0.007730527561442313,0.09318436789837166,0.16278698913928064,0.15967358863976683,0.0857984481596815,0.09275046926531393,0.18005726037949524,0.2761788706041758,0.2711152339318357,0.15561925649319328,0.09145364074525394,0.0904002832674794,0.08513273434595998,0.07887127010197446,0.06631159164854238,0.10653378789741574,0.15028978952096636,0.15560529622689068,0.15377451979795123,0.14075248788706834,0.1415579779542067,0.1286244530715246,0.11644178182532237,0.09032210580422005,0.07877344102280587,0.05762951189976593,0.030322357502756067,-0.002229300015119546,-0.02272717921154876,-0.044225101505712884,-0.05545392648133467,-0.05387229899918331,-0.06445021831566297,-0.06302762255464231,-0.0605834435041658,-0.07302609544984676,-0.08189964704568162,-0.0785114173537637,-0.08129979679065164,-0.08959325030245456,-0.08435507423574304,-0.07669242306558313,-0.07915097920896927,-0.08453131597735451
stat_102,0.5104676373669974,0.3648602027227604,0.6880960380506003,1.0867255407417016,0.5332878371392806,0.24733702861970297,0.509627734385043,0.5101524296065347,0.5116868848835127,0.5124310986504635,0.5119972616106704,0.5132239357158324,0.513586271915303,0.5137647389424512,0.511884962551983,0.5125703288381173,0.5099648426134864,0.5054695644900893,0.5051237645627691,0.5152603432052457,0.5368972181366617,0.5279699895430818,0.517999309204711,0.48952185516301483,0.456868550732095,0.4347771547019691,0.4446631318363841,0.4440878964431786,0.4269451434143463,0.4506108294768469,0.45424061073391075,0.44012072489850435,0.44779743941652184,0.47701150394408814,0.4999142268423297,0.5736863665426805,0.5789198460977807,0.5302792140841281,0.49659997029416236,0.4867635938468515,0.5333774624888532,0.5459165582009279,0.5451545020582409,0.5703206479788353,0.6201405664814325,0.6611366266954117,0.6596572308748961,0.6813415599761401,0.6662757710088512,0.668303395267016,0.6256570838177917,0.5360250075264567,0.47445072414473216,0.41636296961882924,0.36913783373688475,0.31923228752813776,0.2924686870291815,0.2460417446697284,0.1989359010137396,0.15544246815729199,0.07602038750646563,0.07603181345085382,0.0819030457671796,0.13411317575252574,0.20711079096125637,0.2145429635702007,0.16788195544564918,0.1358393011360161,0.13963704767360832,0.1269463095078681,0.18495490411954893,0.1834961435661266,0.18844822176884446,0.20970398976212046,0.20507627857072455,0.2104992439594081,0.20052751697071736,0.16611704677073955,0.08709422292561783,0.048066497098286726,-0.013022878736803283,-0.037052379346106674,-0.03452303426930756,-0.024676900365808142,-0.014902117324184474,-0.01926559292021995,-0.04242882591728419,-0.05933034061938274,-0.045885894083061464,-0.05711807457136675,-0.04117576066950293,-0.03100893301335739,-0.02153639006394785,0.02267450457172494,0.04609986306115751,0.07799784528328471,0.09448589207705531,0.1063581490570477,0.10530239309278502,0.11058222326144523,0.10278154855829798,0.08437422643255271,0.0863952540588093,0.09305711502243388,0.09140458235800564,0.1208147680561508
stat_103,-0.45829151219245196,-0.3280251759419668,-0.34995839725397393,-0.7455872124979658,0.03235890250653319,0.07053980812501844,-0.4610241382961052,-0.46126282587134426,-0.4615311816894245,-0.46216044409104656,-0.46209055819203426,-0.46288026233725166,-0.46452691254838724,-0.46638224143703894,-0.46649069880911204,-0.4693140299716078,-0.47405179825171595,-0.47497927110594423,-0.4772405116391302,-0.4796093469173363,-0.4818801468148834,-0.48422720426449856,-0.48552842593231643,-0.491069193345753,-0.4899801087772645,-0.488098592399261,-0.4942056038476011,-0.4979851961545167,-0.504707446906221,-0.5181254301098988,-0.5386923137284435,-0.5591942323278367,-0.5597739353770268,-0.5823581079984771,-0.6085652953521841,-0.6154938455734054,-0.5974785630307441,-0.5897083844403282,-0.573417674979649,-0.5323646670812292,-0.4982019516727544,-0.5536473962683222,-0.5555081297425265,-0.5746422042370839,-0.5668915495885256,-0.5467079377173804,-0.5032757125625673,-0.4969017776841452,-0.4696449580183308,-0.39597597111040783,-0.3392971319596848,-0.30823744543398857,-0.2629748741482211,-0.2341737110986762,-0.2229093104977963,-0.26398964900187877,-0.24916554657192708,-0.2199990733880972,-0.237222076658806,-0.207892696747018,-0.15052721162502697,-0.11951701283636056,-0.13667511021885573,-0.16327227769870975,-0.1552583209217142,-0.14325582874053014,-0.15963348766586263,-0.1807429088315147,-0.1796594423699528,-0.18631355896323987,-0.16634861651824837,-0.17439185052017953,-0.16955009898662354,-0.09391423242172448,-0.08080010698843232,-0.0703381989875182,-0.052225747526722675,-0.037489245367368584,-0.053398666059373934,-0.08040704413519123,-0.08695977348925656,-0.12109354879570916,-0.16592771910032397,-0.20811070001669785,-0.23870559911650852,-0.26206327051697165,-0.25382823364235774,-0.24419108276728788,-0.25038965016608183,-0.2605318313612309,-0.26996017440916137,-0.26472160565296143,-0.26909160062486404,-0.26705087078966977,-0.268218849575964,-0.2630340225696275,-0.25896659548518053,-0.26670267191415,-0.2646750247518773,-0.2540400979981881,-0.259342036089031,-0.26968811087179395,-0.26548612199032623,-0.25796396197531357,-0.26745903717373054,-0.28462236892347376
stat_104,-0.4262837135139266,-0.30733829359867937,-0.16152068849035814,-0.4776133059520683,0.2971129195174547,0.21092913810310127,-0.42728150225270256,-0.4272068085865255,-0.42742928300070676,-0.4268224731621521,-0.4260038912070023,-0.4248829378562148,-0.42397209625472393,-0.4267202480517923,-0.42941856109107285,-0.4322488081408779,-0.43539239556125336,-0.4344096624394126,-0.4354664247429616,-0.43707926532410063,-0.43730040872520437,-0.43787054291845856,-0.432838973238072,-0.43056824928956394,-0.4303301517199672,-0.42378446528647595,-0.42085624151704404,-0.43023772784491426,-0.43621147035419716,-0.43771100093485005,-0.43325132722107557,-0.41848476334741064,-0.4171137723151383,-0.4201789612300131,-0.4151316985002903,-0.3924468012295256,-0.3565181407120557,-0.36078300459154933,-0.34179743597949813,-0.2922602065246922,-0.20805443673568358,-0.1584620408181068,-0.17592475045212655,-0.2232641409085027,-0.2992101152341678,-0.3949066771329808,-0.4350375682060167,-0.4306034070438833,-0.45586716606814837,-0.39705089682062994,-0.39879852812467953,-0.4098138593544727,-0.3634333290949777,-0.39250737466414004,-0.4585559134439577,-0.5630863706817484,-0.5479391535974012,-0.5041727690076957,-0.4749943510425406,-0.4145663519585008,-0.31012268791697956,-0.21885270701220746,-0.12415248188189976,0.03763324235317883,0.1440192907853781,0.14274890832205026,0.19143030773844558,0.3047853106827704,0.27904911284399697,0.2427389807799141,0.17098840954474553,0.18877142866374344,0.26632017979931744,0.343643406473654,0.32038760765261987,0.21619213872272441,0.1488926982839337,0.08888561819259509,0.03927605277046759,-0.013964031721212664,-0.0554529109667014,-0.10374932756973344,-0.13677236947511026,-0.15385289428029453,-0.1502201654778038,-0.13139214228157017,-0.12761200592106417,-0.14654532882872326,-0.16548138911495716,-0.17326064929363547,-0.17396627430241945,-0.17121015371523582,-0.15592957448260927,-0.12641251408056803,-0.10922364583398331,-0.09059522295828851,-0.07850364975841231,-0.06970551672581449,-0.060519774507723785,-0.056542517630141516,-0.053706955388781556,-0.058012113219312246,-0.0432046785730391,-0.03396779917810511,-0.04575237246926121,-0.06239060770766829
stat_105,-0.10197114747857858,-0.06506636235346115,-0.20781999934320705,-0.24462173492930223,0.020310465945113758,-0.08540750683001137,-0.10462728808821678,-0.10483587126808797,-0.10576197297950579,-0.10592908293871697,-0.10692125629314099,-0.10784518420606058,-0.10868473345515868,-0.11135570642549797,-0.11331270562792757,-0.11737048558543417,-0.12170946938329998,-0.12427262514786028,-0.12811992543125658,-0.1306801944226824,-0.13279023111270716,-0.14139914566758516,-0.14664229816385718,-0.14882517933183775,-0.17163694794979337,-0.19105215529818922,-0.21185571109187293,-0.21470576951268128,-0.22717871768087883,-0.22612597441036092,-0.2268252977899457,-0.2294527847189277,-0.25731473849427533,-0.25810136711115933,-0.275129189785066,-0.2687111314979082,-0.29287999786654484,-0.2661511069807795,-0.21469645736209078,-0.14109150310486065,-0.10490126739228062,-0.10218409643400148,-0.16028549937745565,-0.1796065838879126,-0.1908437317030806,-0.16890454017270193,-0.08834560512812634,-0.029997466595560417,0.016163731237137463,-0.014566844370580178,0.06621845497553171,0.10842606022780002,0.11864530125276523,0.11372906480732733,0.1630462787824683,0.19695758145737485,0.1860005090344249,0.08827522556752276,0.05495493132017161,0.03698071715614149,-0.041817026945440074,-0.012844683565718662,-0.05421756012518558,-0.046030088393087705,-0.07434622703867608,-0.133187449274241,-0.181283800221924,-0.19156975111910324,-0.16914312750467897,-0.10394297111415281,-0.079688419584507,-0.016097773673684816,0.026147840031661533,0.08140264385102894,0.12198044394576937,0.17371943714775048,0.20645376451384811,0.23939536209309198,0.22734332528890414,0.13790943893994004,0.05153569197708571,-0.005597305344867865,-0.025002048676208522,-0.0522990513689983,-0.07166811338251533,-0.08318995916161231,-0.07284443713123007,-0.08482050001354328,-0.06804727864081171,-0.07242705823777808,-0.07272086084248673,-0.05947754762912898,-0.05944214375033425,-0.051079515824343946,-0.06926152982830032,-0.075175296545472,-0.09035716864699603,-0.08482444782748474,-0.054205348054824305,-0.03481150091815376,-0.03767465015484483,-0.046337028648254806,-0.03108438536052706,0.02238251061402043,0.07357672093944197,0.09234002982592159
stat_106,0.3122231180860288,0.2636332231349037,0.08478869427747183,0.5018086608203691,-0.4930643644447787,-0.4223701410636207,0.309757823321381,0.3094906398860288,0.3090328476096414,0.3088272439517229,0.3085707169553711,0.3084429377002673,0.30868960166739356,0.3065542978423916,0.3038590067963566,0.30061334415705676,0.2962587715196406,0.29348921987042076,0.29187526808894293,0.2915757114289137,0.2889439360010742,0.28201076481993664,0.27573499276434155,0.27353579533257033,0.26433592399877803,0.2663184571556231,0.24759690879598129,0.23284276674594556,0.21117037389626997,0.19405952362349965,0.1847336887308801,0.17211017864916753,0.1517351463197951,0.16146766298549076,0.18167061057376577,0.19277498597868392,0.2267091659906148,0.31572545382360834,0.3390754610311442,0.31575214042125577,0.21886767411750407,0.21441741143603216,0.24123231096008885,0.3107049306507679,0.34628550257360013,0.31337511331278334,0.22081381013376675,0.15025464508305422,0.14375430360439717,0.15829910887899992,0.21568485042253185,0.3526384112790896,0.3907299427971372,0.48942073104786965,0.595002512721829,0.7248319840119356,0.8078243491040462,0.7892907792019066,0.7209092805024305,0.6327989450471081,0.47526343262982584,0.3503780610506236,0.25345095946218665,0.13879367824726133,0.052484427077078094,-0.04537130915998559,-0.1459248078959287,-0.17443261760115317,-0.21311972450620037,-0.23967388927346,-0.2632769163955202,-0.295200090994771,-0.3171450477050129,-0.30506383240061286,-0.2801948931554062,-0.21327041398822133,-0.1399665073530066,-0.09390071904704887,-0.06385432967009992,-0.046183063434219775,-0.0207411085918458,-0.014192457118547155,-0.033890904567145524,-0.03530320464606069,-0.032136697298712255,-0.017053735963670522,-0.017770756437912205,-0.0143955908008824,-0.013700553095638732,-0.02710586282912877,-0.022776005052015935,-0.005062750408789917,0.0093260501763232,0.02331961173051119,0.005751046558489283,0.006170568843360924,0.004411070775683678,0.016522436882917112,0.01368052197902976,0.015345629640460394,0.02337044917908322,0.043613052438770325,0.06161742108914884,0.0437335777558123,0.05855992623406595,0.07116435421221322
stat_107,-0.17168141141751742,-0.020982874939098516,-0.2982775017817429,-0.41680941875166333,-0.14981825132725635,-0.03294250179542546,-0.17519963758995727,-0.17530405721861309,-0.1759332778624708,-0.17653777200486526,-0.1774633381510356,-0.17778675687767995,-0.17964096072915894,-0.18267515260095962,-0.18456548118034632,-0.1885549238260251,-0.1934298091171729,-0.1951217877693144,-0.19861442593358028,-0.20438509007109265,-0.210329206128305,-0.21348711083912816,-0.21910678520114663,-0.22596116201960004,-0.23201520646075555,-0.25389276688391554,-0.2754537322247819,-0.28941075194114446,-0.31016271143346674,-0.34528319666865553,-0.36843853241142366,-0.4081341725624452,-0.4285945377383751,-0.4472299744123098,-0.48371558174878887,-0.5109439854975606,-0.5163289416086732,-0.5248179475396264,-0.5526375829083114,-0.5533216950091397,-0.5124394697017522,-0.496495333497382,-0.47911806370181304,-0.43777382131599313,-0.40654463231574084,-0.33638502483488997,-0.26096968949982663,-0.17807399674519567,-0.10903633914150575,-0.005902356160720268,0.07627611572404797,0.10885987172250561,0.16292853264598817,0.141129693102148,0.10128843106102395,0.10224707942305385,0.14843373721366623,0.12657644269321414,0.06535953622687622,0.03409204140896617,-0.04005426435725547,-0.0862085696312868,-0.068786833797733,-0.08332935157376238,-0.027585064543936947,0.02708938751075032,0.03656063093980861,0.06217807867008489,0.12163881799874401,0.2003878787942164,0.16611415355767606,0.13863481960530172,0.16889995955537934,0.18430084452943504,0.17874359716083912,0.21365429941979758,0.24456638975367725,0.2563859013929048,0.21379294908623742,0.18130051987200088,0.20735371903673622,0.20501619204309626,0.1865879679302776,0.14762929728507754,0.13142585018291156,0.12588374458197985,0.11465826546176311,0.11758641969537482,0.11266642420129412,0.09553863598292688,0.09651985686446998,0.09652420631577353,0.10708725737957411,0.09785758114752305,0.07135469297355071,0.0731630863290648,0.06638764676077731,0.07118614459202383,0.05851943034258213,0.057979931145844446,0.07208313191266329,0.09976968727613192,0.13047402312310696,0.11843328783653181,0.11667513515014577,0.1255300935572913
