,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09370973068586971,0.0900909688004961,0.06313532564729422,0.14732692665448668,0.0920639648838146,0.06752724880226436,0.09347736784230995,0.09349358180732106,0.09349896604335974,0.09349744292834108,0.0934636347766785,0.0933780317894126,0.0932854066743657,0.09324128695253732,0.0932017109682022,0.09313366770707755,0.09307721707264935,0.09299036665782094,0.09287266330794736,0.0927336897510597,0.09261254097777816,0.09273134866044881,0.09276689897726575,0.09303968543726795,0.09317260702733263,0.0930945306625415,0.09298601202620523,0.0930501371892776,0.09309233117333315,0.09302739287593531,0.09331433695376533,0.09349471074753324,0.09368317182911745,0.0941820436059773,0.09458578549701575,0.09482130929490695,0.09486914396268928,0.09524245794704762,0.09515994051016546,0.09502153738593018,0.09545632287598355,0.09550573993317613,0.09570522111227656,0.09583951642938189,0.09638045534554425,0.09671461205184435,0.09819927168902412,0.09895612927844663,0.09936058655003982,0.09936727738054002,0.0993809819915664,0.09949587338537708,0.09945596064881018,0.09954187040428514,0.09939938423849147,0.09949156513555721,0.09894974600954311,0.09839810766415084,0.09810854695899718,0.0974212936957389,0.09662630815913999,0.09603846044366274,0.0951380217073523,0.0934669533103321,0.09224799560540425,0.0913668457429531,0.09072087552651313,0.08965700985251127,0.08781035459996309,0.08635974562624221,0.08474498797599139,0.08312274690716806,0.0814408280234741,0.08050707319761145,0.0791211544461126,0.07820410735580521,0.07761426324821027,0.07648777077655061,0.0756095551711025,0.07470126466070078,0.07411474666935573,0.07420007080722578,0.07406760488715673,0.07391415991841424,0.07354541910389961,0.0731286596182873,0.07257100941737592,0.0720332000132707,0.07197054620525016,0.07173708603648231,0.07125185801499778,0.07097136165014892,0.07077601123101279,0.07064555331187809,0.07019149861422284,0.06970401516801794,0.06927769425959614,0.06940098587854202,0.069587987791081,0.06967921807581934,0.06954111319789764,0.06954109219926638,0.06978047600172015,0.070144265566716,0.07046316605588805,0.0708384951664074
event_2,0.1014671862170611,0.09757732953350254,0.0683422687790523,0.1595342540257321,0.09933387644659646,0.07306928070680023,0.10121637249727047,0.1012340492372101,0.10123954690512765,0.10123737031704064,0.10120015218133327,0.10110733129002106,0.10100690152240008,0.10095917272554861,0.10091676334275997,0.1008432516262917,0.10078164432711409,0.10068781553642484,0.10056033018520665,0.10040909290768289,0.10027542941835106,0.10040014182870838,0.10043849867185431,0.10073213067799498,0.10087442369719457,0.10078745130272457,0.10066586307513047,0.10073187829680424,0.10077375164961475,0.10070145043324788,0.10100902132073217,0.10119816185695636,0.10140241792304577,0.1019421645847651,0.10238030234886199,0.10263670135328834,0.10269339240247286,0.10310091883919671,0.10301543758020933,0.10286648975731912,0.10333810841110219,0.10339644948146565,0.10361408950198528,0.10375931814619922,0.10433980378159745,0.10470482955410405,0.1063145698980079,0.1071358342391875,0.1075602324602884,0.10756929492909462,0.10758685205753794,0.10771637477143209,0.1076837849229643,0.10778966319831582,0.1076471511212628,0.10773984802161521,0.10715317978064919,0.10655526173740373,0.10624457731770973,0.10549482219999223,0.10461579598858883,0.10398173427554262,0.10300932158086142,0.10120021237118534,0.09987637800633363,0.09891016175671453,0.09820508433601473,0.09705152382852095,0.09504419690163002,0.09346619779820715,0.09172653241866592,0.0899856167393573,0.0881691048171429,0.08715702683224019,0.08565478542621995,0.08466319832954262,0.08402252362178325,0.08279862751073015,0.08184648880624164,0.08086935322403645,0.08023694675677039,0.0803316225021693,0.08019217910524075,0.0800356067874418,0.0796459979638132,0.07919945457235739,0.07859771939867077,0.0780184723307259,0.07794925242393169,0.07769778321092928,0.07717691694205676,0.07687324431622919,0.07666422447001335,0.07652636289852052,0.07603803950512712,0.07551348188637158,0.07505379032761494,0.07518651536692346,0.07538789966824035,0.0754856479319984,0.07533625655331114,0.07534065764738551,0.0756002962865621,0.07599419993502718,0.07633986567372489,0.07674595130744898
event_3,0.11138770074321802,0.10717130171104906,0.07498240423387169,0.17513217798509395,0.10854418941071828,0.08014472774358854,0.11111322221363308,0.11113284215583813,0.111138414724318,0.11113529450351152,0.11109350737575754,0.11099126452942393,0.11088074303312549,0.11082832995546772,0.11078223057097686,0.11070157722347711,0.11063287816596207,0.11052985830846673,0.11038937705271701,0.11022172289210658,0.11007061539639008,0.11020100080068053,0.11024242478559355,0.11056192607215815,0.11071500214630073,0.11061508876321982,0.11047449508804418,0.11054094184001947,0.11058056955290302,0.1104974194668126,0.11082914303055899,0.11102663475962887,0.11125093023444609,0.11184268229364044,0.1123250885280076,0.11260881077348404,0.11267890388016122,0.11313160561029588,0.11304363593793607,0.11288178711394323,0.11340208556442455,0.11347445487404823,0.11371667171902065,0.11387631105011436,0.11450679981897333,0.11491347063332091,0.11668626576315395,0.11759225797742154,0.11803990695295581,0.11805363038723228,0.118077208991901,0.11822817256011431,0.11820950912226949,0.1183470454551788,0.11820820308229284,0.11829776141641674,0.11765240525578156,0.11699629577670263,0.11666231340005684,0.11583093803571819,0.11483849111541929,0.11414504897545912,0.11307979965637144,0.11109300480951227,0.1096314840492919,0.10855065838810957,0.10776792937642479,0.10649908568174855,0.10428161309362499,0.10253672930402044,0.10063896049620133,0.09875107679592027,0.09676350577303094,0.09565100887401864,0.09399899795489265,0.09291301788870837,0.09220731949653667,0.09085758006098982,0.0898111639700912,0.08874815533985955,0.08805735655030618,0.08816487477912413,0.08801794761594636,0.0878612790722443,0.08744856532073222,0.08696588072590195,0.08630835748027205,0.08567687787405363,0.08559895439214146,0.08532561412611758,0.08476196951334886,0.08442969311860388,0.08420502845252896,0.08406014050679614,0.08352956002689406,0.08295937374800681,0.08245795904409356,0.08260320735079565,0.08282315650158797,0.08292892220081376,0.0827640872837217,0.0827753593720751,0.08306104976277631,0.08349360718112059,0.08387331752081045,0.08431779028145857
event_4,0.08697255133964145,0.08351268400855177,0.058731109254949135,0.1368723725536521,0.08557841230203127,0.06268646321755167,0.08675873977418082,0.08677343466117185,0.08677841044642375,0.08677693785773455,0.08674612896246314,0.08666792613924607,0.08658258021297083,0.08654223391024234,0.08650676326626797,0.08644503536552285,0.08639566560329075,0.08631749695742963,0.08621199050579578,0.08608744679180058,0.08598200588927403,0.08610022935589173,0.08613716160642604,0.08639354497654202,0.08652365920740585,0.08645948496803418,0.08637003911110522,0.08643963368541649,0.08648693359474856,0.08643497209164987,0.08671423510829317,0.08689416952515407,0.08707085592718337,0.0875353098832791,0.0879094944784757,0.08812535956884343,0.08816151753549924,0.08850226788905122,0.08842224792839265,0.08829056165678545,0.08868210642426902,0.08871523193864932,0.08889217049157065,0.08901289770757459,0.08950998801993586,0.08980840899482598,0.0911657129141041,0.09185291029281474,0.09222354886499676,0.09222049690711691,0.09222933837878569,0.09232380628363342,0.09226983054634205,0.09232509319071253,0.09218429491256444,0.09228618505351667,0.09179302437106047,0.09127287084747118,0.09098193760883674,0.09034768685075208,0.0896249567067018,0.08908496775029724,0.08825879493807427,0.0867166828419683,0.08560539628783118,0.08481192656630299,0.08421898893853237,0.08323339764536075,0.08154272043784429,0.08021541495244829,0.0787186715288683,0.07720196472200194,0.07564081330288884,0.0747744133226831,0.0734935512786662,0.07263732278358313,0.07208638093581857,0.0710438220417788,0.07022451763856923,0.06937532241102903,0.06883342579975696,0.06890960419149016,0.06878227801219107,0.06862589357262501,0.06827282601325405,0.06787923882241173,0.06736098694913853,0.0668619072065967,0.06680343625597741,0.06657970367799938,0.06611535863536828,0.06584681387881852,0.06565572227043145,0.06552196362335334,0.06509450254050356,0.06463438127153712,0.06423492947446198,0.064344664477982,0.06451516285766452,0.06460045111619106,0.06447987744074475,0.06447837734490386,0.06470018660438948,0.0650367406425622,0.06533470873183612,0.06568964426420563
event_5,0.129063626890323,0.12421732457766375,0.08697523329630931,0.20316619780913112,0.12441090882210326,0.09265255829307889,0.12875137244548535,0.1287743399536085,0.12877912541312242,0.12877283520809824,0.12872197302306404,0.12860412991886452,0.1284760272645028,0.1284161295899391,0.1283662174940726,0.1282750650965186,0.12819620987748054,0.1280804766554211,0.12792149972949982,0.12772818596533908,0.12754805580529008,0.1276877493096081,0.12773937338718003,0.12810419639933684,0.12828064628262817,0.12816158109433912,0.12799016877155647,0.12806079206899726,0.1280960174592949,0.12799882590568387,0.12838185030252838,0.12859252527438603,0.1288555938768827,0.1295406985418482,0.13010427506608765,0.13043716598800847,0.13053491373016543,0.1310704084676899,0.13098544187128286,0.13079884146926035,0.13139140586577805,0.13148586556775904,0.13176555311669622,0.1319450088889777,0.13264298158823667,0.13311792458911445,0.135161604193625,0.13620483477583573,0.1366545575592066,0.13667073395444806,0.1367072999575717,0.13689531701214508,0.13690821169048167,0.13710567530865805,0.13699246620086886,0.1370778074311419,0.13633938852844776,0.13556836140105333,0.1351742082669831,0.13418796135224484,0.13296720952989524,0.13217975489776437,0.13096574514872497,0.12867303358013418,0.1269793157060119,0.1256919092012571,0.12476429916726793,0.12328806076939747,0.12070293254806504,0.11866383669789882,0.11650922939984477,0.11438849269611502,0.11210930030136619,0.11081519272861587,0.10889887750709781,0.10764195327349857,0.10681005975195959,0.10522817698132783,0.10400514804998864,0.10279885964794946,0.10201471721138383,0.10214776463054966,0.10199330462170123,0.10184589110595754,0.1014063274090478,0.10086421826876475,0.1001130157644178,0.09939891779513646,0.09930033756939737,0.0989815132369573,0.09833513310508997,0.09794006126453368,0.0976811851378988,0.09751615144971387,0.09691156336868827,0.09625896932075313,0.09568353775789719,0.09584251812868984,0.09608843393849933,0.09620646181602131,0.09602460288097041,0.09605875434365932,0.0963916298640938,0.09689154978835894,0.09733577348767966,0.09785708936315338
event_6,0.11392279004041954,0.10960472544810708,0.07670307040655049,0.17914798631466064,0.11085808788353439,0.0819473138224525,0.11364280316285551,0.11366286118683601,0.11366839351235565,0.11366493215154201,0.11362200271920586,0.11351760690489403,0.11340462145445632,0.11335115176626556,0.11330446096382589,0.11322232388584186,0.1131524001563802,0.11304760162392341,0.1129046112910106,0.11273360976095843,0.11257917402988352,0.11271211677739314,0.11275515543550743,0.11308168943968423,0.11323872152728373,0.11313690410317277,0.11299323541344453,0.11306141636057629,0.11310161898173964,0.11301715226682185,0.11335730142449707,0.11355863874769685,0.1137884539654231,0.11439373777650619,0.11488748963759679,0.11517782886510608,0.11525034236675438,0.11571387610725557,0.11562510408245415,0.11545941898890076,0.11598979016194318,0.11606377818903645,0.11631078872598777,0.11647325232055464,0.11711464286251615,0.11752992437580616,0.11934021351678914,0.12026475638611182,0.1207149108564888,0.12072803060403872,0.12075274669358828,0.12090731367148015,0.12089021541167831,0.12103248744668156,0.12089469354140632,0.12098595603843215,0.12032781642438639,0.11965486551412646,0.11931031164729346,0.11845790198231625,0.11743665736323089,0.1167298043785905,0.11564351345603266,0.11361339615206545,0.11212056861714707,0.11101385146659803,0.11021178194687545,0.10891359598028182,0.10664628444839364,0.10486173247945198,0.1029254822628075,0.10100016771202432,0.09896957080896229,0.09783130163296348,0.0961419282820258,0.09503094479901604,0.09430756507638459,0.09292564287581716,0.09185401537885127,0.09076873742652149,0.09006396782248866,0.09017447606282851,0.09002530894658611,0.08986707411919914,0.08944755929556396,0.0889548729423708,0.08828322705124833,0.08763880664140451,0.08755841829583978,0.08727821003388342,0.08670133123616719,0.08636001456185238,0.0861296197946473,0.08598069588295568,0.08543850032368729,0.0848554713224196,0.08434285784107619,0.08449015109707078,0.08471398808007456,0.08482177432827578,0.08465470974370161,0.08466809220993747,0.08496042706635096,0.08540262649897734,0.08579152823735131,0.08624719169834841
event_7,0.1532865819872594,0.14753037605129837,0.10368590462335994,0.2420280893376015,0.1450477996714913,0.10958329358202763,0.15293079523741757,0.1529582954855543,0.15296008163592328,0.15294635540181314,0.15288079884858005,0.15274341215131418,0.15259172904858967,0.15252306552581496,0.15247306107221772,0.15237144438370254,0.15228228870396185,0.1521555478360988,0.15197905902210784,0.15175580233842653,0.15153654926452065,0.15168314129478683,0.15175663928051789,0.15218026957789563,0.15239397343717762,0.15225255180754355,0.15203944086326932,0.1521177191774735,0.1521418617591707,0.15203224231311502,0.1524962543481647,0.15271500641420116,0.15303673013014668,0.15385046939704353,0.15453036305881257,0.15493305015027728,0.1550808770722681,0.1557376420201262,0.15567428444945766,0.15545172188094544,0.15611901271192796,0.15624426562208799,0.15656626062824963,0.15676256929000226,0.15751023127463223,0.15807238527960885,0.16045692378617693,0.1616675107174118,0.16204100246064945,0.16205320260562422,0.16211419918261685,0.1623568591756664,0.16243570947387664,0.1627354351262307,0.16270176233997788,0.1627754908727661,0.16192846654333165,0.16098078464012883,0.16047701273505496,0.15925697093925148,0.15766123515742003,0.15676634830805294,0.155377955844347,0.15268356562343333,0.15068848616682423,0.14910052910793437,0.1479575445740929,0.14619209991651122,0.14310541398951115,0.140660118475701,0.13820382556552224,0.13582998534096138,0.13317885059416953,0.13163010123380248,0.1293541302827205,0.12785980584796722,0.126835114159733,0.12491704295511377,0.1234361681765563,0.12205699281481693,0.12116606608337473,0.12134122285799959,0.12119094480899696,0.12108354711063872,0.12064354111113935,0.12003436470329383,0.11916749134582501,0.11836273206011735,0.11822488068387263,0.11783355933219401,0.11706750280278826,0.11656545331127377,0.1162514981624147,0.11604952164618443,0.11534964870179183,0.11458605176558874,0.11391202045231438,0.11407400171216736,0.1143419674108449,0.11447212493475346,0.11428516691191912,0.11437438860430124,0.11477377915759897,0.1153633546622107,0.11590316724344826,0.11654431316934555
event_8,0.12910710238081036,0.12425695966486379,0.08700892089174808,0.20324113095941432,0.1244411177755885,0.0926815798477834,0.1287948614996453,0.12881783083610404,0.12882259639177837,0.12881626903692564,0.1287653733161811,0.12864752948952912,0.12851939863310763,0.12845950623567048,0.12840965270372887,0.12831853394450318,0.12823973664571142,0.12812407059732056,0.12796518026867376,0.1277719225314776,0.12759183911636085,0.12773162907277505,0.12778341113537234,0.12814836625683512,0.12832502516536903,0.1282060745717396,0.12803476124525706,0.12810556159169403,0.12814085085950036,0.12804380474961224,0.1284272330801306,0.12863802837973118,0.12890126517600234,0.12958662652803146,0.13015044033299203,0.13048343605225013,0.13058124323219883,0.13111692986690568,0.13103207376215836,0.13084534892333077,0.1314377083950039,0.13153204067490598,0.13181161886110307,0.13199097338930044,0.13268865511458003,0.13316352749868923,0.1352072692152738,0.1362503962873074,0.13669930755753712,0.13671526197453296,0.13675185541205562,0.13693978738484247,0.13695267348833942,0.1371500292677555,0.13703714688340202,0.1371227232953231,0.13638442856579447,0.135612790774925,0.1352178199606013,0.13423105245066883,0.13300942321148354,0.13222204751136615,0.13100812812802937,0.12871498886498972,0.127021210193969,0.12573354612913945,0.12480553274135303,0.1233287672524712,0.12074313307184951,0.11870358397862804,0.11654883230309022,0.11442794775672824,0.11214828184587923,0.11085367913243296,0.10893681678914724,0.10767936697600367,0.10684693259277771,0.10526436112017645,0.10404069044177135,0.10283416527562167,0.10205001998217564,0.10218314782754957,0.10202873126092009,0.1018813667026803,0.10144188809806076,0.10089965137058474,0.10014831892982287,0.09943421570368415,0.09933548390011031,0.0990163453786083,0.09836947644979828,0.09797392514209151,0.09771472278261774,0.09754933124556678,0.09694450838871489,0.09629158921626314,0.09571593174379661,0.09587471266594136,0.09612050910213128,0.0962385352832901,0.09605694602517542,0.09609134478842729,0.09642434682984337,0.0969243883491291,0.09736887361747378,0.09789063127358787
event_9,0.12904418461165007,0.12420108151100284,0.08695085406455223,0.20312029841888238,0.12440886147559038,0.09264310466380746,0.12873174380570893,0.12875471420400914,0.12875954781139176,0.12875333739128192,0.12870253179089713,0.12858464286380966,0.12845653792102507,0.12839660319653262,0.12834655080027194,0.12825529206470598,0.12817631322377346,0.1280603973210704,0.12790118690463056,0.12770770087707334,0.12752747862175456,0.12766719050240458,0.12771853946626885,0.1280833490247101,0.12825953365766257,0.12814025922580427,0.127968691857109,0.12803910252458553,0.1280743423462465,0.1279768530160737,0.12835932509613182,0.1285700659169929,0.12883291117796739,0.12951787168188436,0.13008122618160595,0.1304140390397794,0.13051154626594827,0.131046823313719,0.13096141308702278,0.13077495104148829,0.13136831305846985,0.1314629383656918,0.13174296169512567,0.1319227341759266,0.13262182734578995,0.13309703047403404,0.13514146207721853,0.1361852508907774,0.13663682746022637,0.13665327692515183,0.13668973428198355,0.136877781473623,0.13689036900048668,0.13708765377759718,0.1369735546806772,0.1370588018624834,0.13631991498238522,0.13554956815089125,0.1351563878235082,0.1341707248999809,0.13295132068118232,0.13216345947226205,0.13094886746457315,0.12865599337727526,0.12696188655691798,0.12567477736971108,0.12474761951417875,0.12327169696762477,0.12068662405437273,0.11864767792757987,0.1164921425116883,0.11437017384437176,0.11209058111841604,0.11079682145061615,0.10888064500423947,0.10762407009355857,0.10679288657447011,0.1052116773359585,0.10398930034938755,0.10278267078280057,0.10199805082184688,0.10213093012360093,0.1019761639790353,0.10182823201753112,0.10138788031197452,0.10084555047082848,0.10009409971273442,0.09937943330189405,0.0992812021912504,0.09896284861339294,0.09831698873286965,0.09792270779502575,0.09766425915869333,0.0974997105290761,0.0968951476943136,0.09624272675698914,0.09566736882494971,0.09582681948209634,0.09607309672334262,0.09619121635415735,0.096008792740467,0.096042333530003,0.09637511516541765,0.09687504942972464,0.09731897906937263,0.09783970587812917
event_10,0.12910710238081036,0.12425695966486379,0.08700892089174808,0.20324113095941432,0.1244411177755885,0.0926815798477834,0.1287948614996453,0.12881783083610404,0.12882259639177837,0.12881626903692564,0.1287653733161811,0.12864752948952912,0.12851939863310763,0.12845950623567048,0.12840965270372887,0.12831853394450318,0.12823973664571142,0.12812407059732056,0.12796518026867376,0.1277719225314776,0.12759183911636085,0.12773162907277505,0.12778341113537234,0.12814836625683512,0.12832502516536903,0.1282060745717396,0.12803476124525706,0.12810556159169403,0.12814085085950036,0.12804380474961224,0.1284272330801306,0.12863802837973118,0.12890126517600234,0.12958662652803146,0.13015044033299203,0.13048343605225013,0.13058124323219883,0.13111692986690568,0.13103207376215836,0.13084534892333077,0.1314377083950039,0.13153204067490598,0.13181161886110307,0.13199097338930044,0.13268865511458003,0.13316352749868923,0.1352072692152738,0.1362503962873074,0.13669930755753712,0.13671526197453296,0.13675185541205562,0.13693978738484247,0.13695267348833942,0.1371500292677555,0.13703714688340202,0.1371227232953231,0.13638442856579447,0.135612790774925,0.1352178199606013,0.13423105245066883,0.13300942321148354,0.13222204751136615,0.13100812812802937,0.12871498886498972,0.127021210193969,0.12573354612913945,0.12480553274135303,0.1233287672524712,0.12074313307184951,0.11870358397862804,0.11654883230309022,0.11442794775672824,0.11214828184587923,0.11085367913243296,0.10893681678914724,0.10767936697600367,0.10684693259277771,0.10526436112017645,0.10404069044177135,0.10283416527562167,0.10205001998217564,0.10218314782754957,0.10202873126092009,0.1018813667026803,0.10144188809806076,0.10089965137058474,0.10014831892982287,0.09943421570368415,0.09933548390011031,0.0990163453786083,0.09836947644979828,0.09797392514209151,0.09771472278261774,0.09754933124556678,0.09694450838871489,0.09629158921626314,0.09571593174379661,0.09587471266594136,0.09612050910213128,0.0962385352832901,0.09605694602517542,0.09609134478842729,0.09642434682984337,0.0969243883491291,0.09736887361747378,0.09789063127358787
