,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.404199131040191,-0.20031697574026613,0.24699483079579895,0.5116716221652784,0.18867397647138992,-0.029342882710070944,0.41675750667550243,0.4186365575535791,0.4212026684976544,0.42418938937215456,0.42809155354842754,0.43172340179154167,0.4363056091713407,0.4430384391605196,0.4563601473966885,0.4769721367322737,0.5005093903518535,0.5332767110462703,0.5655619169233839,0.6049188335173796,0.6431531149289804,0.6713834170974314,0.7142831184202613,0.7679776496187959,0.7924787559409945,0.8045817801691091,0.8703399952009607,0.9125086569191463,0.9441195241741536,0.9688504716801323,1.0146113902734792,1.00605784503545,0.9524260702502296,0.9635650507115173,0.9468056900349857,0.90808616888488,0.8241587234882237,0.7426974511201059,0.6804334434277659,0.6361787195862683,0.5561004033115989,0.40538367370402617,0.250309776554912,0.16877349901530544,0.11641316981398246,0.07393789707930395,0.03627302581489115,0.008348830721549174,-0.03367440690236057,-0.10592139392384543,-0.16946314759310344,-0.27448989061348217,-0.38143811523016874,-0.46923554043523946,-0.47009874939469903,-0.43787279126751577,-0.4215622924365439,-0.476105195859268,-0.48969025840993224,-0.5085259728066659,-0.5602830693950612,-0.6135398811564635,-0.6245579430358521,-0.6111653693711907,-0.5999432175705262,-0.6252789531926763,-0.6434033517915109,-0.6418451288810487,-0.6991799456885665,-0.7420487069751582,-0.7428059436408195,-0.7407379950743261,-0.7258591594485344,-0.7029731795096413,-0.7117272144225285,-0.7142089460099907,-0.6620201374298653,-0.6613487815515781,-0.6494855205618981,-0.6184319581790966,-0.5926233942987701,-0.5853105491430464,-0.590820986014233,-0.5431954923792934,-0.5029156458432261,-0.47676011842093113,-0.4735805983084141,-0.4680735783445606,-0.45350766748270405,-0.4482838497068206,-0.462894893138252,-0.4724331556921439,-0.4582332393394949,-0.46313723113626787,-0.47384131282164604,-0.4840291384456137,-0.4911918991604542,-0.5040087179312291,-0.48678245583100516,-0.4772191796343986,-0.46972761659369033,-0.4649185739384212,-0.4672729453699128,-0.4782931129846396,-0.48343212146761355,-0.48472057755119413
stat_10,0.49377520796227664,0.16231114971969085,-0.014386014708850568,0.4470704669201236,-0.4887555361090999,-0.39757577028531776,0.49930683051856334,0.5008954927050635,0.5039535895031195,0.505753209511926,0.5095077045499655,0.5124078896388605,0.513197943217061,0.5175167656350779,0.5257107650117185,0.5303277007204319,0.5486644908844275,0.5563354821112276,0.5528972023907958,0.5588598579528522,0.5654624807688461,0.5705670935786338,0.5704682646977821,0.5847599750324167,0.626594591109866,0.6936284557389513,0.7449167287327267,0.8094470828234602,0.8586248543973556,0.8894574959937713,0.8725570006814999,0.8122937369552322,0.7375013007708953,0.6874547678179744,0.6220746285233792,0.6005192391414751,0.6074225046224278,0.5401646960001485,0.4401457904515253,0.42577243853215285,0.42177150370402106,0.42472408862131944,0.4532331714708464,0.4363259150515402,0.3383332796393026,0.2474282230956943,0.1604160750192357,0.09388325818499406,0.09898509961506623,0.10234623834150675,0.07527928488977166,0.02624273208273939,-0.020772696296250132,-0.07521334506536916,-0.10277781850906303,-0.10120383652560391,-0.054472283540716815,-0.03980661162253232,-0.026104237398941407,0.007511293879387205,0.042603263733948564,0.0279146805244369,0.040722366480738785,0.04109296977260572,0.055420295661221065,0.024839424117370126,-0.046389548358682656,-0.10170290762587574,-0.1289481251789414,-0.11345649841569595,-0.07671047533980711,-0.07302463058219921,-0.08159170849442132,-0.10692158236600798,-0.1297290103508106,-0.16041002519530925,-0.16125549180969567,-0.16852106814385595,-0.169205962359131,-0.16981653235107025,-0.16717098797723512,-0.14636977059099485,-0.11995709230349207,-0.08947796423548583,-0.0705090520309316,-0.046064529525932985,-0.023792098877176718,-0.011211898299796425,0.010015915462200578,0.026092726016288682,0.029206820796223314,0.028788887952159798,0.01814404988709471,-0.013132043362524458,-0.032355687798788293,-0.05262618522661532,-0.06949652220632108,-0.078040280823267,-0.06820615793315453,-0.05678926295452246,-0.05145971150224469,-0.06315889816193179,-0.06748843132173354,-0.059895060832908575,-0.05936842920043161,-0.057753874518546765
stat_100,-0.7376610803966648,-0.23411840286546384,-0.3777417155489295,-1.0013606660718146,0.28184397800121186,0.3317239637300105,-0.7408306465161091,-0.7411011173110917,-0.7418838447578668,-0.7433861356955342,-0.7438693581512957,-0.743436786298106,-0.7421339300254931,-0.7442781504631865,-0.7484624584872411,-0.7512290589751732,-0.7544118903817492,-0.756381540394258,-0.7600826267465621,-0.7623835697619056,-0.7669682528563236,-0.7728542988506046,-0.778351376476054,-0.782582003522922,-0.788418268482008,-0.796182235961563,-0.8068006980777973,-0.81960668426261,-0.8312701981001273,-0.8527910892684932,-0.8826925671397984,-0.904351109713819,-0.9120792931103928,-0.9193763793592304,-0.9348067932769439,-0.9383800923441921,-0.9450081944790761,-0.9526571113071373,-0.9319880294931995,-0.9613143892954131,-0.9584149285328356,-0.9364620244368732,-0.9036821299647302,-0.9015653291479713,-0.9418642141782259,-0.9387445226184998,-0.9369862354215266,-0.9371408125469128,-0.8857456965012387,-0.840697095131355,-0.7848415192751108,-0.7266777492450199,-0.6711904853894003,-0.680103663355506,-0.6760456944036201,-0.5871511695651009,-0.4909716478435704,-0.46613087374491635,-0.4449482068283481,-0.3988636533197893,-0.36628521894354554,-0.33674724509267856,-0.29019051276519,-0.20303936589630497,-0.050905846654825185,0.10094872719959146,0.21873193567653298,0.28788112681999367,0.3385493785940021,0.33392145607815066,0.34460496162309273,0.4028419854892317,0.42672238959827735,0.44394331924744784,0.39443142141110554,0.37625098620924574,0.30184903905710037,0.22295751940937245,0.16949887179337028,0.12583209302336196,0.0934658683527325,0.06145344095945002,0.020861603557336864,0.009973092122387932,0.0051619355180505385,-0.01185058475897366,-0.006790753777972416,-0.014146819823801246,-0.021385510476086018,-0.02768893495358666,-0.023301808455241376,-0.019538456209366905,-0.024648193482851903,-0.022181122745883883,-0.02752722699264646,-0.02009547447831153,-0.009616474522313057,-0.009459320182589237,-0.018987447137274606,-0.016064934896821793,-0.01694386763780665,-0.037449166146186555,-0.05264641452150349,-0.04937519533395065,-0.050352172934339606,-0.07102268894144839
stat_101,0.03467481697466048,0.015148186278316727,-0.15720453037199394,-0.07073404437296671,-0.24867507522699114,-0.1768782961227815,0.03352227731236592,0.03357110096253643,0.03325865855700985,0.03378938364187445,0.033567449025321196,0.0341817854199739,0.034962568289461954,0.033945644729015394,0.032486948874070186,0.030809687844394137,0.029561502054186898,0.023805758380958896,0.021031302352563654,0.018977490184716388,0.017930622301476164,0.016796577588903343,0.01614805640531423,0.01583958900645959,0.01181578446572711,0.008167674352888867,0.006156609476358293,-0.0021637153919567475,-0.010700200726777546,-0.02185986214646761,-0.03992260125513632,-0.03633207963748263,-0.03990730109890276,-0.03405806082665276,-0.015839667149599435,-0.010038319183302509,0.01163394031122056,0.029317182525414938,0.06974037121357914,0.07668805306626547,0.052140159073447,0.11038816777000363,0.1544972073966461,0.20227198076502365,0.2588335005700115,0.23469710300556376,0.21543313124847563,0.22578786143383958,0.2391940326412423,0.2042730083127509,0.12022933065838855,0.09691308432410256,0.07183000400148147,-0.0025765667588107622,-0.021822225260590914,-0.030277459531159033,-0.029549740165806446,-0.07125654835979664,-0.07297278554885396,-0.1134530880569151,-0.098582948426766,-0.07315158858735323,0.01786363904130531,0.11998734366792703,0.19476634100486762,0.19171823408614186,0.11458695016656151,0.12168551843970919,0.21065631190874526,0.3081779756789469,0.30785368277915665,0.20278192885873417,0.15279965038143092,0.16075125797332335,0.1746561460226743,0.17111483779736786,0.16458188324349965,0.20485066792226247,0.24364941007095678,0.24214186175373373,0.23816619105402484,0.22406063214323257,0.22164474434887288,0.20136564162217704,0.1857758957902343,0.1578527382856285,0.14073565280979491,0.11723145463975039,0.08608766933371229,0.0515625055090181,0.02503700248172954,0.0016986661558899294,-0.009919326375324555,-0.009680449261795615,-0.021436770341826932,-0.02011437799832697,-0.02064332159087666,-0.03390997254375798,-0.0432707259245509,-0.03852573589624205,-0.041013896568862875,-0.049099549113019544,-0.04406729090678355,-0.03615050496880967,-0.03761959109643359,-0.04226291809216842
stat_102,0.48775018721334723,0.4243194031422187,0.6761515789582814,1.0557975070725802,0.5327203674498203,0.2469732133168101,0.4865249798297292,0.48705445421508026,0.4887120425997282,0.4892795001387207,0.4887846733070271,0.4900071541060398,0.4901306790313558,0.4901731120957792,0.48794758830039026,0.4888908548495926,0.48583664694014655,0.48051779937095973,0.4804885173345918,0.49035338990520116,0.5103097766914089,0.49943291569076753,0.48826191743978575,0.4585590335233035,0.42446310792300973,0.3988230975235419,0.4025402948051359,0.3958383015791004,0.37420533964564096,0.3920766112306173,0.3908003704883806,0.3699729321676927,0.3718056543630553,0.39867243614572256,0.4182666981713581,0.4865320610446429,0.49044319496159605,0.4423373709346899,0.40723913127417466,0.39898203587077347,0.4471018329402419,0.4615086109505881,0.4658092859929546,0.49549109817884507,0.5511509157418967,0.5977714242917489,0.6020004842340847,0.631545250020225,0.6227969987369314,0.6324866464648708,0.597545991831079,0.5159094196935479,0.4646254029984705,0.41439803126831437,0.37630149652976774,0.3353019340544871,0.3189100233657758,0.280311289262108,0.24362921936208953,0.20756516300938838,0.1382088375894055,0.14833347201941138,0.16297953638611407,0.22464114661202322,0.30597497746810715,0.3224373252416166,0.28221960311409366,0.2578921232713521,0.2694903895528188,0.2647786434618736,0.32886007416526397,0.3329726065169743,0.3424594130412478,0.3642553593071043,0.361205944332231,0.36848404781795696,0.35164674797120743,0.31580601468879393,0.23324065674741076,0.19529412806691496,0.13549542909156556,0.10956574747437613,0.10764215665506553,0.11572894447487733,0.12343993462802405,0.11637841368475833,0.09171034547723735,0.06983067329357008,0.0796970019219254,0.06537277847566948,0.0766488815655103,0.08509097385108413,0.09042084992890306,0.1320206235925558,0.1549109389197295,0.1837674408338645,0.19845354221237413,0.21033774708419287,0.2077431976157773,0.21303097188913953,0.20672507383672203,0.18822341767335052,0.18918566774892412,0.1949623774989967,0.1925822101850897,0.22193253618800549
stat_103,-0.47532032308542904,-0.3234168005441373,-0.3650720783360051,-0.781084029547962,0.03078955282225565,0.0697898493074363,-0.47841625668101806,-0.4787296341590031,-0.4790883007102897,-0.4797761117039076,-0.4797784422685066,-0.48063074430723507,-0.48239257225565446,-0.48427897372900003,-0.4845761268199996,-0.4875812231721105,-0.49288533953598834,-0.49437756433033486,-0.4974416536504127,-0.4998837766887535,-0.5030339253014051,-0.5064661314367845,-0.5080963337660369,-0.5134218814827115,-0.5151510508037542,-0.517217162142986,-0.5252035522746581,-0.5306672644429918,-0.5392012000962176,-0.5572871591337694,-0.5757590137368531,-0.5947380892125592,-0.592063556852958,-0.6119809844872787,-0.634743090071316,-0.6414252261023423,-0.6242017384768467,-0.6144353701432606,-0.5927654853616684,-0.5502992152710358,-0.5152140689711161,-0.5689486356796027,-0.5715546016426517,-0.5892700361365869,-0.5791661407709053,-0.5573415708528981,-0.5147416608275401,-0.5027156337988986,-0.4729273630870869,-0.3960223867085476,-0.33901127444580986,-0.30534331811377646,-0.2571259582526273,-0.2271690567507117,-0.2123612562504158,-0.25149732303640987,-0.2342555305957698,-0.20496068431402012,-0.21836089481957366,-0.1874979067443098,-0.12869322330029742,-0.09900315617613789,-0.1152732852725208,-0.14234401816609146,-0.13415335027501885,-0.12089639544209797,-0.14264118044076537,-0.16432933142263084,-0.16415762711508647,-0.17347298909471542,-0.15705337008315037,-0.16661845158782035,-0.15493640384179988,-0.08214693958155805,-0.05284426501675919,-0.022940199766742678,-0.000712893290601615,0.015374037136407904,0.0017627824801857686,-0.024259829013315408,-0.0351168008227398,-0.0741573826473997,-0.12232892396019145,-0.16674437084529328,-0.2006798181140339,-0.22705127920877902,-0.22258860856983223,-0.2183118830396095,-0.2299421838937064,-0.23953379387612453,-0.24825718552770173,-0.2455512339046775,-0.2514153760651207,-0.25165359131046977,-0.25206458924772085,-0.24756279270494966,-0.24342802397259689,-0.25038217299119075,-0.24853234229786234,-0.23830352441000277,-0.24308164294277113,-0.2522257438982997,-0.24728684356578945,-0.2394695702424209,-0.2486053710966251,-0.26523126658531254
stat_104,-0.44123990036458505,-0.31912077314194565,-0.17656735815857696,-0.5142481435521825,0.2968463798747171,0.21247618744139046,-0.44262793699551806,-0.442630843578055,-0.44293431257821636,-0.44237696228646517,-0.44162874500326843,-0.4406083351747688,-0.4397895157809038,-0.4425839033253435,-0.44554454606956523,-0.44841165396502725,-0.4519263664458252,-0.45154116146777046,-0.45325602210788835,-0.45487618837582,-0.4554395838634912,-0.4577045902761968,-0.45507710573158244,-0.45492407202824736,-0.45648596878259223,-0.45235298623371445,-0.4489173583011813,-0.45891795682525516,-0.46779079027972875,-0.46164354815038355,-0.45892087847413215,-0.44856019185074125,-0.4377310068199127,-0.4315629686932006,-0.42827752204652414,-0.40844386498818136,-0.3671915874409472,-0.36726737820086064,-0.3407585654574454,-0.29307915318139616,-0.20692724879793878,-0.15911761140232583,-0.16694390371874365,-0.21755702637571514,-0.28691578115107214,-0.38532991764044217,-0.4224727888891212,-0.41991441642222155,-0.44409082557016377,-0.38368066470234696,-0.3846420386850812,-0.3943956575575886,-0.34990694110523873,-0.3801138544808113,-0.44350706876332463,-0.5455890330480659,-0.5287117846780814,-0.49082359238579254,-0.4614451315672262,-0.4016482290617747,-0.29859198992652997,-0.21376030742955307,-0.12158061956116778,0.036681919917133404,0.1385090192431363,0.13020079184021344,0.17412514595453843,0.28230796854269535,0.2506435688496949,0.20589582762581668,0.12877560665856977,0.13578441850255488,0.21268430585778794,0.2907459100017629,0.2671030508292813,0.1778702371694081,0.11286996224819547,0.061514820357331725,0.031187162185756626,-0.0054655842702562634,-0.03830656388630284,-0.07755332952073038,-0.10448056105463185,-0.119848199711941,-0.11869270161103648,-0.10283428449513586,-0.10330847428957315,-0.12763024225884465,-0.15280585844733946,-0.164902424970638,-0.16889732336476834,-0.1675640533984935,-0.1544650357119015,-0.12744356813357,-0.11001004788331749,-0.09476418082560119,-0.08843004678651255,-0.0786398833370198,-0.06952364349619285,-0.06539784461520841,-0.06150286948195386,-0.06554028867694343,-0.05037999225085199,-0.041072321319371746,-0.053342894926064026,-0.0701383499369962
stat_105,-0.060177578105454606,-0.03615701320317176,-0.15188562378493992,-0.145803771808848,0.023076457489360304,-0.0812601264884834,-0.0626760081382263,-0.06283284049461976,-0.06363274794916202,-0.06367247872819576,-0.06459576724399303,-0.06557477574816586,-0.06618380039918684,-0.06856804520201881,-0.0708995186258042,-0.0748888694489982,-0.07927633270622189,-0.08137412817356726,-0.08347949684667924,-0.08669278126672178,-0.08918543401511747,-0.09255024666206539,-0.09584478826635555,-0.09970485533870187,-0.11537065646762713,-0.13274198646913724,-0.14744592968751172,-0.15305920559437367,-0.17010652589382103,-0.1662309322021251,-0.16080767333749302,-0.1634339051091685,-0.18414971897819166,-0.1829055492560759,-0.19943606852885987,-0.18901751085408194,-0.2069506464205576,-0.1822051677583399,-0.1384033249982987,-0.0677271109375832,-0.031284406480569,-0.03758802780691239,-0.09669709435094179,-0.12011644863531411,-0.13444769905098494,-0.11872464342986161,-0.04072397780983972,0.017695910804228717,0.06450260028566966,0.02966657926432041,0.10618854784073367,0.14566778038820546,0.1522678397540957,0.14221095983090135,0.18673369364858033,0.2183315320518819,0.20287819927045578,0.09778746133613386,0.06127977834015472,0.0425497201685791,-0.03765836224032806,-0.015212790912716332,-0.06451626397789757,-0.062140372404930574,-0.09327970115132576,-0.15640804203454767,-0.20959475805373357,-0.22046511142746172,-0.2102134958103768,-0.14895156105769777,-0.1163957080919382,-0.058970253155313915,-0.01037631073961073,0.05930117140482696,0.10809883405790344,0.1844806127890115,0.23345588110361162,0.27897006764567206,0.27927509635356007,0.1945137130420172,0.11828305855852936,0.06263744336535232,0.04798218822046296,0.01572542008504614,-0.007311618831694996,-0.025972379919911012,-0.01920538292302769,-0.03337974813213803,-0.018934413315163007,-0.024318589337422997,-0.024127105733906962,-0.015898723740449833,-0.02329319726883033,-0.021644944667643076,-0.039356671104968155,-0.04528182397375788,-0.06319106133303475,-0.05862605401167192,-0.030846073280185793,-0.010183950592963167,-0.011198739840584216,-0.017677760234204688,-0.0022493860281102974,0.05176113916921839,0.1044916149490728,0.12399359591418527
stat_106,0.38084520037929726,0.2709446306768345,0.15257707386505714,0.627771665768668,-0.4911135881237883,-0.4208925243136968,0.37895293415338793,0.37872514781932665,0.3783839003938445,0.3783073832315102,0.3782338981857448,0.37822435893065287,0.37861095965609526,0.3768342014992918,0.37418498584050186,0.3713720306218902,0.36743662984786996,0.3652831011410263,0.36339507611526567,0.36370273255286206,0.3627622006666677,0.3567139280315196,0.3501573163891465,0.34552148472777333,0.3416796335184817,0.34225536533781953,0.3324262535674886,0.3207254196979698,0.3056491123079939,0.29502858355786354,0.29512935971202675,0.2846712357110488,0.2712992164114479,0.28516097067857643,0.3115354079612164,0.32437384472185415,0.3563241034309614,0.4427201258598028,0.46399339448865895,0.43731363567113646,0.3431708939223241,0.3396977328309868,0.36182959979265444,0.4190704576678194,0.4508503393383963,0.411179722631501,0.3097632468155541,0.23581362547800613,0.22212524182743013,0.23157897381828607,0.2824555872306199,0.41478493927430865,0.44715398699652265,0.5342919041618258,0.631286636293459,0.7519532995209002,0.8233667712011654,0.7956665089215267,0.7215803392335625,0.6166667214249354,0.4514806562173671,0.32083769065319556,0.21005334183583105,0.08369422641349339,-0.014344440638914104,-0.12025519471901272,-0.22844446337157506,-0.2606490924332928,-0.3147149532466251,-0.34672258260067146,-0.3780256943009975,-0.41131341148194417,-0.42779828637790435,-0.4080701065335282,-0.36570075273530533,-0.2795472157351988,-0.18619991853346443,-0.11943988629647787,-0.08019072435739874,-0.05066366602789182,-0.012843335445306608,-0.005856429168090734,-0.026129259620010205,-0.021762258661094755,-0.014831961307996272,-0.008979407548367927,-0.016069132073870306,-0.017309184145061163,-0.017407636208531876,-0.03465761040526958,-0.03318570313667259,-0.024018066208951434,-0.013596544385543552,-0.002673459074800944,-0.01900775045558928,-0.02229702788492679,-0.026068179004413543,-0.01756335641204534,-0.017259740897282706,-0.017325994984230868,-0.006264309570631134,0.01616489542829412,0.03593526448856494,0.018098051560718944,0.03399062632534254,0.04707947907738825
stat_107,-0.09132293645818328,-0.0274587085616993,-0.22514030203607024,-0.2786625012495794,-0.14830005687601944,-0.029419584019613657,-0.09447287653598718,-0.09457275152767101,-0.09520583197129945,-0.09572349389095464,-0.09658195094438228,-0.09673503220277894,-0.09842118609330147,-0.10116553462250046,-0.10303647049773099,-0.1066693062149243,-0.11157290707210861,-0.11358251323695494,-0.11594295194398802,-0.11853941140129887,-0.12378500359546722,-0.12786366141506836,-0.13267758037003743,-0.13566455152033058,-0.14000076618743887,-0.15717495871141302,-0.17244034729815033,-0.18413869655742698,-0.19965938078719872,-0.22885322445632855,-0.2531661828311298,-0.2791254937379926,-0.29716026185805056,-0.30669494726659446,-0.34141084215954265,-0.3569078784184907,-0.3674281415621559,-0.37022523592715295,-0.3961148500518723,-0.4038184979949973,-0.369875562659001,-0.35643282523372516,-0.3396635540897546,-0.30511847414272936,-0.2852443890448775,-0.21804282745788983,-0.1477818105673502,-0.07020286785131849,-0.007048044658354151,0.08857811872726562,0.16478974850666642,0.18835184821678372,0.23108802813531373,0.19299365640249472,0.14186415133905284,0.13130630314585745,0.16524137785333143,0.13225433915250398,0.05767888111330661,0.017413571981817682,-0.0688352896763541,-0.12412577824456253,-0.12221824552382163,-0.1509549169875265,-0.10459021917381041,-0.06920025287001126,-0.06851083258768174,-0.05337543610999121,-0.005263163818509901,0.06482520522544073,0.02459575022521153,-0.0030478048157380395,0.033732451307213994,0.07653554148775854,0.09367849831295101,0.14276622139416248,0.1856738335884918,0.21122909583021604,0.18563432835950494,0.1623228619242672,0.20201578016484253,0.20375495720918926,0.1852612386321446,0.15251495883522218,0.13368718722054163,0.13107504408293963,0.11603699547627848,0.10997554076731475,0.09831731679770615,0.06897934333436061,0.0614295207214266,0.06245254351888504,0.06572901658249215,0.053966198831342814,0.03128762833668146,0.03561275003065652,0.02742765957752652,0.031723465954128414,0.019692541397497626,0.022101971338688416,0.0377150962889703,0.06736383576472069,0.0989133473447594,0.08760889009445673,0.0856633037534332,0.09497683154280567
