,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.947491735971985,0.05356085935824626,0.5236349670671394,0.6546051680305095,0.5202541087956442,0.9865930480529475
freq_0.1072,0.8527235961536356,0.051584200174369384,0.5049069756536889,0.6313654169687164,0.4916790697377762,0.9462038107226376
freq_0.1150,0.757559873542912,0.04969159574283815,0.4821894529156549,0.6103018387558341,0.4691666586022165,0.9083459453511198
freq_0.1233,0.6683331072594608,0.047609647408071595,0.4585456281637123,0.5839167009852856,0.4667395068860285,0.8769655489731657
freq_0.1322,0.607058369989117,0.04630881254529701,0.44315901021062376,0.5699646458381569,0.44614941397988783,0.8487042508617902
freq_0.1417,0.5431262385258706,0.044755861741988395,0.4337024110988399,0.5470695247912057,0.44581134317181165,0.8283300067297319
freq_0.1520,0.4736180927856781,0.042235469351818204,0.4316407205329323,0.5045613407559943,0.4449682377840992,0.799307569615328
freq_0.1630,0.4132067352386978,0.039908973817954996,0.4331513149430311,0.46331077653875397,0.44270308138076864,0.773474599167838
freq_0.1748,0.37594598431171006,0.03876816712017818,0.4347576709276906,0.4430666445270939,0.4361745215795098,0.7586636258567314
freq_0.1874,0.3532928241536219,0.03793061743089315,0.4264679995828371,0.43365900934803386,0.4220513662742201,0.7403123981339504
freq_0.2009,0.32388912684401205,0.037076929624997555,0.4134710776039153,0.42391689770239804,0.4232472250938946,0.7278750454042577
freq_0.2154,0.2924404310981062,0.03598521300221233,0.3982206640835119,0.41034586636868464,0.42805230136444955,0.7142773971311014
freq_0.2310,0.26969653760752454,0.03552344116499523,0.38707051691005173,0.40695219427987295,0.42810549988064556,0.7061926029903425
freq_0.2477,0.24187234507390815,0.03569420471387727,0.38838873172105687,0.4084445163247366,0.4350383330102712,0.7119909276332071
freq_0.2656,0.22006697197775704,0.03705859363301618,0.3899683983019027,0.4312079177624519,0.44144024418405964,0.7299898007509853
freq_0.2848,0.20631096716414404,0.03879075300423715,0.3846526903361816,0.4628147371031447,0.44826313903448717,0.7503965717404146
freq_0.3054,0.19721666048903608,0.040588927574445204,0.3785777685369506,0.49409293303374696,0.4632166039971523,0.775898560072747
freq_0.3275,0.1756688735949999,0.0415068731067047,0.3700623665182988,0.5124005004222585,0.4656703990653962,0.7850791988785781
freq_0.3511,0.15936748622315805,0.04199319585070127,0.36504438094580544,0.5217470759677264,0.47014592137786015,0.7915267517457738
freq_0.3765,0.1532831207310355,0.04223111895063975,0.36675389413728443,0.5247813144121961,0.473158048031974,0.796104506480451
freq_0.4037,0.1676511012362283,0.042766475378943875,0.36805627300814475,0.5332545132216095,0.473622866712899,0.8025860800220785
freq_0.4329,0.20742414285354863,0.043882294274636316,0.3702326686089568,0.5513030855422891,0.4723584473249215,0.8149416075971142
freq_0.4642,0.2557909913821492,0.045835703383663544,0.36588525910318226,0.5840856188418924,0.4798350379941962,0.8398033678509577
freq_0.4977,0.3082709526431576,0.04716869762613211,0.35237068236811764,0.6103302282216106,0.4758879042934356,0.8503748483618352
freq_0.5337,0.3422633077871726,0.047153741577144574,0.3436756572219632,0.6140273808194266,0.4625866507041359,0.8420979700560878
freq_0.5722,0.391020285749241,0.04642397104927322,0.34201775852666855,0.6029859652775272,0.4600524573858343,0.8319954837714101
freq_0.6136,0.45929725162742924,0.04574110031364477,0.3493691318424484,0.588902968627326,0.46787867937280514,0.8293225882333506
freq_0.6579,0.49693366519282345,0.04493191625315251,0.35867153565805926,0.5727591748578034,0.46874090370553234,0.8224453645572948
freq_0.7055,0.49240983116649617,0.044490085612119236,0.35819903232163747,0.5658855517406682,0.46664432365271424,0.8162658446990767
freq_0.7565,0.44245464191523626,0.043780522428193115,0.35503481736405645,0.5542261255201629,0.47466053239978945,0.8114917995690849
freq_0.8111,0.36011990844787795,0.0419260944837859,0.35512978994140393,0.5242183678629386,0.4679914671689586,0.7873614660698499
freq_0.8697,0.25421033308901403,0.04020280819933196,0.3542686727964963,0.49585804679513407,0.4658668233818168,0.767081085821011
freq_0.9326,0.15446419961883553,0.03980512267949963,0.3592034066376873,0.4866881370817988,0.47126116262657686,0.766798222165665
freq_1.0000,0.06912601602778999,0.03973372287284799,0.36676749593559366,0.4822459014085262,0.47500840561750907,0.7698782312206753
freq_1.0723,-0.02860956539535028,0.03941762480800329,0.35399640056508613,0.48103242724551465,0.4782685902089975,0.7651447523542524
freq_1.1498,-0.11231410478872139,0.03962828844238395,0.33894624188221845,0.4893514631566731,0.4820015778284141,0.7659470806842578
freq_1.2328,-0.15923807703402323,0.03919291846067136,0.34012850928934235,0.4804352419344011,0.490820377710243,0.7664268182283175
freq_1.3219,-0.18699687540895651,0.03865649381525763,0.3575029946504045,0.4651504537350695,0.49006821278651697,0.7644214733886792
freq_1.4175,-0.20542713883593017,0.03881589622639266,0.37197255859306005,0.4619625052371798,0.49354279701364046,0.7715940856922935
freq_1.5199,-0.2098333913832218,0.039326930892733404,0.3716713223829924,0.47039871439205533,0.49736506915044554,0.7789650405471661
