,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09354861540063983,0.08986533816765391,0.06303465603862908,0.14695175332761665,0.09202308266815565,0.06749117528149061,0.09331949806202305,0.09333326795635281,0.09334078413740594,0.09333790147779476,0.09330510375130845,0.0932177629174728,0.09312874929156068,0.0930853635076343,0.09304101802926117,0.09297626125354679,0.09291574937127127,0.09283897621718891,0.09272140970255738,0.09259906070121476,0.09247191512172317,0.09259055174808999,0.09261500860320514,0.09284028136183274,0.09299546034038225,0.09291419222765267,0.09280991612527621,0.092863552570618,0.0929559477014641,0.09288952997551557,0.09317032875455192,0.09336832215507532,0.093563728889659,0.09410471651074559,0.09451063362512495,0.0947709987022756,0.09481663191050171,0.09519176340228577,0.09513335387532672,0.09502168713522066,0.09548468858603236,0.0954944526785825,0.09568145552733844,0.0958133040003093,0.09636902738630296,0.09668159969066033,0.09816492855692208,0.09893647734713143,0.09930283029237028,0.09931849917053363,0.09930310399779767,0.09939527932616886,0.09936576625255589,0.09948105971560209,0.0993273769374048,0.0994515060965238,0.0989111280699526,0.09834587656415725,0.0980517208195026,0.09733819532697065,0.09652528813717731,0.0959686486932005,0.09505180465057729,0.09336618587882153,0.09212450874218922,0.0912473867864892,0.09059012460552303,0.08953248271291524,0.0877125500541801,0.08629151032562887,0.0846435432255451,0.0829137326128748,0.08118961082962432,0.08013904539327926,0.07863675991498154,0.07761410253720327,0.07688745547492341,0.07578799157530965,0.07506518824231563,0.07420897074537312,0.07377568380160131,0.07394073186164335,0.07389797871190489,0.07383093175945303,0.073599504430673,0.07323383715768143,0.07268521590256083,0.07211376044226289,0.07200617317492426,0.07180979397763826,0.07123554726087493,0.07085953350454852,0.07062880083121068,0.07045227563454395,0.06996280056373795,0.06944306439234124,0.06902802717230289,0.06916641575379447,0.0693773388579541,0.06947279066686853,0.06931752403611614,0.06928055934901688,0.06949001540822142,0.06983116921254856,0.07014431802284608,0.07048093401579347
event_2,0.10128052517493341,0.09732074769930225,0.06823503895422099,0.15912352088749107,0.09928988005576173,0.07303073202727309,0.10103301018633831,0.10104800738539291,0.10105584214969096,0.10105216889471386,0.10101610443354322,0.10092137753205017,0.10082475553413602,0.10077776829020962,0.10073002573492548,0.10065985157422151,0.10059372319040674,0.1005108007711979,0.10038348628736157,0.10025000321223906,0.10011032922932886,0.10023518471667879,0.10026163704667222,0.10050428861491667,0.10067125804099669,0.1005812054964318,0.10046585043780155,0.10052146427431999,0.10061889716008478,0.1005459848058368,0.10084854875851423,0.10105785793275221,0.10127102435168607,0.10185671907430904,0.10229713659767042,0.10257956600149863,0.10263350158929042,0.103041478403744,0.1029809888724758,0.10285970653511044,0.10336098290358643,0.10337648741507147,0.10358118609437943,0.10372390593716577,0.10431986717908305,0.1046621592273597,0.10627018767903164,0.10710698053310382,0.10748966668222036,0.10750827351829932,0.10749524002963577,0.1076002441377033,0.1075785150185607,0.10771627029062104,0.10756130728837175,0.10768916219061136,0.10710441087928027,0.1064927370635379,0.10617679064606904,0.10539932639850749,0.10450137487486486,0.10390113390137286,0.10291161403261835,0.10108746077820695,0.09973974343185822,0.0987786649116521,0.09806188608786097,0.09691595925165966,0.09493735666314308,0.09339192240202897,0.09161624251207386,0.08975840598926468,0.08789445091294901,0.08675562951773738,0.08512698843648611,0.08402042032536822,0.08323062042348192,0.08203470455275716,0.0812474233995269,0.08032442773647182,0.07985722539019546,0.0800385986906978,0.0799963666154906,0.07993251906026021,0.07969053416432895,0.0793001133597827,0.07870842083870822,0.07809355023577678,0.07797693802691656,0.07776637928742364,0.07714971971102054,0.07674235935564269,0.07649550655255281,0.07630883838832372,0.07578290354959519,0.07522434314224105,0.07477679627861818,0.07492550420926158,0.07515288333936293,0.0752545974691224,0.07508698326166245,0.07505089196751263,0.07527901246248747,0.07564796902972097,0.07598747709102971,0.0763518174625929
event_3,0.11116203904456952,0.10686944128493578,0.0748676414267186,0.1746735924523577,0.1084962448734656,0.08010289937106407,0.11089081974019321,0.11090743829837987,0.11091562779146728,0.11091081850067162,0.1108704050620134,0.11076604431220086,0.11065952829422004,0.11060783393821423,0.11055561184895084,0.1104782675346451,0.110404406093317,0.11031337155567307,0.11017313307180665,0.11002462822257451,0.10986772140208716,0.10999888828924272,0.11002747988660692,0.11029174620915168,0.1104729413544905,0.11037041288662754,0.1102393731175463,0.11029596975474637,0.1103986185239964,0.11031648215300924,0.11064545440115409,0.11086696678459093,0.11110316315193379,0.11174594945625957,0.11223079553262313,0.1125416818061115,0.11260812289114616,0.11305895398719469,0.11299655610188564,0.11286294904790349,0.11341430774086059,0.11343969573303014,0.11366857332335038,0.11382568412608073,0.11447227439553366,0.11485497402223782,0.1166254372076705,0.11754782370335375,0.11794885400471587,0.11797277826203226,0.11796426285573698,0.11808833204090698,0.11808099664255067,0.11825353689100411,0.11810041873707426,0.11822954658664864,0.11758697532824224,0.11691733294711519,0.11657706205806506,0.11571653373911514,0.1147041360147243,0.11404807039647617,0.11296516867960789,0.11096307113460074,0.10947664605701496,0.10840285262540472,0.10760823486683957,0.10634935483433292,0.10416322990252987,0.10245502484884518,0.1005174741025973,0.09850043635343822,0.09645795856014484,0.09520588691763718,0.09341460584636965,0.09220132025006929,0.09133014841610167,0.09000891628837514,0.08913782650853522,0.0881301911971088,0.08761981075319603,0.08782306900492208,0.08778291267199749,0.0877267812955291,0.08747448617461351,0.08705490387985476,0.08640902887162866,0.08573974353301964,0.08561198866251435,0.08538492489460638,0.08471723801677504,0.08427072444562074,0.08400536262255075,0.08380868027989889,0.08323783959515671,0.08263178647868685,0.08214359941902902,0.08230592864582101,0.08255472828287712,0.08266389817106465,0.08247955570414565,0.08244543745392152,0.08269807733362555,0.08310259363875268,0.08347575675847865,0.0838746980183329
event_4,0.08685129666999654,0.08332470881708721,0.05863401360139695,0.13653613442358706,0.08554060566235219,0.06265459095185716,0.08664101298960013,0.08665353668990843,0.08666040292155472,0.08665775855905358,0.08662771467520723,0.08654786157725709,0.08646612395793085,0.08642663737030584,0.08638701854381417,0.08632873164103355,0.08627587133719662,0.08620695659745299,0.08610147998789835,0.08599242831540956,0.08588061048411655,0.0859975291944407,0.0860235491763453,0.08623529346031407,0.08638438694517837,0.08631543274246249,0.0862267279841266,0.08628485413134192,0.08637599682810677,0.08632027762465672,0.08659028407287145,0.08678366778722955,0.08696541401182885,0.08746802501119033,0.08784383812032233,0.0880843876776525,0.08811935569459416,0.08846367920789407,0.0884085385759055,0.08830438110046276,0.08872405280606843,0.08872105001516709,0.08888577546617996,0.0890039595018336,0.0895158735820548,0.0897933787789793,0.09114978584576791,0.0918513918291011,0.09218812147854528,0.09219350627435781,0.09217371034119146,0.09224758535259937,0.09220332023195835,0.09228606919898222,0.09213586066748526,0.09226627527233168,0.0917732312829246,0.09123891341955069,0.09094425803688977,0.09028395820953662,0.08954360973281086,0.0890311453714946,0.0881882708617066,0.08663108792531383,0.08549649719807378,0.08470452735765212,0.08409942374598305,0.08311704794055215,0.08145031978611875,0.08014911487350841,0.0786228329789502,0.07700766396932437,0.07541034335274738,0.07443611884848277,0.07304685797877537,0.07209425861898129,0.07141939410788405,0.07040530481453544,0.06973725339341857,0.06894374090128129,0.06854358567541684,0.0686933203888879,0.06864950023679614,0.06857364598880637,0.06834883183550612,0.06799942570256128,0.06748738389754709,0.06695559343618943,0.06685210377567233,0.0666603889622374,0.06611111092656799,0.06575432139008117,0.06552911939512979,0.0653505103228093,0.0648902100651333,0.06439886633423482,0.06400986376210016,0.06413331756554048,0.0643247482264793,0.06441470440497978,0.06427819475204104,0.06424410984963587,0.06443591857316912,0.06475176797094312,0.06504352290647311,0.06536205435583116
event_5,0.12877057999744973,0.12382973518362078,0.08684820872156863,0.20262694527488748,0.1243564681607963,0.09260756429458718,0.12846159031109444,0.12848101679627982,0.12848887706840117,0.128480585818932,0.12843142094296384,0.1283109669794889,0.12818725757711694,0.12812811620368408,0.12807057318758894,0.12798256690955506,0.12789740331900223,0.1277954446836095,0.1276367777086236,0.12746446030776942,0.12727915948999866,0.12742011928675362,0.12745675186606692,0.12775935397322755,0.12796948155756105,0.1278472577510024,0.12769179392017707,0.12775399535956336,0.12786537379846544,0.12777180965010107,0.12815621405919883,0.1283970790407308,0.12867977701738506,0.12942475697853043,0.12999028027297502,0.13035192578554042,0.13044448501400485,0.13097187043948874,0.13091354570060718,0.13075603620944462,0.13138222019523538,0.1314236495158385,0.1316901966974213,0.13186714777649597,0.13258220575635496,0.13303169706883672,0.13507168216045948,0.1361328363945633,0.13652763390897157,0.13655491164369288,0.13655715881741326,0.136714849786651,0.13673913509445948,0.13697773716928927,0.13684747375041212,0.13698023881107857,0.13624561027947052,0.13546213481120195,0.13505981375816345,0.13404168180038104,0.13279903106194002,0.13205380049482665,0.1308210856936939,0.12851255903412184,0.12679130708883074,0.12551363769642107,0.12457321149956661,0.12311043155693627,0.12055981394109232,0.11856456975397273,0.11636460685627516,0.11409318565432501,0.11174456891697901,0.11028805641906134,0.10820780448760071,0.10680200349815241,0.10577671218796403,0.10422497887891408,0.10319527340961814,0.10204951351013579,0.10147024251477203,0.10171568994471838,0.1016856160170918,0.10165085270770398,0.10139245106214954,0.10092376071656194,0.10018460198899819,0.09942883796379216,0.09927537991617288,0.09901161374060768,0.0982454325569675,0.09771766368812618,0.0974129852059028,0.09719146839095663,0.09654402907200771,0.09585319829308495,0.09529270373951944,0.0954695977151039,0.09574830249131744,0.09586813376871743,0.09566505309641374,0.09564564967990392,0.09594223571220127,0.09640784224481708,0.09684369754193181,0.09731220239875099
event_6,0.1136914063565789,0.10929410075597623,0.07658583990524725,0.17867894801166037,0.11080922616335517,0.0819051228130279,0.1134147426191792,0.11343173346646912,0.11343993991869827,0.11343475678748104,0.11339322864048727,0.11328664645515599,0.11317775560606275,0.11312502821561995,0.11307204377425614,0.11299325543471662,0.11291804144427062,0.11282547701053992,0.11268272382917498,0.1125311959047548,0.11237090609835901,0.11250458856571932,0.11253443671445566,0.11280460158984564,0.11299035480128142,0.11288570265287012,0.11275199759994692,0.11281023937015237,0.11291496535873952,0.11283156967538621,0.11316903888177868,0.11339493191688964,0.1136373268206683,0.1142948016510775,0.11479094241547762,0.115108948498146,0.11517770627828074,0.11563895194099111,0.11557626359002927,0.11543934744576942,0.11600141339615995,0.11602752356839699,0.11626104920564548,0.11642094510480952,0.11707875396403894,0.11746966682409453,0.11927751162310253,0.12021879062968836,0.12062133194370624,0.12064482167890303,0.12063685466834571,0.12076405655567654,0.12075835994213115,0.12093651493443675,0.12078414731231474,0.12091593336380502,0.12026057390757702,0.11957397899729146,0.11922297131950163,0.11834078708310353,0.11729918595715094,0.11663028115364939,0.11552596830447323,0.11348024416412547,0.11196186447922866,0.11086228695701021,0.11004798994177521,0.1087599401979594,0.10652442100645101,0.10477739784246794,0.10280068818231261,0.10074333017381372,0.09865629726018789,0.0973752580964838,0.09554317912680396,0.0943019946993102,0.0934094566591162,0.09205669705914848,0.09116403697220106,0.09013568800548241,0.08961500933098485,0.0898235389275895,0.08978365654131626,0.08972792588164191,0.08947214210753322,0.08904379230695487,0.08838380104200078,0.08770084409195475,0.08756947496454265,0.08733650953133683,0.08665306873889657,0.08619484292218935,0.0859228067373266,0.0857210218411047,0.08513801831225405,0.08451850683924032,0.0840193828702816,0.08418390098915252,0.08443703558930535,0.08454814785355245,0.08436132347315754,0.08432838511940577,0.0845869262824669,0.08500028904267487,0.0853823693945324,0.085791476010666
event_7,0.1528908271724191,0.14700321566323019,0.10354674405605648,0.24138173252894576,0.14498540113595978,0.10953856772324648,0.15253818581955916,0.15256142406229467,0.1525668796742491,0.15255075288568964,0.1524872945904458,0.15234640010986872,0.15219958454685564,0.15213179790044,0.15207172784612757,0.1519725903405809,0.15187540741929909,0.15176465489816032,0.15158848139287256,0.1513873840106085,0.15116480708592808,0.15131261908196164,0.15136741377276605,0.15172080317188555,0.1519754742269423,0.1518282331132519,0.15164252298531822,0.15171619047773097,0.15183558851761145,0.15173381473574146,0.15220692824059623,0.15246438908403387,0.15282206225136657,0.1537078043756715,0.15438753381342188,0.15481941621570863,0.15495961745483192,0.15559430616382725,0.15555779095268837,0.1553636981819041,0.15606728074219078,0.15613363590509538,0.15644500166244765,0.156639117213741,0.15740445679428605,0.15794107691934808,0.16031934557128633,0.16154952412693413,0.16185702023537518,0.1618809328992545,0.1619062931484094,0.16211527853444094,0.16220388769837996,0.16255409223888898,0.1624999186129504,0.1626324845085897,0.16179014105246534,0.16083374457515245,0.16031880663522632,0.15906371747480652,0.15744378289996797,0.15659543145089352,0.15518747233634708,0.15247726841160417,0.1504505336499314,0.14887582589395923,0.14771840721164894,0.14597115918413234,0.14292064419372097,0.1405293842187657,0.13802175965570615,0.1354675218502373,0.13272292368377486,0.13098025872932778,0.1285031223008251,0.1268303240995341,0.12557497233985,0.12368910908208253,0.12242137090124733,0.12111206315766904,0.120454126062995,0.12076581765833617,0.12076504715548302,0.1207826634216195,0.12054713096524416,0.12002256221353926,0.11916405806958422,0.11831298888485299,0.11811373803203797,0.1177891868917511,0.11688069910607925,0.11622128722408477,0.11585523885555682,0.11559286451496274,0.11485104001576191,0.11404866194954276,0.1133914190821021,0.11357029721853609,0.11387477980259267,0.11400289158293246,0.11379349213176783,0.11381806384446441,0.11417686556816432,0.1147217552969838,0.11524873571203495,0.11582613325171674
event_8,0.12881425986095363,0.12386936516748415,0.08688185953085989,0.20270187184470767,0.12438667354232953,0.09263665037570828,0.12850528899961178,0.1285247179563415,0.1285325579003749,0.12852423071100783,0.12847502972110258,0.12835457022226798,0.12823083668868915,0.1281717036373045,0.12811421531169562,0.1280262431654391,0.12794113535709045,0.12783924239675917,0.12768065670560755,0.12750838513327997,0.12732312421888523,0.12746415321763763,0.1275009195517253,0.127803640651973,0.12801395887749176,0.12789179991045857,0.12773642260144968,0.1277987917762791,0.12791023420453082,0.12781679107053767,0.12820157476050575,0.12844253399226319,0.1287254497021474,0.12947069549680212,0.13003643713882232,0.13039819891892077,0.1304908235370044,0.13101836551731827,0.13096017823446043,0.1308025694394131,0.13142857866654184,0.13146990041449164,0.13173635212620102,0.1319132020604308,0.13262798432375486,0.13307740963641174,0.13511746059110272,0.13617852982844647,0.13657252742337833,0.13659958543687917,0.13660184451560825,0.13675946768516334,0.13678373517883682,0.1370222664408237,0.13689234558314434,0.13702534413000741,0.1362908114135366,0.13550672596592578,0.13510359815994658,0.13408491346361798,0.13284136363278376,0.1320961728050613,0.13086352149171673,0.1285545425017866,0.12683317629592747,0.12555521400055347,0.12461435059260703,0.12315100915122285,0.12059985586654698,0.1186041597179523,0.11640407502009537,0.11413247268550705,0.11178335554258234,0.11032629842427757,0.10824540193102922,0.10683904669911883,0.10581320064923379,0.10426083090321614,0.10323059059424086,0.10208473802001845,0.10150546642913547,0.10175104215441923,0.101721069362984,0.10168636014893151,0.10142806745408155,0.1009592031246498,0.10021984514507086,0.09946404945279863,0.0993103793262992,0.09904628175671647,0.09827952931850373,0.09775124860291252,0.09744621765515617,0.09722431926113775,0.0965766814592197,0.09588552246615444,0.09532480185470875,0.09550147276172304,0.09578002790112067,0.09589985184739055,0.09569704767668229,0.09567790505568309,0.09597457011551921,0.09644027181378974,0.09687635031064627,0.09734526270094762
event_9,0.12875105295287878,0.12381376404895701,0.0868237389822572,0.20258077143894906,0.12435441788182945,0.09259801212677939,0.12844187059386755,0.12846129863110273,0.12846920918845162,0.12846099693025045,0.12841189258212907,0.12829139906957174,0.12816768462339792,0.1281085015594232,0.1280508237702353,0.12796271586402505,0.1278774291606737,0.12777529210098856,0.12761639390303456,0.12744393607403948,0.1272585307911481,0.1273995472794437,0.12743593540366943,0.12773850073928136,0.12794839151936158,0.12782603884361454,0.12767039286360485,0.12773235871875963,0.12784375131987755,0.12774990676507092,0.128133754145849,0.12837472306092548,0.12865705148004244,0.12940189188091644,0.1299672396979568,0.13032882823437636,0.13042114355878193,0.13094843976373272,0.13088966612070627,0.130732299928713,0.1313592671139582,0.1314007885733845,0.1316676193424948,0.1318448841069886,0.13256106744251314,0.13301078279223336,0.13505153465685563,0.1361132449468227,0.13650988756713253,0.13653744938952717,0.13653957177987563,0.13669725931094334,0.1367212689483448,0.1369596565518389,0.13682847613466947,0.13696114225830383,0.1362260708495933,0.1354432467657188,0.1350419057237908,0.13402437412588164,0.13278308776904119,0.13203750936543485,0.13080421870594813,0.12849553491358207,0.1267739390408045,0.125496599672117,0.12455665575055108,0.1230942211045359,0.12054372864134445,0.11854863691978565,0.1163477067379127,0.11407507290962915,0.11172613951035033,0.1102699959452097,0.10819000815035698,0.10678455405849885,0.10575992665142193,0.10420881921478117,0.10317976526023906,0.10203349568976457,0.10145386640382709,0.10169909868497741,0.10166866788436844,0.10163347519629083,0.1013743891072786,0.1009056028052909,0.10016635662708234,0.09941005083584305,0.09925698671916076,0.09899371868627256,0.09822812541904608,0.09770111915658354,0.0973968609915507,0.09717578626709035,0.09652826161259238,0.095837555383813,0.09527714467335276,0.09545455334212256,0.09573366439218724,0.09585361396389275,0.09564996303434256,0.09562994370947998,0.0959264743482022,0.09639213890840882,0.09682777433159073,0.09729574979590508
event_10,0.12881425986095363,0.12386936516748415,0.08688185953085989,0.20270187184470767,0.12438667354232953,0.09263665037570828,0.12850528899961178,0.1285247179563415,0.1285325579003749,0.12852423071100783,0.12847502972110258,0.12835457022226798,0.12823083668868915,0.1281717036373045,0.12811421531169562,0.1280262431654391,0.12794113535709045,0.12783924239675917,0.12768065670560755,0.12750838513327997,0.12732312421888523,0.12746415321763763,0.1275009195517253,0.127803640651973,0.12801395887749176,0.12789179991045857,0.12773642260144968,0.1277987917762791,0.12791023420453082,0.12781679107053767,0.12820157476050575,0.12844253399226319,0.1287254497021474,0.12947069549680212,0.13003643713882232,0.13039819891892077,0.1304908235370044,0.13101836551731827,0.13096017823446043,0.1308025694394131,0.13142857866654184,0.13146990041449164,0.13173635212620102,0.1319132020604308,0.13262798432375486,0.13307740963641174,0.13511746059110272,0.13617852982844647,0.13657252742337833,0.13659958543687917,0.13660184451560825,0.13675946768516334,0.13678373517883682,0.1370222664408237,0.13689234558314434,0.13702534413000741,0.1362908114135366,0.13550672596592578,0.13510359815994658,0.13408491346361798,0.13284136363278376,0.1320961728050613,0.13086352149171673,0.1285545425017866,0.12683317629592747,0.12555521400055347,0.12461435059260703,0.12315100915122285,0.12059985586654698,0.1186041597179523,0.11640407502009537,0.11413247268550705,0.11178335554258234,0.11032629842427757,0.10824540193102922,0.10683904669911883,0.10581320064923379,0.10426083090321614,0.10323059059424086,0.10208473802001845,0.10150546642913547,0.10175104215441923,0.101721069362984,0.10168636014893151,0.10142806745408155,0.1009592031246498,0.10021984514507086,0.09946404945279863,0.0993103793262992,0.09904628175671647,0.09827952931850373,0.09775124860291252,0.09744621765515617,0.09722431926113775,0.0965766814592197,0.09588552246615444,0.09532480185470875,0.09550147276172304,0.09578002790112067,0.09589985184739055,0.09569704767668229,0.09567790505568309,0.09597457011551921,0.09644027181378974,0.09687635031064627,0.09734526270094762
