,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.0857030973818042,0.08158493532217685,0.05806476960923471,0.1348707770322591,0.08498194047458735,0.06186659841387372,0.08550434939916976,0.08551533257582938,0.08552256295605758,0.0855217706764751,0.08549553738817221,0.08542250561718336,0.08534644309779199,0.08531086620044268,0.08527739399322858,0.08522762371554081,0.08519091470699393,0.0851315871482481,0.08504177581055615,0.08495493929700185,0.08487499268446043,0.08502862546362613,0.0850658864274105,0.08528885724958127,0.08545712320823741,0.08541904490679317,0.08536772877688353,0.08546125050637017,0.08557922113074118,0.08554547162255938,0.08584330138196902,0.0860852559761547,0.08625627646421362,0.08675345336138474,0.08711672206409318,0.08734846878310103,0.08734004557557203,0.08766041724890272,0.08758795375914587,0.08748628501694097,0.08787595819396625,0.08781507226532485,0.08794121673620288,0.08804519663648787,0.08856167136214525,0.08877479289060025,0.09002361616395191,0.09064650561857712,0.09099305040522312,0.09094692343431716,0.09089163799608817,0.09089204411494334,0.09073884004076871,0.0906629027072837,0.09045816534343856,0.09068265768975761,0.09024330281328008,0.08966271667282981,0.08924023930199078,0.08860472779863489,0.08797469550444022,0.0874955151184286,0.08671254773197688,0.08522015297492941,0.08420629439575258,0.0835624705783449,0.08300174747922813,0.08203165472553657,0.08051804906685067,0.07933516360264113,0.07781892667779293,0.0761364826878689,0.07456117280208865,0.07360946469154166,0.07226586782471237,0.07131261252191852,0.07065846356166752,0.06970329998365918,0.0690731182455649,0.06827916705482483,0.06788308145229267,0.06800782793071848,0.06793336086398374,0.0677761558535904,0.06748390571607601,0.06708289332138272,0.06655857969721327,0.06601156221962169,0.06589931185534291,0.06567046255539935,0.0650499191776764,0.06466750073458284,0.06438812202696484,0.06413022486535463,0.06363788646030998,0.06309912647980542,0.06269236857456528,0.06278795161811569,0.06295230443843797,0.06305073941393122,0.06295985721804256,0.06292126941806013,0.06309399628202997,0.06340160212887243,0.06369434192945878,0.06404033891619242
stat_2,0.11567287838786014,0.1095324313925025,0.07826517855881335,0.18187541417705025,0.11436151908046086,0.08351266430931238,0.11541108301783451,0.115424686224386,0.115435200537754,0.11543628655485495,0.11540432147474584,0.11531064024480747,0.11521201139301579,0.11516674526253318,0.11512569365070946,0.11506472040409897,0.11502816500363462,0.11495434895672388,0.11484375466754582,0.11474375062115863,0.11466202464722057,0.11490497337155568,0.11496312558432023,0.11527692348490963,0.115520798150523,0.11549475379699242,0.11545563890238386,0.11561151596999998,0.11579667289654001,0.11576595977204107,0.11618833904102185,0.11656370560335563,0.11678135531920315,0.11745313078819256,0.11793506540268313,0.11824278212597449,0.11818853776239219,0.1186033773701054,0.11848095101069901,0.1183469215429565,0.11886621395557324,0.1187333337599704,0.11887566839664074,0.11900940591857852,0.11973167137920412,0.11996676847197144,0.12157819941332575,0.12235817997829031,0.1228383506031914,0.12272696895823001,0.12261976873602332,0.12255307015029046,0.12224670679787683,0.12200083879022332,0.12167668933842564,0.12206666281574424,0.12151668461652756,0.12068443355126957,0.11999138643674784,0.11914524783615753,0.11837564021742761,0.11775803629679853,0.11675196132372433,0.11478064403765305,0.11351078790737211,0.11276825646943472,0.11204446444495497,0.11073403407949821,0.10881345879773541,0.10731141630845888,0.105252160446943,0.10288834110120218,0.10075557174366122,0.09948149626043785,0.09769214743234989,0.09639505027581277,0.09552843358163383,0.09428472823383396,0.09346509640579939,0.09237741686286538,0.09183683154788226,0.0919820714561406,0.09184859333570565,0.0915561402329883,0.09108801819929571,0.0904941733038651,0.08976640620603529,0.0889972624120769,0.08884323511432446,0.08850667359483069,0.08760646815563489,0.08707151799367534,0.08664742543806682,0.08623018351766105,0.08553078811528939,0.08475634867072185,0.08418727695335675,0.08429598436186825,0.08449748778811397,0.08463912453963861,0.08455343326679378,0.08449362256591665,0.08471215780661298,0.08512452720805806,0.08552287751518216,0.08601411120130427
stat_3,0.061636933905827015,0.05875021051278037,0.04226838030980565,0.09771984897368305,0.060307793589795024,0.04427655179252482,0.06150255613997331,0.06151068494030248,0.06151328820495071,0.061508434654406134,0.06148594292191216,0.06143430433968807,0.061379248357350424,0.06135497753504317,0.061335923633690996,0.06130311222714014,0.06127821915319286,0.061242031280772026,0.06118508424321327,0.061123936986264504,0.06106300914374976,0.06115735290900932,0.06119194099474926,0.061347314838715326,0.06147140462286782,0.06144146009275282,0.06140281108247636,0.06146935426789957,0.061543567235780104,0.061526795062545804,0.06175525523835086,0.061905695474848345,0.062047487696876846,0.06240595745255313,0.06267410062796251,0.06284270091558758,0.06286194962822576,0.06309910364034454,0.06307548585568315,0.0629960967402364,0.06324095717430005,0.06321110966143735,0.0632977459417644,0.06335999840462563,0.06366799354654931,0.06382691813836683,0.06470281392719121,0.06513948358411101,0.06529571024113208,0.06526611390647298,0.06524365838964387,0.0652665566980365,0.06520424314059368,0.06520858060342818,0.06512243659817869,0.06525680054557251,0.06495141236103712,0.06452625743357768,0.06422250964785443,0.06374007459009301,0.0632018345524226,0.06286925186588803,0.062324849933464044,0.061260428752748425,0.06052497536854045,0.06001106940089738,0.05958031169388946,0.058877198752163795,0.05775797965801163,0.05688114298943629,0.05585491407643065,0.05474795994916913,0.0536472064912069,0.05295246430049957,0.05197981408568897,0.051292065445790916,0.050793247791414704,0.05007273925061426,0.049586368981810305,0.04905163612011614,0.048788681629989256,0.048894492125632266,0.04886861140265928,0.04880335073225112,0.04865124484607765,0.0483890663992198,0.04802790547287482,0.04767405306374977,0.047578209810422434,0.047403696212946274,0.046959301603350045,0.04666076979314467,0.04645997699136525,0.04628085943754989,0.045947601299986644,0.0455762146597029,0.04529094876436877,0.04534228088674857,0.045447131589106037,0.04550847606241053,0.045457530520342515,0.04546073986327771,0.04559068058309263,0.04580706981018981,0.0460234162862924,0.04628422623996224
stat_4,0.05201407994136987,0.049493968056686315,0.036103541717324536,0.08306177623935111,0.050162408049304254,0.03718315824513808,0.05190979004866103,0.05191652391420277,0.05191667608108896,0.05190944963523624,0.05188824979567286,0.05184673584044182,0.05180104166413743,0.051782430319417656,0.051771797221989574,0.05174835175742453,0.05173213527555957,0.05170891790635265,0.05167039755521121,0.051624608027746745,0.05157732822761492,0.05165250202357572,0.05169070445299607,0.051820966150358,0.051933027504834556,0.051912533028160665,0.051886792327615484,0.05195064534881924,0.052011091060582826,0.05200787181511483,0.052219335636909114,0.05233904356141785,0.05247189891287214,0.05277540846537457,0.05300547831223196,0.053148020735795914,0.053174740097868635,0.053375860707867526,0.05337455394054957,0.05330282132308,0.05347563424149388,0.05344849984090879,0.05351007518897711,0.05354962550916205,0.053760432614896776,0.0538851793331918,0.054585113452766794,0.05492791938159227,0.05498360462158024,0.05494927481836266,0.054936755802687205,0.05495827993603842,0.05492102761893858,0.05493831507646624,0.05490467808266302,0.05501722141366027,0.05477932819613848,0.05440184206701905,0.05411501087547346,0.0536897487783634,0.053184890105278756,0.052921280097642305,0.05248988283485514,0.05160978943904435,0.05100867485340007,0.050564057488554914,0.05018559541235353,0.04958736696731743,0.04864800678070252,0.04791003625244611,0.047096345062236485,0.04622722610544512,0.04532483889849988,0.04473238739560913,0.043912660070345014,0.04332747412125387,0.042886025176719376,0.04226089216844079,0.041829707438927846,0.041406021122857635,0.041201856011111725,0.041298998402089435,0.04129252738327629,0.04125740945106359,0.04115980431845088,0.040946964320323465,0.04065059795043348,0.04037825004622931,0.0402832934079838,0.040119537961406194,0.03972889067878224,0.039451542740638716,0.03926965791724672,0.03910572399059226,0.03883303056323378,0.0385209048490002,0.03828109142245719,0.038304572687848315,0.0383767413519747,0.038422856479741696,0.03840131487918322,0.038428055843425894,0.038538743031028076,0.03871655879064857,0.0389048610182541,0.03914139262060441
stat_5,0.05219855209291168,0.04965192862876602,0.03620578121885905,0.08330534786678186,0.05043855314848494,0.037336362329284715,0.052093373056262646,0.05210007452058266,0.052100465050210994,0.05209363350318153,0.05207276316788826,0.052031175937929136,0.05198547144665748,0.05196677044050068,0.05195581937629634,0.051932247964774594,0.05191627801573543,0.05189268291722048,0.051853811586128624,0.05180838334245139,0.05176216288605222,0.051840106830507146,0.05187821656309154,0.05200979109639414,0.052122730716983534,0.052103402805773885,0.05207900678031803,0.05214448883818589,0.052206967679991924,0.05220405306218896,0.05241657494730171,0.052540393879156586,0.05267214306296602,0.05297669972414497,0.053206797247294255,0.05334946779459299,0.05337278528358464,0.05357333532534313,0.05356934168940815,0.05349782955733518,0.053672666204869546,0.053642187444500486,0.05370291197272486,0.05374307832421007,0.05395983327359658,0.054082646990408496,0.05478433543504122,0.05512762684390615,0.05519232094055481,0.055156624286866955,0.05514178981216143,0.05516001435227794,0.05511616606685324,0.05512524738734829,0.0550841303373398,0.055201289374578244,0.05496220552529426,0.0545833407446529,0.05429390031851165,0.053870195894416106,0.053374110758836045,0.053108426814292654,0.05267396302346329,0.051790398598556574,0.05118944686430924,0.05075069752532083,0.05037416904521772,0.049774314898105625,0.048837096775223444,0.04810111065431398,0.04727909935766481,0.04639609205677528,0.0454880192303666,0.044894594638807406,0.04407338519741983,0.04348584848137353,0.04304540688995619,0.04242210398252324,0.041992821028416914,0.04156458213803543,0.04135805110306288,0.04145354643527597,0.04144389986142521,0.04140213064491019,0.04129715516214209,0.04107949397717843,0.04078011523260165,0.04050275846610428,0.04040836418826994,0.04024355332241546,0.03984896878555922,0.03957199347935888,0.03938805873099024,0.03922116195189438,0.038944587604152744,0.038628642915880494,0.03838678822982791,0.038411861855041626,0.03848546481135373,0.03853294755887729,0.038510317102815474,0.038533672013229686,0.03864384165696018,0.038822752638821546,0.03901116760321137,0.039247831561527856
stat_6,0.05027376686163306,0.047803934750073274,0.03499377198229707,0.08041122563482721,0.048335743223483836,0.03590217932875993,0.05017511749357903,0.050181559258776716,0.050181294668965315,0.05017371253533255,0.050152860717063735,0.050113334898782606,0.05006946474490014,0.05005196582753358,0.05004299003576722,0.05002144439818473,0.05000723287466365,0.0499865829280188,0.04995177839818025,0.049909374060128825,0.049865482817719055,0.049938394033096786,0.049977583073161726,0.050103745195261916,0.05021427831832194,0.05019643619081539,0.05017418353276209,0.0502387180611429,0.05029758946269863,0.05029752607612814,0.050506977763753895,0.05062283559944221,0.05075381869933852,0.05104742298845663,0.051270350139933155,0.05140798504438014,0.05143460753349647,0.05162854822860093,0.05163066065536373,0.05156035385352613,0.0517193235566173,0.05169076735682527,0.05174664496476314,0.05178171450511104,0.05197541620071999,0.05209213207717938,0.05275771068351367,0.05308166809114573,0.05311997230776706,0.05308345324050239,0.053071739941676355,0.05309107974277802,0.053055345856618856,0.05307072422804456,0.05304456024845257,0.053155701590581965,0.052931035127567035,0.052560978454835684,0.05227422395450611,0.05185999598012128,0.051364379942616833,0.05111369579359252,0.050703644847476845,0.04985784089151131,0.04928364772346473,0.048855404921880966,0.04848748214527203,0.047908226872724675,0.04700498917486124,0.04629498192106403,0.04551942357503511,0.04469051813116875,0.04382394947434808,0.043250323832169896,0.04245911614462007,0.04189207624024207,0.04146141992972935,0.04085496908004276,0.04043465671863892,0.04003072722356463,0.0398371569397154,0.03993199629875519,0.03992801849260069,0.039895653624564695,0.03980546769065134,0.03959966916349692,0.03931433134055856,0.03905574628874256,0.038960757296798106,0.03879784162798189,0.03841463379350667,0.03814052785475238,0.03796054421841085,0.03779720458599279,0.037534228388771775,0.037231271061017125,0.036999016440296954,0.03701715172843174,0.03708309537487056,0.037126833472972784,0.0371113483884947,0.037141713692367434,0.037248433880316435,0.03741926223596003,0.03760250725177808,0.03783520723833396
stat_7,0.06086727661717062,0.058013140640547946,0.04178013394904119,0.09655829705493549,0.059466801513113475,0.0437038995712413,0.060735428638208126,0.060743458572621,0.06074581070447923,0.060740670106411244,0.06071818843937954,0.06066734394511855,0.06061300252389162,0.060589190605835966,0.06057087635147441,0.060538825046417465,0.060514556786688684,0.06047947446753945,0.06042404924925763,0.06036400633456392,0.06030387973730302,0.06039609997043319,0.06043102258435573,0.060584184776570134,0.06070718717829424,0.060677689694037196,0.06063970775274957,0.060705671282294905,0.06077833169047162,0.06076253625582899,0.06098950785591367,0.06113656183324199,0.061278007528806286,0.06163208824420483,0.061897379808373704,0.062063993588132846,0.06208470305970181,0.0623192988099732,0.06229808710849034,0.0622192044514987,0.06245804041252777,0.06242921769653366,0.06251413251925242,0.06257447562036131,0.06287350459756863,0.0630302764415166,0.06389227752015395,0.0643215898858217,0.06446764605716467,0.06443793485880739,0.06441680107885665,0.06444034228756655,0.06438147225470045,0.06438859812547276,0.06430828950416068,0.0644400699155735,0.06414022221520181,0.06371881743463907,0.06341658745912393,0.06293802931236288,0.062400086330183915,0.06207334119860759,0.061538423456834045,0.06048888911964511,0.059763757752437766,0.059253725691637206,0.05882637830680313,0.05813153102413616,0.057025419930739764,0.05615856659007843,0.05515066267439228,0.05406530710548216,0.05298098643817946,0.05229416200563189,0.051333396562580874,0.050653923054676975,0.05015909413391058,0.0494452395547215,0.048962452006457595,0.04843732447635469,0.048179451793166315,0.04828505072763709,0.0482614714773545,0.04820015898202018,0.04805400848027021,0.04779668583614411,0.04744113677015852,0.04709467502386535,0.04699871248079142,0.04682516059699095,0.046385585417306245,0.046088430575413515,0.04588940239175708,0.04571191819048392,0.04538408010677642,0.0450179288735169,0.04473651100187016,0.044785245579612866,0.04488718275192676,0.04494706650043963,0.04489877244124084,0.04490460332175451,0.045033170999194364,0.04524637198088687,0.045460605340942595,0.0457196804484869
stat_8,0.10244140525523605,0.09727973583016505,0.06928708929557728,0.1610410069168716,0.10159540628743546,0.0739892667711162,0.10220498463929016,0.10221760748476853,0.10222694667841051,0.10222749909984256,0.10219803402309945,0.10211248018455944,0.102023167630643,0.10198149353285274,0.10194228159999112,0.10188470397486775,0.10184557249356876,0.10177603816438027,0.10167155206915873,0.10157412683733912,0.10148910144255228,0.10168886812838179,0.10173515533761193,0.10200735800456713,0.10221436278628933,0.10217886704229345,0.10212921043455929,0.10225230004447058,0.10240481089346713,0.10236881567709356,0.10273011889605455,0.10304147830684325,0.10323786230462054,0.10383227985464016,0.10426224295938478,0.10453704490151006,0.10450678341907693,0.10488205410324362,0.10478157158662076,0.10466225933181297,0.10513130141399536,0.1050371720959072,0.10517805833370326,0.10530184863294742,0.10593893349335166,0.1061727708133627,0.10764069277299478,0.10836366897349446,0.10879754184363315,0.10872282702518082,0.10864134501803907,0.10861212153493383,0.10838268210280472,0.10822670941480675,0.10795399110266882,0.10826052861228806,0.10775058941779898,0.10703872255451517,0.10648543632526825,0.10573418511840707,0.10502591580620713,0.10446272584004374,0.1035438209137412,0.10177537543244133,0.10060289619361264,0.09989035706104156,0.09923727089151277,0.09807816252058156,0.09632102800180953,0.09494760445455462,0.09311974626132019,0.09105657905642742,0.08916595912320194,0.08803397958999479,0.08643812945402538,0.08529505743469547,0.08452389039731299,0.0834048832464214,0.0826687885282863,0.08170770743463203,0.0812284085485388,0.0813661525877982,0.08126018936087875,0.08103421251499922,0.08064778500931566,0.08014435384245526,0.07950753735993764,0.07883594182808673,0.07870306473574783,0.07842037269422118,0.07765417551994065,0.07719322382938522,0.07684095530118469,0.07650470777704363,0.07589953113168606,0.07523465411666985,0.07473950884641016,0.07484817078487903,0.07503844742044787,0.07516092232318873,0.07506489023585548,0.07501136805694192,0.07521126796668433,0.07557851892078866,0.07592890648016133,0.07635037935537099
stat_9,0.12070133765977459,0.11409219282591349,0.08184594281608848,0.18998822858519485,0.11913064272081142,0.08709331806618602,0.1204334658198916,0.12044722369139728,0.12045770649116665,0.12045841440939627,0.12042537235916188,0.12032991876321969,0.12022856880126997,0.12018288813895629,0.12014334217783675,0.12008326008832933,0.12005107306529383,0.11997879683297727,0.11987044791895068,0.11977394911643753,0.11969888258562147,0.11996238833473358,0.12002923968950599,0.12036059693970892,0.12062360781613198,0.12060686033693462,0.12057903882479859,0.12075497726627102,0.12095604347084697,0.1209338049076741,0.12138982146215081,0.12179506797948758,0.12202360993473213,0.12272524154263734,0.1232269098508367,0.12354633359577442,0.12347962904154676,0.12390681905537991,0.1237790240072466,0.12363812067672204,0.12416247296666783,0.12400564238128446,0.12413975414397459,0.12427164248697373,0.12501380935462725,0.12523821289016937,0.12688126486211374,0.1276670212549752,0.12814756690752827,0.12801359559293451,0.1278937470287653,0.12780446410521035,0.12745917619880062,0.12716350349281744,0.12682171775481163,0.12725466620157574,0.12669981066281702,0.1258110148027206,0.12504266899649014,0.12415854832919553,0.12336657704255677,0.12273489486023831,0.12170743112152024,0.11966837504430769,0.1183789484225645,0.11763962700935846,0.11688988758857295,0.11552066833184202,0.11355602887038392,0.11201890190874207,0.10988448641496658,0.1074121452552845,0.1051949648517926,0.10386652357040915,0.10200787665286926,0.10064898657322581,0.09974195231150072,0.09845245755886445,0.09759929132758716,0.096469839453978,0.0959109363371528,0.09605797613584888,0.09591398378266142,0.09559011332696028,0.0950895680357591,0.09445564786232093,0.0936929535089923,0.09289094302232007,0.09272344440399226,0.0923561948534236,0.09138995699110605,0.09081618315268904,0.0903541359462929,0.08989255943073711,0.0891545833007352,0.08833209288054775,0.08773231959792094,0.08783340383538714,0.08803269324228608,0.08818153164494366,0.08810970326930723,0.0880523287648753,0.08827614098365165,0.08870406646335316,0.08912253103391135,0.08964800840714227
stat_10,0.0738436341469265,0.07037617958228971,0.0502290331964104,0.11649397591494494,0.0729329009268688,0.053221041211095624,0.07367505353391152,0.07368471667043401,0.07368988887460186,0.07368737766304449,0.07366307823594405,0.073600039672281,0.0735339973086077,0.07350359065058615,0.0734762787391944,0.07343395698130757,0.07340169911445876,0.07335246131563122,0.07327699047995816,0.07320106194901159,0.07312843232474815,0.07325136195211288,0.07328567239035187,0.07347469622159354,0.0736192565851495,0.07358308240949515,0.07353534438747027,0.07361282235649734,0.07370799162230847,0.07368029648220971,0.07394027838169182,0.07413520133553962,0.07429085776816463,0.07471950813125872,0.07503589818208502,0.07523679442539885,0.07524316288536714,0.07552343472711107,0.07547403634500069,0.0753837834773812,0.07570694551385586,0.0756645865521025,0.07577440873966144,0.07585991233765534,0.07627860104775602,0.07646929230060458,0.07754372664407613,0.07808167553487193,0.07834354734628714,0.07830959077021962,0.07827152381839675,0.07828657721317654,0.07818186411820852,0.07815185851802818,0.07800320959205295,0.0781784841604964,0.07780014431981652,0.07730132710715563,0.07694823884834248,0.07638985235575577,0.07580702224442352,0.07539623561628377,0.07472434427942233,0.07343806730506254,0.0725532745462231,0.07196765176986197,0.07147100588720906,0.07063316937994726,0.06930619770637672,0.06826839162961358,0.06698759584882627,0.06558570132291368,0.06424116837604034,0.0634162878240528,0.06225394346313113,0.06143276508739358,0.060856888529198724,0.06001693612917403,0.05945851607853848,0.058789651436124336,0.058457203595235374,0.05857294675997461,0.05852233907379738,0.058412506968964356,0.05818955999704339,0.057858894587331504,0.05741503479302811,0.056961536209022515,0.05685935913266513,0.05666102468249732,0.0561328902856418,0.05579618879223136,0.05555981179844305,0.05534628931959813,0.054933184886506246,0.05447937536632785,0.05413348332388861,0.05421097821281585,0.05434926886181076,0.05442967504169248,0.054353616251456016,0.05433292172425259,0.0544852424108478,0.054748681229756825,0.05500284926846845,0.0553033752452393
