,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9445455981984049,0.053446891373400945,0.5226773024509261,0.6530627297832658,0.519889130175633,0.9848691279576816
freq_0.1072,0.8504039042619124,0.05151730959426541,0.5042485227591942,0.630508102469983,0.4913714204020834,0.9451205810758165
freq_0.1150,0.756233407091527,0.04967331730590587,0.48178222671752985,0.610173588498551,0.46890134455621124,0.9079065992758963
freq_0.1233,0.6680201133257575,0.04762723827421521,0.4582570774254126,0.5843408049832407,0.4665899936565646,0.8770176438130395
freq_0.1322,0.6075103205616598,0.04633462775323225,0.4428316797137066,0.5705015018999996,0.446322195257437,0.8489849010480904
freq_0.1417,0.5443994820768728,0.04477244077464262,0.43370101344436207,0.547329183166447,0.44600378584363237,0.82860435721469
freq_0.1520,0.4753643116896841,0.04224344859793801,0.43183756276228213,0.5046041141766976,0.4451028578486492,0.7995158201821603
freq_0.1630,0.41499159774228445,0.03991662092899944,0.43344307018496764,0.4633182912763705,0.4427250975696686,0.7736551209296679
freq_0.1748,0.3767676819390272,0.038779760908890716,0.4350134597950006,0.44318008318962443,0.43603919582334044,0.7587987062673767
freq_0.1874,0.347314984425557,0.03784713702135045,0.42656140596376146,0.432158190943884,0.4217070268317035,0.7392916552598889
freq_0.2009,0.2923803043435897,0.03653274720320695,0.4137383417748438,0.4139938995682271,0.42294865408966287,0.7221190541251229
freq_0.2154,0.21174752584436882,0.03469039760963651,0.39954791545222146,0.3861889826400965,0.4278514087361019,0.7013111256869344
freq_0.2310,0.12913746345242558,0.033797336219775376,0.3888509425837807,0.3747439225181149,0.42814801233703814,0.6891652802345125
freq_0.2477,0.040428897226161095,0.034207250134663976,0.38954654249245313,0.3809174692037939,0.4350477765227254,0.697216748916587
freq_0.2656,-0.04115588279754079,0.03599985833383831,0.3904432135770903,0.41212384166871946,0.4413594031435682,0.7190897625772709
freq_0.2848,-0.11478167658847563,0.03812108157161458,0.38497832667610243,0.4509932297811362,0.44842102784325794,0.7434276182189874
freq_0.3054,-0.18192656529960607,0.0404651857596244,0.37891360400597446,0.49183701994849627,0.46335692854398586,0.7747120863406807
freq_0.3275,-0.2595688425845638,0.04177858718767834,0.37025304973234635,0.5169387111992386,0.46548691578774487,0.7880298349314068
freq_0.3511,-0.32892267227760824,0.04229296862876312,0.36517562124356145,0.5267710141033497,0.4698064167893079,0.7947068672828375
freq_0.3765,-0.3867034876792918,0.04233013897022731,0.36648981170334355,0.5265905910999831,0.47268727518817244,0.7968975422488144
freq_0.4037,-0.4236822360161273,0.04287717102147524,0.3674391854800212,0.535361029328341,0.4732318095453039,0.8034745374405122
freq_0.4329,-0.4324095024820269,0.04413581261349272,0.36855816320716195,0.5560794227922697,0.47219839223051757,0.8173314907335375
freq_0.4642,-0.4282581767951911,0.045903257894382814,0.36392682379182767,0.585810044375187,0.4797317005822397,0.8400944266626188
freq_0.4977,-0.41072273475966165,0.04662371828645467,0.3512516934761275,0.6018354161113235,0.47562775186485984,0.8436855922674975
freq_0.5337,-0.39420100724325247,0.046600457671300666,0.34306495222261885,0.6053150263016384,0.46211974823082785,0.8352571485566493
freq_0.5722,-0.3513209032241945,0.04569942661393108,0.3418247103837609,0.591339788686814,0.459765669592766,0.8233537206141673
freq_0.6136,-0.27938739190931794,0.0448050637845208,0.3498854652283465,0.5734215493493975,0.468244445899949,0.8188314681010191
freq_0.6579,-0.22052476152214204,0.044623975699286715,0.36226446207029034,0.5664602807710941,0.4696920484131719,0.8201971778254941
freq_0.7055,-0.1795316374059577,0.04414867160134977,0.36824196663789543,0.5569684995829904,0.46742375497953187,0.8150466380767655
freq_0.7565,-0.14209482499507384,0.043677732162586184,0.37315184384432465,0.5463010003111574,0.47751569411991956,0.815909504562987
freq_0.8111,-0.09954755801829838,0.04294595356935146,0.37669757282396293,0.5336976034392641,0.4707218878855671,0.8051790415943719
freq_0.8697,-0.06981893943075056,0.04177180982417127,0.3680896290012679,0.5178546079033804,0.46323083066637216,0.7862863170530898
freq_0.9326,-0.040753277974231526,0.040747757721673813,0.3640283251209654,0.5017042590383026,0.4655317400343874,0.7752055121108157
freq_1.0000,-0.030371675068762788,0.04010253817087763,0.3687062746048805,0.48854500833590603,0.46966192200548784,0.7714939164276209
freq_1.0723,-0.07004359671516684,0.03961094389402874,0.3560356060325956,0.48403835054327266,0.474898808367592,0.7658872996391889
freq_1.1498,-0.12662779817276865,0.03962491842927219,0.33926645120947513,0.48944865833190526,0.4799770717513821,0.7648788815663593
freq_1.2328,-0.16313804216646116,0.03914201082824734,0.3396980015670965,0.47985016763652694,0.4898595410232464,0.7652537393446619
freq_1.3219,-0.18774301921309156,0.038620811046669506,0.35742061313454954,0.46462478968224996,0.48964873481607357,0.7637941957017832
freq_1.4175,-0.2055430761833516,0.03880632247260102,0.3719600493895391,0.4618148053385666,0.49344472699176595,0.7714369004447124
freq_1.5199,-0.20987142816172719,0.03932512583072233,0.371674973067319,0.4703694314155552,0.49734116642337617,0.7789338376487116
freq_1.6298,-0.2245078563763575,0.03925840371130145,0.36885378717578154,0.46976053741317747,0.5011168266690326,0.7796448889048624
freq_1.7475,-0.24716269261145882,0.03828848711088249,0.38130614014568714,0.4479802464597901,0.5012937457460682,0.7729010889208919
freq_1.8738,-0.25606447119904757,0.037545924902413326,0.38800143392421504,0.4309818512884714,0.5087232557274013,0.771420650349193
freq_2.0092,-0.2548710274508873,0.0373358756077608,0.39194227447397456,0.4242489966493787,0.5173456125329635,0.7754046946497966
freq_2.1544,-0.24648522501330458,0.03677649657776795,0.38629766625064943,0.41609694321572166,0.5207899786483715,0.7704445177718748
freq_2.3101,-0.24331034902625537,0.036096364704697716,0.3874850774540057,0.40295368637103246,0.5227555714028831,0.7653690260536391
freq_2.4771,-0.25404720331047825,0.03622861567203292,0.3982712296689026,0.4005080879259552,0.5226763512341605,0.7695565404929906
freq_2.6561,-0.2576631917504841,0.0376973104812249,0.4066865079512714,0.4237774674491291,0.5209420414536897,0.7850871723707724
freq_2.8480,-0.2674243714931441,0.03900163935819901,0.4163464474330537,0.4435199047970801,0.5181516382337479,0.7990840947269895
freq_3.0539,-0.27319976501603976,0.03934062035882044,0.42038586368623587,0.4486336626551805,0.5129409583429664,0.8006902424785914
freq_3.2745,-0.2646522805158369,0.0388587448408744,0.42291011615173507,0.4390096367209121,0.5117370080485292,0.795900240535057
freq_3.5112,-0.2655364480066009,0.037923826105313786,0.4184254256206493,0.4236378852393269,0.5143128513369292,0.7868078568914986
freq_3.7649,-0.272225606733556,0.037492421248870034,0.4057366273411766,0.42076091173053326,0.5191071132303491,0.7817506959465076
freq_4.0370,-0.2717476536588739,0.03885125310024817,0.3970040797616522,0.4493792663759117,0.515973520690233,0.79106424419855
freq_4.3288,-0.2718100104301395,0.03971193038673799,0.39253045942845743,0.4664647600390407,0.5154029798145944,0.7983168328045945
freq_4.6416,-0.2815581143099452,0.040167901238556715,0.3914636017513511,0.4753462970878844,0.5119637750954557,0.8008150602113412
freq_4.9770,-0.29423036845954686,0.040113454724869324,0.3896344833661746,0.47525043355715063,0.5109766410562553,0.7992340914459409
freq_5.3367,-0.30129559621938695,0.04060064304203191,0.3950118473722451,0.4816909010037613,0.5106018523932152,0.8054655395121705
freq_5.7224,-0.30771712640233967,0.04127088962877304,0.4080367740610048,0.4894959749128282,0.5017268080822246,0.8110672650220505
freq_6.1359,-0.3061599555552937,0.04240959694070401,0.4162392894462067,0.5071841771765995,0.49365475601553593,0.8210882740569041
freq_6.5793,-0.3140740053899197,0.04333882771302364,0.4165659356071563,0.5234073626778786,0.49135106562578623,0.830005009445891
freq_7.0548,-0.3237132113801959,0.04464669802073063,0.41384011098671186,0.5472869983467803,0.4873302750698445,0.8415922367872537
freq_7.5646,-0.33193371185670306,0.04573713952256258,0.4185054472046664,0.5651337778848663,0.47901717412193023,0.8508704069070441
freq_8.1113,-0.33983718104977306,0.04630274569015646,0.42273409979443644,0.5730073908367952,0.48047672038004746,0.8590107495891833
freq_8.6975,-0.3552695962696577,0.04805149046868495,0.41567105410691596,0.6047253095274097,0.480275328833304,0.8770059958126366
freq_9.3260,-0.37773970750218566,0.05013591873574077,0.41600801325358416,0.6389944897376421,0.48108560778602805,0.9015652982591532
freq_10.0000,-0.387038574431183,0.05187992320750447,0.4271513425282698,0.6640519785224531,0.48189899304281747,0.9250134804958083
freq_10.7227,-0.39471832025326614,0.053239429518055256,0.4274402176141842,0.6860588414333868,0.483069284398196,0.9416675671764253
freq_11.4976,-0.4114100691814706,0.054736699445959706,0.42462002098030965,0.7111472736743315,0.4836942204813179,0.9591625023940328
freq_12.3285,-0.4130140399442835,0.056227748184713024,0.4279021168493713,0.7344106093414119,0.4824228632570162,0.9773387251667125
freq_13.2194,-0.40539249955705836,0.058082266130278365,0.4312162472791929,0.7636796172725443,0.4784021639969006,0.9990108309082576
freq_14.1747,-0.39175705401541516,0.05950986614522409,0.4304270855440406,0.7867222641957705,0.47824946310026223,1.0163276764444358
freq_15.1991,-0.37447734099130864,0.0602863701958195,0.429553274812405,0.7987908389514534,0.4837236590973199,1.0278965894803467
freq_16.2975,-0.3534854293319861,0.06168363698980082,0.4250782863162111,0.8215303645591557,0.490008860196217,1.0467628062082746
freq_17.4753,-0.3291960934629154,0.06302899265796778,0.42807633954794105,0.8414493366894449,0.4963717831600665,1.0666167473902588
freq_18.7382,-0.2986155978204478,0.06307492429687228,0.42575889659252103,0.8423274410886351,0.5009621859675123,1.0685266809059835
freq_20.0923,-0.26011930835299796,0.06352236983590581,0.4188721292828059,0.8508305493155582,0.5037998335858956,1.0738625408587927
freq_21.5443,-0.23070001607663063,0.06567747413623219,0.4211610094096341,0.8828803419847392,0.5177222178581157,1.106747753091895
freq_23.1013,-0.22698921945422193,0.07143549009419724,0.4254424733257391,0.9683289942805552,0.5576964585335241,1.1956954792649959
freq_24.7708,-0.2222030907857374,0.08378076757830043,0.43366777085711916,1.1505263696911594,0.6413913120846417,1.3867809769579906
freq_26.5609,-0.1548110468115154,0.09558485692687187,0.4464002631819515,1.3239007391382256,0.7054981164400017,1.565156207654701
