,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.028883458780394583,0.03788274047452494,0.4050767571050466,0.42892462423850675,0.5138083474459115,0.7823442530817132
PGV,-0.05713304027850698,0.03290600086347922,0.38841932492758713,0.3475732494329996,0.49583832517036863,0.7193972340830711
CAV,0.14636200414179637,0.03260556050272204,0.321169523323496,0.3948605796339768,0.33855032667669094,0.6112945801768701
AI,-0.22146741045955567,0.06705004778507191,0.7116601333355712,0.7779183381062829,0.7965216609275411,1.3213870903213838
Ds575,0.1516436841841625,0.02936022239252904,0.28464612105217035,0.3246406857988463,0.5279137328607107,0.68198819524162
Ds595,0.4984785288471285,0.02500579841864243,0.26735084204568466,0.2773217286597507,0.37687203851393775,0.538902910868943
pSA_0.010000000000,0.03172500909444923,0.03795329510197449,0.40523096425398586,0.4303478537398317,0.5123604625451555,0.7822561301697677
pSA_0.010722672220,0.03205278351739225,0.037947171068228445,0.4052869135569798,0.4302010907498459,0.5124394180213226,0.7822561076303155
pSA_0.011497569954,0.032486945078904865,0.037930300601846795,0.40502482733429895,0.4299991946169267,0.5125207648953204,0.7820626270173435
pSA_0.012328467394,0.032858193405138326,0.03790763435458406,0.4045532473048131,0.42978866804354415,0.5125732358726701,0.7817371369050424
pSA_0.013219411485,0.033322770959516586,0.03789314648334228,0.4040503330842364,0.42976717768044054,0.51243965640414,0.7813775656700714
pSA_0.014174741629,0.03430154902397813,0.03792193964273427,0.4038869800847567,0.43043662398625826,0.5119117387939871,0.7813155625390777
pSA_0.015199110830,0.03724129037032363,0.03792756356780974,0.40353811935584855,0.43076585886599195,0.5114050268026734,0.7809848528472584
pSA_0.016297508346,0.04058892606194939,0.037955387804124024,0.40356671259928095,0.4312968934744014,0.5111215590961902,0.7811071309441362
pSA_0.017475284000,0.04082079025577327,0.038039069198373264,0.4040643510851581,0.43264162922744726,0.5107545998825865,0.781867661730341
pSA_0.018738174229,0.04277522604281603,0.03811810799404748,0.40421155209816473,0.4340653182307514,0.5103119780251427,0.7824436045213129
pSA_0.020092330026,0.04566602562890957,0.038263334670561484,0.40445821427266326,0.4366358291656279,0.5098518208888678,0.7837003085794219
pSA_0.021544346900,0.04765553309429004,0.038383614018868494,0.40500654323246116,0.43864436795131834,0.5092663290039953,0.7847237574164073
pSA_0.023101297001,0.04910086366503136,0.03855487300465264,0.405592971788129,0.44158359288450655,0.5084375783132871,0.7861364381007889
pSA_0.024770763560,0.04957648191832331,0.03873712862821309,0.40554835179891136,0.4449799824497112,0.507633367504873,0.787507642015045
pSA_0.026560877829,0.05090859450597759,0.03897807534040381,0.405132102749619,0.4495753969503981,0.506797742251698,0.7893630405414573
pSA_0.028480358684,0.05117731969341867,0.0392939477430499,0.40457181350717086,0.45532093630211434,0.5075092027270086,0.792818452214704
pSA_0.030538555088,0.050206619794569765,0.03951126249730113,0.40559332557895117,0.45875726867964617,0.5074552245556139,0.7952829573487606
pSA_0.032745491629,0.04581748796779435,0.039717708027252135,0.4061835016278498,0.46198668894947703,0.5087152223292537,0.798253039574961
pSA_0.035111917342,0.043524432096999084,0.04006723728861194,0.40760557047355883,0.4674596206060201,0.5095454493973757,0.8026813583108636
pSA_0.037649358068,0.03909743427503655,0.0403837503204506,0.40753120277732524,0.4731726639381308,0.5088054017844434,0.8055165969863498
pSA_0.040370172586,0.03319376414894154,0.0407738963152792,0.4072695464269384,0.4802308014496716,0.5080755881778926,0.8090926457520854
pSA_0.043287612811,0.027705133992472927,0.04127182219538541,0.4079127295658737,0.4886580006502959,0.5082480023870709,0.814552311685305
pSA_0.046415888336,0.019851688412178183,0.041579819536535924,0.40759848344085803,0.4940787019012039,0.5087515888381013,0.8179721673265897
pSA_0.049770235643,0.012909586473595072,0.04195073456869574,0.408264188642037,0.5003425919501803,0.5081855704365867,0.821751136930716
pSA_0.053366992312,0.003493905852457451,0.0426933773216161,0.41098738796120216,0.5119634966150148,0.5095906827589359,0.8310835811662762
pSA_0.057223676594,-0.005900579876260643,0.04330716802047374,0.4103338223364316,0.5226578083972717,0.510561073351346,0.8379842719607237
pSA_0.061359072734,-0.022786669607964098,0.04344015018586333,0.4128283336651078,0.523871497098501,0.5115928170759148,0.8405925225890394
pSA_0.065793322466,-0.04029528832415366,0.04371327366155163,0.41534218173161097,0.5272337135448073,0.514526653635859,0.8457081020810536
pSA_0.070548023107,-0.046863400102840895,0.04383739782835414,0.4173623223875352,0.5283382518991322,0.5165609547833365,0.8486270303114437
pSA_0.075646332755,-0.062016328994922904,0.043872859708628045,0.4187282038463591,0.5282362830770274,0.5180392516773181,0.8501361924620239
