,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09354627995835478,0.08997014992548129,0.0629981489740358,0.1469895532087996,0.09211172059768029,0.06783946920649944,0.09331777867904226,0.09333133157935596,0.09333859512894206,0.09333682123581845,0.09330464149132209,0.09321731175559007,0.09312852513583644,0.09308456174791568,0.09303919012900061,0.09297450084738047,0.09291257756335097,0.09283450544601153,0.09272028213058638,0.09259844216456908,0.0924672781668891,0.09258890429099122,0.09261112947112532,0.09283842828032093,0.0930189781475025,0.09291226577866582,0.09280645960459215,0.09286995495192299,0.09295926789906031,0.09289622128220751,0.09321121701274793,0.09338037363859657,0.09360497157152123,0.09414568964917766,0.09452373960213559,0.09479421857952708,0.0948250510715652,0.09518243188448475,0.09511449646492486,0.09500582454176429,0.09550732877567866,0.09550594896116144,0.09566994987377818,0.09581031719967542,0.09634632581071574,0.09667046999916859,0.09817810725790588,0.0989259032226911,0.0992965777971141,0.09931209968436991,0.09930157374823345,0.09940213902828468,0.09936626985535069,0.09946209724610733,0.09929562950252444,0.09941343477218527,0.09889380253144443,0.09834178267411511,0.09804273252066534,0.09730264348926236,0.09648397244182215,0.09592027635117513,0.09497228756537623,0.09332156084636849,0.09204350555628812,0.09110449905987449,0.09037738648076037,0.089291359269902,0.08741169554714381,0.085931173297312,0.08417566633566957,0.08242401430353441,0.08087126638426355,0.08034856345917073,0.07945406413537859,0.0788862046717152,0.0784895365572608,0.0778422238448633,0.07723934922589841,0.07627444865019359,0.07569446089093135,0.07590866993616052,0.07575245794956578,0.07580931659725473,0.07533252017948161,0.07478714062706925,0.07412457552395962,0.07348146745854876,0.07320028237573427,0.07266413439839865,0.07199579402395233,0.07163443455447292,0.07140323682613545,0.07125711285094052,0.07078889298680621,0.07035036416783891,0.06999448800907516,0.07008712664648818,0.07020924579950343,0.07029880882011551,0.07013168998367254,0.07021077810850547,0.07047250437135738,0.07079674062843905,0.07117864329428686,0.07159802301343908
event_2,0.10127666143597731,0.09743664551939027,0.06819594110024986,0.159162448111048,0.09938807621416207,0.07341081559134947,0.1010298065410807,0.10104456758138046,0.10105212240046205,0.1010496353905741,0.10101422442329874,0.10091951508295208,0.10082312068684697,0.10077551475353445,0.10072669193091918,0.10065650546716151,0.10058894615461428,0.10050461249898364,0.1003809191372014,0.10024798690092285,0.10010404696482915,0.10023225676951691,0.1002561877765751,0.10050092224088675,0.10069541332033022,0.10057803315967723,0.10046097042797249,0.10052727348677616,0.100621420350857,0.10055205916515683,0.10089128295706823,0.10106977597171002,0.10131453132692417,0.10189982019099339,0.10230969920103185,0.10260314389195063,0.10264130456647003,0.1030307433661981,0.1029599189484318,0.10284179006127377,0.10338468115836637,0.10338834294072229,0.10356833915181264,0.10372000372526834,0.10429484532166675,0.10464950610162976,0.1062834875019725,0.10709492563560631,0.10748239353664263,0.10750114638406703,0.10749313979135823,0.10760728051463765,0.10757898464307551,0.10769548225041765,0.10752684375027616,0.10764754150259741,0.10708543262754082,0.1064879152865564,0.1061672182266586,0.10536123805938413,0.10445674770658923,0.10384896260086687,0.10282579276382313,0.10103914173215335,0.09965230951138007,0.09862517986406162,0.09783371019737179,0.096657125068274,0.09461539257236025,0.09300476089030302,0.09111260937425592,0.08922966980034913,0.08755421297350963,0.08698768194255882,0.08601967379766169,0.08540600731838892,0.08497380199084105,0.08426914953910343,0.08361304668662994,0.08257062964304808,0.08194440901908884,0.08217870851493833,0.08201338439435166,0.08208206024400776,0.08157192643835043,0.08098500064432528,0.08026867530206785,0.0795748149634004,0.07927047413885534,0.0786919561091677,0.07797221735058511,0.07758076229134898,0.07733265564346341,0.07717782476293518,0.07667355782985814,0.07620117184005838,0.07581662060463774,0.07591660216373097,0.07604957657689541,0.07614673949521912,0.07596747218044948,0.07605819676551612,0.07634329425348745,0.07669490962031726,0.07710940632267427,0.07756391805021652
event_3,0.1111557323456565,0.1069984768556977,0.07482543813766676,0.17471331692378894,0.10860803553198728,0.08052606008083463,0.11088522579352354,0.11090158444027641,0.11090945775757521,0.11090592912033678,0.11086621137305573,0.11076187753904994,0.1106555836186028,0.11060321932673951,0.11054985679202932,0.11047236933562453,0.1103970794192842,0.11030448216271696,0.11016822355241268,0.11002032253657512,0.10985886582752172,0.10999389979496625,0.11001957267252521,0.11028596021192218,0.1104974554525803,0.11036523198902007,0.11023227094677875,0.11030063703955034,0.11039976157748586,0.11032137465219904,0.11069008326168897,0.1108783607884781,0.11114926910033777,0.11179139334702079,0.11224215009565754,0.11256522192604736,0.11261470867420138,0.11304620887068197,0.11297245263140167,0.11284213253835083,0.1134390883301878,0.113451797464456,0.11365386740583025,0.11382040675057459,0.11444415236961795,0.114840186135501,0.11663857852430339,0.11753366763933897,0.11794012705340749,0.11796463875210061,0.11796126306416434,0.1180954869586539,0.11808143229781294,0.11823030122908054,0.11806242511997662,0.1181831799322229,0.11756579226130605,0.11691142870842516,0.116566846774615,0.11567531408759764,0.11465520319183689,0.1139910549460257,0.11287125290023778,0.11090989299227119,0.10938094444828982,0.10823608164046801,0.10736083294137343,0.10606821009520494,0.10381496283473708,0.10203392497355945,0.09996840649250394,0.09792115514566929,0.09608959594882914,0.09546638856241094,0.09440371707503792,0.09373192967089237,0.09325330563544179,0.09247363869096599,0.09174834141333747,0.09060710419934741,0.08992180935997968,0.09018261440474415,0.09000706122388091,0.0900938857121974,0.08954350522430382,0.08890526896274407,0.08812064107530666,0.08736289333890467,0.08702955644069947,0.08639838041162433,0.08561533361208436,0.08518644424500524,0.0849185793506437,0.08475502931729714,0.08420608675491076,0.08369188576455251,0.0832711216496618,0.08338095752279057,0.08352851767956365,0.08363553483667965,0.08344047130779571,0.08354777334843004,0.08386348370098978,0.08425039584915338,0.08470671965790091,0.08520571346077006
event_4,0.08685066575977471,0.08343283959333915,0.05859761519004477,0.13657190719015833,0.08561552522494742,0.06296446898020361,0.08664096891118477,0.08665328296456232,0.08665991484951649,0.08665831328252022,0.08662884301074131,0.08654900161947794,0.08646749334172055,0.08642747207290369,0.08638688194103127,0.08632873688411556,0.08627452072568344,0.08620445416912559,0.08610205539230113,0.08599348194395293,0.0858778297761789,0.08599737002664479,0.08602134679498614,0.08623505369643854,0.08640755683804154,0.08631506704570223,0.08622473822099598,0.08629188880970992,0.08638008500545165,0.08632757330458593,0.086629211087456,0.08679568014447608,0.08700396848801258,0.08750681793783063,0.087857210387013,0.08810712008912158,0.08812825967903166,0.08845561881542177,0.08839148757676107,0.08829053951186368,0.08874577864712588,0.08873237552119442,0.0888755591509012,0.08900162886487117,0.0894950919078848,0.08978348202737042,0.09116282335420184,0.09184217327659731,0.09218264333003312,0.09218786980104948,0.09217287055930912,0.09225413947105991,0.09220360116255648,0.09226889562451987,0.09210666956990869,0.0922318331621478,0.09175747840226048,0.0912356136298294,0.09093541488388705,0.09025077163476346,0.08950593022232436,0.0889864572356558,0.08811513192313078,0.08659066104037143,0.08542208252134251,0.08457187635853965,0.08390154871239268,0.08289429533674549,0.08117195467738518,0.0798168182148676,0.07819141892066186,0.07656124963681774,0.07512453804613851,0.07464372011407477,0.07382051082937031,0.0732920223672396,0.07292675141155051,0.07233302937416777,0.0717765045387687,0.07088336372226661,0.07034876338799959,0.070545477293127,0.07039625480853988,0.07043755452769049,0.0699878720209495,0.06947334563271135,0.06885708822194857,0.06825713475779167,0.06799010252419983,0.06748288949427278,0.06684959075264214,0.06650430212526935,0.06627842628738309,0.06612953676729906,0.06568869170289529,0.06527444234834018,0.06494199018538925,0.06502366510650982,0.06513285716352803,0.06521526357412478,0.06506536284484667,0.06513502407941213,0.06537542778272494,0.0656751075370051,0.06603033084052863,0.06642411695803843
event_5,0.12875821851807612,0.12400051084206624,0.08679489503784307,0.20266081746485995,0.12449080154192142,0.09310075706414235,0.1284500187861473,0.1284691300724748,0.1284765956295043,0.1284697362296018,0.12842130300397697,0.1283009045136758,0.1281773788799437,0.12811749221698063,0.12805875134606504,0.12797022517116804,0.12788383505383782,0.1277800845699913,0.12762598910144082,0.12745436139131178,0.12726409650329473,0.1274099712955207,0.12744269654081256,0.12774727531024826,0.1279925997827352,0.12783719951727232,0.12767899530725246,0.1277547418281864,0.12786220725861264,0.12777252615915363,0.12820081455440896,0.12840518974124904,0.1287273079219591,0.12947149272993802,0.12999607314161954,0.1303721549832467,0.13044629824532308,0.13095440201563377,0.1308825923342795,0.13072894809879101,0.1314074054590911,0.1314352838972593,0.1316716377927664,0.13185803208314922,0.13254768218815796,0.13301197563674957,0.13508293417746278,0.13611407041419446,0.13651545204584242,0.1365448243184956,0.13655212541762507,0.13672147965596432,0.13673911741358563,0.13694999995962792,0.13680329119114973,0.1369254597843369,0.13622032774365775,0.13545390769627166,0.13504827118012247,0.1339956473933808,0.13274339626512094,0.13198886383769257,0.13071415926211935,0.1284518460463154,0.12668244701031894,0.12532623741560334,0.12429645295168276,0.12279625312088409,0.12017516374942959,0.1180929975511298,0.11574589824599144,0.11343872226037402,0.11135277020571142,0.1106330410883924,0.10941389621799395,0.10864042699063113,0.10807447944290065,0.10715935989654056,0.10630437096450202,0.10499859294350747,0.10422017096864472,0.1045332621778226,0.10434654080039261,0.10447283579687042,0.1038622116491261,0.10313175032864015,0.10222766520444056,0.10136084758840172,0.10096484613321058,0.10023044485260792,0.09932681494749432,0.09881426294755982,0.09850104038653425,0.09831289823301319,0.09768364136437072,0.09709194392960231,0.09660595191785944,0.09672612176713845,0.09689602611907541,0.0970201419304974,0.09680955934125889,0.09695690962256556,0.09732880649478415,0.09777840459511564,0.09831361194900523,0.09890042870339673
event_6,0.11368459433429753,0.10942945363919498,0.07654254371683888,0.1787188373742272,0.11092314039874335,0.08233671371007759,0.1134086596111761,0.11342538246673964,0.11343326229770559,0.11342938435843274,0.11338855991823005,0.1132820083823598,0.11317333936594788,0.11311993048133472,0.11306579149127882,0.11298683032572135,0.11291019447633774,0.1128160400650524,0.11267735379475448,0.11252644472347884,0.11236152329218173,0.11249918869139287,0.11252600673035018,0.1127983027477749,0.11301504509990189,0.11288014454423981,0.11274441258214737,0.1128146758488945,0.11291580597453525,0.11283621302708394,0.11321413012272542,0.11340619754078891,0.11368398698594276,0.11434081932085606,0.11480200267065226,0.11513249727768454,0.11518401841721161,0.11562572710920757,0.11555138632408056,0.11541786701658799,0.11602650007180075,0.11603973863625043,0.11624590774566841,0.11641530875404753,0.11704983177526716,0.1174543307571347,0.11929062914979348,0.1202041276281065,0.12061221764865991,0.1206364571210161,0.12063367819660242,0.1207712145404367,0.12075873057312318,0.1209127062581963,0.12074529891304789,0.12086848801621193,0.12023886399376099,0.1195678444469938,0.1192125043446598,0.11829879624555607,0.11724932881039112,0.11657211346393088,0.11543018660263245,0.11342605124955946,0.11186427151035172,0.11069232758063059,0.10979595956665873,0.10847372556176259,0.10617028769130671,0.10434862288794489,0.10224112585937209,0.10015311096260061,0.09828345039856548,0.09764657252631881,0.09656121130301838,0.0958744307423778,0.09538416872419556,0.09458626056426161,0.09384343857225384,0.09267774542960149,0.09197831104047124,0.09224576308456571,0.09206720817684871,0.09215724151982162,0.09159582903953911,0.09094325332257765,0.09014100971742305,0.08936657063712965,0.0890247134184361,0.08837845389720697,0.0875771286233195,0.08713668124653193,0.08686174894193599,0.08669367390842737,0.08613237080156388,0.08560629874714827,0.08517593341209488,0.08528732718354762,0.08543783540236324,0.08554724403935501,0.08534949461109019,0.08546094415713669,0.08578418431453218,0.08617993066464286,0.08664723489937645,0.08715858497867052
event_7,0.15286581680734182,0.14726366221662904,0.10346718222767327,0.2413913137686225,0.14515030657413355,0.11012068949709852,0.15251402380261564,0.1525368481493094,0.1525417735774753,0.15252724556789604,0.15246448829362666,0.15232371192492186,0.15217695854175203,0.15210835513065454,0.1520471194950863,0.15194660276191185,0.1518489060003778,0.15173610157495754,0.15156521961213296,0.15136490803749375,0.15113704798754715,0.1512915793464313,0.15134050663700405,0.15169518952995187,0.1519917246812178,0.15180803934540674,0.1516176546346709,0.15170705390991088,0.15182213029986946,0.15172391977888738,0.15224385514595834,0.15246266594783622,0.1528646892774351,0.15374988120028193,0.15437794157939874,0.15482770353492376,0.15494885697335006,0.1555676533237689,0.155514169615631,0.155325231315695,0.15608945093613194,0.1561423835373469,0.1564197855400395,0.15662159731124667,0.15735918084335787,0.15791201309012579,0.1603242502388064,0.16152233584704792,0.16183816299509265,0.16186772758627796,0.16189729228620522,0.1621195762326338,0.16220253254927522,0.16251967162572803,0.16244732022745892,0.1625657986430562,0.16175871030172181,0.1608212476090892,0.16030533134150438,0.1590127724883959,0.15738061549832613,0.1565209967744916,0.15506529499652785,0.15240804414418616,0.15032651022093813,0.14866646716942475,0.14741174364053136,0.14562503482371753,0.14250728017541187,0.14000812061964749,0.137329607933768,0.13473700780383774,0.13235018559802794,0.13150537267265866,0.1300940106727974,0.12918596564706492,0.12848901499819562,0.12738076199458026,0.12633292394495582,0.12482484861054993,0.12394268101508082,0.12433933941483556,0.12415470834898362,0.12435664656213512,0.12369226198438825,0.12283830545343746,0.12177617980739434,0.12077206766905356,0.12026952148314095,0.11937852450028193,0.11829995333762884,0.11764146040300737,0.11725038735629285,0.11701634205906022,0.11627896761888716,0.1155786446658608,0.11500295254181556,0.11512411448289317,0.1153191004868102,0.11546605704178645,0.11525850816101317,0.11548558760170811,0.1159394495163934,0.11647519591867943,0.11712752925100497,0.11785077922624104
event_8,0.12880186856623305,0.12404076212727645,0.08682840564884031,0.2027356048755994,0.12452092728598012,0.09312971325779389,0.12849368763382704,0.12851280092081516,0.12852024570031328,0.12851335057369845,0.12846488057769212,0.12834447683741143,0.1282209266292822,0.12816104840250686,0.12810236277052234,0.12801386791813316,0.12792753723690764,0.12782385316002337,0.12766983916119734,0.12749825729269498,0.12730803176732614,0.1274539791428523,0.1274868306954898,0.1277915249603022,0.12803704964846124,0.1278817200428932,0.12772359004431913,0.12779950461353104,0.12790703286386707,0.12781746981165168,0.12824612237397304,0.1284506015863868,0.12877292851711894,0.12951738921673311,0.1300421655742087,0.13041837199987377,0.13049258781144088,0.13100087028385324,0.13092918587876687,0.13077545401800544,0.13145374389964878,0.1314815234423729,0.13171777838148988,0.1319040556524578,0.132593431616487,0.1330576594875392,0.13512868651638063,0.13615974284294885,0.13656032430640497,0.13658949421159144,0.136596804862742,0.13676608428792172,0.13678370633567807,0.1369945209757331,0.1368481533779787,0.13697055670490352,0.136265519572199,0.13549849183145993,0.13509204195768604,0.13403887979689072,0.13278574047986783,0.1320312334085554,0.13075659935919412,0.12849384557103405,0.1267243237541462,0.12536782106009203,0.12433760882954724,0.12283689079317517,0.12021532516109107,0.11813267506859436,0.11578543689647199,0.1134781870566571,0.11139209353353254,0.11067225172725725,0.1094530130705573,0.10867931321129028,0.10811309340391478,0.10719767400638686,0.10634227653367671,0.10503632416499332,0.10425792533780198,0.10457121811674507,0.10438455791139489,0.10451097397859689,0.10390034201366044,0.10316955979116095,0.10226520782767982,0.10139817816415467,0.1010017635403075,0.10026684074345957,0.0993626378061388,0.0988494592381894,0.09853581096371354,0.09834728672655522,0.09771774595279138,0.09712571529905013,0.09663952356949908,0.09675952773822356,0.09692936593733655,0.0970535060915589,0.09684319280648303,0.09699079933321265,0.09736283592194428,0.09781256922838881,0.09834806405586388,0.09893531591207613
event_9,0.12873878257727964,0.12398364061015203,0.08677092589977543,0.20261517734874318,0.1244887424219449,0.09309139369239107,0.12843039181149843,0.1284495053734891,0.12845702183348479,0.12845024182456,0.12840187090631242,0.12828143246201337,0.12815790336499736,0.12809797447742097,0.1280390969174197,0.12795047732654033,0.12786395420388935,0.12776002403343847,0.12760570022717033,0.12743393312196408,0.12724356001968504,0.12738948317762008,0.12742198108959785,0.12772653468997763,0.12797162107624704,0.12781605565467907,0.12765769562728882,0.12773321412234384,0.12784069219014227,0.1277507441396758,0.1281785505247823,0.12838297181919867,0.1287047675167323,0.1294487934676141,0.1299732364351717,0.1303492491609392,0.13042311407365373,0.13093104306214068,0.13085880627107763,0.13070528337482853,0.13138453904130873,0.13141247467954517,0.13164909470598138,0.1318358498829914,0.1325265974847489,0.13299112585212353,0.13506286864724915,0.13609452554024717,0.13649774803306955,0.13652737016329444,0.13653455901399883,0.13670392232564027,0.13672126979706178,0.13693192985499728,0.13678429504627931,0.13690636866027667,0.1362008005090965,0.13543503995764936,0.13503037384063968,0.13397831128254767,0.1327274183800631,0.13197255043345965,0.1306972422851923,0.1284347771478149,0.12666501804854935,0.12530907927533189,0.1242797033962958,0.12277976818685186,0.12015862609769191,0.11807664542084119,0.11572850091843367,0.11341986883435332,0.11133282637198212,0.11061292893126709,0.10939319764626351,0.10861972317511799,0.10805415115289042,0.10713927657668174,0.10628481388634448,0.10497849852193983,0.10419939630196283,0.10451210479093545,0.10432493270915011,0.10445072178047361,0.10383937337442327,0.10310907734622048,0.10220495620397514,0.10133791061004915,0.10094277104536001,0.10020914826280468,0.09930619887894228,0.09879486869948678,0.09848235893282467,0.09829482746431367,0.09766571510855585,0.09707429835902291,0.09658842433387255,0.09670901908732249,0.09687912032065493,0.09700324568056654,0.09679192710682172,0.0969386056425213,0.09731034738637606,0.09775989421349618,0.09829474387748335,0.09888091181720009
event_10,0.12880186856623305,0.12404076212727645,0.08682840564884031,0.2027356048755994,0.12452092728598012,0.09312971325779389,0.12849368763382704,0.12851280092081516,0.12852024570031328,0.12851335057369845,0.12846488057769212,0.12834447683741143,0.1282209266292822,0.12816104840250686,0.12810236277052234,0.12801386791813316,0.12792753723690764,0.12782385316002337,0.12766983916119734,0.12749825729269498,0.12730803176732614,0.1274539791428523,0.1274868306954898,0.1277915249603022,0.12803704964846124,0.1278817200428932,0.12772359004431913,0.12779950461353104,0.12790703286386707,0.12781746981165168,0.12824612237397304,0.1284506015863868,0.12877292851711894,0.12951738921673311,0.1300421655742087,0.13041837199987377,0.13049258781144088,0.13100087028385324,0.13092918587876687,0.13077545401800544,0.13145374389964878,0.1314815234423729,0.13171777838148988,0.1319040556524578,0.132593431616487,0.1330576594875392,0.13512868651638063,0.13615974284294885,0.13656032430640497,0.13658949421159144,0.136596804862742,0.13676608428792172,0.13678370633567807,0.1369945209757331,0.1368481533779787,0.13697055670490352,0.136265519572199,0.13549849183145993,0.13509204195768604,0.13403887979689072,0.13278574047986783,0.1320312334085554,0.13075659935919412,0.12849384557103405,0.1267243237541462,0.12536782106009203,0.12433760882954724,0.12283689079317517,0.12021532516109107,0.11813267506859436,0.11578543689647199,0.1134781870566571,0.11139209353353254,0.11067225172725725,0.1094530130705573,0.10867931321129028,0.10811309340391478,0.10719767400638686,0.10634227653367671,0.10503632416499332,0.10425792533780198,0.10457121811674507,0.10438455791139489,0.10451097397859689,0.10390034201366044,0.10316955979116095,0.10226520782767982,0.10139817816415467,0.1010017635403075,0.10026684074345957,0.0993626378061388,0.0988494592381894,0.09853581096371354,0.09834728672655522,0.09771774595279138,0.09712571529905013,0.09663952356949908,0.09675952773822356,0.09692936593733655,0.0970535060915589,0.09684319280648303,0.09699079933321265,0.09736283592194428,0.09781256922838881,0.09834806405586388,0.09893531591207613
