,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08571306651297153,0.08176341140045124,0.05803402417718073,0.1349243934451927,0.08497931050875253,0.062083132716042606,0.08551499848072733,0.0855257433161287,0.08553275963964699,0.08553309165651163,0.08550746795670079,0.08543444284463682,0.08535874412501805,0.08532263046368177,0.0852880374715428,0.0852390189539121,0.08520048077836416,0.08514026023124781,0.08505339724495532,0.08496707046487953,0.08488265402296194,0.08503786424942111,0.08507366261928273,0.08529931327770957,0.08549001978824569,0.08542805492319407,0.08537477658445063,0.08547682304892487,0.0855914133920574,0.08556163099596509,0.08589256890281054,0.0861054116104732,0.08630153689638692,0.08680072345863188,0.08714204349746728,0.08738257152568421,0.08735887007983323,0.08765746341630663,0.08757597316269022,0.0874789363348611,0.0879035412172157,0.08783104592838037,0.087934377099389,0.08804732563505704,0.0885439780376277,0.08876889664303173,0.0900428275188549,0.09064173725971614,0.0909902904324501,0.09094333465246433,0.09089468194041264,0.09090010697421837,0.0907381338432924,0.09064879843211814,0.0904311212121638,0.09065432054875203,0.0902299154924876,0.08966282815868237,0.08922826394474467,0.08857058662854907,0.08794190407677577,0.08745267853530991,0.08664419437999883,0.08518602902064362,0.08413657629453135,0.08342906961407884,0.08280021082709042,0.08181298499336799,0.08023834499747848,0.07900855128857821,0.07739462251513263,0.07571841090695973,0.07428817044344507,0.07382854132775117,0.07303040066133554,0.07249891248889133,0.07216120144987904,0.07161348653229793,0.07109113011226,0.07020052824286929,0.06966719206250524,0.06984133350595366,0.06966021830666554,0.06963308314677812,0.06913314242709215,0.06858811693826666,0.06796966115096675,0.0673540086853754,0.06708355298940286,0.06655465748925517,0.06587991269171323,0.06551688129427155,0.06525017554204574,0.06504405826762738,0.06457610477991693,0.06413124197316705,0.063792439559056,0.06385625182664502,0.06394359752582035,0.06402105118350279,0.0638901469306871,0.06392593438876518,0.06414680551689012,0.06443521086879196,0.06478449561192236,0.065187340223139
stat_2,0.11569650940959901,0.10984377586128212,0.07824664338250684,0.18197838342926656,0.11427677129219564,0.08371459823085804,0.11543579321558295,0.11544904813596037,0.1154592823406809,0.11546196166897009,0.11543086235918731,0.11533720212071304,0.11523920988934559,0.11519322171831692,0.11515053238205669,0.11509122306708412,0.11505172075204975,0.11497695529364921,0.11487035581669855,0.11477113978950775,0.11468276831428684,0.11492687079587957,0.11498379006362658,0.11530202799332227,0.11557571210757744,0.11551637138047224,0.1154746905438263,0.11564194804640124,0.1158221038693877,0.11579777758528266,0.11626808161098057,0.11660080370447154,0.11685235583589192,0.11752811938799498,0.11798383550974943,0.11830280563314657,0.118225816558076,0.11860512270647182,0.11847078368116705,0.11834391287818966,0.11891046100007373,0.11876005607885948,0.11886981960207842,0.11901737091300704,0.11971086018329916,0.11996290265359806,0.12161039014634438,0.1223558366599057,0.12283693097348654,0.1227239248714361,0.12262737208717088,0.12256524294535348,0.12224475564652686,0.12198435902016097,0.12164179151981377,0.12203354771614183,0.12150057538529507,0.120687610220668,0.1199722224798338,0.11909814737838877,0.11833591215089954,0.11770167327643742,0.11666360692981026,0.11474009454326521,0.11342019047521223,0.11258601939161976,0.11176706053806482,0.11044066684393136,0.10843133119758666,0.10687126734850694,0.10467718933867719,0.10233503352966027,0.1003725221352382,0.09976053720487316,0.09868118907733954,0.09795232973011368,0.09752230203061438,0.09681886413972274,0.09614528860856925,0.09491987014259633,0.09417695677366575,0.09438671406124477,0.09410097982578217,0.09399337351940504,0.09324885159212448,0.09248231231563248,0.09163363156530774,0.09077238609980336,0.09042230052556106,0.08970025069829712,0.08875894223364766,0.08827338300964144,0.08788738944627704,0.0875668943601602,0.08690721294131472,0.08627798227739263,0.08581191552344482,0.08588909876875418,0.0859917279485637,0.08609319874316507,0.08592185689336662,0.08593220842708632,0.08621472422597397,0.08659797081858125,0.08706405789573061,0.087610713141873
stat_3,0.06163644730947967,0.058895247418170496,0.04221835557656346,0.09772491069431052,0.060332410097168714,0.04445032550885117,0.061502431495207656,0.06151036734089693,0.06151278651173566,0.061508684185557216,0.061486528504517926,0.061434911613231315,0.06137999450068355,0.06135536859163214,0.061335654042268956,0.06130279151492846,0.06127721427142495,0.06124036992798052,0.06118538811637505,0.06112453005958451,0.06106081548128466,0.06115698181661328,0.06118952997393664,0.061346012794259906,0.06148624557467709,0.06144132968298972,0.06140011323607659,0.06147242669971435,0.06154446213469268,0.06152957853962281,0.061777189794053056,0.061910636321545094,0.062068209925669034,0.06242850207398702,0.06267826784047044,0.06285382419289358,0.06286444821952822,0.0630919466095581,0.06306090040791061,0.0629854282032975,0.06325435709822214,0.063218421151467,0.06329024097620431,0.06335619535382282,0.06365202568061931,0.06381847307795693,0.06471061164870767,0.06513260024641843,0.06529100940429576,0.06526259136210152,0.06524368202229927,0.06527028229019102,0.0652032079383229,0.06519723533102091,0.06510266382779041,0.06523473984871533,0.06494070217941694,0.06452437523872677,0.06421453228643957,0.06371757218525523,0.06317874845410518,0.06283947959978967,0.06227746771560272,0.06123649752095802,0.060477217495205716,0.05992282119377739,0.059448290393969046,0.058734406173146674,0.05758215614472436,0.05666868354093008,0.05557732414362556,0.05448060556017723,0.05352487348260966,0.05320324164104319,0.052662965904184005,0.05229007788421227,0.052025472991437206,0.05161400319720056,0.05120998583197514,0.050609134320243554,0.050267518156027605,0.0504160662172462,0.0503209206541629,0.05034780954256062,0.05004783572494664,0.04966499280061301,0.04923243608066415,0.04881566012890262,0.04858238359057463,0.04817714128468591,0.047680214938791175,0.04736881485629019,0.04715782063846165,0.046999604456032795,0.04667107289529207,0.04635317561411428,0.04611074060857952,0.046140305316314835,0.046198750343637664,0.046254298964332405,0.04619220068745606,0.04626019548164695,0.04642903676990119,0.04663790977286745,0.04690313529610121,0.04721611192357142
stat_4,0.05200975322561045,0.04964729046201008,0.03604213462155159,0.08304467729484447,0.0501874604805195,0.037323239061018844,0.05190570067420584,0.05191224624419566,0.05191221917519321,0.051905596790601756,0.05188460281058206,0.051843123950965485,0.05179747860566439,0.05177859446107058,0.05176749568205534,0.05174366592769453,0.05172728974736531,0.05170357389222146,0.05166657916489554,0.05162098990344903,0.05157156131281646,0.05164860390121604,0.05168441700256119,0.05181511688884165,0.05194066685058047,0.05190919418427699,0.05188027685004786,0.051948633673260865,0.0520073383106569,0.05200513401542759,0.05222947282258412,0.052337421217039194,0.05248153815036419,0.05278729636671492,0.05300049992814164,0.053149321968531345,0.05317030209259192,0.05336693360555703,0.05335859168404,0.05329095773370097,0.053483167529632135,0.05345240152975731,0.05350239289002047,0.05354310742094583,0.053744943788242,0.053875481953835326,0.05458814497529154,0.05492021335164475,0.05497791715794216,0.054945958898059685,0.054935825553033814,0.05496000297230027,0.05491946354087242,0.05492837389780606,0.05488812446125293,0.05499848769274397,0.054769876369542156,0.05439936957415539,0.05410806676949694,0.05367220867054739,0.05316691588936794,0.05289736979626896,0.05245234716241798,0.05159148235822727,0.05097127744265177,0.050495574315565575,0.05008380504381399,0.04947962446426968,0.04852019080739767,0.047750322387217936,0.046885551501071925,0.04603395651553324,0.04528318729007557,0.045022170656203155,0.04459602671609188,0.04428646731186359,0.04405110959863732,0.04369851095434717,0.04334113716314223,0.042863284294212205,0.042606480415988426,0.042745550155542725,0.0426849658139799,0.042728582226688856,0.04250874700070534,0.04218458591429865,0.0418265337444677,0.04148935629257594,0.041261674728415416,0.04089468470595322,0.04045577017335733,0.04014939952146115,0.03994699204047144,0.03979291455841587,0.0395148837265373,0.039240469382143865,0.03903453767015358,0.03904297310693754,0.03908442646498164,0.03913034752349642,0.039106959711870656,0.039190461945619204,0.039337298121994754,0.03951317082590715,0.039747659870003914,0.04003279872503249
stat_5,0.05219515211315324,0.04980428521975196,0.03614613504315519,0.08329147009237371,0.05046205443812703,0.03747440540965137,0.05209022684722657,0.052096740465369946,0.05209695356046629,0.05209073462620156,0.052070079957857,0.052028526419839696,0.05198288495836415,0.05196390751434627,0.051952473395773725,0.051928584049314254,0.05191238689737757,0.05188830141061603,0.05185097338392293,0.05180575378202817,0.05175731996429163,0.05183704834354713,0.051872856796597366,0.052004957064733084,0.05213140960979802,0.052100874990152514,0.05207336177234445,0.05214337241161,0.05220406402965971,0.05220226490552894,0.052428093325005844,0.05253973354292043,0.052682887284155766,0.05298975249356791,0.05320322972610818,0.05335214271050919,0.0533694896340488,0.05356492522257199,0.05355393232848195,0.053486555172243336,0.0536809182702703,0.05364658748591334,0.05369551312335486,0.053737095324874806,0.053944630853992925,0.054073369486071936,0.054788058055662205,0.05512030305787327,0.05518691658294566,0.05515342050747563,0.055141130992677444,0.05516197572172958,0.055114637961236265,0.055115435327439344,0.055067576438679156,0.055182749937969594,0.054952867441979004,0.05458111578544981,0.054286828686684024,0.053852348243686676,0.05335604791389765,0.053084328369277435,0.05263614960546899,0.05177204300131603,0.05115174720366036,0.05068120392509224,0.050270696132546984,0.049664868101852326,0.04870652457326127,0.04793904324292543,0.047065448710544175,0.046200284137000044,0.04544092531647315,0.04517891050905697,0.044749422956144605,0.04443769732927027,0.044204018402670325,0.04385303884288397,0.04349750893129695,0.04301491478701718,0.042754165924444455,0.042891226271213535,0.042826466310935216,0.04286380902818089,0.042636306774451745,0.04230857583895793,0.041947887196979915,0.04160648529174123,0.04138057456445614,0.04101293131084631,0.040571301848204455,0.040267114416329935,0.04006408433235049,0.03990845640024909,0.03962771622929052,0.039351099318329245,0.03914401770326213,0.039153614098581466,0.03919513524366327,0.03924114190759324,0.039214970126775266,0.039293777102269875,0.039439711285955054,0.03961587017029993,0.03984980110205874,0.04013414942923157
stat_6,0.05026908088311733,0.047959960412196925,0.03493062202513118,0.08039097370626912,0.048359691298224074,0.036034051212828225,0.050170651869115006,0.050176905419260835,0.05017646256058766,0.05016945995319201,0.05014879147402124,0.050109303297336205,0.0500654701904124,0.05004771333133259,0.05003830309520744,0.050016333937703515,0.05000204145171505,0.04998093041253485,0.04994757220765756,0.04990535437737312,0.04985940786297627,0.04993416145965308,0.04997091904900857,0.05009742179930305,0.05022094381260288,0.05019282170800681,0.05016727232929039,0.050236069337827156,0.050293261157223115,0.05029408185056988,0.05051533427573764,0.05062029172874722,0.050761680791919686,0.05105767282871561,0.05126411282600537,0.0514078910593696,0.05142925072359578,0.05161946983427181,0.051614616356277405,0.051548490132533854,0.05172600157513568,0.05169421400987319,0.05173903915602353,0.05177485612775583,0.05196010555955295,0.052082334750423974,0.052760082898260924,0.05307394772190059,0.05311418612015568,0.053080229223842104,0.0530707463593227,0.053092493788603555,0.05305366747336834,0.053061115254734,0.053028633343959936,0.053137721959416406,0.0529218748522858,0.05255850061555218,0.05226738758349384,0.051843296917212775,0.05134741973403424,0.051090862840028575,0.05066796032795205,0.04984068180326399,0.04924819846364674,0.048790390477271586,0.04839093635396861,0.047806789035482244,0.04688566590983785,0.046144846376173276,0.04532073898235372,0.0445112486220399,0.04379695876101496,0.043547363323081165,0.04314224568001509,0.042843782509759856,0.04261454018125296,0.04227392178009714,0.041925936150923764,0.04146998553895599,0.04122827252818006,0.04136487528549029,0.04130925419876525,0.04135331950784362,0.041145690839822925,0.04083076994378213,0.04048574746098302,0.040161948225460854,0.03993531520084246,0.03957446040107663,0.039144483974017694,0.038838757050217505,0.0386367469576191,0.03848179117332058,0.03821186300161393,0.03794427774795979,0.03774463302391761,0.037749006262962764,0.037786905370822584,0.03783098677248273,0.03781461964713408,0.037899443580087774,0.03804171203216874,0.038211401046845,0.03844009830851823,0.03872027103412694
stat_7,0.060866266495202936,0.05815932768905995,0.04172881850802182,0.09656089767248491,0.05949192907233918,0.043875530961299994,0.06073476706005155,0.06074260419890292,0.06074477191743746,0.060740369029556054,0.06071821060056981,0.060667389093299905,0.060613175936074376,0.06058901609506958,0.0605700604955324,0.060537915662979225,0.060513020229186844,0.06047729178942416,0.06042379365675604,0.06036403036268968,0.06030118009089288,0.06039524604287681,0.06042807826056289,0.060582274933637124,0.060721213358396954,0.060677106484418576,0.060636491476413285,0.060708121413441674,0.06077864776316847,0.06076464754747405,0.0610101785340364,0.06114074410782141,0.06129759079294462,0.06165351231901615,0.061900472948377874,0.06207400325799486,0.06208637144963843,0.062311869723276334,0.06228324895314001,0.06220828978810562,0.0624708075121702,0.06243614234175942,0.06250654034829325,0.06257032555655977,0.0628574943628068,0.06302162450298351,0.06389953459346724,0.06431454535567567,0.06446279327404575,0.06443439996083326,0.06441668447775227,0.06444385255648039,0.06438038343336329,0.0643773305627832,0.06428876334862585,0.06441822219884846,0.06412958115551909,0.06371683297011321,0.06340871121365942,0.06291597929304188,0.06237742252494643,0.06204406487503256,0.061491869066662964,0.060465411448616176,0.05971687289438774,0.059167242354487795,0.05869709358636678,0.05799186687496175,0.056854000501711265,0.055950765951760045,0.054878917081659914,0.053804287841253254,0.05286627916549719,0.05254949207603766,0.052018716912844244,0.05165113701625808,0.05138829419937466,0.05098084481215161,0.05057983192591344,0.04998948624966107,0.04965530229059471,0.049803663798588,0.04971218144863813,0.04974187455806357,0.049449810660902156,0.0490722086373648,0.04864589736634202,0.04823612370701881,0.048002787652910495,0.04760050243058947,0.04710848547491119,0.0467968172363875,0.046586488149849566,0.04642879250065864,0.04610464250219118,0.04579045214050661,0.04555101366820763,0.04557863215653406,0.045635713037600466,0.04569050411664114,0.04563209222971078,0.04570233504538841,0.04586969450783448,0.046075992294311884,0.04633904743721942,0.04665018490494038
stat_8,0.10245843694601083,0.09751855242245283,0.06926315389725578,0.16112165893027572,0.10155512902286748,0.07420994681430351,0.10222290697800328,0.1022352381512409,0.10224433050206073,0.10224626636370743,0.10221756353201829,0.1021320186334756,0.10204321581056876,0.10200089529315076,0.10196027027122623,0.1019039314970457,0.10186232848341129,0.10179182360669617,0.10169088753875415,0.10159411916678752,0.10150344727245965,0.10170461998787587,0.10174959511201814,0.10202544541285516,0.10225908847493824,0.1021942829728415,0.10214249659839045,0.10227578530693922,0.10242405085742104,0.10239334052669068,0.1027961946590722,0.10307085661353232,0.10329762856265515,0.10389486122681561,0.1043002873972584,0.10458525538054521,0.10453553825385643,0.10488149270661816,0.10477046947308154,0.10465693927230936,0.10516795703341818,0.10505888530865146,0.10517157639384983,0.10530717590567423,0.10591947338662128,0.10616795576350292,0.1076670154596927,0.1083600929181775,0.10879557175260378,0.10871938564902309,0.10864668464254225,0.10862258902597033,0.10838153028015891,0.10821103690799105,0.10792234323024137,0.10822892026960394,0.10773551646882937,0.10704033751991128,0.10646984371100303,0.10569266337029107,0.10498842345386374,0.10441193272637198,0.10346337098613861,0.10173664485825677,0.10052055230674331,0.09972883516808384,0.09899222140441198,0.0978151475798532,0.09598079228765358,0.09455373901007194,0.09260718314687111,0.09055570689292289,0.08882238265283009,0.0882747358053592,0.08731457461687961,0.0866734680817532,0.08628293337185591,0.08564448810479709,0.08503645685369356,0.08395674489909179,0.08330387027524201,0.08349886815159194,0.08326139665386814,0.08319515709111207,0.08256226125591945,0.0818977994312826,0.08115146890459048,0.08040028347707932,0.08008845385769793,0.07945688632622272,0.07864046969881158,0.0782156383277504,0.07788967003218707,0.0776284251731933,0.07705704486815748,0.07651382317848063,0.07610526074269346,0.07618037586442308,0.07627944396083351,0.07637084716056541,0.07621191531584234,0.07623395027504135,0.07649047651317349,0.07683265275124686,0.07724611507396358,0.07772554895490594
stat_9,0.1207278640681351,0.11444533680413216,0.08182368879168044,0.19009590596460688,0.11902344999546853,0.08727664317094966,0.12046114007491458,0.12047451719868267,0.12048470290110906,0.12048708822764324,0.12045493621624478,0.12035951213395113,0.12025884741141495,0.12021242206567224,0.12017115630987961,0.12011289198660793,0.12007762330093427,0.1200044556281383,0.119900224191304,0.11980455749773532,0.11972242666417442,0.11998693936641033,0.12005247849889183,0.12038854030199031,0.12068243142715855,0.12063125532072218,0.1206003545915683,0.12078795492700056,0.12098368854441537,0.12096819788236568,0.12147383303730533,0.12183457262318372,0.12209754428864125,0.12280410336251983,0.12327897744443844,0.12361012641084634,0.12351966331529958,0.12390931785663618,0.1237688307985067,0.12363607784424367,0.12420938766952484,0.12403430581350508,0.12413422625945121,0.12428029350756918,0.1249923126623113,0.1252345335736675,0.12691559681044134,0.1276652261636288,0.12814626828461012,0.12801086416394802,0.1279024617326136,0.12781714877563388,0.12745664698698575,0.12714697071038333,0.1267858241204523,0.12722163558410837,0.1266834771228395,0.1258149906643654,0.12502172987468305,0.12410947417175343,0.1233268075217938,0.12267681892541828,0.1216170649712978,0.11962825496265893,0.11828636749007022,0.11745067830934156,0.11660176971272448,0.11521905461275543,0.11316264088139792,0.1115665776274137,0.10929249664451329,0.1068512519867787,0.10481606770803246,0.10418494623035837,0.10307145997790916,0.10230931283262111,0.10186411045862571,0.10114023012165774,0.1004408572559176,0.0991677459285711,0.09839963764192322,0.0986161378740008,0.09831289886346653,0.098185298384207,0.09739981528231297,0.09658822539141458,0.09570121106357936,0.09479890760294188,0.09442372126092946,0.09365532041872929,0.09265316475542412,0.09212865364332523,0.09170669799867492,0.09134977538423177,0.09065177351063515,0.08998331540820839,0.08949358854516096,0.08956509127443055,0.08966439790337549,0.08976894903944457,0.0896024802475282,0.08961063779600081,0.08990192945876156,0.0902996953397371,0.09078835970591101,0.0913680044219159
stat_10,0.07384837377003187,0.07053021403582849,0.05019002116250293,0.11652471993944304,0.07294790028525464,0.05342252144119616,0.07368031596189895,0.07368976799404954,0.07369474343094942,0.07369317204541333,0.0736693548638745,0.07360632739668012,0.07354053837105307,0.07350968081068643,0.07348147013875622,0.07343951127575768,0.07340596146639611,0.07335592517237173,0.07328293441136295,0.07320740637043634,0.0731311445815596,0.0732557848346392,0.07328839212694956,0.07347933836493117,0.07364328102269947,0.07358745802530213,0.07353758620201413,0.07362228627477913,0.07371468047239665,0.07368994329499397,0.07397639727209186,0.07414803681078594,0.0743244749403271,0.07475487307497936,0.07505105179358304,0.07525981151685171,0.07525410443793315,0.07551845208902827,0.07546090028375933,0.07537476861201174,0.07572762312181426,0.07567628709678766,0.0757672204867033,0.07585925425171917,0.07626184183321763,0.0764622372205558,0.07755741238508637,0.07807587515029622,0.078339919832246,0.07830597554317999,0.0782730014443104,0.07829261191059786,0.07818114157649561,0.07813901664363022,0.077979641076403,0.07815296465823406,0.07778801875138337,0.07730039935111586,0.0769384301587728,0.07636131671592734,0.0757785626765631,0.07535959814565596,0.07466578790633265,0.0734084096676943,0.0724938033866872,0.07185585426412483,0.0713027951034158,0.07045014507628489,0.06907529828622941,0.06799546274895756,0.0666326763265988,0.06523704172316687,0.06403519673638416,0.06364171419398143,0.06296684362426819,0.06251350912162969,0.06221190399298261,0.06172993202246374,0.061266207672407466,0.060515904568329185,0.06007423027053435,0.06023543259506196,0.06009649689031856,0.06009737296860623,0.05969562577082055,0.059232460607680476,0.05870549617120767,0.05818767470707459,0.05793875294634407,0.05747456470397007,0.05689177758215223,0.056559658971897464,0.056325079236314544,0.05614765428726412,0.05575009542173496,0.05537022403914211,0.05507957898227907,0.055129172294809146,0.05520415951928874,0.05527111571657087,0.05517003215809434,0.05522040588699895,0.0554159413502003,0.05566554283728285,0.05597231015843822,0.05632795882736071
