,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.41610267397957856,-0.2564938189741123,0.25376154725758693,0.5265259837682676,0.19280295580227683,-0.02588658454226357,0.4288635330955969,0.43073331823348415,0.4332922586118169,0.4363044303811174,0.440306718977532,0.44402901649915266,0.4487076555774405,0.4553591344433097,0.46854777778332024,0.4892525115964001,0.5125880346683694,0.5453421267934213,0.5768181931634909,0.6177511674881029,0.6561877869713859,0.6840817173162531,0.726986980391191,0.7820562911632447,0.8071211159092414,0.8179622952440176,0.8845553124301982,0.926792414420225,0.9587219955333717,0.9860202676268414,1.0320983916969064,1.024176329209942,0.969927144072472,0.9843742285999574,0.9683153681868006,0.9370708030734821,0.8558991022074801,0.7704994954440307,0.712046151678654,0.6660308452714158,0.5869860539480412,0.4368159975021016,0.2788131286831124,0.1967204533662054,0.1430282143060647,0.09744878909274075,0.0570845317841114,0.028075744970718648,-0.01666730353372349,-0.09144338751440807,-0.1523924386818493,-0.25849201120768606,-0.36598291140583666,-0.45656605842006664,-0.4578856610877578,-0.42792304176478346,-0.41353722643868235,-0.468521847766542,-0.484068408943982,-0.504936465271715,-0.5616487786707159,-0.6174155559636488,-0.6290308151725715,-0.6189813993343749,-0.6063628599921246,-0.631141678520668,-0.6584057772837949,-0.6662018583497032,-0.731215309624494,-0.7842514132371234,-0.7813375433994717,-0.8017588539985365,-0.8319914885580432,-0.8535524299780815,-0.9100006204835751,-0.9512833253726684,-0.9379060081532147,-0.942984909555698,-0.926996940205265,-0.9096982247680646,-0.8867239416192165,-0.8881298543094882,-0.8781119546709316,-0.8185026549080868,-0.7538041986026265,-0.710929815296682,-0.7000891543708989,-0.6868548067879072,-0.6610076178781338,-0.6411913852155637,-0.640978181487406,-0.6365855135862177,-0.6054467910063698,-0.5940004779055436,-0.5992483958814505,-0.596734150612585,-0.5976970227994033,-0.6090348021419659,-0.5920171895585726,-0.5868064210109668,-0.5791696345583361,-0.5690171799425537,-0.5719471486558503,-0.5821641206196434,-0.5906030127765007,-0.5969729056897711
stat_10,0.6210441252507424,0.2710588511204237,0.1193417759662974,0.6916961779163358,-0.4776803919815181,-0.3861415554897797,0.6273507480349678,0.6291158941423745,0.6321733093015216,0.6342026426792298,0.638233847848347,0.6416126895415074,0.6426588803936069,0.6473163944186779,0.6563883049097426,0.6622777837960317,0.6817894128012366,0.69173795907218,0.6893291377291663,0.6991942758992555,0.706819908082958,0.7132542310983295,0.7168345926352288,0.7339888426264253,0.7794785493983711,0.8478068299766542,0.8982773374981231,0.9628558861188281,1.0136937979296485,1.041643287064429,1.0210519265691895,0.9555092165933147,0.8766470745499727,0.8281417397380325,0.7701377124249217,0.7571854508647475,0.7747544648145487,0.7187076469603165,0.628807727223967,0.6181526066284587,0.6092941496157462,0.6038484140118575,0.6234952635269695,0.596578379668317,0.48790738650447435,0.38832136048793947,0.29253250077044995,0.21951957283160708,0.21887403750809833,0.21800812636006767,0.18546104888439824,0.1308712538146376,0.07789731325244206,0.017042155693739836,-0.014852572915032683,-0.019020927747407955,0.020756240409397473,0.0272181401169434,0.03145425316406555,0.05626213220281986,0.08450800412828428,0.06422928696613682,0.07002089773431587,0.06334869141703986,0.07141200495148613,0.03278798895711912,-0.04345297577497891,-0.10407009812757383,-0.1316148072296853,-0.11330081321052002,-0.061695278749042945,-0.027712578715930768,0.00094496095988723,0.032449179752795154,0.06844704182728459,0.09215469340029808,0.13786784592653084,0.16381644235939713,0.18069737972285513,0.19240401871059873,0.20207928827494737,0.22119275827908816,0.24432517712167484,0.2679027076803627,0.27320566768409216,0.28157917296153134,0.28409231118012856,0.2786334219508582,0.28239185846732756,0.28367818088245716,0.27058123811642293,0.2522239368083588,0.23145848822287968,0.1886354376255107,0.15768862313938134,0.1269791343005758,0.10444829302991246,0.08915079514654516,0.09379623193891118,0.10269292440449505,0.10720562933521632,0.09509268474134183,0.0899666757906137,0.09746244505231273,0.09851159975267544,0.10161176967739875
stat_100,-0.7915049741074333,-0.2325067557319638,-0.4176460408476012,-1.1005741179758202,0.28423771104331463,0.3345358502310989,-0.7950715742751547,-0.7954015890812561,-0.7962356626940821,-0.7978455859761833,-0.7983374325252537,-0.7979263753987379,-0.7966835041897459,-0.7990333131939574,-0.8035349563020032,-0.8070825756873233,-0.8104715911360919,-0.8127243308518091,-0.8174432737780174,-0.8207409914048119,-0.8258392211068737,-0.8329292536121641,-0.8394802415417411,-0.8446606152342895,-0.8497233968550848,-0.858024156537285,-0.8685734955449406,-0.8824288954063437,-0.893407758362225,-0.9131525533688741,-0.9390575244494032,-0.9608223256151355,-0.9671380296814764,-0.9754066534195915,-0.9939746240161427,-1.0040756950713967,-1.0179965394686636,-1.0309504933337756,-1.0132768511871353,-1.0476194041294669,-1.0431013711158754,-1.0162872622124235,-0.9783050274618514,-0.9715726120688072,-1.0095033978500365,-1.003572681123863,-0.9984885322410876,-0.9947165647864648,-0.9415645736406972,-0.8951134882525749,-0.8361662884726553,-0.7745709127735139,-0.7181435056434432,-0.7243276625579784,-0.7180304689249767,-0.6265902917624238,-0.5262712417757366,-0.4978308921387432,-0.4738144172349241,-0.42422290449428934,-0.3885666703768281,-0.3542977152692758,-0.3047118210449496,-0.2147058129177899,-0.05971322297586225,0.09652369545198558,0.2198288912052297,0.29432477944294394,0.3502998188903542,0.35192829481337756,0.37437911710438054,0.4505095136559286,0.5013636716423252,0.5548424908382191,0.5454546109718277,0.5636282268184643,0.526529032431365,0.476147713729833,0.44149739602688776,0.40683831142872184,0.37657158038160277,0.3407441577542199,0.2938120837196217,0.2721332534213511,0.2562793569247395,0.2244576707593492,0.21445962618255987,0.1927130808879197,0.17056339690265873,0.14959005443899037,0.14357611871633508,0.13692525074157416,0.12352070228602749,0.11819878283738616,0.10674639309805217,0.110322273632523,0.11872712360064754,0.11621620459925144,0.10535739119450503,0.10649346971019819,0.10582648640226852,0.08482234269048344,0.0701392205025717,0.0743993195937337,0.07387971171454506,0.05440686742869981
stat_101,-0.025952446034305788,0.01892401868645958,-0.20518575185399188,-0.184833579470574,-0.2497327279859264,-0.17520654521791837,-0.027631981128530648,-0.02765008913073691,-0.02801808657642386,-0.027658079833996322,-0.028014236728524565,-0.02750143481234967,-0.026823957317744767,-0.02805094253634784,-0.030087646990349763,-0.03243880338971907,-0.034190939060238665,-0.04031548479484474,-0.04447215839594787,-0.047176191915736715,-0.048766078714243884,-0.051017183524480626,-0.05409195750466217,-0.05564843763710597,-0.060092945964029275,-0.0623184172151363,-0.06428007496211273,-0.07257395696128482,-0.08118977063166656,-0.09210467906088156,-0.10734719871903088,-0.10572065772264722,-0.10623164239490394,-0.09967669124337075,-0.08286951359046825,-0.08579862210206664,-0.06642700774459646,-0.05631644846120647,-0.022056729881027203,-0.023672671263009745,-0.04482137561456537,0.019511657150194952,0.06431680092722976,0.11760497909262886,0.18057380748097476,0.1585722316796337,0.14484486971137145,0.1561575297284608,0.1733973053726414,0.14235467990724363,0.06107318042165403,0.04079418181135,0.017801236050040272,-0.05224325417056987,-0.06833964975225623,-0.07429764185512655,-0.0691049568768508,-0.10702847938370462,-0.10447363900278876,-0.14053438818536562,-0.12233866069956595,-0.09357482442375913,0.0023640182810352774,0.10817898251480847,0.18670290368513018,0.18745692633322408,0.11691193498664872,0.12944459018307994,0.2236367451616185,0.3304309450064328,0.3403438284283325,0.25258762260969386,0.22880878392002887,0.27229902578676973,0.3310257492028252,0.36531577953546157,0.4002673751999433,0.46944054003123475,0.5282504119928287,0.5370438362466117,0.5331503419094656,0.5120458882997594,0.5033545620810597,0.47161751357617115,0.44351751252902727,0.40191339268409343,0.3690157263094418,0.32908091421983005,0.28355797058867216,0.23556529779775734,0.19949377804416402,0.16634575607406638,0.14567676454262452,0.13904038677886768,0.12058931672696734,0.11701542586175072,0.11474588927368133,0.09870267075551242,0.08640985490892629,0.08950677580748136,0.0867096855315353,0.078626143109861,0.08404938963638822,0.09300877784593517,0.09158510303079757,0.08712419543349587
stat_102,0.6658960363165305,0.5314329116607588,0.8512518404066363,1.3934822840672674,0.5324230947191342,0.24927000809055386,0.6654655220002567,0.6662501844360986,0.6680612377784001,0.6689739735221643,0.6686123924030491,0.6703770586668489,0.671368526669381,0.6720221915558742,0.6698185111542683,0.6725384733147294,0.6707009567610126,0.6687189130407588,0.6706478583901074,0.6853058289443847,0.7033933207300768,0.6983929055163431,0.691645476355601,0.6682732062092398,0.64395537832679,0.6184411707299257,0.6224180718572413,0.6145138476615749,0.5972477787245718,0.6135602067542041,0.6048717258240327,0.5727462352305718,0.570072354422894,0.5973101027683207,0.6266367676441086,0.7086882764645239,0.72494451902122,0.6954023043768459,0.6770441696075725,0.6792817158433533,0.7192037703825953,0.718084820815009,0.7096235308316177,0.7267832626043912,0.766205650199758,0.8008177808906621,0.7913024453157907,0.8132213707105317,0.7950183093496681,0.7992861684805384,0.7561294931700161,0.6668064792043311,0.6093456303832385,0.550086800396252,0.5054923891477642,0.45576922227248295,0.42956561759761575,0.3767313257931851,0.32781285619478157,0.2778183028649592,0.19854264209741065,0.20131883382279936,0.20717024604524206,0.26139499621636747,0.32950084550906555,0.335342420111219,0.2832595267987504,0.2503531914205595,0.2546080229150238,0.24523697992494084,0.31081657337676827,0.32949519498212565,0.35933799946359823,0.4124334478287217,0.44665428273523267,0.4871023218543836,0.5105627386305501,0.5037811616784766,0.4409609521482969,0.4152105957595213,0.36235115314424765,0.3418813535815218,0.3373551182386339,0.3413598217404216,0.34405443248715006,0.3289675813527956,0.292077366468521,0.2587656555918286,0.2548270994070053,0.22722525370808414,0.2288099757285164,0.2298793840592795,0.2277255245914015,0.26474655115451884,0.2804855292796556,0.30489397808854385,0.3190003724707383,0.32977254405309037,0.32572619323359114,0.32990778544203747,0.32427635184000353,0.3038344875852524,0.3062773027703965,0.31221880937152163,0.3103601979165991,0.3404706922794574
stat_103,-0.5464967799018674,-0.32504428239535166,-0.417870028467334,-0.9075854986727689,0.03460736429585789,0.07407730953433665,-0.5499699143247649,-0.5503234219670524,-0.5507052276888916,-0.551482846043452,-0.5514957479118878,-0.5524586831148204,-0.5545186750014336,-0.5567699570117033,-0.5575722016365028,-0.5607817716174573,-0.5663919279375313,-0.5686623853605863,-0.5722120967993596,-0.5757223142666719,-0.5792369083907161,-0.5834902956711274,-0.5882919973294143,-0.5955410168353742,-0.5964988650748188,-0.5982977576478021,-0.6064851088595691,-0.6135788944075936,-0.623657854853281,-0.6367946568731383,-0.6527629516957035,-0.6698053152604904,-0.6662387877424523,-0.6853023146459927,-0.7114367742945937,-0.7254779102220931,-0.7147535334597948,-0.7127345617402632,-0.7011367007709537,-0.6632411407360956,-0.625965803271261,-0.6760206388862727,-0.6691683286211442,-0.6816540266391816,-0.6657518487206794,-0.6393016590081869,-0.5918888462342015,-0.5783569674119096,-0.5451532144318628,-0.4665308460271775,-0.4054274113167817,-0.36853625585333144,-0.3174718403231739,-0.283550392502792,-0.2663985917914218,-0.30215322750726065,-0.28069406152402926,-0.24584406972686954,-0.2548724141277013,-0.21867499726819564,-0.15619797157412793,-0.12160465110179404,-0.13396820545910482,-0.157021975949246,-0.14405474853776903,-0.1276607371242531,-0.14168186284089188,-0.15681016951655796,-0.15110540723447854,-0.1522331453657539,-0.12215731048559011,-0.11241355122132364,-0.07388087290064291,0.03596947511071868,0.1062515358141371,0.17221154718380458,0.2303402742868876,0.2752947012628376,0.2804821593579818,0.2625111047810268,0.2546211279339295,0.21181860860324928,0.1562821113337762,0.10043192590000895,0.05403479126396943,0.013338965846093634,0.0027619428772260677,-0.007566417328724004,-0.03416178923867138,-0.05963460788874885,-0.08008398206040775,-0.08766056690642077,-0.10208717170379716,-0.10923162546688127,-0.1171293989972469,-0.11689889252543799,-0.11576679792849513,-0.12526251449093803,-0.1252389064316387,-0.11536471805097932,-0.11975309373936253,-0.12894411020195284,-0.1238319453455348,-0.11596503782770139,-0.1245561097384867,-0.14026559322639764
stat_104,-0.5298770592108537,-0.4078005255235273,-0.25862906246965195,-0.6734371915974208,0.2996886865824582,0.21384448550825358,-0.5316604995539624,-0.5317457067025771,-0.5320584446398813,-0.5315589479878098,-0.5308021207247839,-0.5299697064115491,-0.5294513425077257,-0.5324170590202585,-0.5358276010972227,-0.5389797603355306,-0.5427713070116071,-0.5425230274349717,-0.5447606741424615,-0.5478896278185372,-0.5490252637286579,-0.5516455405563938,-0.5498477399218766,-0.5495872982842115,-0.5515767300455943,-0.5481747096443643,-0.5443115174873314,-0.5544289854389913,-0.5642665575191111,-0.564283876947082,-0.5590884618625401,-0.5457602041252987,-0.5398157373167798,-0.5354758880384269,-0.5312893295433913,-0.5145674294871881,-0.48364559486220376,-0.49734345097953564,-0.47930306395238254,-0.4350331648905871,-0.3463091196921142,-0.2927919539318467,-0.29668698780185965,-0.33785534201697986,-0.4036426864153966,-0.49428562859217556,-0.5270619907434865,-0.5194225001073148,-0.5379418862900449,-0.472667927995918,-0.4721106561996961,-0.47723829454652594,-0.42800047394293483,-0.455150497397248,-0.5153194455303949,-0.6147480082107472,-0.5937513961832751,-0.5436129514247262,-0.5078535115783542,-0.442051188554699,-0.335138500152786,-0.24340951879367714,-0.146549058708436,0.016095451231289932,0.12266439469542911,0.11962211129302237,0.17165956138251406,0.28311578716589186,0.25526236841555416,0.21656012978365302,0.14328629312259666,0.13640265020477915,0.16975162949189804,0.19974502403439895,0.12595002006440545,-0.02148093698506161,-0.15486795849126986,-0.2665367072695949,-0.3546717803871975,-0.4272834071107053,-0.49972099748650317,-0.5456105322217114,-0.5749274006796947,-0.5759101182715898,-0.5446515709566045,-0.5130539310110793,-0.4835089598506863,-0.47983254058483604,-0.48609884190635005,-0.4821033591340475,-0.4680990237684434,-0.4616626509338129,-0.44530120308823223,-0.40724078577243356,-0.3869394110088602,-0.36917301342799785,-0.3584683335619154,-0.3495401230956911,-0.339263623584316,-0.33160500491173206,-0.3252814294649482,-0.32714936364324415,-0.3075955634695176,-0.2961507547913988,-0.30691046640543423,-0.3221209207216568
stat_105,-0.04096608696214114,-0.06913264682691318,-0.1266091384303781,-0.09827497449687125,0.025422248843257268,-0.07799262352880004,-0.04352000881546939,-0.04367567455105333,-0.04446524394856759,-0.044555197572377414,-0.04549343385066724,-0.046441816543394014,-0.04713008458519536,-0.04969349551804752,-0.0522183501825659,-0.056472365477558205,-0.06083846933651104,-0.06322856995120307,-0.06523674058485625,-0.06811554311293382,-0.07162094131895963,-0.07467095791755485,-0.07682202260244027,-0.07977049460348493,-0.09286139512664639,-0.11193986100965707,-0.12610665603832952,-0.12877474112868922,-0.14296256203295857,-0.13826304636507433,-0.12850698513740055,-0.12774066294022507,-0.147925624477939,-0.14594979585392365,-0.15853715395554047,-0.1440126930297917,-0.15788772600546336,-0.13079455277789484,-0.08386096517851169,-0.010636093216531658,0.023001787690211942,0.016103417831628906,-0.04497248480581452,-0.07254855904848385,-0.09075759216465001,-0.07642383375249258,-0.0015401269764778232,0.05611495344023489,0.10022275793288016,0.06635458168125949,0.13932491753223256,0.17781355788925962,0.18122612286850465,0.17192593611522275,0.2154703210365056,0.24462594333332704,0.2262070463961068,0.118670828652122,0.07555791227808671,0.055534061540073815,-0.027493027528325623,-0.006529552264217905,-0.0587691627867834,-0.05937490019725572,-0.09430785880775325,-0.15871402050727462,-0.2172645158927418,-0.23489155206022191,-0.22152416558674598,-0.16704826633520561,-0.14447906054905382,-0.09454965039543506,-0.060224407664210444,-0.01661989029547307,0.022235521176566325,0.05742673649199835,0.08233729496488205,0.1278671821816308,0.11847177180301628,0.0275699911251571,-0.045100111398369905,-0.10743332365453025,-0.12062487732338237,-0.1331293068542614,-0.13788483440458416,-0.13645037511404678,-0.11894598174838293,-0.12999475300335897,-0.11105695360718906,-0.1207410809651549,-0.1263227149706213,-0.11398560464396722,-0.11683847279424928,-0.11127858445126536,-0.12723792908765688,-0.13141920335431218,-0.1439674379444061,-0.13355864017955593,-0.1017287354835167,-0.08417743129045205,-0.09162504696538917,-0.10337798389177856,-0.08985577227352178,-0.0365135660394495,0.013780736365631367,0.028792921699404055
stat_106,0.3591489439961968,0.2295691339769699,0.13262026649950898,0.5890929959936956,-0.488042925821369,-0.41702907927046856,0.3570518490470585,0.3568017684399205,0.35642749187853756,0.35627952049703515,0.356177871643806,0.35610777694971946,0.35643467346852475,0.3545278977016681,0.3517027063275388,0.3485424614268926,0.34439002356906584,0.3416441199355129,0.33899714402532793,0.3388063210081684,0.33722525790365804,0.3283788828786478,0.320806258588065,0.31745672916912904,0.3132324666534208,0.31470823465446474,0.3046672408112834,0.2933600838647207,0.27684711106219206,0.26729372184335226,0.2738290008095002,0.26613671521950544,0.25540662691892163,0.26944307591748,0.2933869848197836,0.30472943092112403,0.33545962873003476,0.42321185575960196,0.44426552102828826,0.4154847974990216,0.3188824025486919,0.31788225543132964,0.34136720207869664,0.40111128382278566,0.4357654304347856,0.3973655339286533,0.2959492992481196,0.22240936178883605,0.21136889757873936,0.21939597647334272,0.26973517206523023,0.4038828418893482,0.4370141386831709,0.5236244670060408,0.6213923867222642,0.7433839106058335,0.8162263417148015,0.7870206536001153,0.7127335251311365,0.6108778927870568,0.4457536685753061,0.3149362929108253,0.2040530172097974,0.07853746712783412,-0.020163629572855127,-0.12389687838173413,-0.23247503758174862,-0.2676554008558977,-0.32052672465113846,-0.3544657156773553,-0.3882954483022877,-0.4294800488879767,-0.45866969283453973,-0.4635468891304747,-0.4378705193172882,-0.3883325504299375,-0.33632603860245625,-0.2904718959927007,-0.27983590758197197,-0.28900795607385676,-0.2621441504100037,-0.23525036727527607,-0.24563060351372926,-0.23337091453796463,-0.21047852416917845,-0.185888375612552,-0.176172631813172,-0.17127201278730866,-0.1697767567763315,-0.17175790483090686,-0.1631570897707525,-0.14513055787920726,-0.12542633066217457,-0.10818634014522177,-0.11732788457901283,-0.11294678529349053,-0.1104696531407271,-0.09860312606086673,-0.09977908626392268,-0.10185988864874207,-0.09341545118536002,-0.07135942877488234,-0.05008216880561364,-0.06793412933229909,-0.05207165249527347,-0.03778593260303394
stat_107,-0.1364581833096317,-0.0894078870768402,-0.267824380283469,-0.35960830869968574,-0.1448166944162853,-0.027481818103104003,-0.1399906088192808,-0.14014175224974493,-0.14079291905195093,-0.14141812622062008,-0.14233112650910293,-0.1426312544255418,-0.14449581788747157,-0.1473859915670989,-0.14944001357592981,-0.15371364660466397,-0.15896040665660605,-0.16246483595409178,-0.16498968128100475,-0.16902038279684548,-0.17535299911139784,-0.17927941700394398,-0.18626258609173552,-0.19017033288682508,-0.19582765962249704,-0.21303021951292206,-0.22814002748053785,-0.23763995346403,-0.25186066823058906,-0.28177416222136903,-0.3000465423872517,-0.3226403879947924,-0.3392370041903807,-0.3473798488352732,-0.38561171228147223,-0.4070892634484145,-0.4233869621667154,-0.4277321759875827,-0.45826288110795194,-0.4669861031705822,-0.4296112819553183,-0.4148453024516732,-0.39577459093223216,-0.35704521911863973,-0.33073143620744416,-0.2629573256791239,-0.18973375753116556,-0.1086099121604674,-0.04379586245119745,0.05347799000895952,0.1309326460691964,0.15505519005525503,0.20015485949775608,0.16398787727938796,0.1156641726481761,0.10384344370111499,0.1414137466344959,0.11120819137352032,0.03952619284252004,-0.00025715103246477035,-0.0847701091832562,-0.13928074466491103,-0.13326978414330173,-0.16145408781757206,-0.11761436741764444,-0.08201954021393158,-0.08194997997355803,-0.06255554738415194,-0.009434351010040573,0.05188675615954238,0.0015435604039264904,-0.06086333888128049,-0.07469130692501183,-0.1067935349829739,-0.1568441043769591,-0.13497656911236375,-0.11211517712662561,-0.09970914483540393,-0.13371850012272443,-0.1517987669550823,-0.129740816791927,-0.1330355658610395,-0.14991677071996162,-0.17601920584337577,-0.17810544905306824,-0.1694938049985823,-0.16219080703492605,-0.14433499553896337,-0.13186914976796751,-0.1416663290464237,-0.13905369391356132,-0.13057528705925964,-0.11744390185352212,-0.12429611543139181,-0.15009933509457757,-0.15401712326871697,-0.16892748548856848,-0.16695345566120642,-0.17925576066202412,-0.1761325554164689,-0.16092956868127783,-0.13115743256545415,-0.09808425495986557,-0.10851235032020491,-0.10971021893086906,-0.1005214653953043
