,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9475177911916844,0.05356335977575037,0.5237003368626121,0.6546104160568283,0.5203598407419331,0.9866869835449728
freq_0.1072,0.8527446233388882,0.05158688316099382,0.5049611747075166,0.6313791736246686,0.4917757643809088,0.946292159579372
freq_0.1150,0.7575911790728439,0.04969436465598636,0.48224315864721023,0.6103206841675579,0.46923626827879006,0.9084230716208165
freq_0.1233,0.6683714082501114,0.047612737539779675,0.45858926820370416,0.5839462157913374,0.4667964758402663,0.8770383399290618
freq_0.1322,0.6070895854684498,0.04631136698768772,0.44319430798924747,0.5699897996415865,0.44619320921852296,0.8487625971272819
freq_0.1417,0.5431504992060066,0.04475810860901504,0.4337308569563569,0.5470933824056845,0.445842789953565,0.8283775822061863
freq_0.1520,0.473638885818403,0.04223731730587579,0.4316606473037674,0.5045824080661874,0.4449922673914623,0.7993450062387171
freq_0.1630,0.4132293959253322,0.03991072657901558,0.4331682892758709,0.46333166507135326,0.44272501042383755,0.7735091683663254
freq_0.1748,0.37597220021894007,0.03877011482330657,0.434774317279394,0.4430916774304683,0.43619329077099483,0.7586985755143731
freq_0.1874,0.35331629246920787,0.03793214049822926,0.4264808326473004,0.43367861720501616,0.422066410756489,0.7403398535302924
freq_0.2009,0.3239093651498835,0.03707792409899478,0.4134781894236025,0.4239300924919256,0.4232582392632758,0.7278931745479426
freq_0.2154,0.2924599055943557,0.03598597391555171,0.3982253256305372,0.41035656533412784,0.4280589315558001,0.7142901158290397
freq_0.2310,0.2697157399472134,0.035524001576864535,0.3870738733532378,0.40696022720096786,0.4281094143711629,0.706201444794162
freq_0.2477,0.2418912840974427,0.03569476031164013,0.3883917451422717,0.4084528390455467,0.4350406979451027,0.7119987909312689
freq_0.2656,0.2200837585149561,0.03705912234692038,0.3899712936155818,0.43121593198470326,0.4414412689347878,0.7299967011983014
freq_0.2848,0.20632568105674357,0.03879138248509875,0.384655532492888,0.4628245259885617,0.4482633811130721,0.7504042106630582
freq_0.3054,0.1972305244830007,0.04058939784113031,0.3785791331009496,0.49410046889086073,0.4632165655235359,0.7759040017637847
freq_0.3275,0.17568241365995022,0.04150719393265163,0.37006483947884344,0.5124049719128609,0.465671036082908,0.7850836608324306
