,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.0936065436085066,0.08991432557709395,0.06320707048291989,0.14722320336504446,0.09201847387859832,0.06751574427827237,0.09337415298171373,0.09338770532647207,0.09339404978274596,0.09339131233265698,0.09335857046395529,0.09327134873505492,0.0931813730552728,0.09313809292022215,0.09309190033043083,0.09302567258864688,0.0929645598844348,0.09289081299841455,0.092767221479913,0.09264308683369538,0.09252889877141596,0.09264545455161188,0.09266125817916623,0.09288142835007218,0.09303165101202711,0.09297198243043349,0.09284056042238285,0.09291263559723116,0.09299848666190358,0.09290957021114951,0.09319802713387776,0.09340750970444932,0.09357421641311532,0.09411149333829492,0.09457029876723408,0.0948132833245695,0.09485053042538064,0.09522336791490531,0.0951591886623307,0.09503505595250852,0.09550473548420527,0.09552139673932443,0.09571691468207111,0.0958536717946545,0.09640473600665123,0.0967223081605823,0.09821293963743287,0.0990002193545169,0.09937833187021766,0.09940019008898218,0.09939433556942832,0.09949353054330422,0.09946716610983498,0.09958454944579548,0.09942251714812153,0.09954355372580063,0.09900758155087329,0.09844965004393477,0.09815300448278165,0.09743560939558761,0.09662230529417554,0.0960565510885583,0.09512384721230471,0.09342111255907903,0.09217967123023811,0.09130428448038602,0.09065003756348976,0.08958816459648418,0.08778264570029999,0.08636629171483912,0.08472810744664815,0.08299224651033953,0.08127061712280988,0.08022534309254725,0.07874535994369332,0.07766422560898774,0.0769519007714332,0.07584174719050418,0.0750808826398276,0.07421359715462399,0.07375926516756946,0.07395907558813017,0.07391368134695506,0.07383802802294727,0.07360359193007299,0.07325315145227143,0.0727004992505699,0.07213938618299623,0.07201016372232018,0.07174484453618013,0.07112053528471472,0.07072915331895993,0.07051671182982314,0.07035518823069602,0.06986432862590022,0.06935030900475765,0.06896726122825922,0.06911618631797076,0.0693003323255354,0.06942447316177533,0.06928904973034876,0.06925175533321654,0.06946861063916325,0.06980612629519306,0.07012481896670401,0.07044961302796271
event_2,0.10135551739043834,0.09738966528196816,0.0684195898425456,0.15942318587924817,0.0992854646044888,0.07305765530690321,0.10110455703073273,0.10111935372454499,0.10112592762415518,0.10112243531798926,0.10108642211679734,0.10099180480616185,0.10089421262580493,0.10084735110336097,0.10079769922631136,0.10072599039713781,0.10065920828467166,0.1005794311317339,0.10044541064880477,0.10030978693230405,0.10018387081998485,0.10030595080378436,0.10032251231153333,0.10055908649044439,0.10072005603384517,0.10065221965767572,0.10050659320633355,0.10058127713146808,0.10067117857545359,0.1005734032760731,0.10088306911521584,0.10110423259178948,0.10128606725425361,0.1018678136728554,0.10236513508585722,0.1026295422458148,0.10267521963846375,0.10308136263876588,0.1030155966441729,0.10288183400703657,0.10339114906571421,0.10341391505218185,0.10362751064343999,0.10377544813763512,0.10436647551567893,0.1047141378000727,0.10633036682195145,0.10718447297276,0.10758003444315756,0.10760538546725198,0.10760230614757722,0.10771484859705849,0.10769623350643312,0.10783653165500268,0.10767265007987135,0.10779728074475703,0.10721692118053548,0.1066126191028822,0.10629399738000424,0.1055125616590696,0.10461425228244073,0.10400413975220962,0.10299769114220521,0.10115638154422452,0.09980876457690561,0.09884810819100096,0.09813425358930826,0.09698402683698065,0.09502013114648482,0.09347911685547071,0.09171335477327514,0.08984879890558611,0.08798670021722192,0.08685240883957526,0.08524592744700081,0.08407480776246654,0.08329949312333612,0.08209174218486612,0.08126372842062522,0.08032896050808434,0.07983865141585351,0.08005736488725912,0.08001180828278141,0.07993851569543349,0.0796931600713077,0.07931869067034399,0.07872291871075394,0.07811927117678581,0.07797938392760809,0.07769450123386644,0.0770244188489081,0.07660108277499784,0.07637403674842717,0.07620383936024205,0.07567648717319353,0.07512418612681622,0.07471125116895933,0.07487139144677764,0.07507028122207987,0.07520300920039849,0.07505673256718105,0.07501997949839893,0.07525608537869515,0.0756206433299432,0.0759657184043128,0.07631669488472528
event_3,0.11126527810202566,0.10697289210008329,0.07506668005238015,0.1750121747797825,0.10849226052628172,0.08013305853885268,0.11099043101580619,0.11100688913060586,0.1110137080949315,0.1110091365872293,0.11096875920607954,0.1108644819784595,0.11075701999891004,0.11070547977984214,0.11065130081611918,0.11057235846025165,0.11049774763846842,0.11040993675678595,0.11026201492812805,0.1101107947251323,0.10996850600755502,0.11009570165442022,0.1101125405780707,0.11036917863805386,0.11054268495877313,0.11046268474325525,0.11029684039500996,0.11037290416203031,0.11046651546222819,0.11035615085517525,0.11069097100788848,0.1109244705024536,0.11112575499325468,0.11176426813269438,0.11231106797556265,0.11260345331153529,0.11266215523788008,0.11311208230878615,0.11304553435827189,0.11289995225985236,0.11346148384128557,0.1134945713484055,0.11373272627295103,0.11389540828178374,0.11453678099033571,0.114925355710033,0.11670538578771535,0.11764732467042745,0.11806282908970807,0.11809424960113044,0.11809605883136898,0.11822837551362306,0.11822399775651388,0.11839991815998974,0.11823725302267679,0.11836305727453762,0.11772455908253023,0.11706210242026398,0.11671899053351248,0.1158544971674988,0.11484184716393933,0.11417493036224097,0.11307377875740708,0.11105519943822356,0.10956853578358361,0.10849259055882625,0.10770059175507571,0.10643742492348249,0.1042657891822737,0.10256125355969958,0.10063345015217476,0.09860868118676869,0.09656681891310409,0.09531755337396601,0.09354710024889674,0.09226060741527467,0.09140348033643844,0.0900687271926996,0.0891535409537407,0.08813327173546609,0.08759702077111615,0.08784077638879574,0.08779632997052374,0.08772958788926545,0.08747341435907267,0.08707057763853977,0.08642075067435959,0.08576393527261215,0.08561091106561969,0.0853027049503587,0.0845775429182455,0.08411454905852396,0.0838709373464252,0.08369263026068514,0.08312041331934134,0.08252137902071904,0.08207124811229026,0.08224615829764237,0.08246442565434357,0.08260758953691826,0.08244651607409285,0.08241109154330796,0.08267239306929289,0.08307133659057674,0.08344984501538537,0.08383313585531338
event_4,0.08687617377051958,0.08333123476626843,0.05879918734882986,0.13677506833389919,0.08553574247652272,0.06267621029516994,0.08666267399680427,0.08667492071058021,0.08668068226942478,0.08667812689032688,0.08664818169560769,0.08656848480060238,0.08648568841474517,0.08644627949091369,0.0864048171690504,0.08634508133418127,0.08629179749191287,0.08622598456356087,0.08611534839943237,0.08600512416468949,0.08590600664701227,0.08602237013441928,0.08604159769810954,0.08625001183794646,0.08639613833164736,0.08634886072524936,0.08623762780476986,0.08631448848543277,0.08640068862175627,0.08632595352909893,0.08660530247359019,0.08681100604498014,0.08696748214822976,0.08746697689014718,0.08789189455140953,0.08811494410639174,0.08814075441497178,0.08848132974762057,0.08841851727596456,0.08830030603734014,0.08872451266457097,0.08872791037322175,0.08890093874046553,0.08902389254659479,0.08953117381019912,0.08981316306083685,0.09117542556819544,0.09189065521411592,0.092237286129526,0.09224831136978182,0.09223804111329016,0.09231817987636336,0.09227745552728517,0.09236109368730455,0.09220271198231472,0.09232969922615929,0.09184218343425686,0.091315789596703,0.09101870007103369,0.09035416544841325,0.08961297900551622,0.08909205981603416,0.08823435842266364,0.08665804021081532,0.08552428301699311,0.08473786600517114,0.08413635772856276,0.08314975340869447,0.0814991018205096,0.0802041034681024,0.07868842343895145,0.07706870246570242,0.07547560102603607,0.07451019788355985,0.07314739972490131,0.07214557554527902,0.07148743267661271,0.07046478976376777,0.06976182391719334,0.0689582278617409,0.06853911380923944,0.06872171481288056,0.06867534448144512,0.06859198864191461,0.06836459234897216,0.06802928068115943,0.06751247493291473,0.0669894146731633,0.06686516543546345,0.06660939992559631,0.06601295403950455,0.06564076711870297,0.06543235483569655,0.0652676962784835,0.06480560842608586,0.06431913146070516,0.06395906680678723,0.06409221201460501,0.06425846259499135,0.0643749013873773,0.06425653099527806,0.06422335426082525,0.0644225218651522,0.06473568860199513,0.06503376040660924,0.06534286477631981
event_5,0.12892145415113967,0.12398839883281526,0.08707430918721429,0.20303360200567097,0.12435371999631688,0.09264302281079699,0.12860853619068427,0.12862787249032698,0.128634175793439,0.1286262466469966,0.12857713936790433,0.1284567300835113,0.1283321103898027,0.12827317821692574,0.128213667260314,0.12812400189036552,0.128038091706697,0.1279394965226323,0.12777144524521075,0.1275954541258662,0.12742645714123713,0.1275617109088489,0.12758339804169302,0.12787589227784657,0.12807566277601198,0.12797531714073654,0.12777797577448902,0.12785990672263145,0.12795979613237585,0.12783303186680883,0.12822049512217015,0.12847411879341264,0.12871662596216013,0.12945743285401257,0.13009278768390997,0.1304356499741664,0.1305220090085257,0.13104987168815865,0.130989153021159,0.1308202294385963,0.13146051671111258,0.13150969954478142,0.1317857313613613,0.13196888181165825,0.13267820665926294,0.1331340858177939,0.13518568164936343,0.13626991011882755,0.13668143332427957,0.13671750245654726,0.13673051394206523,0.1368972051513526,0.1369239839135498,0.13716673896620393,0.1370253866415511,0.13715441727875669,0.13642399495437266,0.13564733479176422,0.13524178916526988,0.13421959361339306,0.13297684559775166,0.13221897229036342,0.130966042408669,0.1286418715383218,0.12692014362039733,0.1256368507703099,0.12469865159197696,0.1232319750382762,0.12069640675273613,0.1187040635009919,0.11651350393894483,0.11423324871675798,0.1118830972820985,0.11042800374425552,0.10836805156126197,0.10687667455083492,0.10586597844058007,0.1042985419694625,0.1032203432177182,0.10206167453591598,0.10145172561331528,0.10174334059490842,0.10170597161165792,0.10165914518731126,0.10139646656505463,0.10094430641210259,0.10020097212768225,0.09945906558083092,0.09927604421696859,0.09891973418824551,0.09809009772090323,0.09754497593122205,0.09726506378547566,0.09706581915708114,0.09641675063182753,0.09573390542255364,0.09521651181783798,0.09540774370416409,0.09565304025446246,0.0958117889094319,0.09563489898378051,0.09561410590773914,0.09592116908110405,0.09637866817070853,0.09681990061961826,0.09726942322990019
event_6,0.11379749396137737,0.10940008363625212,0.07678931256757243,0.17902561140517775,0.11080533149550444,0.08193589295258288,0.1135171378226147,0.1135339672114708,0.11354077200820055,0.11353583431423553,0.11349434729873105,0.11338785101366552,0.1132779967792519,0.11322542960244496,0.11317046566015873,0.11309005741406178,0.11301410402769488,0.1129248309043507,0.11277421651819547,0.11261990589884709,0.11247456594225505,0.11260419515989517,0.11262200574094357,0.11288436570985638,0.11306225696382483,0.11298038768130421,0.11281116163583575,0.1128891869219425,0.11298466605770723,0.11287250451063995,0.11321579854671097,0.11345397608767524,0.11366079107631623,0.11431398770604538,0.11487332387630037,0.1151725370634712,0.1152335177994371,0.11569385242735201,0.11562695801389627,0.11547782575598076,0.11605037461597416,0.1160842575725445,0.116327188046543,0.1164927730248438,0.1171452380715314,0.1175421039758823,0.11935969002421903,0.12032090711447746,0.12073811091045743,0.12076926123856635,0.12077179538222832,0.1209073448867589,0.12090464124027418,0.1210861745563164,0.12092402674615779,0.12105237452231127,0.12040128485485234,0.11972197462405085,0.11936802635364742,0.11848176331236049,0.11743983821995216,0.11675984306220262,0.11563698045197013,0.1135744550038705,0.11205589314382233,0.11095417184217388,0.11014253895604804,0.10885018513557908,0.10662957608843668,0.10488634972658382,0.10291957360766878,0.10085442852945818,0.09876797572289558,0.09748995653361131,0.09567929208906584,0.09436357711656057,0.09348555499723013,0.09211910064185039,0.091181659477983,0.09014050998435695,0.0895933116648219,0.08984322401148337,0.08979870565882152,0.08973214389036163,0.08947236015711478,0.08906087740429175,0.08839678920401843,0.087726426984135,0.0875691718631361,0.08725336707386072,0.08651139757847265,0.08603644322659776,0.08578663050813815,0.08560376755306252,0.08501929797715664,0.08440691871212455,0.08394656423545407,0.08412395779078474,0.08434605951078397,0.08449189012146154,0.08432872422252927,0.08429451752901769,0.0845619973151683,0.08496957346304501,0.08535712686264024,0.08575023081168028
event_7,0.15311642839539297,0.14724537644008295,0.10380978860380725,0.24188609899425956,0.14498539837597949,0.10958092201550675,0.15275960604634342,0.1527828888134757,0.152786553888669,0.1527710216373648,0.1527077179390391,0.15256680569620878,0.15241919692726166,0.1523517159971976,0.15228989326102685,0.15218916815655534,0.15209153012599536,0.15198418803814417,0.15179616492685677,0.1515899539857527,0.1513859335421039,0.1515257187735242,0.15156081584412967,0.1519005448573637,0.15214106241345524,0.15201140852076978,0.15177483537424744,0.1518668037493958,0.15197123535279478,0.15183063619678552,0.1523006747494577,0.1525721953648355,0.15288406565751475,0.15376702977440157,0.15452503189996195,0.1549396496325287,0.1550777966321782,0.15571512800293338,0.15567934352839152,0.15547517724907473,0.1561993436460352,0.15627204050524898,0.15659198192451781,0.15679302947543222,0.15755197385350844,0.15809498506387892,0.16048732432243273,0.16174493941778786,0.16207137827917636,0.16210583743846038,0.1621418051355912,0.1623599518309782,0.16244981340577347,0.1628044149062366,0.16273647728534554,0.16286448533140185,0.16202722650145737,0.1610764675142248,0.16055770716576903,0.1592985001896993,0.15767872131413097,0.15681518221306276,0.15538518400260407,0.15266142912254688,0.15063428050397024,0.14904933134044704,0.14789345627097136,0.1461437477352962,0.14310954653569266,0.14072030456638743,0.1382208476290217,0.13565732341654002,0.1329074162617474,0.13116576092951132,0.12870907725216305,0.1269375460910964,0.12569854374510234,0.1237949767043847,0.12247579231066091,0.12115578692073116,0.12046057906349128,0.12082601555168447,0.12081122458745625,0.1208158985040031,0.12057658409756264,0.1200648166033258,0.11920143516363965,0.11836485715548081,0.11812891348991959,0.11769780770073074,0.11672068941956609,0.1160433406305215,0.1157053145417609,0.1154715877351743,0.11472740020990575,0.11393376093976267,0.11332461334315093,0.11351961274953573,0.11378851470989522,0.11396152754998372,0.11378142382589401,0.11380616864865042,0.1141789778209563,0.114710932565286,0.11524361212220066,0.11579824143689614
event_8,0.12896486242741406,0.12402746601979925,0.08710808487571237,0.20310855454420268,0.12438392943678399,0.0926720979782461,0.12865196330933854,0.12867130117092426,0.12867758336938048,0.1286696181694259,0.12862047632535528,0.12850006305538156,0.12837541782429732,0.12831649462862513,0.12825703974066227,0.12816740991746733,0.12808156290123465,0.12798303929830362,0.1278150739732494,0.1276391362555242,0.12747019766427825,0.12760554229335866,0.12762737368904797,0.12792000257053648,0.12811998383151296,0.1280196990990019,0.12782247673074762,0.1279045873713144,0.12800455181305925,0.12787793568784356,0.12826578543988365,0.1285195322128268,0.12876227726204661,0.12950336563231685,0.1301389379571913,0.13048191315705285,0.13056833869760573,0.1310963400589375,0.13103573672998164,0.1308666847227858,0.13150678819657644,0.13155584625833364,0.1318317750203429,0.13201482602952716,0.13272386635154243,0.1331796670326643,0.13523130621075347,0.1363154306415699,0.13672612838086412,0.13676197409580199,0.136775000894228,0.1369416081374822,0.13696836626678663,0.1372110143229734,0.13706998654932107,0.1371992449432318,0.13646895716978036,0.13569169421133417,0.13528532493940174,0.13426256413964513,0.13301891169041796,0.13226107646063337,0.13100821794344283,0.12868355127876752,0.12696173538618985,0.12567822198186943,0.12473959819781326,0.12327236375096431,0.12073632103847627,0.11874356229778191,0.11655290034010969,0.1142724869036406,0.111921853453877,0.11046628502204213,0.10840578175333264,0.1069139288432129,0.1059027398867821,0.10433468952764426,0.10325597883629051,0.10209723968365514,0.10148728417233492,0.10177904896237033,0.10174174961447979,0.10169499371229396,0.10143243626729753,0.1009800741074137,0.10023652139008742,0.09949456090705286,0.09931129784822623,0.09895464538290963,0.09812444459684527,0.09757880015961444,0.09729853618605988,0.09709893489409663,0.09644965608372054,0.09576647458428883,0.09524883726283492,0.09543984574692371,0.09568499819620274,0.0958437419288941,0.09566711897014187,0.09564662212269606,0.09595378783284667,0.09641137659655864,0.09685285512476133,0.09730280787512136
event_9,0.12890206471479723,0.1239727289698083,0.08704970371334365,0.20298747492002486,0.12435166130219698,0.09263348366944739,0.12858895523095992,0.12860829321045888,0.12861464613975876,0.12860679406284575,0.12855774418555702,0.12843729521858568,0.12831267119478934,0.12825369739065498,0.1281940491038955,0.1281042803082721,0.12801823828647083,0.12791946508822458,0.1277511828532502,0.12757504843480627,0.12740593558885333,0.12754122257769976,0.1275626606611368,0.12785510251525758,0.1280546178340077,0.12795420758262907,0.12775663187323774,0.1278383493867345,0.12793824025827355,0.127811140488304,0.1281980786217171,0.12845177123405835,0.12869384854326288,0.12943447543229586,0.13006971192720285,0.13041248607372685,0.13049856520941946,0.13102635628897338,0.13096520470780942,0.13079644833933016,0.13143751132969544,0.1314868295111248,0.13176317139010452,0.13194663429371184,0.1326570838471879,0.13311320772310992,0.13516558783546065,0.13625039137656653,0.13666377521825193,0.13670012796013653,0.1367130243429959,0.13687973527293654,0.1369062501189088,0.13714882830462996,0.1370065924230972,0.13713553585488758,0.1364046395318207,0.13562862602238263,0.13522405728495443,0.1342024628618525,0.13296106562548612,0.1322028532590088,0.1309493407853989,0.12862503872991732,0.1269029540043873,0.12561993241546907,0.12468220425102239,0.12321585524246476,0.12068036345953405,0.11868814366145321,0.11649662058347375,0.11421512014219938,0.11186464823838355,0.11040982582931136,0.10835002611070317,0.10685883301934362,0.10584873099789853,0.10428188518853304,0.10320427055822408,0.1020450029966728,0.10143467865193513,0.1017260628492674,0.10168840191711351,0.10164109638690738,0.10137767836307582,0.10092551552882477,0.10018211700136785,0.09943970242373097,0.09925713639609238,0.09890130147963015,0.09807219768130948,0.0975278606771933,0.09724840233690876,0.09704957916409764,0.09640043884098118,0.09571773988525782,0.0952004870894272,0.09539226181929907,0.09563793991796192,0.09579682576995699,0.09561937527582984,0.09559788821500602,0.09590485819208144,0.09636244493396398,0.09680342618363295,0.09725236296467782
event_10,0.12896486242741406,0.12402746601979925,0.08710808487571237,0.20310855454420268,0.12438392943678399,0.0926720979782461,0.12865196330933854,0.12867130117092426,0.12867758336938048,0.1286696181694259,0.12862047632535528,0.12850006305538156,0.12837541782429732,0.12831649462862513,0.12825703974066227,0.12816740991746733,0.12808156290123465,0.12798303929830362,0.1278150739732494,0.1276391362555242,0.12747019766427825,0.12760554229335866,0.12762737368904797,0.12792000257053648,0.12811998383151296,0.1280196990990019,0.12782247673074762,0.1279045873713144,0.12800455181305925,0.12787793568784356,0.12826578543988365,0.1285195322128268,0.12876227726204661,0.12950336563231685,0.1301389379571913,0.13048191315705285,0.13056833869760573,0.1310963400589375,0.13103573672998164,0.1308666847227858,0.13150678819657644,0.13155584625833364,0.1318317750203429,0.13201482602952716,0.13272386635154243,0.1331796670326643,0.13523130621075347,0.1363154306415699,0.13672612838086412,0.13676197409580199,0.136775000894228,0.1369416081374822,0.13696836626678663,0.1372110143229734,0.13706998654932107,0.1371992449432318,0.13646895716978036,0.13569169421133417,0.13528532493940174,0.13426256413964513,0.13301891169041796,0.13226107646063337,0.13100821794344283,0.12868355127876752,0.12696173538618985,0.12567822198186943,0.12473959819781326,0.12327236375096431,0.12073632103847627,0.11874356229778191,0.11655290034010969,0.1142724869036406,0.111921853453877,0.11046628502204213,0.10840578175333264,0.1069139288432129,0.1059027398867821,0.10433468952764426,0.10325597883629051,0.10209723968365514,0.10148728417233492,0.10177904896237033,0.10174174961447979,0.10169499371229396,0.10143243626729753,0.1009800741074137,0.10023652139008742,0.09949456090705286,0.09931129784822623,0.09895464538290963,0.09812444459684527,0.09757880015961444,0.09729853618605988,0.09709893489409663,0.09644965608372054,0.09576647458428883,0.09524883726283492,0.09543984574692371,0.09568499819620274,0.0958437419288941,0.09566711897014187,0.09564662212269606,0.09595378783284667,0.09641137659655864,0.09685285512476133,0.09730280787512136
