,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.09359153735429811,0.0900650263264683,0.06311691467738018,0.14720636520390606,0.09209559656202877,0.06784073135254348,0.09336111280511085,0.09337439685300811,0.09338090592845362,0.09337969723627496,0.09334794608052296,0.0932618328917252,0.09317262812314508,0.09312964918495674,0.0930822271422325,0.09301681023116078,0.09295404194766585,0.09288027952511418,0.09276041239405286,0.09263083321310057,0.09252137129887929,0.0926389247957183,0.09265497931240574,0.09288576251420005,0.09304664120242379,0.09296226202838535,0.09282686671634374,0.0929045477719759,0.09299547282441241,0.09289908492216188,0.0932135532005635,0.09340612917652641,0.09360391006716944,0.09414422066863641,0.09457272680001069,0.09482892042949333,0.09484743724567611,0.09520580291647317,0.09513538833543,0.09501433048895892,0.09552442926801225,0.09552667805525543,0.09570129454178974,0.09584420958019604,0.09638118433047635,0.09670874099165848,0.0982236892847584,0.09898249465088713,0.09936182099188168,0.09938592866346731,0.09938553960902453,0.09949517394281891,0.09946451662888797,0.09956188972730046,0.0993895211310995,0.09949939996448935,0.09899471296714481,0.09843914741328653,0.0981326550239925,0.09738860244897854,0.09656854293675249,0.09600054793978169,0.09503710170911842,0.09336851893234076,0.09208970672688813,0.09115849661456972,0.09044119740044074,0.08935094736208339,0.08746455552001593,0.08599262278887815,0.08429012284253358,0.08255157742850579,0.081039227372599,0.0805688457310738,0.07972457386173191,0.07917000670749955,0.07886495470853537,0.07822843749735162,0.07767827844181854,0.07674184732469155,0.07619393722244698,0.07640746543213017,0.07623858845890837,0.07627051811467685,0.07579701058145924,0.07522088940294325,0.07456217861610501,0.07392157108884033,0.07362227611710709,0.07306763552997106,0.0723766904577777,0.07192853473583065,0.07158680033773206,0.07140263475299417,0.0709570799747984,0.0705572416458856,0.07021555578026364,0.07034398108296287,0.07046192292661117,0.07055743780603681,0.07040574798912944,0.07050383110618808,0.07081488699657341,0.0711682728736233,0.07157347021091134,0.07200980143498227
event_2,0.1013385028606175,0.09756020741150953,0.06832330973112517,0.15940423926659003,0.09936934760636267,0.07341155553049904,0.10108965223446824,0.10110415395171392,0.10111089399460103,0.10110904132417514,0.10107408028284906,0.1009806632299072,0.1008838714337455,0.10083733824840857,0.10078639354725744,0.10071555178173924,0.10064696811460927,0.10056717921654242,0.10043716202026794,0.10029567225031673,0.10017482621102446,0.10029801565434648,0.1003147245304243,0.10056265289615084,0.10073529929117267,0.10064098241488283,0.10049097523257904,0.10057165527053077,0.10066707053679204,0.10056109145408226,0.10089872974706798,0.1011018873459651,0.10131737515248848,0.10190227155038492,0.10236642933850196,0.10264530476489177,0.10267090119469385,0.10306196865631881,0.10298940550124394,0.10285877665594374,0.10341185697503147,0.10341920623715954,0.10361035501572924,0.10376467897012838,0.10434060321285016,0.1046988904946942,0.1063411150499703,0.10716480764766916,0.10756174254982609,0.1075898430151756,0.1075924525233844,0.10771636699413939,0.10769345630600052,0.10781198362219396,0.10763698227187737,0.10774923702760615,0.10720278972901365,0.10660104343144802,0.10627220030024669,0.10546236198323787,0.10455650786281896,0.10394394864905103,0.10290432273489616,0.10109967652367524,0.09971209864222315,0.0986918314813841,0.09791070523558691,0.09672966434579566,0.09467948297627944,0.09307759592812556,0.09124234849323591,0.0893740761575024,0.08774229630079099,0.08723205976616617,0.08631813281209468,0.08571866592362662,0.08538571460430981,0.08469336478194872,0.08409405211282169,0.08308217295772145,0.08249038799866036,0.08272415240134218,0.08254629168090002,0.08258947700710881,0.08208358307898513,0.0814639118298923,0.08075185939179366,0.08006024026680936,0.07973592930619051,0.07913692636252494,0.07839316632684104,0.07790850271541185,0.0775406155597976,0.07734517595315032,0.07686507517594479,0.07643465348619613,0.07606563042449663,0.0762044610127874,0.07633322661215355,0.0764372442185,0.07627428119935346,0.07638534291925149,0.07672356413325035,0.07710618217305332,0.07754487896358793,0.07801653396480247
event_3,0.11124555049442157,0.10717099445639966,0.07496320820765782,0.17499057208555902,0.1085855606630695,0.08052589298429338,0.11097298840237313,0.11098911552677902,0.11099609880121701,0.11099330419445708,0.11095405229300051,0.11085109262547192,0.11074445463992635,0.11069327585618947,0.11063773344766105,0.11055972378883352,0.11048311378641536,0.11039529364119417,0.11025171979458309,0.11009409276689999,0.10995730023763363,0.11008576059363237,0.1101025834100216,0.11037148870151821,0.11055801871755665,0.11044931803830943,0.11027856286080671,0.11036110550078726,0.11046080533124367,0.11034123940240097,0.11070650564219445,0.11092068929239926,0.11115899721979176,0.11180070962852907,0.11231055816141769,0.11261905488488937,0.11265599052829016,0.11309027332035287,0.11301620656215146,0.11287371926905337,0.11348333972144951,0.11349975691379101,0.11371354998173042,0.11388283501580157,0.1145078562758043,0.11490781480941235,0.11671585722867814,0.11762504129123491,0.11804217177310541,0.11807703265130177,0.11808474052191839,0.11822970947701483,0.11822116525161958,0.11837298309484297,0.11819821298712373,0.11830991504692555,0.11770876055679147,0.11704910470536639,0.11669550582968453,0.11580048427694715,0.11477912189772811,0.11410954672435572,0.11297208421622618,0.11099326249578305,0.109463482365055,0.1083233647202205,0.10745897609455582,0.10616166982864325,0.10389714765599535,0.10212473882593705,0.10012095592039043,0.09809053733959269,0.09630678176894888,0.09574471854350998,0.09474082422405351,0.09408421723075173,0.09371461373143535,0.09294939563441398,0.0922859475408773,0.09117772158609123,0.09052969909457083,0.09079015899220538,0.0906027794203573,0.09066416482374787,0.09011959944940573,0.08944630937441057,0.08866651826632357,0.08791053755478549,0.08755469348480854,0.08690027057588626,0.08609161450688607,0.08556164348930523,0.08516204846827245,0.0849548773287529,0.08443194673363495,0.0839640613344657,0.08356071343030039,0.08371342338330266,0.0838568501875206,0.08397206133611594,0.08379425917040026,0.08392344473811089,0.08429700894070234,0.0847170559392266,0.08519823192148293,0.08571393051128229
event_4,0.08686207464939193,0.0834668180431061,0.058710886749423055,0.1367567440223314,0.08560192594571564,0.06296645826463118,0.08665042642438563,0.08666243125401799,0.08666835550983733,0.08666722927789022,0.08663821069075645,0.08655954103708005,0.08647750987499389,0.08643839526593117,0.08639577281361872,0.08633681655629138,0.08628206219922602,0.08621625727428331,0.08610911410655901,0.08599389772777198,0.0858991894390116,0.08601643605412165,0.08603591703879765,0.08625421481970232,0.08641014150438273,0.08634008057188712,0.08622508572833942,0.08630714279977196,0.08639798946940049,0.08631660888187272,0.08662000270882214,0.08680979074329309,0.08699447181428814,0.0874973775804667,0.08789454809578134,0.08812990033901591,0.08813834982718803,0.08846492803967104,0.08839625234883867,0.08828149515904544,0.08874284690886511,0.08873297810429669,0.08888645463737699,0.08901522380122641,0.08950933482498316,0.08980074586024764,0.09118603142121368,0.09187446645078928,0.09222196870130517,0.09223518785573069,0.0922301941388675,0.09231948539431278,0.09227435619166274,0.09233984768397648,0.09217186288055502,0.09228925066456012,0.09183030957712648,0.09130608741898469,0.09099901763935898,0.09030967941517766,0.08956298140176182,0.08903959189415925,0.08815366319630918,0.08660940977151246,0.0854406122875951,0.0846015965330745,0.08394106091780097,0.08292953464948458,0.08120345462259122,0.07985751956106846,0.07828159498850815,0.07666306490372997,0.07526413672574073,0.07483304602257698,0.07405769620835041,0.07354272175647704,0.07326256384449628,0.07267813384710506,0.07217120881970845,0.0713053704319316,0.07080147094638992,0.07099804593709816,0.07083483709199133,0.07084959220425831,0.070401413721425,0.06985747005232355,0.06924483010199196,0.06864736945735729,0.0683641889292024,0.06784082379760382,0.06718580574462202,0.06675895198646371,0.06643154561294003,0.06624648952958119,0.0658266627909193,0.06544728338752735,0.06512696099466043,0.06524127680119002,0.06534635903398991,0.06543362658480559,0.0652984547457514,0.06538673367915342,0.06567337362187821,0.06600092354028401,0.06637977355807337,0.06679231906596911
event_5,0.12889464352118124,0.1242482769688602,0.086952100184762,0.20299891720674665,0.1244607010161408,0.09309842765762248,0.1285842841455606,0.12860322261786497,0.12860967119291114,0.12860374090319582,0.12855584793738278,0.12843695760790722,0.12831317122642946,0.1282546787625799,0.12819374456397317,0.12810512220407264,0.1280169050375124,0.1279183293017421,0.12775518089938648,0.12757196136444418,0.12740910086149457,0.12754592351571156,0.12756695302376814,0.1278729920326973,0.12808843553502086,0.12795641315815307,0.12775286447164613,0.1278418852683011,0.12794886008934608,0.12781112574695994,0.12823266542175205,0.12846525644627635,0.12874988335376736,0.1294943805492702,0.13008544866529506,0.13044792553744977,0.13051015248556277,0.13102243376756484,0.13095262877470998,0.13078698305631054,0.13148260535697703,0.13151362578932294,0.1317622467694699,0.13195170184664357,0.13264282609699896,0.13311113663113958,0.135194060860294,0.1362420510863275,0.13665556724257055,0.13669718560223082,0.13671614423023187,0.13689734231816178,0.13692055670376693,0.1371352770231704,0.13698022285592457,0.13709222553689648,0.13640480587433773,0.13563134776036276,0.1352149637568442,0.13415949038346345,0.13290621807071887,0.13214484939112636,0.13085064174433048,0.12857140761638433,0.1268017981782964,0.12544737989472665,0.12442953476855995,0.12292415063730118,0.120286803591156,0.11821317918269333,0.11593524427059863,0.1136489704576235,0.1116180425579473,0.11096859955726637,0.10981730384304765,0.10906186627765539,0.108622701001346,0.10772684979938334,0.10694283756054468,0.10567480009162739,0.10493910703072992,0.10525371159601436,0.10505700571163225,0.10515760785529434,0.10455536215952836,0.1037861569073048,0.10288838990425443,0.10202082385937426,0.10159756461472164,0.10083496851133929,0.09990317504170482,0.09927648135199678,0.09881142686184878,0.09857463587700065,0.09797337622408818,0.09743432756933516,0.0969680605769027,0.09713774849085223,0.09730423336126637,0.09743920224617206,0.09724694160470468,0.09741955757482755,0.0978574569046574,0.09834343573953569,0.09890443101917358,0.09950793915781844
event_6,0.1137769076093354,0.10960556307412773,0.0766834056581077,0.17900278170262734,0.11089977075762042,0.08233638685301241,0.11349888518906323,0.11351537520001236,0.11352234380031197,0.1135192174191883,0.11347887256008696,0.11337372374700141,0.11326470502259957,0.11321251164182153,0.1131561690386728,0.11307671503874824,0.11299872581726426,0.11290945075333154,0.11276327692193146,0.112602440095783,0.112462703352249,0.11259363198940746,0.11261137076190872,0.11288621696665431,0.11307747977943845,0.11296641833304373,0.11279211895796465,0.11287673467596442,0.1129784387829951,0.11285686656132793,0.11323119245735695,0.11344971595814708,0.11369428659472525,0.11435079972918831,0.11487224247216594,0.11518802041431611,0.11522683948964015,0.11567135207857983,0.11559673361659813,0.11545078231690947,0.11607244541331448,0.1160893881888322,0.11630746186101036,0.11647968333726874,0.11711547853229393,0.11752392540409758,0.11937008156304053,0.12029793267416798,0.12071677636387221,0.12075162411968124,0.12076011621231225,0.12090853385177712,0.12090166304392712,0.12105857714904,0.12088408343504634,0.12099801006650572,0.1203850420791602,0.11970858824266675,0.11934396741819076,0.1184267019316659,0.11737590365472705,0.11669309979173771,0.11553321589084038,0.11351126655268244,0.11194878769684097,0.11078169547480657,0.10989642780894725,0.10856939263133283,0.10625434658019998,0.10444147892187768,0.10239694595914599,0.10032629364527457,0.0985055612234635,0.09793126595002624,0.09690610831753765,0.09623497391910517,0.09585625365568179,0.0950732809638577,0.09439370191749355,0.09326179490316387,0.09260050794489051,0.09286778235482507,0.09267727670599027,0.09274138084407393,0.09218595175289504,0.09149761231740389,0.09070036329655418,0.08992755812057038,0.08956263342408087,0.08889256265002128,0.08806512077933647,0.08752146711016713,0.08711195099801496,0.08689937943181245,0.08636450011314364,0.08588564058211814,0.08547297402853343,0.08562815633381321,0.08577454109633827,0.0858924024250954,0.08571219687330248,0.08584610047327952,0.08622845776362473,0.0866579789678332,0.08715058743804405,0.08767900442973191
event_7,0.1530752886010377,0.14761878991305083,0.1036513059044455,0.24181672552763264,0.14510757864969825,0.11011390127037651,0.15272129937264597,0.15274408328599304,0.15274783060667563,0.15273455072177672,0.15267249350451406,0.15253336027583608,0.15238650269069848,0.15231960045507392,0.15225641765104014,0.15215685643185317,0.15205654615906386,0.15194929841735547,0.15176679046607783,0.15155249038871646,0.15135522289749204,0.15149708205834075,0.15152989234060937,0.15188416948364686,0.15214455965287166,0.151981131519254,0.15173587506608235,0.15183525327850514,0.15194811756451537,0.1517939901421886,0.15230149550780173,0.15255105383965653,0.15291043718582825,0.15379830341003412,0.15450054276540984,0.1549407566797029,0.15505283915492635,0.15567723236991984,0.15562964983568425,0.1554292335469179,0.15621790188740253,0.15627189413258694,0.15656109366941676,0.1567665459216306,0.15750560768518718,0.15806176817678166,0.1604891750857335,0.16170740764473002,0.16203632336624463,0.16208097570041552,0.1621221814145114,0.1623567701796268,0.1624448768059333,0.162766293886898,0.16268280102572197,0.16278968282221692,0.16200247362443462,0.16105540736448673,0.16052603232896684,0.1592319698078927,0.1575993199112779,0.15673039765235125,0.15525343812392298,0.15258083590674984,0.1505012484025296,0.1488384709423287,0.1475970976497874,0.14580449301043732,0.14266241140432973,0.14017122568791962,0.137569541313036,0.1350042378937424,0.13268195897771337,0.13192040385488207,0.130590177169375,0.1297058077886864,0.1291606752419942,0.12808076385297182,0.12711625228449663,0.125652668613128,0.12482112094050432,0.12522486832502622,0.12503528876799105,0.12521241934006336,0.12456040744956957,0.12366412308068421,0.12261141053306851,0.12159941164867041,0.12106215995199937,0.12013554338442554,0.11902634103591227,0.11823839006779592,0.11766990719504145,0.11738153989655066,0.11667211630650162,0.11603065780406388,0.11547616786687465,0.1156551029149735,0.11584902774694512,0.11601144205914052,0.1158221182683994,0.11608001908059064,0.11661020877044692,0.11718511271511697,0.11786289665018618,0.11860279167192057
event_8,0.1289379889703021,0.12428769137331486,0.08698569637246974,0.20307366135607915,0.12449080854133647,0.09312737847038771,0.12862764876513771,0.1286465886609959,0.12865301588913167,0.12864704976786967,0.12859912173722265,0.1284802277861142,0.12835641586905128,0.12829793314344232,0.1282370559571759,0.12814846965526694,0.1280603166020532,0.12796181331051865,0.12779875160832063,0.1276155869468429,0.12745278452011619,0.12758969893994485,0.12761086484106393,0.12791703549262823,0.1281327001558257,0.128000751424687,0.12779731132685854,0.1278865087727651,0.12799356003963203,0.12785597263730406,0.12827789276205645,0.12851061195792518,0.1287954669024772,0.12954025972877597,0.13013152002142236,0.13049412930581158,0.13055642868578696,0.13106886300909518,0.13099916359403513,0.1308334003050096,0.131528844500274,0.13155975121533367,0.1318082667542779,0.1319976098903084,0.13268845099667959,0.13315668148734863,0.13523965698883075,0.13628754347676764,0.13670023029093428,0.1367416487614209,0.13676061905401662,0.13694172252420372,0.13696491940806718,0.13717953285128673,0.1370248023141733,0.13713703866990998,0.1364497523798926,0.13567569141203845,0.1352584735439215,0.1342024479882009,0.13294828272104942,0.1321869354875746,0.1308928034041229,0.12861308450657138,0.12684338738500203,0.12548874428688767,0.1244704865512047,0.12296457694443788,0.12032678288623223,0.11825269814679687,0.11597462899312475,0.11368829327195748,0.11165724795376411,0.11100773851435554,0.10985640119478698,0.10910077208095524,0.10866138621851718,0.10776526021759143,0.10698087094193755,0.10571268739640975,0.10497704936048186,0.10529189215869467,0.10509524137871422,0.10519592286807802,0.10459365566507253,0.10382411653269041,0.10292609564785163,0.10205828231036719,0.10163459654726013,0.10087147168417852,0.09993909026065398,0.09931173834657597,0.09884623705622979,0.09860904127746671,0.09800747446241921,0.09746806403905194,0.09700156830804632,0.09717108546314604,0.09733751118023441,0.09747250728636377,0.09728051699937851,0.09745342242995526,0.09789148081462004,0.09837760167667425,0.0989389087212459,0.09954290735730181
event_9,0.12887537614562536,0.12423199316090636,0.08692803412362626,0.20295341326266764,0.12445866241747758,0.09308908591153883,0.12856482806939787,0.12858376839163183,0.1285902671425262,0.12858441442225266,0.12853658061308604,0.12841765108238154,0.12829386206009108,0.1282353271433201,0.12817425311362343,0.12808552811323565,0.1279971777999605,0.1278984237018747,0.1277350481170215,0.12755167942698398,0.12738870944456435,0.1275255633862224,0.1275463647188904,0.12785236883891385,0.12806754230615797,0.12793540517323249,0.12773164430776193,0.12782046592787258,0.12792744268870204,0.12778937573476243,0.12821043370364107,0.1284430597450396,0.1287273072020695,0.12947159984883624,0.1300625913328499,0.13042494276200978,0.1304868563870711,0.1309990031551434,0.13092878521914594,0.130763289995833,0.1314597045818628,0.13149081855591882,0.1317397317282597,0.13192953722464176,0.13262176470457696,0.1330903338457524,0.13517404871687608,0.1362225824370882,0.13663795934187759,0.13667981945031177,0.13669867706371208,0.13687991248994905,0.13690284685490622,0.1371173839991737,0.13696144121372528,0.1370733513227205,0.13638547426672312,0.13561266357860044,0.1351972521459109,0.1341423369923028,0.1328904064039365,0.13212871890563965,0.13083390556902216,0.12855454795010046,0.12678454658099167,0.12543035386438078,0.12441290480855073,0.12290779015068364,0.12027039104441116,0.11819694417534733,0.11591802591483459,0.11363030092949565,0.11159829661375117,0.11094864631837391,0.10979671596154826,0.10904120088920707,0.10860236807467068,0.10770669576248958,0.10692319088490358,0.10565459037449049,0.10491818405242738,0.10523230311156792,0.10503510784170939,0.10513523288923038,0.10453227774471194,0.10376321458251261,0.10286537469565897,0.10199770256941686,0.10157532728925932,0.10081351678278733,0.09988239238784936,0.09925687841299319,0.09879248664273682,0.09855630071262418,0.09795526417627992,0.09741657962921409,0.0969504942904467,0.09712063192419014,0.09728728030888126,0.0974222421059091,0.09722928175125724,0.09740118421903113,0.09783893634137215,0.09832489228070894,0.09888553797306096,0.09948834104047817
event_10,0.1289379889703021,0.12428769137331486,0.08698569637246974,0.20307366135607915,0.12449080854133647,0.09312737847038771,0.12862764876513771,0.1286465886609959,0.12865301588913167,0.12864704976786967,0.12859912173722265,0.1284802277861142,0.12835641586905128,0.12829793314344232,0.1282370559571759,0.12814846965526694,0.1280603166020532,0.12796181331051865,0.12779875160832063,0.1276155869468429,0.12745278452011619,0.12758969893994485,0.12761086484106393,0.12791703549262823,0.1281327001558257,0.128000751424687,0.12779731132685854,0.1278865087727651,0.12799356003963203,0.12785597263730406,0.12827789276205645,0.12851061195792518,0.1287954669024772,0.12954025972877597,0.13013152002142236,0.13049412930581158,0.13055642868578696,0.13106886300909518,0.13099916359403513,0.1308334003050096,0.131528844500274,0.13155975121533367,0.1318082667542779,0.1319976098903084,0.13268845099667959,0.13315668148734863,0.13523965698883075,0.13628754347676764,0.13670023029093428,0.1367416487614209,0.13676061905401662,0.13694172252420372,0.13696491940806718,0.13717953285128673,0.1370248023141733,0.13713703866990998,0.1364497523798926,0.13567569141203845,0.1352584735439215,0.1342024479882009,0.13294828272104942,0.1321869354875746,0.1308928034041229,0.12861308450657138,0.12684338738500203,0.12548874428688767,0.1244704865512047,0.12296457694443788,0.12032678288623223,0.11825269814679687,0.11597462899312475,0.11368829327195748,0.11165724795376411,0.11100773851435554,0.10985640119478698,0.10910077208095524,0.10866138621851718,0.10776526021759143,0.10698087094193755,0.10571268739640975,0.10497704936048186,0.10529189215869467,0.10509524137871422,0.10519592286807802,0.10459365566507253,0.10382411653269041,0.10292609564785163,0.10205828231036719,0.10163459654726013,0.10087147168417852,0.09993909026065398,0.09931173834657597,0.09884623705622979,0.09860904127746671,0.09800747446241921,0.09746806403905194,0.09700156830804632,0.09717108546314604,0.09733751118023441,0.09747250728636377,0.09728051699937851,0.09745342242995526,0.09789148081462004,0.09837760167667425,0.0989389087212459,0.09954290735730181
