,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.06089024607497003,0.03713701423035548,0.4073568469988399,0.41429942450501483,0.5142887978702986,0.7759359390806045
PGV,0.009232842688399544,0.0316411271121622,0.3849673975638548,0.3249683336460333,0.4966411834346107,0.7074296997886768
CAV,0.1909013555654405,0.03284611871808618,0.32415947479360585,0.39775151091179,0.3393583744307695,0.6151826849216194
AI,-0.15433780823893337,0.06645645523006978,0.7162965365502927,0.7651821104037775,0.7976911445052062,1.3171543388600855
Ds575,0.1576643408925293,0.029584654408816476,0.284291727029341,0.3289247401878336,0.5273966539879696,0.6834914055075347
Ds595,0.506847233907718,0.025418496995295012,0.26652943652627914,0.28551868765611244,0.37474171397503914,0.5412857043455283
pSA_0.010000000000,0.06374455896348907,0.037196934705246695,0.4075510766686979,0.4155309321994656,0.5128176225285745,0.7757227273222251
pSA_0.010722672220,0.06406269573073133,0.03718980643463669,0.4076143231295228,0.41535886939497274,0.5129052280351247,0.775721728296412
pSA_0.011497569954,0.06448989119697145,0.03717314294706367,0.40734225456702783,0.415167184476163,0.5129752013260857,0.7755224436450255
pSA_0.012328467394,0.0648413560967866,0.037148172795861474,0.4068676026781696,0.41491934427565336,0.5130204203580139,0.7751704716173935
pSA_0.013219411485,0.06529618681069994,0.03713229973429614,0.4063538015164144,0.4148846876062328,0.5128725043112516,0.7747844356306196
pSA_0.014174741629,0.06624914209859395,0.037157197843874265,0.4062137724976036,0.4154829607171013,0.5123430625335276,0.7746813108235007
pSA_0.015199110830,0.06915197616381154,0.037153565660633214,0.4058815940327932,0.4156465947838912,0.5118201904279374,0.7742492282590506
pSA_0.016297508346,0.07245584932953233,0.037175925868423394,0.4059007766560294,0.4160885537024132,0.5115373727812015,0.7743097627978274
pSA_0.017475284000,0.07262339893357359,0.03725490551039735,0.4064559326856441,0.41732562147506747,0.5112185906547624,0.7750558347538258
pSA_0.018738174229,0.07445466748378031,0.037327905664499,0.40669019584106897,0.41861849744082946,0.5107611327314294,0.7755741721472922
pSA_0.020092330026,0.07735535755881262,0.037458357221930465,0.4069115779293763,0.42095754759900667,0.5103187485558407,0.7766643510945666
pSA_0.021544346900,0.07932758325673088,0.037569603350340826,0.40747340489600425,0.4228255883066446,0.509663893510286,0.7775431423223197
pSA_0.023101297001,0.08097105321926826,0.0377357895543823,0.40804733765329754,0.42571700167303145,0.50877713663342,0.7788400156902069
pSA_0.024770763560,0.08137465206955612,0.037903276864828896,0.40809034418416446,0.4288640482208121,0.5078737761837199,0.7799986367986831
pSA_0.026560877829,0.08285271598009733,0.038139128271450426,0.4073804595661781,0.43353246076092056,0.5071884794213246,0.7817604409456167
pSA_0.028480358684,0.08329741412541,0.0384504512035799,0.4067630766377006,0.4392871472559434,0.5079161144387326,0.7851166649400411
pSA_0.030538555088,0.08221190874932847,0.038678974787408886,0.40833696556211807,0.44271399999923405,0.5078676995253338,0.787822545666824
pSA_0.032745491629,0.07823767864383925,0.03889772670082888,0.408792056856942,0.446247974041278,0.5091341196117817,0.7908639275110089
pSA_0.035111917342,0.07637059088291458,0.03926112106450364,0.4100675942119681,0.4521191186548561,0.50965098342278,0.795180013694913
pSA_0.037649358068,0.0720957451150229,0.03959755161953937,0.40980293202578755,0.4582968189348026,0.5091081718485321,0.7982265016808487
pSA_0.040370172586,0.06663857564045186,0.04006665633996295,0.4095210054301021,0.4668451546326942,0.5082718392699892,0.8024911930279383
pSA_0.043287612811,0.060826831624892996,0.04061517387947696,0.4098885258568396,0.4763278401442701,0.5085243848840522,0.8083896739489577
pSA_0.046415888336,0.052212031980532515,0.040974473567727814,0.40915145404579534,0.4828831933764903,0.5088535155161273,0.8121040518593582
pSA_0.049770235643,0.04396883599123333,0.041423702266394476,0.4098987218275569,0.49054724169014996,0.508084388748906,0.816580249930176
pSA_0.053366992312,0.03374030392666652,0.0422524952895822,0.41254382887088414,0.5037745223594037,0.509259613200222,0.8266356717168297
pSA_0.057223676594,0.02248627648595483,0.04293919995770628,0.411515985453892,0.5158883097518354,0.5104667314951066,0.8343035648886985
pSA_0.061359072734,0.0044265829621112415,0.043175225018702114,0.41408986601756054,0.5188976297226418,0.5111034409973827,0.8378256946821231
pSA_0.065793322466,-0.013200610025453627,0.043431401968900066,0.4167105323567941,0.5219500452813356,0.5138705871426956,0.8426995300085611
pSA_0.070548023107,-0.01826195086549057,0.04353893884785983,0.41896738671046385,0.5226046929899546,0.516419997690877,0.8457771280172841
pSA_0.075646332755,-0.03191984006229682,0.043489280207348074,0.42056738851045405,0.5209555668366989,0.5177508911177285,0.8463673056952586
pSA_0.081113083079,-0.045241748669801796,0.04305187615457775,0.4231877186479274,0.512348396506399,0.5178135796806593,0.8424485906681868
pSA_0.086974900262,-0.049461896155094706,0.04289283090953419,0.425486364937038,0.5083801131011724,0.519963090058394,0.8425263207563124
pSA_0.093260334688,-0.05241570791019587,0.042796002461534866,0.4280778904255256,0.5057402044681589,0.5193884290235772,0.8418955843156816
pSA_0.100000000000,-0.05897977403860219,0.042584812585112576,0.4270007138685585,0.5025569743406668,0.5187996551936389,0.8390746118979783
pSA_0.107226722201,-0.060373845175619376,0.04201374086026751,0.42535727183748095,0.4927442353108095,0.5220466467886847,0.8344209918023209
pSA_0.114975699540,-0.058956882845036966,0.04142285958820451,0.42590792543388906,0.4820581482403574,0.5223105965447281,0.8286048385661474
pSA_0.123284673944,-0.06429875274611571,0.041040205026187396,0.42563674679534186,0.4751864856355294,0.5237091829229628,0.8253727307289745
pSA_0.132194114847,-0.06973707756547008,0.04083994720418993,0.4247587621355656,0.47185074262286436,0.5247067829506712,0.8236384749385675
pSA_0.141747416293,-0.0756830492574713,0.04055514974915839,0.4205104070612493,0.4679951676095602,0.528651619252512,0.8217791758684451
pSA_0.151991108295,-0.07762227028506143,0.0400590318066323,0.4214031441376229,0.458462505667942,0.5306734051780572,0.8181581399434197
pSA_0.162975083462,-0.09140801322475503,0.03951245785693993,0.42363215745776295,0.4463002152958054,0.5397608137853752,0.8185290606347777
pSA_0.174752840001,-0.09827698261133985,0.03904997854893217,0.42423150636291895,0.4368892849241706,0.5447053936118947,0.8170364643652042
pSA_0.187381742286,-0.10433846127522428,0.03839993861743455,0.4147832692132583,0.4287113754073711,0.5484400938171344,0.8103240958586049
pSA_0.200923300257,-0.1083605236423869,0.03799079856516306,0.41397298595563803,0.4215486966539796,0.5488206341501577,0.8064000404394068
pSA_0.215443469003,-0.12192709449731136,0.037877782824334814,0.4150964027840594,0.41898447332922395,0.5487117115906188,0.805566604901134
pSA_0.231012970008,-0.1301452508481404,0.037547252716765823,0.41632221535193703,0.41224477469425613,0.5493301741940942,0.8031398268909198
pSA_0.247707635599,-0.139337509095711,0.03715809094315252,0.41937686113971984,0.4036607049584858,0.5489942354165883,0.800133480681586
pSA_0.265608778295,-0.1528929835152724,0.036583917257172346,0.42318441222277947,0.3909884893170947,0.5496044327728851,0.7962550332967496
pSA_0.284803586844,-0.16044236843670573,0.03665733818504937,0.42900984356495336,0.38976326526870697,0.5479815872770052,0.7976519722430179
pSA_0.305385550883,-0.17170210502580666,0.037110655493595754,0.4285400351688302,0.3984428675109578,0.5485230474210109,0.8020478875758539
pSA_0.327454916288,-0.19301729101073498,0.03732129283052197,0.42884245199759224,0.40280072577902937,0.5450633298415126,0.8020276222558282
pSA_0.351119173422,-0.19612441955208088,0.03665228775382735,0.424137580561576,0.3929852954853407,0.5423723027438866,0.7927785595587421
pSA_0.376493580679,-0.20543447926770575,0.03564740534302913,0.4193265950184073,0.3765390104160502,0.5415004003926984,0.7815619638136713
pSA_0.403701725860,-0.2189472418578212,0.03524661687612715,0.4132335677518901,0.37258054047012185,0.5379216487956929,0.7739108093941063
pSA_0.432876128108,-0.2288678739984004,0.03485775194873625,0.40091742252823354,0.3718882772889771,0.5345193190488425,0.7646872386198711
pSA_0.464158883361,-0.24149600803218743,0.034930234461472566,0.40098747745056285,0.3737912156985275,0.5310157235622596,0.7632093609723998
pSA_0.497702356433,-0.2534382299130078,0.03507153948605293,0.40097851545331337,0.37738567043074034,0.5252422353618396,0.7609751112286817
pSA_0.533669923121,-0.26257258378988035,0.034730857323095415,0.3961385874211662,0.37492971325459534,0.5154801702208034,0.7504784315462226
pSA_0.572236765935,-0.2641344400141902,0.03499153392767866,0.3927788517001537,0.38255460460683893,0.5081062104012628,0.7475260349292984
pSA_0.613590727341,-0.2593626180940293,0.0353891417593735,0.38597593684108983,0.3937489688224995,0.5033539300231694,0.7465794352504684
pSA_0.657933224658,-0.2573800315599456,0.03519384226961819,0.38062562357215285,0.3931104404564333,0.5000307936469781,0.7412438723596763
pSA_0.705480231072,-0.2541030176785131,0.03470883953138161,0.3754342464347351,0.3874871285542673,0.49431445299109894,0.7317403409865675
pSA_0.756463327555,-0.24892723838399386,0.03494885870153088,0.3670870829866281,0.3970693222481838,0.4840598562165677,0.725762301009544
pSA_0.811130830790,-0.23207760183195986,0.035191359487605746,0.36024207316508344,0.40550289405164275,0.47607348732164506,0.7217014020307344
pSA_0.869749002618,-0.20522244935169104,0.035163462022767725,0.36015854195991226,0.40652828124643253,0.46595160896413984,0.7156048635218595
pSA_0.932603346883,-0.16434616473588942,0.034582730452932905,0.36251541047310615,0.3967707816196024,0.45517094896835947,0.7042904718667374
pSA_1.000000000000,-0.11641458351990078,0.034263412245683536,0.3584769635786295,0.3942514380299203,0.44517080808160775,0.6943464395913943
pSA_1.072267222010,-0.07058208402261773,0.03395819540414721,0.35306250947562506,0.3919311766629634,0.43946818973306234,0.6865824587221084
pSA_1.149756995398,-0.027126471970085914,0.033763904501350646,0.3463822316881249,0.3924697927813346,0.43116848876216707,0.6781736166915671
pSA_1.232846739442,0.013945653134611246,0.03332092565961009,0.3416688195710836,0.3874072907106146,0.4253946215133367,0.6691655812841178
pSA_1.321941148466,0.037177360434547065,0.03299763712397542,0.3356554190828714,0.38469105360751693,0.421743568080402,0.6622079766225624
pSA_1.417474162927,0.05513763022119377,0.032811140525013535,0.3278316038459852,0.3854069072523967,0.4159479470974756,0.6549998010172925
pSA_1.519911082953,0.0566846029545019,0.03255901715517906,0.3218015516369716,0.3839203145476045,0.4122290218588189,0.6487555880460473
pSA_1.629750834621,0.05068107485928522,0.03249023528919908,0.32197573249369466,0.3833876841667063,0.4069652639392914,0.6451939357578762
pSA_1.747528400008,0.04146240419655962,0.032561114443349796,0.32228309590538656,0.384897365833053,0.4041595207986267,0.6444821908972809
pSA_1.873817422860,0.02723174070769992,0.03251916262627644,0.32441622268266734,0.38319433716600665,0.40502489926962953,0.6450805799310337
pSA_2.009233002565,0.01632638548623057,0.032369386443812494,0.32651876141715824,0.3797929279462314,0.4045160453555987,0.6438092890177177
pSA_2.154434690032,0.00603179850505447,0.03182645595125987,0.3301531434335807,0.36881738213989307,0.40374838015776926,0.6387801765612494
pSA_2.310129700083,-0.004412963097839049,0.03148234872477822,0.33458008552216634,0.3610638378816567,0.4019616793235866,0.6355187804451489
pSA_2.477076355992,-0.016307157883020024,0.030964905734809835,0.3348562035995562,0.351950035682579,0.3998952615830162,0.6292167551350051
pSA_2.656087782947,-0.022567904174615055,0.030650922285511736,0.3339625197144532,0.34713835483534594,0.39676901074312876,0.6240686259201772
pSA_2.848035868436,-0.020081864585457236,0.030497521167132016,0.3354421675067089,0.3442252903235806,0.39323850653393216,0.621006458308599
pSA_3.053855508833,-0.01490432344025933,0.030207729993065324,0.333097776587753,0.34007205723417105,0.3928722934841639,0.6172129064323695
pSA_3.274549162878,-0.005428056606410201,0.029670816091292587,0.33064315395201893,0.33153904171292725,0.39196416304152915,0.6106381387893415
pSA_3.511191734215,0.0019278155273734522,0.028769275868128153,0.32748836977230755,0.3168979304049166,0.38898470730675166,0.5991510937564599
pSA_3.764935806792,0.007754618654844404,0.028173754854975575,0.32264994917774587,0.30840907246704913,0.3874228969518819,0.5910293112587361
pSA_4.037017258597,0.011871243274512746,0.02765465742926374,0.32064602742394127,0.29984115717381266,0.3865846929282654,0.5849498433579816
pSA_4.328761281083,0.019707306345878903,0.027068786364901662,0.31918034200733786,0.28966174715099485,0.3859774573964792,0.5785832836374889
pSA_4.641588833613,0.029454436030325323,0.026759231404658048,0.31890779206771586,0.2843978570247665,0.38317747921375045,0.5739418973192226
pSA_4.977023564332,0.03373171667919353,0.02631880382551646,0.31752456693902675,0.2771830405595972,0.3803553529590961,0.5677345181581954
pSA_5.336699231206,0.03909486032403343,0.0260500982864303,0.3161545708557021,0.2731096106762576,0.37817189892525016,0.5635215676914415
pSA_5.722367659350,0.04493497862343304,0.02582555089991001,0.3138548134563751,0.26979536499850976,0.37938553105956413,0.5614514797217678
pSA_6.135907273413,0.05044687471370825,0.02566553309786241,0.31241988605060245,0.2672214839799344,0.3808664379449868,0.5604219394823977
pSA_6.579332246576,0.05724436287424598,0.02568875650894738,0.31179961060134453,0.2678730443036312,0.38157239057318004,0.5608675906873
pSA_7.054802310719,0.06366856745561754,0.02598410793020988,0.3140887842639745,0.2725616163058716,0.3802999390840979,0.5635331780392875
pSA_7.564633275546,0.072705723815002,0.02618641832684643,0.3180414731371843,0.27451046680095326,0.3795930984800093,0.5662131183858262
pSA_8.111308307897,0.08376157937148938,0.026226561039752076,0.319489133703243,0.27433686075857355,0.38075986839879317,0.5677253712037044
pSA_8.697490026178,0.09315100085386682,0.026307218621180246,0.3201407380004338,0.2752158317479126,0.38275798534998934,0.569857457195517
pSA_9.326033468832,0.10573639068985287,0.026519577438630523,0.32243042932814786,0.27782998893607314,0.3843953128510317,0.5735073156035543
pSA_10.000000000000,0.11929357172289569,0.026947619925822324,0.32606224600452627,0.28391152806731157,0.38581576583669397,0.5794619480234976
