,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08563675567213545,0.08142463200041267,0.05821346367033999,0.1350438550116088,0.08498636717443138,0.06187368022134937,0.08543570943304712,0.08544727479141204,0.08545244708585767,0.08545112443353943,0.08542334398490732,0.08535060176864162,0.08527148603964589,0.08523505127076605,0.08520846536955537,0.0851584138821888,0.08512255974574559,0.08505289768576003,0.08496017740634319,0.08486134323536168,0.08480229561510216,0.08496485342469837,0.08501051243095568,0.08524082282889214,0.08539085197249542,0.08536580955061959,0.08531558270539867,0.08544073721788412,0.08553638016915456,0.08549115210337646,0.08580225557030216,0.0860594830684902,0.08620917180232315,0.08668235822129033,0.0871012706305132,0.08731104729382032,0.08729004180538172,0.08761260611666762,0.0875367758852638,0.08740969848176984,0.0877987520012173,0.08775206743496071,0.08789614275231665,0.08800426923204815,0.08850969741570332,0.08872648088675229,0.0899731407869391,0.09060202195256059,0.09095300502625285,0.0909067591733719,0.09086752025385515,0.09087695791968785,0.09073184730099759,0.09065766209883619,0.09045522531431197,0.09067088665602784,0.09023454020366517,0.08964230980233256,0.08919542433385898,0.08854962209992041,0.08792847195518662,0.08745102195061577,0.08666689386356881,0.0851532528678899,0.08415208405868117,0.08353467936080854,0.08297915231785905,0.08200733380249836,0.08051292074655543,0.07933829331829056,0.07783446267888278,0.07615096095278923,0.07458410922118724,0.07364590434627707,0.07232944454181033,0.07136176089845206,0.07071895285022706,0.06976221961590454,0.0691183031120537,0.0683233098527334,0.06791654714180016,0.0680586505399394,0.0679786330225948,0.06780884110708742,0.0675181148168329,0.06712046866676286,0.06659330646062231,0.06605154085033993,0.06592653193408349,0.06566928570952137,0.06501756881576501,0.06462744099119948,0.06436693116506692,0.06411466901367642,0.06362014935098778,0.06307839176816622,0.06267918041631108,0.06277877902458705,0.06293628540904724,0.06304498986732787,0.06296164609099904,0.06292739045643178,0.06310792567374943,0.06342029127681419,0.0637242338763535,0.06406550272262272
stat_2,0.11548139473903347,0.10914130987743284,0.07847026341849249,0.1820650781334003,0.11436656535498589,0.08351857345680432,0.11521713254689472,0.11523113014781342,0.11523875446849251,0.11523867016450222,0.1152046067993686,0.1151114802178532,0.11500815261755332,0.1149617777893852,0.11493007613198243,0.1148691981248807,0.11483411041344918,0.1147474627374767,0.11463532988795647,0.1145196504676209,0.11447149239005153,0.1147286367681732,0.11479677502409597,0.11512495339083183,0.11534882356903921,0.11534648330110465,0.11531891212829719,0.11552727630295105,0.11569082580753866,0.11565165420841944,0.11610295418195753,0.1165058155496237,0.11669842686367746,0.11733647022106193,0.11789554667648151,0.11816504855078067,0.11808494920457323,0.11849499549526815,0.11835914357842288,0.11818268291931676,0.1186939382117837,0.1185818565177171,0.11875098968508295,0.1188903660328835,0.11959447202412779,0.1198323914292057,0.12143363144291405,0.12221478785140023,0.12269125112627463,0.1225761826135489,0.12249435652861475,0.12243973828997731,0.12214676645137872,0.12189740701041656,0.12158060318321635,0.12195764717348341,0.12141520741884358,0.12056213215469075,0.11982497530846782,0.11896126528723806,0.11820404505202328,0.11759301571871962,0.11659080929517784,0.11458269767990827,0.11333904351056744,0.11264982647270409,0.11193527568959631,0.11062144791124724,0.1087378201847515,0.10725366865912456,0.10521909494376196,0.1028593344639139,0.10074509253653464,0.09949790025700109,0.09775766254555812,0.09645127437934262,0.09560982328222294,0.09436970729842356,0.09353257111868049,0.09244094386428037,0.09188713950852878,0.092057116474086,0.09191614859947628,0.0916076614953016,0.09114044308746556,0.09055351154846072,0.08981894478982927,0.0890553018332425,0.08888290907469265,0.08850735881373781,0.08756225308878768,0.08701433408724853,0.08661632583882357,0.08620734126470121,0.08550286915491545,0.0847241313456786,0.08416263789161382,0.08427703999401016,0.08446842715195589,0.08462308983534925,0.08454603987336502,0.08449505144301972,0.08472524535227578,0.08514568962475147,0.08556135620536194,0.0860492064847109
stat_3,0.061619272593767,0.05868493040113865,0.04237181848472303,0.0978485503349861,0.06031166143808608,0.04428286688394355,0.06148321515536132,0.061491825305625115,0.06149298807239106,0.061487905097127454,0.06146426851199842,0.061412949247597874,0.06135592441216171,0.061330934249501846,0.061316941374504205,0.061284004593206695,0.0612597618464718,0.061216272729252647,0.06115661181433573,0.06108779067353646,0.061037888481655256,0.06113828512266406,0.061182384265371724,0.06134047187182812,0.06145114146458595,0.06142859701370928,0.0613881821457835,0.061472511413784965,0.061527057050804905,0.061501918497131894,0.061734745236470004,0.0618937721762235,0.062020628931085064,0.06236468656023256,0.06266897856667826,0.06282666724368725,0.06284160316592988,0.06308258900442215,0.06305896107405154,0.06296318273577726,0.06321013575535867,0.06318764574678208,0.06328453777173317,0.06335015266176335,0.0636513773617358,0.0638125752839401,0.06468833494774302,0.06513076749329326,0.06529245606986517,0.06526381027362896,0.06525113051955891,0.06527933621282132,0.06522159384762322,0.0652271244636851,0.06514018802672669,0.0652689865895111,0.0649654713004756,0.06453413991639421,0.06421681357086205,0.06372870517021768,0.06319731471372794,0.06286469191202343,0.062317908546679714,0.06124075109473973,0.06051252297792798,0.06001335562476551,0.05958596758207227,0.058882699597999924,0.05777512117300147,0.056903180568821286,0.05588301530939745,0.05477423047288191,0.0536774552563067,0.05299199128099803,0.052037481774619775,0.05134040636581744,0.050848246558064546,0.05012442587224221,0.049630275477419133,0.04909705378944668,0.04882598132213511,0.04894397308512809,0.04891274299684669,0.04883878734271264,0.048689142532953235,0.0484264557661855,0.04806350086457178,0.04771274378557087,0.04760707405920256,0.04741294685622445,0.04694903300152111,0.046645417275076165,0.04645698113302006,0.046281939925343026,0.04594720394384521,0.04557286346165597,0.0452926978337034,0.0453463769474176,0.04544672573118648,0.04551531116848981,0.04546994630776533,0.04547697574910758,0.04561312216320483,0.04583174510227577,0.0460560680594405,0.046313471391042194
stat_4,0.05199817933537429,0.0494377061236187,0.036188893138666786,0.08316050299857974,0.05016600683152268,0.037188628057660926,0.05189254558480569,0.051899638456521964,0.051898593445697035,0.051891204835837756,0.05186902141803773,0.05182789626347293,0.051780574575546565,0.05176126527845056,0.0517549679226085,0.05173157205088422,0.05171597186637485,0.05168694532423877,0.051646157616335835,0.051594804519740016,0.05155473981088419,0.05163528347633531,0.05168411320639723,0.05181563706729025,0.051917312592610704,0.051902963188723845,0.05187622068799128,0.051953362717548544,0.0519963888445167,0.051987952077503057,0.05220153185588751,0.05232830223323232,0.05244998594328895,0.05274351507484096,0.05300117191229646,0.05313645276914742,0.05316122927873199,0.05336537855944264,0.05336361467341239,0.05327741308343058,0.0534523665588466,0.05342939236134448,0.053498083854126334,0.05354088767801151,0.053746342959468424,0.0538721977794323,0.054571560743272574,0.0549188523263469,0.05497902091223913,0.05494557258200428,0.054940732418833044,0.05496574895001491,0.05493190989561537,0.05494874314914785,0.054913262267308846,0.05502143430451465,0.054785592060813744,0.054403613208085816,0.05410616712982781,0.053676759029329675,0.053178425739750644,0.05291462344419307,0.0524810568879932,0.05159019260410129,0.0509956380734648,0.05056429419061372,0.050188991615377,0.04959131401279273,0.04866265783926996,0.04792961200603386,0.04712043473454572,0.04625009077863985,0.04535105925723925,0.04476844837077841,0.04396625887781401,0.043376945052183896,0.04294249204929888,0.04231420707860101,0.04187855994235681,0.041457529329414496,0.04124651538726117,0.04135403338422335,0.04134185620432819,0.04129995952839601,0.041205339397838686,0.040990107848587046,0.04069162450152361,0.040420881733463275,0.040316688687267684,0.040136841283625005,0.03973137205709194,0.03944935467622063,0.03927695030328725,0.03911656439228465,0.03884212725197166,0.03852673255618479,0.03829025556070205,0.03831530332828657,0.0383837773517684,0.03843567130419365,0.03841861293349681,0.038449955850377644,0.03856666091172328,0.03874578116810138,0.038941329940106406,0.03917581975284113
stat_5,0.052177140814905876,0.04958860962314928,0.03629179144186353,0.08340102946329313,0.0504420925221168,0.037341691784605335,0.05207056232205492,0.052077610297340884,0.052076805737593435,0.0520698040762121,0.052047959770321485,0.05200673666505664,0.0519593524198314,0.051939944762082565,0.05193329366280386,0.05190974118637983,0.05189434520050031,0.05186488432245244,0.051823785136462186,0.051772652688045546,0.051734108511939624,0.05181752849589697,0.05186592863872081,0.05199911606936435,0.052101770957135446,0.05208893829947786,0.05206406531446125,0.05214356582223674,0.05218915583597769,0.05218129694887699,0.052396705755623774,0.052528082437101095,0.05264878505536423,0.052943122977436204,0.053201188812611946,0.05333588537575849,0.053356542295730267,0.053559614080871155,0.05355452327728199,0.05346798015290405,0.05364462099291387,0.05361861159563495,0.05368683907475593,0.05373031395593346,0.05394169289986402,0.05406566141000414,0.054766698343654524,0.05511437674828239,0.05518354722867408,0.055148681244677006,0.055141791938900044,0.05516371032067894,0.05512348936639771,0.05513216451867194,0.05508936556478251,0.05520192185925741,0.054964809710481455,0.05458130047132148,0.054280988110664556,0.05385299565185988,0.05336361574534092,0.05309778273913743,0.05266114443391047,0.05176624727279066,0.05117195661414071,0.05074718025769933,0.050373945448594984,0.04977454981141716,0.04884836658318753,0.04811749359787171,0.047300269628278054,0.04641611307282278,0.04551173365254381,0.0449285641532449,0.04412554631296237,0.043534217225757114,0.04310128214350475,0.04247519525254965,0.04204131499003527,0.041615558676226384,0.041402283703742736,0.041508262601592884,0.04149297998755536,0.04144439439163022,0.041342285014423746,0.04112248226156141,0.0408208314735455,0.04054509624839222,0.04044138388372461,0.04026027612322808,0.03985038796379472,0.03956852861171208,0.03939417270486847,0.0392307740765116,0.03895237270465042,0.038633189800929904,0.03839464863008433,0.0384213342373873,0.038491148751471804,0.038544436301954595,0.03852628489876252,0.03855425253068149,0.03867041567527384,0.038850791326053874,0.03904654422379586,0.03928127702661537
stat_6,0.05025491505011671,0.04774474689441236,0.03507597226976561,0.08050226893790256,0.0483392703960525,0.03590740314423332,0.05015496819760313,0.05016173555461891,0.05016032064955112,0.05015258328653071,0.05013078248588609,0.05009165305876811,0.05004619363639752,0.050027994637112376,0.05002320393564554,0.05000173640708499,0.049988121490623885,0.04996193986680295,0.049924990168886726,0.04987739332069376,0.04984017948318777,0.04991840667430181,0.049968355884718436,0.05009566505072528,0.0501964982420519,0.05018476528955679,0.05016198385286245,0.050239303266960286,0.05028145764782016,0.0502770062091933,0.05048852573219595,0.05061142521590358,0.05073207750419974,0.051016492200371175,0.051265479038856206,0.05139622241856587,0.051421015298313236,0.051617540814980704,0.05161874308926731,0.05153399909076931,0.051694925669537796,0.05167000724686182,0.05173254922248344,0.051770889253824205,0.051959485800137505,0.05207706488907255,0.052741879264642855,0.053069966987048196,0.05311248849342794,0.053076786752408,0.05307248201660296,0.05309502266541151,0.0530625764009634,0.05307710595638701,0.05304896441835322,0.05315586554157731,0.052933294115493155,0.05255897429758024,0.05226197909541627,0.051843822723289766,0.05135478577818367,0.05110393065427784,0.05069178996377297,0.04983527357520225,0.04926765439422719,0.04885289526948651,0.04848818206805426,0.047909583902567,0.047017142297671906,0.0463122321604766,0.045541055524326864,0.04471111963148728,0.04384799322173052,0.04328462975816222,0.042511303458240786,0.04194146501119505,0.0415182161727793,0.04090884083861985,0.04048471025289608,0.04008359813658775,0.03988347342930554,0.03998840678207661,0.03997864797684988,0.039939873892567056,0.03985273593375428,0.03964425823039614,0.03935663065946564,0.03909933071421864,0.038995143411544336,0.038816720964611764,0.038419394432845436,0.03814057119452713,0.03796954324805203,0.03780963812186503,0.03754479657010262,0.037238497377664305,0.037009182976100244,0.037028747878293994,0.037091104752223984,0.037140339695670425,0.03712910746728567,0.03716429295584277,0.03727701761078099,0.03744904229371941,0.037639470237852815,0.03787048594877651
stat_7,0.06085096690664264,0.05794973980952511,0.04188205147167317,0.09668539670278699,0.05947067405567946,0.04371018500979551,0.0607174805114387,0.06072598436716542,0.060726914418159694,0.06072155239185508,0.06069793747553424,0.06064742609351428,0.060591155302536136,0.060566628375297034,0.06055333062857094,0.06052117809332322,0.06049757396518621,0.06045532145842755,0.06039721328133083,0.06032970169916662,0.060280210290201995,0.06037842535740929,0.06042303852409768,0.06057872432297261,0.0606885243524138,0.06066626037651259,0.060626458900556596,0.060709696555491355,0.06076273242309816,0.06073875035959278,0.06096972552692051,0.06112513199839197,0.06125189507954707,0.0615919633291731,0.06189265427058967,0.06204881740452534,0.06206557113076851,0.062304060099790406,0.062282956087417095,0.06218796580880993,0.062428975039422935,0.06240716703243551,0.0625019911372105,0.06256567365681288,0.06285805175345179,0.06301697586839375,0.06387879761093325,0.06431377522149218,0.06446522600139569,0.06443645597091466,0.06442486517732593,0.0644535028630896,0.06439903575266238,0.06440716000113095,0.06432592060967132,0.06445230322978732,0.0641543762467735,0.06372694167532729,0.06341137261190245,0.06292729475524016,0.06239618204968178,0.06206938308359933,0.06153211416774573,0.06047011755564149,0.05975218159827002,0.05925668024747433,0.058832670523462076,0.05813774717581154,0.057043174806852906,0.05618120786791065,0.055179177410622685,0.054091996068371014,0.053011527093313186,0.0523339374596446,0.05139112535468913,0.05070265135487771,0.05021439091343052,0.049497145480785966,0.04900687162979837,0.04848338603113405,0.048217461400819284,0.04833507915216707,0.048306101289106285,0.04823625132469642,0.04809263255238465,0.04783459689507909,0.0474772613658073,0.047133772200658945,0.04702804335290808,0.046835194209008904,0.04637656950615719,0.046074407497458426,0.04588749213354718,0.04571405534232961,0.045384728374872264,0.04501558524531487,0.04473912704666875,0.04479013897290914,0.04488765481591696,0.04495466107173802,0.04491186125288386,0.04492157904443771,0.04505634870556875,0.04527167980665076,0.045493821810508143,0.04574958003684977
stat_8,0.1023180969600862,0.09701117940395772,0.06946697915035303,0.16123080914267535,0.10160018520523328,0.07399611012050213,0.10207921467198337,0.10209237043700792,0.10209919492870699,0.1020989076196251,0.10206759209376208,0.1019824432584701,0.10188923044957472,0.10184657511266951,0.10181562145984191,0.10175790065036991,0.10171993898061894,0.10163849340504023,0.10153158970672335,0.10141991582052078,0.10136259737157209,0.10157394452100589,0.10162924666827253,0.10191234696166933,0.10209939993650102,0.102082165459906,0.10203808910721507,0.10220353582423906,0.1023331776284555,0.10228615849784145,0.10266834296470957,0.1030009418305542,0.10317316910455791,0.10373793507577021,0.10423581238118272,0.10448034445472175,0.10443094335504693,0.10480555277474797,0.10469734137090475,0.10454428929870609,0.1050093815160158,0.10493325039767398,0.10509692078498263,0.10522558891248122,0.10584795958423407,0.10608535373681997,0.10754751939803481,0.10827464602714881,0.10870955302469013,0.10863308751944548,0.10857249068630617,0.10855413974568252,0.108335457265861,0.10817915525714487,0.10791123826894872,0.10820680446950039,0.10770195511218873,0.10697373934764177,0.10638606913525885,0.10562077275629299,0.10492319254421982,0.10436400733090316,0.10344620493398418,0.10164886822580335,0.1004955701643931,0.09982226472239586,0.09917631179654406,0.09801453958064274,0.0962850838000665,0.09492437373028659,0.09311494259834042,0.09105283477581191,0.08917541688932705,0.08806294446493253,0.08650450863339582,0.08534788669160163,0.08459424552238315,0.08347585676104552,0.08272337233839905,0.08175972399510098,0.08126818844774976,0.08142723925661631,0.08131488243429513,0.08107421605998381,0.08068900603350397,0.0801909855376194,0.07954960812064024,0.07888379992117517,0.07873533491893041,0.07841833875558696,0.07761338960804316,0.07714216028242003,0.07681287342695844,0.0764836295453709,0.07587501204924953,0.07520657895307012,0.07471947611957384,0.07483311152646008,0.07501478917215709,0.07514922335477627,0.07506158578342449,0.07501433741534243,0.07522393448223967,0.07559768918094088,0.07596234822116874,0.07637935171331521
stat_9,0.12046879884575212,0.11363373600535419,0.08206034768838456,0.1901646331684065,0.11913566287328212,0.08709846354814799,0.12019842960442342,0.12021246453163754,0.1202199286293292,0.12021931877231959,0.12018409754007026,0.12008926959558804,0.11998282038014726,0.11993593107498701,0.11990608981653772,0.11984623099790406,0.11981558698649049,0.11973028130780661,0.11962093755069672,0.11950845128085284,0.11946923353891332,0.11974829827862853,0.11982598672656206,0.12017339860646696,0.12041729581339419,0.12042715510205616,0.12041480842101737,0.12064796940462642,0.12082899347566799,0.12080101244511533,0.12129016964117355,0.1217263771007016,0.12193071083098911,0.1225976728363763,0.12317920356081966,0.12345667504111583,0.12336068231241192,0.12378010781645947,0.12363495088739743,0.12344669084911739,0.12396063837390973,0.1238253078872898,0.12398778574432955,0.12412587787962458,0.12484855941186854,0.1250751154152692,0.12670560917761012,0.12749072368631692,0.12796521490096138,0.1278266116812398,0.12773421371474764,0.1276574022228913,0.12732681872430568,0.12702566975715052,0.12669214526219852,0.1271110992610302,0.12656489411291047,0.12565345260405728,0.12483684464445871,0.12393370805835015,0.12315539528298013,0.12253144758985908,0.12150905177224175,0.11942883914209315,0.11816899981559939,0.11749068175287684,0.11675144436939239,0.11537862706937747,0.113455861092552,0.11193954786108266,0.10983279473852689,0.10736625130643683,0.10517056218281931,0.10387384838625904,0.10207147223803578,0.1007077886490538,0.09983077553891165,0.09854675229299682,0.09767640474179401,0.09654274970162233,0.09597060208203523,0.09614394495383553,0.09599169207619243,0.09565162413992427,0.0951521046319691,0.09452531541724193,0.09375429360831081,0.09295718127726767,0.09276962868529087,0.09236151182363178,0.09134791431372725,0.09075942815276167,0.0903243067742602,0.08987140680052047,0.08912728385972164,0.08829991364136511,0.08770690176205224,0.08781380206799179,0.0880022306366264,0.08816430380907901,0.08810103778856476,0.08805428718121647,0.08829085079044725,0.08872751155373987,0.08916492615154266,0.08968821870406395
stat_10,0.07380725402143203,0.07027262124460847,0.05035542906875604,0.11664905683206643,0.07293706837729244,0.053227937152528326,0.07363663715271045,0.07364686085532776,0.07365028338789137,0.07364741243569041,0.07362176788812569,0.07355901056609218,0.07349047946311082,0.07345929333682852,0.07343795874605204,0.07339538794129846,0.07336386270914882,0.07330567872462726,0.07322726050816848,0.07314132396395628,0.07308470174386532,0.07321499474136176,0.07325799559332082,0.07345195900995413,0.07358027401758797,0.0735540264137522,0.07350533130187029,0.07360728172535154,0.07368104829214234,0.07364275852464362,0.07391118938715546,0.07411771310611698,0.07425477824068771,0.07466394995322043,0.07502664120012972,0.07521126596628788,0.07520942269940747,0.07549317550595767,0.0754426442234404,0.07533198932179813,0.07565622983404884,0.07562485769615793,0.07574886813189388,0.07583807039310729,0.0762479581725002,0.07644184023703403,0.07751556462683415,0.07805982087633193,0.0783272068513414,0.07829383861407307,0.0782685819582951,0.07829095066510254,0.07819249164857113,0.0781644540730918,0.07801648086444182,0.07818456538900356,0.07780842426217643,0.0773008430870248,0.07692918188010875,0.07636290946804582,0.07578786739342755,0.07537772155540674,0.07470378651896005,0.07340092504058933,0.07252557750881503,0.07195953479496459,0.07146702379481351,0.07062820848960194,0.06931598743473709,0.06828431128248878,0.06701241754399653,0.06560871398118492,0.0642700224573795,0.06345580013214112,0.062315145938894735,0.06148097074004704,0.060913374940719536,0.06007070758132006,0.05950115376153297,0.058832469075920046,0.05849053139561893,0.05862099197521334,0.05856508876864776,0.05844446205517736,0.05822344943737686,0.05789436443992939,0.05744842511329419,0.056999337604472025,0.05688603786062546,0.05666361507035274,0.056109998165453985,0.05576707770664364,0.05554644925875453,0.05533774246366901,0.05492298605721633,0.054466313966577015,0.05412703342277044,0.054207760427835684,0.05434039494946246,0.05442966877101884,0.054360299201435695,0.05434333754010739,0.054502512036606665,0.05476945007703338,0.0550330417622676,0.05532921536103953
