,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.4048994726828798,-0.21794766180709282,0.23990178296472206,0.5053781647406039,0.18782246579269607,-0.03092798150906112,0.4174776047680469,0.41932363947586127,0.4218591453971178,0.42483690577863453,0.42875463932504143,0.4323073743849875,0.4369026660706994,0.4437062426947025,0.4570129713851995,0.4775399864285185,0.5011483519040596,0.5336967621426496,0.5660559933960596,0.6053176660578403,0.6436146914456021,0.6713904304003796,0.7141761255577818,0.768078916804008,0.7922074222203174,0.8039111690975566,0.8695039702732102,0.9116703808287812,0.9448463262929703,0.971224024598497,1.018482104420741,1.0096861222159907,0.9565531844268729,0.9698960020294116,0.9549841346952037,0.9174704381784721,0.8349724029735849,0.7548439116995396,0.6930850174952298,0.6492642901759671,0.5702000397679519,0.41883665066850423,0.2637931769998162,0.18086279189268656,0.12750964792618596,0.0844655347911151,0.0458191543347547,0.016674131272724328,-0.02586167912972996,-0.09874845781136511,-0.1622948254887375,-0.26784317245611855,-0.3751347528403916,-0.463583269276139,-0.4646114674879146,-0.4341134157383977,-0.41975048492557465,-0.47676065385344674,-0.49309431911903717,-0.51327403746741,-0.5663570864812083,-0.6208303859260536,-0.6334180391548466,-0.622380025047569,-0.6125643007926955,-0.6401967159261734,-0.6605167940212078,-0.6614007933415529,-0.7206982355908911,-0.7681524463943377,-0.7721379341101076,-0.7760804143486811,-0.7702073568058299,-0.7609011158151535,-0.7816534491327428,-0.7939481112494783,-0.7503983124130414,-0.7580797048929862,-0.7534480467735716,-0.7271848431050127,-0.7027981523256143,-0.6949802093722841,-0.7007948778305805,-0.6476577215181074,-0.601632388821167,-0.5680700331471856,-0.5595142882695335,-0.5483595558101576,-0.5289698719639881,-0.5178293923198806,-0.5273983935476043,-0.5329292292293178,-0.5155542644713108,-0.5167009942096634,-0.5256066018836932,-0.533013193645212,-0.5388420547732177,-0.5506448888797384,-0.5331927038078904,-0.5236670495220653,-0.5169107830493443,-0.5117681901862599,-0.5131962417345008,-0.5234782530545607,-0.527854052755937,-0.5295077845865617
stat_10,0.5496526919759557,0.1514334307968944,0.027906598072010822,0.541224026869459,-0.49043935359510155,-0.39969046085772114,0.5558923943852788,0.5575300668994069,0.5606493571834544,0.5626161211160157,0.566611537495831,0.5698899200220412,0.5705713293466476,0.5750038261362587,0.5840356699905488,0.5889758405742793,0.607766691563481,0.6161930583501759,0.6134831588670772,0.6203111445711528,0.6282214614115794,0.6347009354204893,0.6359262143602903,0.6536083682874102,0.6992229608187833,0.7690210882186161,0.8231889990681395,0.8929426749480364,0.9502246425015183,0.9857838816890946,0.9725915079083784,0.9158452786475402,0.8433408189470296,0.7958097989593823,0.7317146337814205,0.7109413934194941,0.7193274436180139,0.6517850534430362,0.5484464912351723,0.5302509769365387,0.5210690250947231,0.5190702475013392,0.5421488306564258,0.5175524466845137,0.4116599627782635,0.3142777787125735,0.22107538756924477,0.14886180057064122,0.14889648563274147,0.14915349864870517,0.12010318885510717,0.06895402919028379,0.01930305373482112,-0.03852706858971896,-0.06899351011081134,-0.07470517359963497,-0.038032850199122836,-0.03496485073955782,-0.0333720291093804,-0.009523221041338062,0.020004011289281844,0.0010505506783759725,0.008066942293779196,0.0012764663152509824,0.009067835067243157,-0.029090641578344165,-0.10683751015179335,-0.16897668049792275,-0.2020462534765851,-0.1943469646504856,-0.1607242802783932,-0.16253785854903088,-0.17538717095468062,-0.20685144937506103,-0.23627105370282908,-0.2710811646773767,-0.27638120709771896,-0.28700325153895256,-0.29243270926732085,-0.2971508360136703,-0.29381894141816495,-0.27253691428746496,-0.24606292780195282,-0.20886101968593976,-0.18385577306399786,-0.1520987161212667,-0.12380923587580198,-0.10658710889036917,-0.08179723799101815,-0.0599392592792903,-0.0514197726669344,-0.04655770771282797,-0.05184862716025366,-0.0775177400799474,-0.09398323453092816,-0.11218027674183406,-0.12756718163518582,-0.13545949588036102,-0.12544524389416806,-0.1146678243893033,-0.11068644706461912,-0.12253994108268895,-0.12627065276155378,-0.11792576090142738,-0.1174522900922684,-0.11602611594025128
stat_100,-0.7651481180190164,-0.23275752023387158,-0.4010355104454994,-1.0509887282193007,0.28265935552923055,0.3310798270691425,-0.7686905787671423,-0.7689998464940119,-0.7698146942834355,-0.7713988838622421,-0.7719231626995061,-0.7715268867332893,-0.7703434482471737,-0.7726754605701105,-0.7769979995936607,-0.780160594954513,-0.783651364695274,-0.785972887026413,-0.7901052560219518,-0.792783341829274,-0.7974026919609143,-0.8040415763234203,-0.8099435499858859,-0.8148196217166187,-0.8204571757725975,-0.8304150435171078,-0.8423499160115815,-0.8586889627963484,-0.8715699615086779,-0.8940497546889933,-0.9234531266839858,-0.9488099934034773,-0.9590625223448078,-0.9688332876247766,-0.9846218487435219,-0.9906547184022777,-0.9982054572783046,-1.0064213010909646,-0.9816353366904251,-1.0103799950374543,-1.004982451315514,-0.9803319973407034,-0.9439832742210875,-0.9375981353983626,-0.9762035962429307,-0.9707008109466078,-0.9661407991468605,-0.9633029177852396,-0.9105363929675141,-0.8642461059194846,-0.8064924262389479,-0.7466990502014473,-0.6916751853144928,-0.6984409903427032,-0.6929972186787089,-0.6003045536494722,-0.49905763343806836,-0.4687555229568651,-0.44367690518380865,-0.3943332425902037,-0.3592131747888905,-0.32654630956416497,-0.2792823761080893,-0.18910097448180052,-0.03522583052958275,0.1197246983144852,0.24036258903310775,0.3118862136287802,0.36578589797701033,0.3628695401017189,0.3779965108393619,0.4437350326072789,0.47033527918775364,0.4897541340580476,0.4564667082083891,0.456684769241195,0.3995200577579611,0.3378244776341556,0.2954236711918905,0.2642363294499639,0.2337807079933581,0.20239827669494256,0.15510094536693075,0.13954631375563917,0.11540329135263444,0.09310723254186351,0.0898179375721263,0.07582190110862491,0.06435284977206097,0.05419822939110096,0.058614127802937226,0.060532203238993235,0.05152328277177445,0.04569732978876232,0.040273224785388535,0.04704558459198711,0.05817738765771874,0.06030409717601223,0.0498646586200334,0.051787567590652187,0.050987155896583355,0.028970890261705726,0.01227051874777455,0.01540782713276785,0.015917619661659343,-0.002273611017776033
stat_101,0.007464189149063185,0.03542875775490397,-0.17967356396405504,-0.1219568778611439,-0.2530223768806139,-0.18054594177577246,0.0058709648317259895,0.005859685139908434,0.00549515756910881,0.005936508811485908,0.0056494729085622124,0.006190162406312839,0.006873091592364364,0.005701934771624739,0.0040316413788742435,0.0020102723436853133,0.0005345440929186728,-0.005584331558905218,-0.009112085612855071,-0.011518543262826406,-0.0125896398808078,-0.01478043867001901,-0.016968756273676326,-0.018782808450792075,-0.023520952342246524,-0.02685837960706843,-0.03091014662973776,-0.03956725979676255,-0.05090750863520074,-0.06484172829516652,-0.08368609502119007,-0.08653480101444297,-0.09154870847887325,-0.08730684044662644,-0.0678968155905158,-0.06450955320795623,-0.03973739928279884,-0.023802359991280424,0.01600539665142329,0.022763938398397816,-0.0003156670528194712,0.06060250396195049,0.10543214163872489,0.15654985136024527,0.21846120514186046,0.1964140576442884,0.1820286584404049,0.1907028747317849,0.20860421251225075,0.17845339763176576,0.09453892558832129,0.07301037155264041,0.048617882509047625,-0.022947734831223015,-0.040244325709169124,-0.04560640849889107,-0.03823421844470558,-0.07307012691232212,-0.06966921961150993,-0.10545967007887684,-0.08775074628866286,-0.060872566189583296,0.03229977077041169,0.13601821490009897,0.21736172202662363,0.21710990701387986,0.14607144819634924,0.1559826890136474,0.24992598237768132,0.35392131095792717,0.3607995051632233,0.27644973957520175,0.24516320614719592,0.26972128694790926,0.3201127125148287,0.3433361989165338,0.36202813497905245,0.40752906026186697,0.45408102683696844,0.4547911554228309,0.4519756273188286,0.4299982324979823,0.4156738327709122,0.3847514962935269,0.35278901404790863,0.32206100017814215,0.2996849994947549,0.26442616634051175,0.22730413973895863,0.18333773368480766,0.1523533906842979,0.11901064281012538,0.10230529492618913,0.0987337216270884,0.0852857771326122,0.08457486557531343,0.08424871010670955,0.07282370950261428,0.06188027173986387,0.0669024030450735,0.06574581180075784,0.05607730481006566,0.05867964010406891,0.0652272190969037,0.06376665543474332,0.05957933076836718
stat_102,0.5719632107895853,0.40460389289181004,0.7451054272052274,1.2016331248540937,0.5329369048600338,0.24633911447495888,0.5714111538931536,0.5720575453829375,0.573905800396617,0.5745818405489881,0.5743501441089658,0.5759835323736853,0.5766652066968351,0.5774361037163186,0.5751821854954856,0.576848821464965,0.57442148491658,0.5704121182025107,0.5718131758402439,0.5845781647305847,0.6023884479742955,0.5949115900328311,0.5881715634541324,0.561903729507731,0.5373278803017175,0.5162817193881871,0.5239428238599231,0.5227142054903492,0.512539484846979,0.537726343627127,0.5430326530309387,0.5225330848039212,0.5294204467856453,0.561314743080145,0.5836542120717487,0.6509317668582547,0.6552899077710276,0.6066633610773918,0.5667089511648195,0.5551543580868018,0.5942433129061346,0.5978831431952638,0.5929201770062459,0.6142290014445501,0.656844762372929,0.6945443406096307,0.689256271246106,0.7119746229781044,0.694159658420586,0.700011617414733,0.6614390975215598,0.5764382038887498,0.5234980717617804,0.46837567399594665,0.4259786411245134,0.37498255021586807,0.34454283761269355,0.28617773193638496,0.23465539640949432,0.18309911684020996,0.1065717953704568,0.1118700183944344,0.1190684001583881,0.17355248760062406,0.24117694926899183,0.2472040486359896,0.19508113070200436,0.16177874620462168,0.16437707585318767,0.14860874324724174,0.2052137984139273,0.19972828626944258,0.20174994946329244,0.21487011083736615,0.20376882882661038,0.20960092872616032,0.1889755151812738,0.1512254281752842,0.06535659059234186,0.029658687650530563,-0.02871701181096943,-0.0510063191073895,-0.05621138855163512,-0.04193474692237369,-0.029383975432121477,-0.03009599869410678,-0.04783668701201032,-0.060363896849220645,-0.044188238448967534,-0.05206946788498993,-0.036129295486737406,-0.023715968175282907,-0.013950500034460894,0.03227803926042311,0.058612677896460054,0.08862190338875503,0.10532994322334185,0.11750922606051015,0.11498067034821167,0.1206454320523229,0.11544171341457247,0.09604536470283032,0.0968616578872855,0.10048461770246485,0.09717693850154398,0.12550465197971997
stat_103,-0.5075064185890547,-0.30894888066052906,-0.39023612505390437,-0.8379601352056945,0.03528226274892014,0.0697340235702702,-0.5109010106276678,-0.5112489256526138,-0.5116366003836148,-0.5124017444520232,-0.512448651678825,-0.5133866811191105,-0.5152653045014369,-0.5173295818234336,-0.5177162621832906,-0.5210094183355065,-0.5264730744895798,-0.528176562163388,-0.531454458788265,-0.5344786952525499,-0.5385976423367793,-0.5428136759266112,-0.5456277411822198,-0.5529727757121029,-0.5552701700113998,-0.5579772179863557,-0.5687523454753859,-0.5778731715007748,-0.5901791661473808,-0.6075614276069444,-0.6296872279099223,-0.6507830565164339,-0.6525255237302771,-0.6724112232331922,-0.6961396572967871,-0.7045340114190197,-0.6865478381841735,-0.6772800256631515,-0.657756537116367,-0.6151780842685373,-0.5764465490491291,-0.6292499462235736,-0.6246899983233299,-0.6381123567858157,-0.6230979534168609,-0.5971826380293198,-0.5503885589069721,-0.5379514996405278,-0.5053149899332456,-0.4269510727290182,-0.3671310553172167,-0.3322047985435279,-0.2834967661653238,-0.2507402409176268,-0.2349745928453239,-0.269690441197116,-0.24592327659920876,-0.2090790574363781,-0.21550713585108414,-0.17883202058395029,-0.11746262950843192,-0.08580578692076236,-0.09917698662125071,-0.12364240441589841,-0.11258006028936889,-0.09714323037110596,-0.11230673627618677,-0.1284116463116808,-0.12616281118046752,-0.13162335375834167,-0.10698654870044098,-0.11127341001809703,-0.08443156826253001,-0.004364797211380228,0.03365603239752441,0.09700627405404429,0.14405797373119614,0.179821093587604,0.17668485825321367,0.16430927620694957,0.1574642261232033,0.12299858921290258,0.07252894911573145,0.0174799772195664,-0.02845843547690036,-0.06664287491116218,-0.07171057755117868,-0.07745939837480754,-0.0997038366828461,-0.11769974618951778,-0.12853406221496658,-0.13101900484951087,-0.14005450785423443,-0.14704017402641748,-0.1524313491342208,-0.14855919211056595,-0.14763889926717116,-0.15468780334689683,-0.15235567563006758,-0.14196069240213585,-0.14748685769313477,-0.15696055647183482,-0.1525417642202362,-0.1457343282781542,-0.15565614069392306,-0.17187704587369915
stat_104,-0.4818524476381321,-0.32877944943929216,-0.20955810251724524,-0.5748348570069919,0.29645838623773985,0.21102458223512305,-0.4835727924128117,-0.4836130553989548,-0.4839399476368599,-0.4834469881261347,-0.4827224535792035,-0.48178644347854427,-0.48108484948478736,-0.4840086471123646,-0.48709249514231906,-0.4903528384079808,-0.4941331141007626,-0.4938861379996305,-0.4958331077847937,-0.4978063317334757,-0.49907609746746295,-0.5013823455466612,-0.4993391719461355,-0.49981075377190426,-0.5009740547699579,-0.4974921615688534,-0.4974069151081545,-0.5105507656299666,-0.5211769495010233,-0.5247825495909787,-0.5210497423255384,-0.5102218288626382,-0.5064076316815088,-0.5069950438856227,-0.4993212666109446,-0.47980300342336185,-0.44279500320674037,-0.4438654175220656,-0.420095730948202,-0.36988024129179137,-0.2809376809137727,-0.22808989877328803,-0.23646526889382458,-0.2796111745808757,-0.3461961622392359,-0.4376252586231234,-0.4725367733869349,-0.46475814582853464,-0.48528417232739957,-0.421997968422542,-0.4228123342671023,-0.430101695433659,-0.3830252789616219,-0.4099159941226747,-0.47249639445187697,-0.5700051269746023,-0.5453493849647054,-0.4947636550253016,-0.4566871685614473,-0.39101135881095345,-0.2841997325062119,-0.19466974369212112,-0.10013210930264922,0.06256528438377794,0.17001704253248554,0.1669657305257163,0.21509365183833754,0.3272813781894117,0.298444226193309,0.2555094624693498,0.17883923793464113,0.18272173953957965,0.24813072555094226,0.3080351605335283,0.26629654180586176,0.15750168707492315,0.07406991571575945,0.01037431124989773,-0.036249715881466874,-0.08410695449031419,-0.12402911838271626,-0.16533953213014274,-0.19613881073741157,-0.20852344129056324,-0.20374924995777827,-0.182627896563507,-0.1785973911874899,-0.1958347481612102,-0.21268616284848219,-0.2170382471562861,-0.21462155649766548,-0.20996582198136748,-0.19137925176163367,-0.1627436134142118,-0.14328357224174743,-0.12472048873582411,-0.1154420391000516,-0.10400708581362345,-0.0950476856894874,-0.09054757985301128,-0.08698882194485495,-0.09038355516340461,-0.07501872436147335,-0.0667007239226065,-0.07870720023462303,-0.096277117270206
stat_105,-0.058890269263890196,-0.06843459108279179,-0.15521282965351413,-0.1453467927748157,0.02329012621416213,-0.08288283350171195,-0.06137333030661764,-0.06152848950742433,-0.06230849508808017,-0.062357661228575716,-0.06325939887321579,-0.06420362408518918,-0.06484131712926962,-0.0672931998414597,-0.06962536400811303,-0.07371938744708943,-0.07810216602353352,-0.08025332631158771,-0.0824708909126341,-0.08558846013125085,-0.08805279443835615,-0.09135746684109165,-0.09456001821294478,-0.09767654409558758,-0.11277528131784831,-0.13033655931053859,-0.14408655701254613,-0.14792674351943697,-0.16366160861953638,-0.15845920556055815,-0.1502528204163959,-0.15079244236647135,-0.16893554728436025,-0.16486887519617444,-0.1790244832679127,-0.16622284909257587,-0.18132994117248627,-0.15532306875673615,-0.10964183542184926,-0.0391919673230521,-0.0038568755834805573,-0.011209492951591191,-0.07207330136432274,-0.09657772722678022,-0.11318512626249724,-0.09883075022676095,-0.02241601122274334,0.03454519344637325,0.07931769898026224,0.04361692278481009,0.11868287371432311,0.15780359503736885,0.16337655760653516,0.15256332588814092,0.19555215334019788,0.2250381950357191,0.20575121535983673,0.09649053958613124,0.05567112302101569,0.03387165625313424,-0.04798966072030188,-0.028053706521003363,-0.07932228597069714,-0.07976144848613419,-0.11391308843423273,-0.18070101392768254,-0.23627515113299546,-0.24986945040407096,-0.24330883899731043,-0.18768770121333736,-0.16221099216164062,-0.11516653540924214,-0.0782921798127247,-0.02616804745367215,0.005562313342531843,0.06643412499065116,0.10207563040320629,0.13640166421142175,0.1314219950429,0.043318841894392966,-0.03407437153975598,-0.08906985413416295,-0.10281593795117522,-0.1315897714889398,-0.15017756910448796,-0.16238577687209227,-0.14983273534708713,-0.15722970739390194,-0.13542970229420698,-0.1325965043135922,-0.12747453424708674,-0.11531547977929689,-0.11867009196113966,-0.11359382756369658,-0.12883828729591856,-0.1323744828180594,-0.1484565917248679,-0.142281101444908,-0.113769142122381,-0.09256591938777206,-0.09393910329497611,-0.1008925254495448,-0.08565272271327982,-0.03215707346407225,0.02052514792627006,0.03954192617884936
stat_106,0.3636660104179106,0.24459662348548467,0.13251835711215776,0.5951155119535714,-0.4914081309609849,-0.42280482806654657,0.36162146764336445,0.3613761439204627,0.36101627792814983,0.3609116998819269,0.3608202023852166,0.36074977107726686,0.3610930091698361,0.3592634291881569,0.35652243707798764,0.3535286640165545,0.34940471302948256,0.34698355833776495,0.3448630305203284,0.3446906987464213,0.3430036003302783,0.33713955028359055,0.33048027393389967,0.32610331555669797,0.3208724473846705,0.32125651187035925,0.3100407191852959,0.29816247279819635,0.28097691563135235,0.26837840784749184,0.27006672830443884,0.2590159079555246,0.24599301326574788,0.2603753279332405,0.28771457194663985,0.30208648709534885,0.3351788938463913,0.42347103478370457,0.44801357028615846,0.42160160315663847,0.3270380916106783,0.32495569836673427,0.34781175837296174,0.40821280635984536,0.4414747996291173,0.40277139516684035,0.30232193624306114,0.22886404828987703,0.215544000886055,0.22542061571025693,0.2762888317952542,0.4084652250675808,0.4406669373907933,0.5285843101562548,0.6260679972397819,0.7471547457474748,0.8201110203211547,0.7928720018806952,0.7188686347256618,0.6157664551527997,0.4506187401408705,0.3191175798408426,0.20879494324359257,0.08246227730146306,-0.01500444675810244,-0.12159211011637024,-0.22984488598416883,-0.2624022707171392,-0.316419981135694,-0.3518967797506687,-0.3867571702850942,-0.42858645796812866,-0.45701398311755476,-0.4548673638432028,-0.4305486920721873,-0.36017464465950866,-0.2830270041137337,-0.23121263160518474,-0.19907921524982347,-0.1757523164850099,-0.13941427540479528,-0.13276150124317043,-0.15366513504903345,-0.14602609029955027,-0.13532197361646944,-0.12284787565180605,-0.12462084781536881,-0.1186909591921504,-0.11178322179677781,-0.12191979950486688,-0.11523651492129912,-0.10146832759007893,-0.08670983276890802,-0.07241709771149678,-0.08620045880888526,-0.0869949615921966,-0.08858079354632313,-0.07904269534076959,-0.07854229131410492,-0.07744878321316816,-0.06722297939531245,-0.04549374566883012,-0.02614240484374467,-0.04439897478216228,-0.028663370941943506,-0.01616625671223003
stat_107,-0.11796530785004368,-0.04853728388820684,-0.25178837682305455,-0.325342126247705,-0.14793087029766025,-0.03206929541818949,-0.1213212610409815,-0.1214436539932219,-0.12209930320201777,-0.12267238393828447,-0.12356252600251716,-0.12377416720950243,-0.1255776468907666,-0.12846588167012585,-0.13051393279794735,-0.13432463700207067,-0.1395339637589948,-0.14200315404274894,-0.1449552201885936,-0.14807610434442242,-0.15356024015600667,-0.1579364346501584,-0.1626169444654168,-0.16762368873894626,-0.1726302515772511,-0.19097051243776922,-0.20813832720604564,-0.22032362041480938,-0.23724434478096762,-0.2707765580437333,-0.29279457560163274,-0.3216765565056265,-0.33869840704810256,-0.34846433910831115,-0.3827051874151311,-0.3994229897336596,-0.40710412658048917,-0.4105488583139524,-0.43366772642209767,-0.4403172768499156,-0.4046423425867407,-0.3890083881334657,-0.3706110119457595,-0.3323313903064806,-0.30940212961701397,-0.23998042104296075,-0.16850344574814122,-0.08940154210154697,-0.024931973793918993,0.07142677290508981,0.14839916457810323,0.1722227331032864,0.2156610101657677,0.1800281538748251,0.12931700975249055,0.1208705991969875,0.15838814608809207,0.12894247639687645,0.05731557331395922,0.01980054398712707,-0.06500377308068468,-0.12114712499430143,-0.11703072832614661,-0.14409466668538234,-0.09755493356186172,-0.059778314994852796,-0.05839413740286452,-0.0424388243427608,0.005847395413557814,0.07340293817912591,0.030632153021370574,-0.005303317880696204,0.018256446009155283,0.04106645321979855,0.03728570783311665,0.07397618850148287,0.09990253153695862,0.11117830925436227,0.07617566134513297,0.0475042106789926,0.0863465794152095,0.08863237569557404,0.0698037442795648,0.03949685677639935,0.023281242188898404,0.025296882386366352,0.015241954312433723,0.01670614461096007,0.013507173771156332,-0.008736380788987324,-0.009988666730158977,-0.005147643643792915,0.002187716136828066,-0.006508094056098166,-0.02640791220459816,-0.02083674589742665,-0.026485830255755644,-0.021053118848413675,-0.03282423604338021,-0.029882996494691595,-0.01501082650633435,0.013397751240474999,0.04498677561035539,0.03387484004367288,0.03139086503216901,0.039951145808576685
