,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9453476384656925,0.05350947593978939,0.5233177631141892,0.6538035334839766,0.52060606274283,0.9860787058605227
freq_0.1072,0.8511007016320873,0.0515644642573432,0.5048287122943393,0.6310148142327133,0.4920353430566747,0.9461133670733154
freq_0.1150,0.756875158924979,0.04970425988633032,0.48226085987969597,0.6104599653448124,0.4694233530624365,0.9086226888324296
freq_0.1233,0.6685884949643139,0.047641985892659715,0.45862255144598885,0.5844039916109741,0.4670231742255851,0.8774812336280527
freq_0.1322,0.6079183079099042,0.04633772705622736,0.4431622234789982,0.5704009146258108,0.44659054641356677,0.8492308731262537
freq_0.1417,0.5447167627418616,0.044778590939858524,0.4338630137915137,0.5473604814869099,0.44611140170475494,0.828767756467889
freq_0.1520,0.4755749408368303,0.04224935187273744,0.431868428326356,0.5046905240109394,0.44513328332937135,0.7996039671856937
freq_0.1630,0.41510823661644547,0.039916959644520474,0.4334633472627229,0.46331217547339837,0.44274991817965875,0.7736770226717293
freq_0.1748,0.37682568709297526,0.03877586087802814,0.43504347666755516,0.4430909181709256,0.43607702029908746,0.7587855797189864
freq_0.1874,0.34672147079797594,0.03786102972794641,0.4266066819271809,0.4323814136637789,0.42175898742693174,0.7394779181437384
freq_0.2009,0.28882979367738537,0.0366310882138324,0.4137687035086308,0.41575776362722316,0.422995687176255,0.7231766100955115
freq_0.2154,0.20183802974763296,0.034923422269073245,0.3995095418689427,0.39046382168501553,0.4279904856806545,0.7037369721155502
freq_0.2310,0.11012196743825271,0.03403574965098958,0.38902600594112824,0.37903823781890683,0.4282115909758017,0.6916475877738577
freq_0.2477,0.012098351175421681,0.03441451043786957,0.3901522606527074,0.3844404265026203,0.4350209634846802,0.6994687031548118
freq_0.2656,-0.07590415329967128,0.03616365280797123,0.39113354559487434,0.41476150973460757,0.4413662302661112,0.7209831549115877
freq_0.2848,-0.1530298600714768,0.038133243754488275,0.3857263549602553,0.45090763709764703,0.44840997453722503,0.743756696351961
freq_0.3054,-0.22337656031899464,0.040302564206576595,0.3796784073475553,0.48876994307009203,0.4633711350601059,0.7731523517791355
freq_0.3275,-0.3042311722687297,0.04148625500799003,0.3712660461326705,0.5116443662414624,0.4655733847582644,0.7850968163945646
freq_0.3511,-0.3745931789928493,0.04202689621368471,0.36632220274729493,0.5219105417712634,0.46988713050544145,0.7920710102334524
freq_0.3765,-0.43148424915433675,0.04207896884853196,0.36769312952919553,0.5219546867119533,0.47277357681968674,0.7944493611441998
freq_0.4037,-0.46633337080919246,0.042699695422395545,0.36854266075539954,0.5320144190127148,0.47329050858787375,0.8017898355264141
freq_0.4329,-0.4750428442530318,0.043926623606691036,0.36966844697527507,0.5522390803102286,0.47224009338582407,0.8152505555423135
freq_0.4642,-0.4736279884834716,0.04585873950326109,0.3649010803593145,0.5847708780327389,0.47980710229456663,0.8398360754664472
freq_0.4977,-0.4590239793606509,0.0467613087117992,0.3520393133646453,0.6038235637488037,0.4757916192334601,0.845524830637962
freq_0.5337,-0.44392823913763196,0.046693453573020904,0.3437655320386916,0.6065981303848489,0.46231744868911673,0.8365843987110044
freq_0.5722,-0.402390435361564,0.04583432551866592,0.34265350222247054,0.5932534948967695,0.46008069034454807,0.8252486736859816
freq_0.6136,-0.3324359886287302,0.045119866206971074,0.35080304600780526,0.5782403751557768,0.4687208310319621,0.8228754012558286
freq_0.6579,-0.27410342814364186,0.04492572990059935,0.3634623109712497,0.5709746821458656,0.47039540144224967,0.8242504309044363
