,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.055342479180832786,0.037088046404837094,0.406519932119714,0.4137745553423812,0.5143539294507513,0.7752598290901126
PGV,-0.04137172237550677,0.03192752242136913,0.39036001698647854,0.32757991697514066,0.4971590463210267,0.7119386646375913
CAV,0.17161422494519166,0.03256339106901088,0.3212644982002627,0.39402540624812527,0.3391290041644938,0.6111263208522998
AI,-0.16953440647407375,0.06627451933196653,0.7126462831946241,0.7634619984288895,0.7979967963081552,1.3143583358103776
Ds575,0.1517314617779073,0.029380462796781293,0.2842912916238649,0.32516960108901477,0.5278335100300542,0.6820300743194553
Ds595,0.4983996292949541,0.02503505192128466,0.26709437509907985,0.2779755217592746,0.37683910192320336,0.5390895145012518
pSA_0.010000000000,0.05821265192030968,0.03714896945095936,0.40670789252300066,0.4150257778007302,0.5128918410499886,0.77505854404377
pSA_0.010722672220,0.05853168363762788,0.03714186019745338,0.4067666010477737,0.4148564274953365,0.5129775992685411,0.7750554435093454
pSA_0.011497569954,0.05896132235224501,0.037124520817743756,0.4065010946076426,0.4146493978251935,0.5130476554395484,0.7748517018023674
pSA_0.012328467394,0.05931668638500441,0.03710012511033147,0.4060197150202085,0.41441382548470834,0.513100526692313,0.7745082170189614
pSA_0.013219411485,0.059772982610142515,0.03708435049632278,0.4054995991649484,0.4143829346872534,0.512957684294892,0.7741244908670261
pSA_0.014174741629,0.06073355013440925,0.03710983502578308,0.4053587636991897,0.41499113819180344,0.5124350047308307,0.7740303651401219
pSA_0.015199110830,0.06365622750105668,0.03710713511406838,0.40501402484552457,0.41517628134094564,0.5119190358519374,0.7736076551956065
pSA_0.016297508346,0.06695848877452107,0.03713042699779999,0.40503996948408016,0.4156293715223173,0.5116541192029062,0.7736892716388167
pSA_0.017475284000,0.06710436564000531,0.0372079389692076,0.40560367773658546,0.4168373148820581,0.5113256857965888,0.7744169725844597
pSA_0.018738174229,0.06893846713549542,0.03728273656224843,0.4058242831152897,0.41817027430014425,0.5108591559118283,0.7749430974292515
pSA_0.020092330026,0.07184045646997249,0.0374150792571479,0.4060098853536969,0.4205585184276788,0.5104217701451202,0.7760437345053978
pSA_0.021544346900,0.07383675745587522,0.037529342706837075,0.4066199650447711,0.4224618635570232,0.5097518985404889,0.7769561250152525
pSA_0.023101297001,0.07546421981705057,0.03769696747813428,0.4071837547178109,0.4253815587927819,0.5088770721579484,0.7782698473120471
pSA_0.024770763560,0.07592228190428214,0.037865710528571794,0.40722688387213546,0.4285551275096897,0.5079428287796143,0.7794223178557903
pSA_0.026560877829,0.07748115113841277,0.03810083544942053,0.4065096711993559,0.43320805818193836,0.507284946833907,0.7811897027845759
pSA_0.028480358684,0.0780004889475303,0.03841301111944405,0.40589322488050533,0.4389701925021262,0.5080508856498347,0.7845762182980259
pSA_0.030538555088,0.0769821529643361,0.038638976351483625,0.4073775754830958,0.44239184973824286,0.5079849110788529,0.7872202408507416
pSA_0.032745491629,0.07302639796075924,0.03885444487803798,0.4077491256127107,0.4458884210958386,0.5093421460869272,0.7902564490630283
pSA_0.035111917342,0.07120791580269413,0.03922478445579196,0.4091246252669786,0.4518318147612716,0.5099133771803314,0.7946990625751112
pSA_0.037649358068,0.06708669367765002,0.039570352724945704,0.4090622604929989,0.4581141202286466,0.5091718065967331,0.7977821812659706
pSA_0.040370172586,0.06149457702369455,0.04003014319580467,0.40862184524719863,0.466556405617976,0.5083651135262139,0.8019237998007737
pSA_0.043287612811,0.05593113573545887,0.040578003856732776,0.40894167073113474,0.47603574679398153,0.5086778473818441,0.8078344352050748
pSA_0.046415888336,0.04757907662320733,0.0409400907571626,0.40825811268840345,0.4826194991879336,0.5089841478370583,0.8115794048161433
pSA_0.049770235643,0.03985662118700208,0.041400959913849386,0.40889583726378237,0.49053176399943554,0.5081872316491297,0.8161320234099713
pSA_0.053366992312,0.02968885676435796,0.04223133963666362,0.4113672407188955,0.5038244311547159,0.5095439429018427,0.8262548601448629
pSA_0.057223676594,0.01887792463653533,0.04290457782175264,0.410528181274949,0.5156453549256399,0.5106171554982039,0.83375859765665
pSA_0.061359072734,0.0008780611619379176,0.043111747695779336,0.41302283176797716,0.5181601078663154,0.5114553788981637,0.8370569643396647
pSA_0.065793322466,-0.016776110907911413,0.043408014826632965,0.4157394205363658,0.5218704900479163,0.514201282340265,0.842372265053366
pSA_0.070548023107,-0.02182912553531573,0.04352106068467933,0.4176248309316607,0.5227814308997351,0.5166077598614117,0.8453369159413888
pSA_0.075646332755,-0.03506280885941345,0.043481662132222404,0.419460901244579,0.5212167506842447,0.5179763985217875,0.8461169530817582
pSA_0.081113083079,-0.04752914150745191,0.04304546234476304,0.4222353548465974,0.5125919157216845,0.5179343783906413,0.842193081938197
pSA_0.086974900262,-0.05171487168105146,0.04286384519653111,0.42489623245468566,0.5081086348914496,0.5199550708527563,0.842059658759956
pSA_0.093260334688,-0.0543820645207445,0.0427550566897891,0.4273541814530697,0.5053212285363462,0.5193262176123027,0.841237695728387
pSA_0.100000000000,-0.06078070374463675,0.04258341052450524,0.4263152496487613,0.5028147529466201,0.5187391255577544,0.8388430414852828
pSA_0.107226722201,-0.06223395124895667,0.04199755700008065,0.42475365812562293,0.49267762813901894,0.5222362696749859,0.834192805485538
pSA_0.114975699540,-0.06064827972332417,0.04141773681559969,0.4254696057473132,0.4821377472554623,0.5223875814958355,0.8284744884692674
pSA_0.123284673944,-0.06582491387573583,0.041026167092324324,0.42529121925668734,0.4750912419328588,0.5236434700075046,0.8250980505489308
pSA_0.132194114847,-0.07137061111574611,0.04081964403158533,0.42417876436148,0.47173357283200973,0.5247051914230978,0.8232713561022481
