,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08563114198681607,0.08159832664925688,0.05811836443242781,0.13503197186981697,0.08497489573394738,0.0620850409526391,0.08543166809893327,0.08544293975344969,0.08544800147050584,0.08544788809506651,0.08542084228504178,0.08534923609026546,0.0852712838935463,0.08523772362722878,0.08520947287927236,0.08515843592420017,0.08512355839510576,0.0850526165997568,0.08496191518739592,0.08485880158158603,0.08480361232982908,0.08497199949278215,0.08501399669194165,0.08525657622179965,0.08541661750377065,0.08536511448758671,0.08531650615205522,0.08545011397408919,0.08554318708800429,0.08549438061445218,0.08583109226947859,0.08606818101774284,0.08624394560102451,0.08671969453885486,0.08711411839249363,0.08733323290305992,0.08729839906828002,0.08760210120704288,0.08751531362931678,0.0873943339119321,0.08781955988723052,0.08775922684221422,0.08788141412680636,0.08799626974646875,0.08848767544934869,0.08871492284156615,0.08998859223418493,0.09058574949679739,0.0909385383322583,0.09089435791275587,0.09086162163754957,0.09087730186757,0.09072050661655699,0.09063182660091884,0.090420754942516,0.09063125900051092,0.09022178150003866,0.08963001850263023,0.08916828928740057,0.0884944238438704,0.08787142155412311,0.08739407507412865,0.08657976400312137,0.0851023670663119,0.08406046063336721,0.08337903018971522,0.08275863599046783,0.08177078646259581,0.08018781864657408,0.0789713616604384,0.07742828173684559,0.0757673770339094,0.07442669871048377,0.07405104005017969,0.07338490512919806,0.07290738210037524,0.07267345836308202,0.0721090608309636,0.07162350318735117,0.07074917227900616,0.07020149788962479,0.0703234842876751,0.07009857676654235,0.07003347768123493,0.06952480156342752,0.06891735514598184,0.06830951487559438,0.06770828167080693,0.0674191118544632,0.06688297131071749,0.06621442380584718,0.06580022195996256,0.06547479019493387,0.06524975810925869,0.06480146515791806,0.06438816891932655,0.06405392769866984,0.06413314758566274,0.0642169942488751,0.06429349560694629,0.06418165984742974,0.06424502828808423,0.06449648041828292,0.06481880303048962,0.06520064777946892,0.06563045970206646
stat_2,0.11547612164559212,0.10937535182057176,0.07836247355992086,0.18207430306937275,0.11428271139889327,0.08372532260248862,0.11521427512214061,0.11522791672106873,0.1152352274996252,0.11523689060219021,0.11520389002823374,0.11511241642513785,0.11501092049962194,0.1149684830133334,0.11493434725744306,0.11487257363781994,0.11483949307286552,0.11475107807266309,0.11464205671629692,0.11452086198600846,0.11447806581845545,0.11474331806199589,0.11480725847071589,0.11515266413780754,0.11538995275800337,0.11535061437714576,0.11532626258717245,0.11554681122204007,0.11570665862809955,0.11566463895733053,0.11615311354290948,0.11652585372473998,0.11675362108946805,0.11739640126585606,0.11792582675316862,0.1182062993063071,0.11810562605079761,0.11848474172988481,0.11833445471267165,0.11816839449160796,0.11872726615829296,0.11859559163694837,0.11873323648343531,0.11888354735360776,0.11956720234857629,0.11982038438873456,0.12146013290505846,0.12219557953220854,0.12267243435584739,0.12256050430780992,0.12248844011714487,0.1224388980524556,0.12212785303033051,0.12186179403241618,0.12153338322360575,0.12190804169021227,0.12139874128008526,0.12054662114005706,0.11978361145334929,0.11888218558377907,0.11812800653293659,0.11751420661435481,0.11647431540549712,0.11451711215178963,0.1132156517119006,0.11243471682254375,0.11162851951614898,0.11030285728724228,0.10829399171437169,0.10675754661791054,0.1046651012074586,0.10235026572404596,0.10051640340725398,0.10002158970933851,0.09912405074606301,0.09847168997047558,0.09818431683300058,0.09745396732889676,0.09683315688902402,0.0956322427547668,0.09487094153290909,0.0950051649025667,0.09464918391573583,0.09448211153459767,0.09372033205077519,0.0928639015499128,0.09202830833215414,0.09119206514907505,0.09081929376560383,0.09009019089627245,0.08915567415073189,0.08859526234099238,0.08813327675198768,0.087782328506654,0.08715277566226194,0.08656395822117785,0.08610043374262046,0.08619517777893489,0.0862910201511576,0.08638670471719076,0.08624335348226041,0.08629321026049137,0.08662035102175597,0.08705241422080527,0.08757042887435959,0.0881652517811559
stat_3,0.06160820006284216,0.05884184064402101,0.04227484300567297,0.09780380227747477,0.060323478587094644,0.04444792547014477,0.06147309038645234,0.06148146035315976,0.06148262826567862,0.06147829859222877,0.06145509784761415,0.061404515202877985,0.06134813308418503,0.061325137169363,0.061310092499185925,0.06127629282644643,0.06125228804145629,0.06120831718899162,0.06114985207072288,0.06107805405213713,0.0610306274626071,0.061134894654058934,0.06117560112656548,0.061341148777350016,0.061459427778531896,0.06142087666502253,0.06137991387394609,0.061469334795463605,0.06152260473440261,0.06149376107448823,0.061741807768377295,0.0618892335757424,0.062032792885341366,0.062379448086018495,0.06266339108436797,0.06282984856470265,0.06283724348099634,0.0630694934658233,0.0630371787541165,0.06294577201980867,0.06321801917948217,0.06318804606903244,0.06327121669555417,0.06333907435683679,0.06363197907562101,0.06379941729206177,0.06469340579368084,0.06511594731466508,0.06527953045712255,0.0652543088399959,0.06524525559939567,0.0652781057528524,0.06521374803768722,0.06520841701834647,0.06511556431430263,0.06523928531878315,0.06495503030260337,0.06452394359277301,0.06419815143830977,0.06369255251196274,0.06315853120575676,0.06282569489528887,0.06225805822706581,0.061205479275762587,0.060450881385816314,0.05991039087346063,0.05944259611975677,0.05872757753880531,0.05756534262335765,0.05666046520543948,0.05561530665616072,0.054528860794735644,0.05363849915505917,0.0533796446834014,0.05293421930553527,0.05260123653050362,0.05241112026309047,0.05199218631034014,0.05161348461029936,0.051023244398845646,0.05067172929278746,0.05078800613098987,0.05066600197801751,0.05066463719785194,0.05035878321084023,0.04993416398167008,0.049510225629931015,0.04909748257539714,0.04884867726231391,0.048437543993535684,0.047944521877543674,0.04759904401118746,0.0473458493400066,0.047175395365582705,0.046856829655819436,0.04655923221900234,0.04631948606618643,0.04636100886657123,0.04641950489108783,0.0464770086271452,0.04642690735488568,0.046515145165974686,0.046704357303535,0.04693487140507725,0.04721992004701976,0.04754970672181478
stat_4,0.051983410945432254,0.04959601910288774,0.03608638030821068,0.08309729625252447,0.05017788706821126,0.03732003359331722,0.05187848750517307,0.051885364153102374,0.05188435434161002,0.0518775336229134,0.051855657889507877,0.051815113275399616,0.051768234105691716,0.05175055769887218,0.051743442685092414,0.05171929471321451,0.05170366877209638,0.05167459518559474,0.05163468650836825,0.051580967417552935,0.05154275995712143,0.0516263427682089,0.051671836706268646,0.051808638228136576,0.05191704950536797,0.0518914829257516,0.05186303278498552,0.051943789330448874,0.0519861698192458,0.051974135065639734,0.05219840146097221,0.0523171134527004,0.05245101766632251,0.05274778855117614,0.052986786298628415,0.05313085766723397,0.053150907190282405,0.05335046937205515,0.05334075129050026,0.05325885680502811,0.05345418157415701,0.05342665466356111,0.053485021130397874,0.05352794245327185,0.05372752165556587,0.05385784068928789,0.0545721244242329,0.05490439791994987,0.054966165004931726,0.054937329427500174,0.054934913915798154,0.0549631523800925,0.05492465689636824,0.054932670291955546,0.05489245025596156,0.05499633691814298,0.054775910737162814,0.054394147111958856,0.054089966578891285,0.0536480576473947,0.05314777352264549,0.05288285960026376,0.05243315578907061,0.051562296411337395,0.05094726241659097,0.05048372608499552,0.050078576532499856,0.0494732683056804,0.04850486629671403,0.047742790830709175,0.046914205492612056,0.04607212429900418,0.045379299997992624,0.04517443521826451,0.04482921287817613,0.04455536677435255,0.04438349746993211,0.04402742696428299,0.04369131125230069,0.04322213273856812,0.04295760592802992,0.04307267036147269,0.042990241131124415,0.04300656351131723,0.04278032910785656,0.04242203282354264,0.042071726727937,0.0417337960145105,0.041492061744292305,0.04112041918689407,0.040683930553632036,0.04034974849116892,0.04011279678477055,0.03994830342978635,0.0396760611277064,0.03941614792794562,0.039211007885501865,0.03922952361627949,0.03927272032349148,0.03932135201450377,0.039307042556406886,0.0394084654653084,0.03957200051873959,0.0397646102205862,0.04001486910360569,0.04031511738713267
stat_5,0.05216301415059978,0.049743285573550684,0.036190626916656775,0.08334065479394563,0.050452946570283874,0.03747165240299198,0.052057165004791045,0.052064000278299404,0.05206322008420888,0.05205680308172668,0.052035277926498306,0.051994644812351234,0.051947727289529795,0.05192996433160934,0.0519224699657252,0.05189818344861489,0.05188281399567379,0.05185326077881199,0.05181306739503414,0.051759551374844205,0.05172288817263381,0.051809380452310365,0.05185450721800862,0.051993110310277965,0.052102476441542006,0.052078112362432066,0.0520516648206956,0.05213486913335833,0.052179754635647314,0.052168425802685985,0.0523948315871948,0.052517806704314884,0.05265086020874948,0.05294848283166108,0.05318813839275152,0.053331478155131645,0.0533471893854158,0.05354513813414477,0.05353212534642076,0.053450022523944374,0.05364709937174806,0.05361634054404194,0.053673998912752305,0.0537178450911913,0.0539231530468425,0.05405174842218053,0.05476794071521212,0.05510022388151259,0.05517090985462889,0.055140484870011115,0.05513615242914429,0.055161245926731134,0.05511613442220773,0.05511604368378321,0.05506845411147912,0.05517692083110368,0.05495524149948829,0.0545719659611796,0.054264594898444034,0.053823738843003704,0.05333258999291167,0.053065665007558535,0.05261276605277191,0.051738141676712146,0.05112297051237247,0.05066535017328334,0.05026147964567354,0.04965462524278404,0.0486877301586352,0.047928203733574384,0.04709123273027513,0.04623563578751859,0.04553448360506577,0.04532881802268429,0.04498064222858605,0.04470488737653881,0.0445350842845503,0.044180165487504953,0.04384622020439456,0.043372488794629224,0.04310399938871317,0.04321642751725786,0.04312880279511983,0.04313818872019482,0.04290377226871639,0.04254128929409157,0.04218821193961368,0.041846627995987803,0.04160701459124687,0.041235016191191624,0.04079586070791784,0.040463491306494695,0.04022605631565271,0.04005977607123033,0.03978534452563628,0.03952346666275352,0.039317129957865134,0.0393367707291492,0.03937980072361289,0.03942815627212004,0.03941114256652642,0.039507856875686795,0.0396708043195491,0.03986412482008193,0.04011443239957081,0.040414509493046376
stat_6,0.05023957916803604,0.047902523870613986,0.03497257588697983,0.08043627260843034,0.04835022076983678,0.03603091859320329,0.05014030591570056,0.050146863047777955,0.05014548381261143,0.05013828533665212,0.05011677161530215,0.050078197076739044,0.05003315194642314,0.050016521585131334,0.05001094709000011,0.049988759274753186,0.04997509031308842,0.04994893505150362,0.04991281552090022,0.04986296729782911,0.049827497943244224,0.049908615883192585,0.049955259199039155,0.05008746715549817,0.05019486903423667,0.05017274785705099,0.050148067298100917,0.05022874569803306,0.05027035884774709,0.05026238726791665,0.05048382582706371,0.05059921603407128,0.0507312400829821,0.05101908005760682,0.05124981792455241,0.05138932167655819,0.051409860696731945,0.05160239129290001,0.05159577641273972,0.051515422231260606,0.05169577649585674,0.05166681876384106,0.051719594207117324,0.05175772100927849,0.051940840736052006,0.05206260362806048,0.052741817567789326,0.05305567560757928,0.05309968551110659,0.05306880373235738,0.05306674210523548,0.053092165480511426,0.053055341062935475,0.05306149547579275,0.05302882326524974,0.05313171333796921,0.05292378554427437,0.05254968645350195,0.05224610562013571,0.051816305541731236,0.05132558239194623,0.05107340035257382,0.05064603207075436,0.04980876581377294,0.04922163794963247,0.04877617038540707,0.04838336472165661,0.04779814342031965,0.0468685111264415,0.04613547148253403,0.045345803211291634,0.0445457804321333,0.04388829013137651,0.043693807729586594,0.04336720182356874,0.04310386298869132,0.04293623931033066,0.04259275168601926,0.04226542417792696,0.04181787317284986,0.041568865420679724,0.04168280521093718,0.0416057680785675,0.041622249537630954,0.041407798298011236,0.041059898654684526,0.0407223986281763,0.040397111611870096,0.040156857446920595,0.03979174971673766,0.03936390017064065,0.03903136794106533,0.03879638459858861,0.038631207809915566,0.038366456277989576,0.03811227992752848,0.0379129709877696,0.037927026205106906,0.03796691882799329,0.03801368750495738,0.03800586604865882,0.03810820348287043,0.03826662747375898,0.038452293583243945,0.03869630133020887,0.038991664063771386
stat_7,0.060839438956773365,0.05810769199131165,0.041784324309620556,0.09663854803391131,0.05948277855199392,0.043872955907698685,0.06070687815664342,0.06071514279765555,0.06071608268446356,0.060711455559116556,0.0606882636620576,0.060638474826269516,0.06058282563846462,0.060560262756719684,0.060545937375875686,0.06051292642671245,0.06048952744915784,0.06044683872266788,0.06038989603051728,0.060319458623010906,0.06027238885760818,0.06037440169741388,0.060415610314243216,0.06057855364156254,0.060695904379264164,0.06065807919114201,0.06061760456246968,0.06070579741617434,0.060757619905480245,0.06072990713407114,0.06097567605505002,0.06111983749223057,0.06126292923181234,0.06160563550959418,0.06188603628096747,0.06205101258728107,0.062060500033445376,0.06229070844006121,0.0622609639679248,0.06217030948755524,0.0624362225663699,0.0624072072168343,0.062488629296429885,0.06255432647826499,0.06283861854616654,0.06300360712589527,0.0638833512478873,0.06429890279570727,0.06445224188803662,0.06442703778288511,0.0644189485873618,0.06445212712380168,0.06439124996802,0.06438865976227082,0.0643016061888419,0.06442293379561095,0.06414396316353574,0.06371676745904714,0.0633929289355415,0.06289183372217376,0.062358113601814404,0.062031018288884555,0.061473293905526964,0.060435466609145234,0.05969170507369179,0.05915573641228109,0.05869232862430597,0.057985946424561334,0.05683811088691586,0.055943407001668895,0.05491688130720193,0.05385244057960216,0.05297918793868329,0.05272464720411848,0.05228758414479255,0.05195953651749703,0.051770268347793316,0.05135578527233814,0.05097971022074294,0.05039977843949385,0.050055861047130244,0.05017272815076338,0.05005499989060708,0.05005663155404668,0.049758733414522895,0.04934005580708067,0.04892232121382567,0.04851606778397527,0.04826723684888906,0.04785908307327511,0.04737082629624716,0.047025633110068056,0.04677364915132727,0.04660388132656723,0.04628924813555591,0.04599483874466239,0.0457579378118375,0.04579737246158648,0.04585468269818183,0.04591155976017007,0.04586490265902434,0.045955202260865184,0.046142585178921995,0.04637005987202661,0.04665251243068129,0.04698022897605464
stat_8,0.10231336200111818,0.09721406284566765,0.06936537493855433,0.16123157184520895,0.10155571834438688,0.07421603436071852,0.10207649923420692,0.10208932386243749,0.10209594024095285,0.1020971620082652,0.10206676752862397,0.10198303530548129,0.1018913444676514,0.10185215843432308,0.10181911891973681,0.10176041134058263,0.10172395490263894,0.10164089488396004,0.10153659155770373,0.10141988711898242,0.10136728958303305,0.10158575310199812,0.10163707946546745,0.1019353183063168,0.10213423857182896,0.10208440970304576,0.10204293683216657,0.10221894400667965,0.10234533911951475,0.10229497260303429,0.10270926978129886,0.1030162319114203,0.10321994776122596,0.10378812805614479,0.1042584558211607,0.10451319680686783,0.10444614517518143,0.10479536704322794,0.10467431532050624,0.10452937053364557,0.10503736828423593,0.10494410459363242,0.10508055422328012,0.10521838177310275,0.10582313934928046,0.1060736794573883,0.10756911302654575,0.10825674857642859,0.10869293792682877,0.10861876884089745,0.10856649411843952,0.1085542727809954,0.10832043989152777,0.10814799951811208,0.10786973562490527,0.10816114198996764,0.10768718938877472,0.10695967399317306,0.10635163057010813,0.10555245041502762,0.10485503345156132,0.10429486889288352,0.10334206221727686,0.10158905722126306,0.10038550544976549,0.09963285417186935,0.09890677836955579,0.09772967707870309,0.0958906683214812,0.09448196685146247,0.0926232673782706,0.09059281979405204,0.08896943807275082,0.08852326856805477,0.08772233706507736,0.08714695040302951,0.08688146004239189,0.0862207053721377,0.0856579904461588,0.08459889542538843,0.08392921612941248,0.08405913600621387,0.08376445559351721,0.08364991984082934,0.08300450971962454,0.08226282148607231,0.08152858133456857,0.08079768308020761,0.08046469211802539,0.07982553017099038,0.07901592922694695,0.07852720902285804,0.07813221686199276,0.07784617204728078,0.07730025715510047,0.07679420844819505,0.076389755232021,0.07648184482910045,0.07657552291357671,0.0766636449258807,0.07652871817263619,0.07658458639967018,0.07687919572210586,0.07726347375466698,0.07771949453151143,0.07823616352258653
stat_9,0.1204621913251927,0.11388352396149849,0.0819430889306371,0.19017056980414884,0.11903251360070732,0.08728989153374853,0.12019438036568515,0.12020805341141579,0.12021515294265614,0.12021638567521022,0.12018227837998294,0.12008919091072855,0.11998469755017965,0.11994191195218637,0.11990947998216642,0.11984880205261651,0.11982037290742747,0.11973331618503459,0.1196272680250815,0.11950913927575298,0.1194754559269229,0.11976295790533112,0.11983629830858908,0.12020150537669771,0.1204594555742951,0.12043115996260226,0.12042197485232471,0.12066778593998512,0.1208450310092625,0.1208145043793427,0.12134233153091602,0.1217468432227923,0.1219869684102141,0.12265978501342827,0.12321088792010541,0.12349987827410963,0.12338250883645412,0.12376903502314346,0.12360864806476997,0.12343227839484322,0.12399511690782415,0.12383972017384298,0.12396922445669865,0.1241186339687898,0.12481996468512292,0.12506253971061843,0.1267337733372482,0.12747090696257224,0.12794522764193914,0.12781050735994895,0.12772841254438486,0.12765571088053268,0.1273058425538419,0.12698821939756477,0.1266426600070164,0.1270604946504189,0.12654768863429114,0.12563735327399256,0.12479218895232289,0.12385030470161038,0.12307681246290963,0.12244893058450244,0.12138849804012684,0.1193618268009519,0.11804138506138402,0.11726660201673561,0.11643175636402166,0.11505024915958359,0.11299734627140667,0.1114276277036546,0.10925999703283493,0.10684920122491971,0.10495158492617712,0.10444532167568397,0.10352303996426798,0.10284290659246773,0.10254775198007904,0.10179555806927189,0.10115229195207329,0.09990548998791848,0.09911882985652591,0.09925625690060853,0.09887607944788564,0.09868169102764682,0.09787536624684694,0.0969685215317529,0.09609489485231802,0.09521854908552367,0.09482039670327612,0.09404597077404461,0.09305013929664774,0.09244627725614037,0.09194680799800822,0.09155663507476047,0.09089031131423132,0.09026244042200801,0.08977368280397621,0.08986268326004433,0.08995497571260214,0.0900524333913855,0.08991517100663353,0.08996540791957636,0.09030418083471617,0.09075334388190316,0.09129836629418364,0.09193234267252483
stat_10,0.07379952185888705,0.07043468826224138,0.050260984740387045,0.11662288465755373,0.07294080317801029,0.05342198972047013,0.07363016472634391,0.07364012054542911,0.07364349483181665,0.0736416105195715,0.0736165569702045,0.07355473739599555,0.07348711118828512,0.07345836903631903,0.0734356735618027,0.0733921560729771,0.07336123349979079,0.07330211892082404,0.07322530899148046,0.07313570105568558,0.07308227691735367,0.07321744924733889,0.07325693999166828,0.0734608964360282,0.07359800439029461,0.07355022334233598,0.07350218172811235,0.0736109730329152,0.07368276439633081,0.0736407797695246,0.07392983029163204,0.07412036726597748,0.0742791399769877,0.07469067734405786,0.0750309146441451,0.07522451031709651,0.07521183512857253,0.0754816713544746,0.0754213635507594,0.07531574668817462,0.07567099707713214,0.07562885211474141,0.07573494786940137,0.07582879278422677,0.07622740614377932,0.0764297092260054,0.07752605761696499,0.07804435832231192,0.07831370968519433,0.07828283474571562,0.07826268908529792,0.07829079364001593,0.07818315918335782,0.07814220999123399,0.07798690599680426,0.07814961471798366,0.07779687783432093,0.07728963494324634,0.0769065467982072,0.0763171197176157,0.07573949647060375,0.07532958232279155,0.07462970065913468,0.07335731705442856,0.07244824264746626,0.07182931959013795,0.07128368291570263,0.07043009076546664,0.06904552464235288,0.06797631813169219,0.06667225512158845,0.0652889460023508,0.06416393117235891,0.06384333954387005,0.0632818418700997,0.06287506058545571,0.06266257486687263,0.06216835286850848,0.06173560455286383,0.0609986699753213,0.060544703962251166,0.060663421068185217,0.06048957760382008,0.06045819762756818,0.06004961487534746,0.0595343676848712,0.05901704018443504,0.05850874261350298,0.05824265046858468,0.05777167707842597,0.05719414660019791,0.056819479426601774,0.05653398091291787,0.05634120668216283,0.05595866237756398,0.05560526285508407,0.05531864834053809,0.055382129489198184,0.05545525645441187,0.05552280510115994,0.05543731602668684,0.05551140497656153,0.0557323635625808,0.056009862368358386,0.05634259415648612,0.05671943107970693
