,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.3925336191453867,-0.3132904195046088,0.23263235108055377,0.4883938899327717,0.1979634827519617,-0.026498848695657554,0.4051543134093482,0.4070290284576413,0.40959422380586574,0.4125640972171444,0.4165286092975887,0.4201527756058738,0.4248993657228002,0.4316453412420028,0.4446728587448395,0.465424059747452,0.48887536677800364,0.5215956009714097,0.5531616628172243,0.5943924403368936,0.6330920023157056,0.6620898746058154,0.7052115951278,0.7586140641839512,0.7834269165814316,0.7928622400853109,0.860586111817596,0.9034573244856734,0.935167154725642,0.9617532558224493,1.0075912027140757,1.0006758915183733,0.9463036903603087,0.9609848782045132,0.9451322372486798,0.9155441990312841,0.8351149850289081,0.7460835964397774,0.6866586395888298,0.6417099077751954,0.5630518600434341,0.4177049405404408,0.2596352483228687,0.17921931781576364,0.12619699829898154,0.08090376756077512,0.03952593052186538,0.012727837039476568,-0.03318325881248504,-0.1068825362045579,-0.16529171793692796,-0.2691231834285857,-0.375208911767567,-0.4656997944820824,-0.4668498132042777,-0.43800627839339734,-0.4243585155827398,-0.4788987672933931,-0.49559122157339114,-0.5152315309218884,-0.5727396666018814,-0.6283778359644531,-0.6408086235878611,-0.6314057218603185,-0.617480137233169,-0.6436742725047178,-0.6717527610572831,-0.6832782034863611,-0.7532523145919838,-0.813112264485388,-0.819515288158744,-0.8579613042452293,-0.9070741168905242,-0.9609220652077041,-1.0425840990073165,-1.1091351403367213,-1.1117052536591303,-1.1228284672334325,-1.112197862029602,-1.100353302918285,-1.0835816714210769,-1.0896011277360262,-1.078493101858926,-1.0148548741115855,-0.9446089792467507,-0.9027356284232054,-0.8907737804646545,-0.8751473296599126,-0.8421792617406876,-0.8202729125055253,-0.8149223647101821,-0.8011425496034291,-0.7598536408836273,-0.7398322732151655,-0.7358852938909753,-0.7275104213288397,-0.7210517942201864,-0.7280896423007287,-0.7095619020205329,-0.7035057968990364,-0.6974409865738029,-0.6897948706886916,-0.6894332029841538,-0.6988696816836414,-0.7054816527918354,-0.7114656261370489
stat_10,0.558170730341201,0.21824780428375376,0.06052568278066452,0.5704736639228031,-0.4776215902058321,-0.38579531500056213,0.5643856592915184,0.5660230801312474,0.5691377597168757,0.5711168520842612,0.5751060089256398,0.5783370242819407,0.5790298799685841,0.5834858253187698,0.5924498239321454,0.5973696332709052,0.6161900258943555,0.6246300777146705,0.6218990287900296,0.6287022044908679,0.6366089396196316,0.6426931959148096,0.6440658798422566,0.6620878538895788,0.7073416492278491,0.7767027430238342,0.8306783742981942,0.9005614605647919,0.9575021181807681,0.9921340087519501,0.9791965294295453,0.9217176413127854,0.8492084825934252,0.8009759455849886,0.7371314397327797,0.7160641484477527,0.7233603535642464,0.6555835411276132,0.5517305874471755,0.5333563173195219,0.5243520966065383,0.5221903321201905,0.5447709568299939,0.5205649444707864,0.41427942680858054,0.3168526412208671,0.22305049145677378,0.1513034201966045,0.1512058411541325,0.15147681897312998,0.12186027030864031,0.07086352185001862,0.02125278914409851,-0.03660953962346153,-0.0670047150848641,-0.07224142429704512,-0.03571510654963977,-0.0324871047667965,-0.030617806842710742,-0.006344966220652915,0.023345333988643396,0.0053908309217418245,0.012588292216433834,0.006263956188352751,0.014444246523677337,-0.023160906959130402,-0.09738637963356904,-0.15600569334203093,-0.1817201683473882,-0.16206533181787627,-0.1087224363938957,-0.07094531900208786,-0.03629333008675091,0.002413510960295827,0.045563772218947134,0.07503922274837964,0.126608462844434,0.15766605178126247,0.17700729311591457,0.1897692532422128,0.1991180040557912,0.21765133995271504,0.24019950279800162,0.26266020663460327,0.2664505521868764,0.2736397153494364,0.2752729936417844,0.2693279094472809,0.2728203997476917,0.2733780069428338,0.26021790761441876,0.24165430124474288,0.22037376200163092,0.17725635544910212,0.14577704510417172,0.11432258318391067,0.0909497566113936,0.07462982105507741,0.07863142885652753,0.08656510148814764,0.09030252204654234,0.07751717587635254,0.07236582115606996,0.07940506557884053,0.0798249447553319,0.08241082341227655
stat_100,-0.7599053887430008,-0.19009997027679462,-0.3881643521688969,-1.0408399031345372,0.2844974262610302,0.33503369855039505,-0.7634495343357496,-0.7637611385389731,-0.7645644662121477,-0.7661664099729725,-0.7667146638725285,-0.7663375781418506,-0.7651741226808222,-0.7674689369994535,-0.7717655077994947,-0.774956249426947,-0.7784361867478309,-0.7807978054481188,-0.7849915733742752,-0.7877514389971512,-0.7923695584066468,-0.7988485064665067,-0.805011420167222,-0.8100861227946945,-0.8158910532104506,-0.8250554522690613,-0.8375791483330611,-0.8542843885141723,-0.867456915572124,-0.8906795986087627,-0.9204361434161559,-0.9465256803935914,-0.9560778552654707,-0.9655639272884409,-0.9822575622797449,-0.9874261958475629,-0.9957913845283642,-1.0041298658426798,-0.979659227985275,-1.008502365762445,-1.0031729509495928,-0.9779348541765803,-0.9420837455536504,-0.9362450950477015,-0.9747782508516072,-0.969493802144339,-0.965517984754755,-0.9622631388816145,-0.9090940705774725,-0.8630415913407908,-0.8056067315006651,-0.7455404360107073,-0.6904144819238284,-0.6974517704173903,-0.6917619982178183,-0.5999236844715172,-0.4980924874347608,-0.4678291087635315,-0.4425713010804396,-0.39241293477559724,-0.3573627779036093,-0.3241466358607698,-0.2754089546036941,-0.18556676590500906,-0.03142777668117414,0.12413280806995278,0.24739490792215027,0.3218143664291809,0.3782951084218143,0.381921053925071,0.4071020235243864,0.48757934525847113,0.5454035977944894,0.606448860752578,0.6051966954955247,0.6307636856983226,0.5997854413163827,0.5543902211382155,0.5233696651584682,0.491816897462496,0.4643414055418741,0.4297147327118561,0.38360198478597746,0.36148605770197434,0.34332046539619987,0.31080234123355727,0.29826720285161035,0.2745389213090429,0.2501596307965191,0.2265790573441853,0.21810295447852063,0.2089598964391837,0.1928990395366435,0.1840127152661789,0.17002821726037748,0.1723464260766235,0.17983623448591377,0.17630623269556647,0.16550143259973818,0.16610008569237897,0.16425147781373933,0.14272102117666435,0.12800003574994842,0.13248174287784067,0.1320743410107658,0.11237107489093466
stat_101,0.009687945596251012,0.06339676584793592,-0.17015058992216722,-0.11505112024290261,-0.2503976387239903,-0.17561257652345755,0.0081447914861056,0.008133760618633752,0.007785013820836264,0.008222218055066717,0.007944972137439587,0.008491726068368068,0.009167322638527505,0.00801091943480414,0.006378722013670441,0.004360644672889881,0.0029335121780430283,-0.003120642686088673,-0.0064462294168180605,-0.008981237439574066,-0.010153333743978034,-0.012322466161634378,-0.014427757392462388,-0.016172818871586257,-0.02089773957131429,-0.02521420201952722,-0.02878057941411828,-0.03830844634566042,-0.05003012216763665,-0.06343649073015367,-0.08146303043219075,-0.0845696934459124,-0.08942189201005903,-0.08638509614810448,-0.06561008551605728,-0.061788125801043994,-0.03902492076610051,-0.023003317232051273,0.017231801065448082,0.022340774174042597,0.0005384696042073131,0.06322763415643913,0.10655197400107372,0.15745832934902107,0.21960893935122958,0.19709829423336908,0.1820587535720277,0.19242668235048352,0.2093839285802969,0.17752286981458884,0.0948100918373715,0.07275833940298287,0.04831162073576585,-0.022539251769761962,-0.03878321221677613,-0.04430603596258149,-0.03738473558737449,-0.0727867865545364,-0.06928258555117947,-0.10434597002419005,-0.08685863733760013,-0.05937382291523616,0.03516575931234181,0.1407723953652152,0.21866674764243857,0.21896811672590868,0.14857988490151272,0.1609738287245044,0.2556164125904116,0.36394263213295763,0.3766261272688584,0.29407832527267647,0.2775418143700522,0.3284113102292522,0.3961928616053346,0.4375459777825835,0.4786033998123344,0.553178746110416,0.6152113497321334,0.6262535320310857,0.6249420312320774,0.6055960896728755,0.597184227492009,0.564835647966247,0.5345232993152065,0.4925908919229832,0.4577751209386316,0.41573323014373936,0.3678800751812708,0.3172254045027078,0.28017999017061307,0.24440589803675633,0.22263459803884114,0.21357740394521327,0.19292507286872726,0.18706214403368523,0.18319648548699943,0.16660496690797486,0.1536879630426783,0.15615880885475605,0.15314779443625973,0.14411090279948882,0.1483187215488612,0.15668988676974632,0.15535839859258135,0.1501187922135751
stat_102,0.5733290962602227,0.42374212371391284,0.7532541658805159,1.2072458838282947,0.5321431609608005,0.24833530379392119,0.5728666638752019,0.5735369033530552,0.5753750613437286,0.5761168306534201,0.5758642702717955,0.5776330908309281,0.5784340117152926,0.5790590102836439,0.5765334347862655,0.5788430269504233,0.5764481864921996,0.5725489859249584,0.5728641245901535,0.5855433481498259,0.60457404653711,0.5984878020996744,0.5916735098026168,0.5642054510625641,0.5398591636096618,0.5187784288258235,0.5251411095705709,0.5236138117980482,0.5137342609307097,0.5396270131030196,0.547850265770255,0.5254243416311125,0.5312953275470518,0.5633757767995952,0.5874866673899989,0.6541963228991668,0.6574905208744473,0.6089028318175792,0.5684223859852299,0.5557547979905718,0.5955152455587587,0.5989305577327483,0.5959780300164528,0.6156881422850873,0.6580903654832981,0.6954796664225164,0.6889206967944091,0.7129721581912244,0.695680005778056,0.7011335576788915,0.6625151760298492,0.5768644274751356,0.5242936697277408,0.4693229884719906,0.42831676183633227,0.37542872483558304,0.3445790339427103,0.2864895352353339,0.2347391549316178,0.18415253782077606,0.10743743486070295,0.11255248252370796,0.12077847487668715,0.17441886468962206,0.24093302456690283,0.24797773913149368,0.20051949133084876,0.16968810020755726,0.169349538175277,0.15820896415584068,0.213773309235939,0.22052734567079219,0.23462400268765946,0.2529229471967667,0.2520505424599147,0.26443928707858877,0.27970782759150764,0.2559523601088227,0.1798023238277784,0.14165004572929932,0.07338810626921173,0.04990947015749352,0.05360589832354321,0.055851284247303845,0.0792841364522028,0.07985658470783064,0.04291077461878114,0.02278109501993539,0.03189393105534768,0.02135032273482795,0.0342339084559402,0.048748897717944994,0.059727663254090846,0.10218680087199364,0.12511122660761342,0.15325918796383906,0.1700762023945222,0.17884288742528573,0.17821237872605142,0.18386986526354412,0.17680390257124637,0.15450602605952707,0.15739800442644952,0.1638725110572691,0.1638953896361679,0.19511163727344993
stat_103,-0.5042320053109791,-0.27359035635221257,-0.3790629500989544,-0.82940641530174,0.03513814939045848,0.07416987500965662,-0.5076184389705005,-0.5079686455001939,-0.5083404619716565,-0.5091200997589065,-0.5091833960320901,-0.5101257263508602,-0.5120178807958489,-0.5140432930059682,-0.514389320416636,-0.5177815847705111,-0.5232826365070758,-0.5250457386130181,-0.5285439487653096,-0.531533365060339,-0.5350514190361575,-0.5392045640223162,-0.5422956116478419,-0.5496974693134499,-0.5521356147990873,-0.5546802783260908,-0.5645859956447133,-0.5743720745335201,-0.5870424389543175,-0.6050806449485102,-0.6262844962227218,-0.6482568740576294,-0.6493554554709035,-0.670464204165222,-0.695347246537627,-0.7029178138094372,-0.6858144062996608,-0.676201289169047,-0.6559914653646898,-0.6129349096400388,-0.5746926179487358,-0.626332161932434,-0.6219911982826105,-0.6361029240140815,-0.6213049205943497,-0.5960035593533161,-0.5500271545694876,-0.5367383042738589,-0.5038740496022946,-0.426063488876215,-0.3664611466272373,-0.33165734144180226,-0.28245712032072107,-0.24972835643166044,-0.23349432981219792,-0.268485196547183,-0.24474067760481755,-0.2074909146827352,-0.21461988481632324,-0.17750355315321636,-0.1162477480849751,-0.08318692669759564,-0.09656893851476137,-0.11995946134187249,-0.10749562149290148,-0.09125768259785627,-0.10532419748637646,-0.12054230606994315,-0.11476014964257915,-0.11408347790356516,-0.08100543009285877,-0.06701582672072556,-0.02106797077098462,0.09663870559999858,0.1757570656374222,0.2491175097667843,0.31302349982218225,0.3635214228633445,0.3718722670222834,0.3568990259491272,0.35190991342730493,0.3111279782735955,0.2572827315734402,0.19999315277233015,0.15254164476697205,0.11098504028101748,0.09877258491347832,0.08618054358180867,0.056480795803091545,0.0282527741827976,0.005281740057770505,-0.0050763466250994,-0.022159644125173447,-0.032833080814370384,-0.043698741281939894,-0.04486801663562823,-0.045342826058600294,-0.05526705972493326,-0.055199354074728806,-0.045206966022737764,-0.05037932262790694,-0.06003988034043977,-0.05557649163733661,-0.04788161740878971,-0.05719810928170132,-0.07338453600723951
stat_104,-0.47728319602132624,-0.3375278870170839,-0.20667700398565647,-0.571843185275189,0.2987253914127952,0.2135262123450425,-0.4789760464400658,-0.4790149407116195,-0.47932446595094624,-0.47884006431092085,-0.4781032114761233,-0.4771707187017141,-0.4764470299088066,-0.4793541336626676,-0.4824542268877452,-0.48570060735131676,-0.4894175094991597,-0.4891068913065857,-0.49120643112004025,-0.49321178401623905,-0.4941737144377873,-0.49688372437803635,-0.4952945310411915,-0.4948371211823651,-0.4963879525508293,-0.49398007127280874,-0.4931881144524763,-0.5057205761402652,-0.5173126110206792,-0.52200235889551,-0.5196125816082612,-0.5086157891124302,-0.5088454089025642,-0.5088191993889546,-0.4999675095569676,-0.47845256305998307,-0.44239627508699253,-0.44466111240360373,-0.42002899716604686,-0.3687248817274871,-0.2804332330443909,-0.22922848803852244,-0.23512358464309574,-0.2786811777868887,-0.34502284881689493,-0.4375682571925924,-0.47191244600641585,-0.46581276370778907,-0.4842220198257858,-0.42001959264204636,-0.4217253169426996,-0.4289798869874778,-0.38249626182589525,-0.41144074729901825,-0.47242002169829644,-0.5703934947206002,-0.5466560805739911,-0.4929823522210379,-0.4553873496617387,-0.38921588760386705,-0.2839925658846864,-0.19419657516750602,-0.09942170536140683,0.06344367607408567,0.16902577517444187,0.16538310519375815,0.21679534723108432,0.32816855384209664,0.301855766985536,0.2657577117299788,0.19605367544505606,0.19741803489440923,0.24618389940203617,0.29203115377453426,0.2339493294268255,0.10110032535115498,-0.0163139407175627,-0.11714082787798467,-0.1977252034736518,-0.2651654023930556,-0.32721912187046626,-0.3684444960471849,-0.3943622577166347,-0.39456468193100624,-0.3662586850207657,-0.3383198177777801,-0.31559163078013414,-0.3204159815003067,-0.33390210464809156,-0.3336854180797754,-0.3246290420432907,-0.3228501456936491,-0.3087650784368761,-0.27530204281001913,-0.2584849684301786,-0.24268143130850361,-0.23308762138926822,-0.22654866718439784,-0.21694257059211214,-0.20933835359091224,-0.2030959522842809,-0.20577100948703744,-0.18861840570117377,-0.17840159512560774,-0.19007579830487986,-0.20599702862391772
stat_105,-0.06351871141433493,-0.10529398344425224,-0.15236346225255126,-0.14315682604189106,0.025972399445427473,-0.07861918680150257,-0.06600704832997026,-0.06615329975093606,-0.06690899106415044,-0.06697667390574302,-0.06789523726995436,-0.0688636569087142,-0.06949830271358237,-0.07193985357158449,-0.07418355201623487,-0.07834056852813523,-0.08251710916761269,-0.08492158773535263,-0.08683037025111558,-0.08971830186324707,-0.09343970565019256,-0.09670883545734475,-0.09919224948803884,-0.10251648150481822,-0.11587112381017597,-0.13545461181075005,-0.15023966148181098,-0.15303320251912772,-0.16652347392226327,-0.1620081240097796,-0.15102841263202357,-0.14948525190174686,-0.1702206634315413,-0.1678233056388949,-0.18031471168421817,-0.16687273123088237,-0.18224433542474683,-0.15705095766863056,-0.11173148521680089,-0.038990159620023085,-0.0049257184963806475,-0.009941584334107538,-0.06985900647314501,-0.0974333054398015,-0.11551481693583003,-0.10060856056662197,-0.02482017769953076,0.03358703824887504,0.07681191003692403,0.044405707369682745,0.11766822995825699,0.15685292348966826,0.16068777292255165,0.1532904361539687,0.19736254677868076,0.22539806894166678,0.20533910855938753,0.0981155242378392,0.05290147724253074,0.03359636949114582,-0.04736606194371424,-0.025276701732322916,-0.07726614216027737,-0.07781245844721546,-0.11434919365454721,-0.17724140739514058,-0.23582211847966866,-0.25419494341318233,-0.2407830504317217,-0.1895995849815276,-0.169131985578646,-0.12901520761668067,-0.10718413328506554,-0.07625271889075247,-0.04825384577510428,-0.027373961651159625,-0.014069304841806043,0.019708035975465134,0.004982012093492092,-0.0870032582212008,-0.1570774925999298,-0.22187419382382076,-0.23710809260384139,-0.24626614911786907,-0.24815480985510338,-0.23919276076745632,-0.2251848258907717,-0.23045690199125524,-0.20994685238588173,-0.21862146814187627,-0.22367363179756733,-0.20878845649910896,-0.21122316644209072,-0.2020678772253322,-0.21522000429172009,-0.21734861056583624,-0.22500169026732092,-0.21132148405930024,-0.18076965197422243,-0.16598966096890372,-0.17305987663458688,-0.1843441002295478,-0.17136336157054072,-0.11998669197109646,-0.07231943651463933,-0.05859328743097136
stat_106,0.36329594144640204,0.2247556728897305,0.1345949749027309,0.5977046732505764,-0.48793998493409185,-0.4177506443277002,0.36126187221374934,0.36100833853945263,0.36064245072998613,0.3605287668933838,0.36044767169699704,0.36041373737189025,0.36070187681754395,0.3588824290567768,0.3562055370036543,0.35322137803420595,0.34925582363074054,0.34713446863544906,0.3450808825263412,0.3452969238914514,0.34328858545710134,0.33493056569258356,0.3278703002080019,0.325232741960199,0.3209494533236698,0.3213883090754339,0.3091160533771487,0.29728196282034924,0.2789832827231152,0.2671037572053837,0.2727604274081043,0.26210511086156424,0.24915465259168693,0.26316505446184624,0.28738957327016845,0.30067769440715936,0.33361328628126213,0.424591699258885,0.44798846582948687,0.42177277061212715,0.3261379055184957,0.32478959541600644,0.3480713824045351,0.4070054692415635,0.4414728460018221,0.40315967684768667,0.3014712481499989,0.2276278871232131,0.21669150033044274,0.22440779011985265,0.27404504508952326,0.4077044929545436,0.4405289010762103,0.5260043098444661,0.6235480681255796,0.7451926566077046,0.8186585939835417,0.7892948980742753,0.7153571013895024,0.61464404720572,0.4498965838608592,0.3195019825399258,0.20850237114184295,0.08357783415381458,-0.015797213143854304,-0.11912784929001409,-0.22707275019915968,-0.26358175488222113,-0.3164656023338412,-0.3504556052225358,-0.38589409679489656,-0.4289228728527685,-0.46392279933959424,-0.47711480319538646,-0.4612894462712409,-0.41880179277289964,-0.3787397363158228,-0.34235904138537615,-0.33877166397966757,-0.3567737229737743,-0.33096523483145135,-0.3004387789081817,-0.31394626476262893,-0.29810394846150406,-0.27401636742192276,-0.24664721593205002,-0.23544752603837865,-0.2297470418224362,-0.22734563571135993,-0.23102033518300358,-0.21796337676143224,-0.20162587543503802,-0.1773622064215471,-0.15640229345562656,-0.1630402549308514,-0.15652811756180923,-0.1521057040507048,-0.1399745608638943,-0.1410014925666057,-0.14203014037989112,-0.131694226426663,-0.10882755007461682,-0.08791417000035465,-0.1056106051377709,-0.08952375206231757,-0.07611504189007232
stat_107,-0.11562340365661734,-0.05356023623852927,-0.24834865702929612,-0.3213044898552363,-0.14600461987841185,-0.027629868337862466,-0.1190322426428384,-0.11916488258266443,-0.11980735423331691,-0.12037386952085675,-0.12125578323875318,-0.12150042022263056,-0.12335344364489477,-0.12622001496849594,-0.12827629565490897,-0.1322723970972764,-0.13725725799974445,-0.14016705120675796,-0.14274969977037347,-0.14624430670513602,-0.1522142760614916,-0.1560719522226493,-0.16132986235263222,-0.16624695498029546,-0.17174732066231047,-0.18968105296412757,-0.20645804924032396,-0.21864046935025602,-0.23446426409571597,-0.26960158609727014,-0.2902243829643547,-0.3175344691529939,-0.3378206504333357,-0.345857223883483,-0.38245145873702263,-0.400536550087729,-0.41112445012732024,-0.4103385027927598,-0.4359913655852966,-0.44171725881446205,-0.40368756513954557,-0.38896060515132924,-0.37162679750582656,-0.3339366117725397,-0.3088763896687075,-0.24166048619587882,-0.16898244687785752,-0.08875438972786294,-0.0241661471341147,0.07250924379899469,0.14875363075039377,0.1719418825882915,0.21580358986386214,0.17913228254211744,0.13049789060569067,0.11917582467548699,0.15786037488441418,0.1289732850791567,0.05807344592416877,0.019336313742807604,-0.06494024379683866,-0.12009325080669524,-0.11451299255663228,-0.14247934273255117,-0.09899684675686399,-0.06353012135506485,-0.06240308873245933,-0.04300265855417231,0.010623511704450476,0.07457323079094494,0.029909413564580573,-0.023565981064644026,-0.023271880306374056,-0.039638989955067504,-0.0759339822063103,-0.04475533394305536,-0.015613783033882493,-0.0015526041489915615,-0.0379522297775003,-0.055046699610698815,-0.03395311754630656,-0.03782154571502667,-0.05753022396444806,-0.08811201342471807,-0.09406826185877162,-0.08874879191767195,-0.08499302026727498,-0.07185932987151912,-0.061542153597658016,-0.07242580098900181,-0.0711770770068088,-0.062436059223891185,-0.04987569695555554,-0.057180943135675816,-0.08399136444711028,-0.08792450267433502,-0.10272927239513897,-0.10108451571721272,-0.11318306252833434,-0.1110014208446392,-0.09662541751739066,-0.06749938224691131,-0.03505751278063469,-0.04607770884464744,-0.04844255655170938,-0.03976535724894904
