,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9467693208376023,0.05354558873910023,0.5231897553155254,0.6545311146401116,0.5200920751090823,0.9862222197306333
freq_0.1072,0.8520110034347974,0.05156579045691774,0.5046185877752051,0.6311717198706533,0.49157678134005517,0.945867533561317
freq_0.1150,0.7570637734330353,0.04967985245151097,0.4819905753318846,0.6101874427857433,0.4690692251130606,0.9081131911773626
freq_0.1233,0.6681112816789512,0.0476087703947976,0.45840396710201897,0.58396091275316,0.46668361012192483,0.8768911771906508
freq_0.1322,0.6069178328519893,0.04631502876074059,0.4430920558461175,0.5701000385368162,0.4461045924179241,0.8487366678010209
freq_0.1417,0.543109445300274,0.04475497524189404,0.4336560590301271,0.5470782281372996,0.44575825226017274,0.8282829134380547
freq_0.1520,0.4737610391681024,0.042235373056134035,0.4316386902491426,0.5045718905683683,0.4448806113307845,0.799264355523118
freq_0.1630,0.41352186763770526,0.03991494813916343,0.43321630199342254,0.46340199428463463,0.4426099064985734,0.7735123153192254
freq_0.1748,0.37611304237368326,0.03876685730575478,0.4348195293425379,0.44302870156451335,0.4360789154926354,0.7586219572651703
freq_0.1874,0.350853812246394,0.037807022878983264,0.4264495702738677,0.4314519160516959,0.4219350527825048,0.7389446397518702
freq_0.2009,0.3107980710246414,0.036454368684842274,0.41358143713465606,0.41261795831474696,0.423114843724327,0.7213385859955499
freq_0.2154,0.2600016414056875,0.034655210652121696,0.3986221603643194,0.3859564820642434,0.42799030490948137,0.700740846445699
freq_0.2310,0.21498821359603457,0.03362761507078897,0.38712899968680503,0.37242716334394604,0.4281545874048234,0.6869404669334302
freq_0.2477,0.1655944792993045,0.03332948171933251,0.3875093824418331,0.36567628413050857,0.43505627707191974,0.6878638168094221
freq_0.2656,0.12295931042257066,0.03423817719394386,0.3887056354601472,0.38095509553678114,0.4411602062639532,0.7006005876708702
freq_0.2848,0.08881029668151891,0.035523446591189,0.3831060506975187,0.405788352468872,0.44810935363598503,0.7157069413499575
freq_0.3054,0.0605526417378543,0.03703937559526547,0.3771524040023584,0.43312775802793346,0.46305326946370756,0.7377410934603624
freq_0.3275,0.020959132764243764,0.037802657065330376,0.36856355158619786,0.44958192917231987,0.46541066795337144,0.7446946303290632
