,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,-0.0005800685360011757,0.036860706970637,0.4103287495570982,0.40751073073751143,0.5166663062770365,0.775486138123222
PGV,0.015734935305893497,0.03171497553178012,0.38490193245544363,0.32610302155917154,0.498568677382541,0.7092696273949228
CAV,0.13525150021237334,0.03366894903832044,0.32860132249336554,0.4097456264229889,0.34283657478486246,0.6272218303976457
AI,-0.2612465059225936,0.06733521402684235,0.7245163717672425,0.7764074844955834,0.8042583656303427,1.3321276491485037
Ds575,0.1566673491568914,0.029539606680326434,0.28375740232178426,0.3284026793899322,0.52698793621114,0.6827026205566887
Ds595,0.5049847807547649,0.02533023128040715,0.26578673615862813,0.2842397882012346,0.37477855045587954,0.5402719761345661
pSA_0.010000000000,0.0014069984608686519,0.036893305346167325,0.4105564554473059,0.4082291531792239,0.5152231216894693,0.7750241994533613
pSA_0.010722672220,0.001569675550132378,0.03688587552322543,0.41065136221649384,0.40803428568516636,0.515316754282645,0.7750341133326106
pSA_0.011497569954,0.0018452114873550958,0.03687110827977241,0.41040226621735615,0.4078631269176723,0.515412036520412,0.7748754208293882
pSA_0.012328467394,0.002013019665934753,0.03684770735772856,0.40992848017354533,0.40764394283378474,0.5154628265533012,0.7745430062590362
pSA_0.013219411485,0.002249425972831956,0.03683816788503236,0.40941291098007254,0.40772733159194524,0.5153286741422628,0.7742248710791247
pSA_0.014174741629,0.002929587816127049,0.03686515258587747,0.40931720894329887,0.40834938883484645,0.5147973965136677,0.7741486681227161
pSA_0.015199110830,0.005534095340090117,0.03685326715422982,0.40896440811875084,0.40837608873834946,0.5142657538478852,0.7736227650101088
pSA_0.016297508346,0.00839823372052928,0.03687010125815253,0.40892543418009925,0.4087453465511502,0.513991843515396,0.7736151396185043
pSA_0.017475284000,0.008099719687868087,0.03693184223459778,0.40939744412390283,0.4097007718707243,0.5137346559165722,0.7741991258173637
pSA_0.018738174229,0.009275972714879172,0.03698509837375147,0.40970941141810874,0.41060462627801425,0.5132778949840199,0.7745399656600732
pSA_0.020092330026,0.011305795721594734,0.03710257172065285,0.40990234645714474,0.4127411340211742,0.5128023021159103,0.7754620418818289
pSA_0.021544346900,0.012280758622583031,0.03722320530815619,0.4104836582809896,0.41479748435662844,0.5120548443466723,0.7763723013884681
pSA_0.023101297001,0.012627464034953014,0.03739389553199481,0.4111251371954547,0.4177366873758704,0.5113161474715132,0.7777994735655569
pSA_0.024770763560,0.011402151055561919,0.03754462380037952,0.41127594395203454,0.4205540648553126,0.5104130472310443,0.778803635278909
pSA_0.026560877829,0.010827159830261335,0.03778792641929811,0.41060267795430455,0.4254097890472409,0.5095465090330779,0.7805162987588797
pSA_0.028480358684,0.008797976418672632,0.038127573042282266,0.41012016731845286,0.43166085204287397,0.5102838150389006,0.7841678485619967
pSA_0.030538555088,0.0044915265370403116,0.03836779809238626,0.4112006632544272,0.43551756097635075,0.5103123296492204,0.7868800449698066
