,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.08593365474261268,0.08172469520903404,0.05887001803602147,0.1362264014363592,0.0849121267314551,0.06185440514999144,0.08573185347062008,0.08574416589084745,0.085753478675193,0.08575327004665184,0.0857291881650219,0.08565761484492145,0.08557563392856035,0.08553941655550158,0.08551841060108323,0.08546545798386146,0.0854237819328669,0.08534446551178784,0.08527734796970662,0.08517842164748078,0.08509876357042825,0.08527347336451518,0.0853316482628134,0.08561556625247416,0.08575525133265174,0.08574449608996718,0.08578184970969874,0.08586875587545682,0.08592855397191493,0.0859235787241894,0.08631775405616285,0.08652121759784401,0.08664014697473578,0.08710766511330126,0.08746452694702278,0.08766373676063977,0.08763677593863288,0.08789842311499683,0.0877679127416677,0.0876318969829657,0.08799547471536223,0.08795789174381882,0.08808259591077232,0.08818921889830036,0.08869345062517568,0.08888213253819707,0.09014644156718322,0.09076083229737245,0.0911186272000149,0.09105168689696198,0.090985051146287,0.0909793536815718,0.09080785034793325,0.09069179273108602,0.090465870940874,0.09066399250954486,0.09023704324486982,0.08966416431349726,0.08920059718874063,0.08858018105323937,0.08796598314427728,0.08743960095961367,0.08669194360717622,0.08515264103615759,0.08412062570303297,0.08344961015603718,0.08291773198357677,0.0818606076422925,0.0802055503157446,0.07893094454736621,0.0774810573573734,0.07585443073614503,0.07433073166770579,0.07365883301072015,0.07265708423724311,0.07207219013195236,0.07168874386138106,0.07068950405784166,0.06990601288652049,0.06901106414997941,0.0684317631025716,0.06850556967379079,0.06836659193775464,0.06816648826202307,0.06770189336877927,0.06723363942007163,0.06669516916914166,0.06618329116389354,0.06603589829175696,0.06572472542861876,0.06513740090597749,0.0648150181864674,0.06455579854352267,0.06430615781946195,0.06382722378223736,0.06331291443371727,0.06287583131390727,0.06293943760105948,0.06308727319984603,0.0631787799625542,0.06310285104788321,0.0630655612709195,0.06328202962355853,0.06361127515399119,0.06391424100757892,0.06431330690740503
stat_2,0.1158121860481993,0.1095505719312666,0.07935491748058046,0.18365650812983425,0.11426381942282421,0.08348612250229859,0.11554420377934842,0.11555871161897614,0.11557173527569564,0.11557314259143095,0.11554490655881906,0.11545371889248592,0.11534596151465841,0.11530010274440877,0.11527530874456103,0.11520811746982845,0.11516535432873555,0.11506810562635747,0.11499220451445939,0.11487534544146386,0.11480232168343087,0.11507959740080753,0.11517233235983394,0.11557815228932766,0.11579085728852002,0.11580727935624976,0.1159129386719848,0.11607610019212126,0.11618341892330136,0.11620219831786127,0.11677555514251864,0.11711452619595926,0.11726680987092263,0.11789455658146171,0.1183777270052219,0.11863618530338678,0.11855413175814232,0.11888010756623164,0.11866632407149875,0.1184648436011571,0.11893843096363298,0.11884101964033371,0.11898719267587107,0.11912524890942523,0.11982652161480868,0.12002967032038707,0.1216562779539886,0.12241752409647798,0.12289920535984215,0.12276173923805475,0.12264361607024915,0.12256139136235433,0.12223334836296156,0.12193120416036701,0.12157662346364281,0.12194104419935556,0.12141325207174847,0.1205985177165267,0.11984576067478939,0.11902440825540257,0.11827706128477475,0.1176085849034658,0.11665926835888295,0.11464052933257718,0.11335912856845892,0.11258960241139893,0.11191603057076492,0.11049813831970144,0.10838413534778325,0.1067657083126926,0.1047880600561281,0.10249450720853387,0.10040425595759,0.09951816195771881,0.09819516717801567,0.09740680520832531,0.09690340567490337,0.09558856741359283,0.0945231562309568,0.09326269834613984,0.0924693953841263,0.09255246429785197,0.09232899670855621,0.09197625760745731,0.0912636295448767,0.09058548400529201,0.08984086876751493,0.08912265845044438,0.08893767745991578,0.08850445435226516,0.08765894276301248,0.08720420842056649,0.08681988951913619,0.08642874472415288,0.08574928852541612,0.08501433863503409,0.08440437932866722,0.08447536966106803,0.0846626424674141,0.08479415280398464,0.08472723174088102,0.08466699831227495,0.08495624453443117,0.08539514910770844,0.08580979342332302,0.08637166592898675
stat_3,0.06185565808217155,0.05888941770503753,0.042862814745446565,0.09872595576549864,0.06025778759731641,0.04426524001268948,0.06171955914807231,0.06172901186717056,0.061733247782119034,0.06172899364659131,0.061707782488520255,0.061657522355650723,0.06159844068045062,0.061573051638100014,0.061562140302559104,0.06152810031836159,0.06149951621692455,0.061449126708118876,0.06140699450273514,0.06133899044155346,0.061274990001850334,0.06138443104419454,0.06143161888823084,0.06162709593161979,0.061733245113470954,0.061726519499791424,0.06173823061340063,0.06179520206795813,0.0618374061105735,0.06184064604249203,0.06212855155241316,0.06224947339761711,0.062350726372019466,0.06269642639473871,0.06295270620179365,0.0630984512929024,0.06310258147649349,0.06330398062793338,0.06324140209195611,0.06314812917715575,0.06337590694252344,0.06335532847196368,0.06343533155480746,0.06349843671282356,0.063795841974874,0.0639350758553223,0.064822887689165,0.06525285740440434,0.06542025397464091,0.0653758776546454,0.06534491164223147,0.06536546306899604,0.06528752229098311,0.06526011219556488,0.06515898914602805,0.06527111136138071,0.06497369124808472,0.06455031868571891,0.06421963297403632,0.06374548999634135,0.06321930495968885,0.06285099078758581,0.062328601181511026,0.06122554104328321,0.06047382255656344,0.05993957779476247,0.05952647298391528,0.05876338611405169,0.05755008056046307,0.05660361677394815,0.055618397292116394,0.054550659356881664,0.05350328968222557,0.05300639508396022,0.052289862245294944,0.05186014329645703,0.05155255727943108,0.050806642444177076,0.050228102156824286,0.04962985672956832,0.049247235499920286,0.04931540241455075,0.04923983982716772,0.04914897171129463,0.048885441643684746,0.04857963662500126,0.048214378489554,0.047881921499328364,0.04775231045011018,0.04751248191928614,0.04709111335618843,0.04683179265688154,0.0466401462778313,0.046463227235543886,0.046132610755634684,0.04577579134210299,0.045470241544060847,0.04549846771166957,0.04559097231918535,0.04565085365208783,0.04561066951650785,0.04561863613739677,0.04577767487328715,0.04601090654434932,0.04623742208192779,0.046537870438335543
stat_4,0.052198945309231914,0.049602082978009256,0.036620969180073966,0.08392414612789244,0.05011973045034729,0.03716910063542753,0.05209295532571988,0.05210089159958959,0.052102481187839916,0.05209582612818754,0.05207571571022441,0.05203575288688765,0.05198654645900034,0.0519664743079913,0.05196178823693591,0.05193764843472402,0.051918267229178486,0.05188405315425244,0.05185768560871376,0.05180745900765068,0.05175688950032249,0.05184633766241437,0.05189465886365208,0.052058153400597634,0.052159294504454556,0.052163004959286656,0.052174814304448223,0.05223078243393468,0.05227316005680225,0.05228920520401428,0.05254794905708968,0.052645621973107425,0.05274290941650144,0.05304224411294067,0.05325859405911137,0.05338078224643334,0.05339228212432908,0.05356628500440648,0.05353080306818819,0.0534509965762605,0.05360798226908747,0.053583117000440356,0.0536357987220724,0.053675406190581476,0.05387469383138636,0.05398132039159183,0.05469068157095505,0.05502559926690904,0.055090276294179605,0.05504421774441997,0.05502530081668601,0.05504476243894222,0.0549929758814939,0.05498055624570696,0.05493383026484897,0.05502731407955048,0.054796566807482884,0.05441936930274319,0.054111174581563504,0.05369196489361684,0.05319825559061521,0.0529060354396629,0.05249250615808516,0.05157957868884716,0.05096521398700921,0.05050523382863134,0.05014193211993844,0.04949786327835723,0.048485068522749586,0.047687190801914685,0.046900242938062865,0.04606201431665552,0.04521149219236167,0.04478587115169569,0.04419273457020275,0.04382238550154958,0.04353865256730724,0.042894458598161066,0.04239084824800646,0.04191154052413201,0.04161546490298827,0.04168172067674593,0.04162951428445777,0.04157657918261063,0.04139243285453932,0.041148640856075405,0.040854763780829736,0.040597957657534635,0.04047169400619594,0.04025142687570692,0.03988197257961621,0.039633916596985126,0.039458375689900786,0.03929684647391527,0.0390208562199898,0.038720062674325095,0.03846438380324944,0.038469556017882135,0.038532858954553634,0.03858048170026623,0.03856790282075433,0.03860145171817236,0.03873774209945424,0.03893010730575064,0.03913010060969485,0.03940131612769465
stat_5,0.05237474889511232,0.04975503500787916,0.03672550395550874,0.08416602882708858,0.05039579817320904,0.037322461483654354,0.052267653161007545,0.05227550882772176,0.05227734326407658,0.05227108751014497,0.05225137334585929,0.05221129178242591,0.052161995255355455,0.05214186841777235,0.05213687407893905,0.05211239507196067,0.052093186786256025,0.0520585404702723,0.05203198106458403,0.051981823388076796,0.051932735977976645,0.05202518318488922,0.05207374926524104,0.052239292784763504,0.052341258565922866,0.05234611384219963,0.05236125599886832,0.052419758833092134,0.05246354171667642,0.05248046666604929,0.05274196883393724,0.05284461952343025,0.05294107862065454,0.05324084338876528,0.05345803904080768,0.053579958384332695,0.053587904992099665,0.053760401615141486,0.05372124011876133,0.05363995803041937,0.05379838201219969,0.0537708205882859,0.053823288232928396,0.05386366988068864,0.05406901702122013,0.054173921556512815,0.054885074534949514,0.05522050077792588,0.055294063995496065,0.05524671529750358,0.05522555824719422,0.055241448201932726,0.05518333744515798,0.05516299759469357,0.05510852316990388,0.055206941669534285,0.05497505213163333,0.05459715160365895,0.05428622536789072,0.05386901816908409,0.05338421412839332,0.05309001300441621,0.05267380594359326,0.05175794040743302,0.05114412766391593,0.05069020188340935,0.05032942335002577,0.049683523693956906,0.04867193167065282,0.04787640114484479,0.0470815511267155,0.04622940984891725,0.045371156620612384,0.04494580785221822,0.04435153146158353,0.0439805104243626,0.043698475330258356,0.04305518654357242,0.042550541828050285,0.04206436953654219,0.04176446748142751,0.041829264276733315,0.04177373532298742,0.04171350332337945,0.04152011565121417,0.041271251862026,0.04097399911553584,0.04071258090869212,0.04058812504750768,0.04036760631252721,0.03999457130168988,0.039747193306848165,0.03957037581762417,0.039406468931996515,0.039127263320300566,0.038823056166785795,0.038565076805555897,0.03857179623936819,0.03863659714322445,0.038685189817234025,0.038671728653376584,0.038701567258666913,0.03883793050647363,0.03903120981622861,0.03923119000994354,0.03950270694447527
stat_6,0.05044701589365817,0.04790221542907133,0.03549812780360363,0.0812456297343775,0.04829436908683248,0.035887442164343517,0.050346549932250684,0.0503541450613877,0.05035528358801699,0.05034826846244987,0.05032850714445769,0.05029056189026673,0.05024322907224297,0.05022420616448665,0.050220732489266375,0.05019849489953805,0.05018118961517936,0.05015018518458434,0.05012712227351935,0.050080649225809244,0.050033662923979295,0.05012089454117201,0.05016991693800693,0.050328397511996914,0.05042950754035519,0.05043623779085992,0.05045003676328105,0.050507542083513775,0.05055099269741587,0.05057046366266151,0.05082571756284885,0.05092155324486919,0.05101802686193685,0.051308983816627365,0.05151816237320132,0.051635666416940146,0.05164688302008636,0.05181494571880969,0.05178320471340393,0.051705120471689174,0.05184811916650327,0.05182064928920578,0.051867429641353616,0.05190246172271249,0.05208440756478942,0.05218335181236143,0.05285783493884891,0.0531735581904203,0.05322027071602597,0.053172671066246464,0.053155050451184536,0.05317219454227166,0.053122225885857445,0.053108287894311865,0.05306923808959705,0.053162144213474746,0.052944549235050244,0.05257481537220108,0.052267700240819115,0.051859305691299235,0.05137477133569487,0.051097021907544185,0.05070427930625218,0.04982709936226971,0.049240521828751674,0.04879807924690274,0.048445204523845396,0.04782292593856991,0.04684992040887691,0.04608202790475105,0.04533038185796996,0.044530668292081896,0.043714769466000405,0.04330273118931041,0.04273304070771529,0.04237340318038616,0.04209429407202954,0.04146956151091367,0.04097913427385532,0.04051969988152309,0.040239064022389685,0.04030445331073297,0.040255272806784446,0.040206361300470485,0.040033628484189086,0.03979938537803591,0.03951781448611609,0.039273776299839955,0.03914855481765399,0.03893122917357874,0.03856915660693849,0.03832248351449407,0.03814871752266054,0.037988220295885944,0.03772095942992293,0.037428922807062996,0.03718156038825957,0.03718236159580801,0.03724024637674046,0.03728595775382276,0.037279166380013544,0.03731664181991816,0.03744869562057481,0.03763354788728347,0.03782883021584332,0.03809537674001539
stat_7,0.061085338032610736,0.05815070492077507,0.042368222936350106,0.09755395536613437,0.05941734043350816,0.043692301131538124,0.06095182014484428,0.06096117459044631,0.060965144113672196,0.06096060194753841,0.06093937491667318,0.060889938311011436,0.06083162967902924,0.06080666491437983,0.06079632212191423,0.06076313623911788,0.060735243917839805,0.0606862271198626,0.06064538836026415,0.06057875939599505,0.06051546965790796,0.0606227109833022,0.0606699741257544,0.060862558940117405,0.06096819734107221,0.06096203796749507,0.06097297865445915,0.061029296930556524,0.061071197005952454,0.06107523065498479,0.061360306350455494,0.061478204516661396,0.0615794052017703,0.061921536694964203,0.06217460405883906,0.06231864810591356,0.062324254500333603,0.06252398351554164,0.06246440538770187,0.06237250492413119,0.0625944873990913,0.0625742058878927,0.0626521402821886,0.06271323303338051,0.06300157434283339,0.06313869595071572,0.06401238484531524,0.06443486568675372,0.06459196196385537,0.06454767321706079,0.06451816624966371,0.0645394140276674,0.06446489186052204,0.06444028637705335,0.06434516745844054,0.06445491926281223,0.06416298572002939,0.06374308950304247,0.06341434532446175,0.06294381916091667,0.06241787334341805,0.062055943237300855,0.0615426472200076,0.06045481280274609,0.059713583600522376,0.059183579194446605,0.0587735684265308,0.05801989643346127,0.0568215200825368,0.05588567851041159,0.054917560709724006,0.053870782512267505,0.05284024343412185,0.052348634815101706,0.05164172692473982,0.05121661242663235,0.05091031251952933,0.05017177414944622,0.04959905909489356,0.04901155006075239,0.048636485349524056,0.04870489155726045,0.048631921300245046,0.04854569461768001,0.04829038889931687,0.04799043893325635,0.04763137923686437,0.047305741374607885,0.047175928806687445,0.04693754800391665,0.04652077407542011,0.04626199502529361,0.046071728760095666,0.045896339826011774,0.04557050930617869,0.04521858583300577,0.04491727337181415,0.044943296377933296,0.04503316620853143,0.04509191439573948,0.04505419645250991,0.04506500536980799,0.04522230817803906,0.045452214006340814,0.04567677829061901,0.04597508325051614
stat_8,0.10264237293394668,0.09737320658214305,0.07024813418864104,0.162638469754765,0.10151061082782807,0.07397121240826225,0.10240148806839876,0.1024152953286336,0.10242697733510477,0.10242800762601464,0.10240147120941036,0.10231783537387876,0.10222098349533498,0.10217876520427209,0.10215439688325435,0.10209214489444492,0.10204734190703854,0.10195531401678981,0.1018798291743139,0.10176753422873429,0.10168663956042118,0.10191392064349197,0.10198808591682877,0.10233748105228971,0.10251281209952075,0.1025116116792972,0.10257968291445263,0.10270184274680424,0.1027835138188682,0.10278608571545089,0.10327207558148956,0.10354354296370812,0.1036800327636043,0.10423609500491378,0.10466329067046788,0.10489711636702147,0.10484396239243388,0.10514438842342524,0.10496922325400394,0.10479918913866348,0.10523270878967783,0.10516910173220557,0.10531128685462987,0.1054386449475594,0.10605955573862541,0.10626483819343986,0.10774877521714192,0.1084587508128786,0.10890009165959444,0.10880116788478383,0.10870786787926665,0.10866812049842671,0.10841830176339512,0.10821384575210193,0.1079150745901367,0.10819463572643757,0.10770189580022281,0.10700250379914977,0.10639784917717258,0.10566674281520762,0.10497763475820379,0.10436340855848687,0.10349088725564955,0.10167340316261574,0.10048484762561993,0.09974373333447249,0.09912998102311045,0.09787028719694134,0.09594185019487972,0.0944621990612007,0.09271174936683162,0.09071354169702424,0.08887171929396412,0.0880786606818135,0.08689168279561253,0.08619440157022307,0.08574652089419148,0.08456936357089116,0.08363227292986812,0.08253523022338738,0.08183302534076696,0.0819125668434217,0.08172895274262032,0.08145001719153638,0.08085125747054078,0.08026925558291054,0.07961554053424742,0.07898800086925156,0.07882061922911228,0.0784459190737755,0.07772333870453238,0.0773343148543669,0.07701178230850625,0.07669179007384669,0.07610439484254518,0.07547175344106698,0.07494018432576162,0.0750127500062158,0.0751865117655451,0.07529988516837206,0.07522119352297793,0.07516791087982712,0.07542504304019178,0.07581691819295677,0.07618013177388994,0.07666444433804959
stat_9,0.12079237470268382,0.11406017923144539,0.08299380658555346,0.19183514688547113,0.11902808855731718,0.08706166644971197,0.12051707172064881,0.120531531532886,0.12054460090609936,0.12054557950448185,0.12051672305397951,0.12042409143179221,0.12031277852050991,0.12026633283734536,0.12024310774376132,0.12017590657863284,0.12013718940789767,0.12004172329172635,0.1199704690798043,0.11985646246009235,0.11979267239498258,0.12009438809625453,0.12019898079019403,0.12062928107412743,0.1208636285862305,0.12089470284069374,0.12102413693103703,0.12121303560140444,0.12133685648160512,0.12137085082885868,0.1219902719576329,0.1223642511114323,0.12252570265716893,0.12318304904669293,0.1236877395620819,0.12395340248274937,0.12385556106048594,0.12418807056419018,0.12395982354136816,0.12374286107920011,0.12421537974485558,0.12409458476654955,0.1242333814021776,0.12436985353107276,0.12508794265238532,0.12527895737652747,0.1269362876683153,0.12769985895252933,0.12817847657497816,0.12801835519553426,0.12788866790946588,0.12778113078351017,0.12741386035385002,0.12705834041433994,0.1266837905653116,0.12709271985459178,0.12656241035466817,0.1256940682346,0.12486322918329897,0.12400621161616471,0.1232383018232782,0.12255740275798023,0.12159132875092402,0.11950726863984162,0.11820960720883376,0.11744556688719224,0.11675179849493537,0.11527499256840415,0.11310979315476954,0.11145331433388665,0.10939888776091486,0.10699737666220899,0.10481823651831254,0.10389801943752609,0.10253192228633136,0.10170650472218422,0.10117621024016438,0.09980958400986664,0.09868927042829186,0.09736668129031056,0.0965457953565243,0.09663049471142482,0.09639001909139908,0.09600392026113345,0.09524721233574919,0.09452988176853941,0.09375286016700411,0.09300420888363838,0.09280876766054338,0.09234474642836299,0.09143915567740887,0.09094698184860037,0.0905296954471406,0.09009986061426356,0.08938136412249235,0.08860163783374224,0.08795954652800869,0.08802299023360131,0.08821004959728028,0.08834886199680864,0.08829674890348335,0.08823957649029796,0.0885411684855655,0.08899592750949616,0.08943339130302436,0.0900332767898399
stat_10,0.07407815561928188,0.0705264168314067,0.05092807880877302,0.11767842958303736,0.07287309621014433,0.05321043504649309,0.07390733242166689,0.07391836107538656,0.07392540366366442,0.07392350280325836,0.07390087919295359,0.07383918241762066,0.07376823663107233,0.0737370074705357,0.07372018664033349,0.0736757149100988,0.07363910573575597,0.07357240555152948,0.07351556774287159,0.07342999570467433,0.07335563020599249,0.07349617305747773,0.07354700916570063,0.07378623241633082,0.07390648930612725,0.0738947054149142,0.0739159649770379,0.07398441482251303,0.07403310119347599,0.07402893239316398,0.07436623109737506,0.07452579290135289,0.0746349354796943,0.07504161360574095,0.07534881155660111,0.07552239908882205,0.07551240058317109,0.07574542760645528,0.07564832121928163,0.07553456453969298,0.07583686472932817,0.07581137015309752,0.07591727741702552,0.07600458066249124,0.07641243707439609,0.076581147638737,0.07766969500855943,0.07820071942104931,0.07847464308542572,0.07842262344070805,0.07837424531185909,0.07838545543787229,0.07826373623270837,0.07819819875689377,0.07803156650378029,0.07818199780697253,0.07781352243657222,0.07731924001916488,0.0769320790984393,0.07638531479611539,0.07581630159269794,0.0753630425680927,0.07471948845987166,0.07338951138559063,0.07248670592307065,0.07187649265702259,0.07140249695834573,0.07048977324149665,0.06904406756647151,0.06792514600027372,0.06669968921125174,0.06534600918541338,0.06405464593953707,0.06346860481907657,0.06260420845444563,0.0620967293262029,0.06175299968020252,0.060878544368138526,0.06019851816687506,0.05944950972489221,0.058964293139333726,0.05903514086571627,0.05892798378811332,0.058783379147788827,0.0584177747890999,0.058030340700876815,0.05757636297684793,0.057151343458437996,0.05701413229081582,0.056741208927008506,0.05624046523202222,0.055954078524472935,0.05573189615595999,0.05552272243307907,0.05511832686687145,0.054683851961962085,0.054312412377248445,0.05436184423440247,0.05448502252003769,0.05456088119745591,0.054497806126323406,0.05447986474294416,0.05466792449003746,0.05495074405859056,0.05521456564608058,0.05556143728032317
