,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
freq_0.1000,0.9432675946144049,0.0534880610294488,0.5207428247238369,0.6543500974250257,0.5210267277877298,0.9852999495436354
freq_0.1072,0.8496882665184204,0.05152240393455067,0.5029136534515648,0.6309922234057203,0.492211433055755,0.9451695211216319
freq_0.1150,0.7554830674375607,0.04963728423708278,0.48110919279206915,0.6098241662303598,0.4687819766834132,0.9072530577357114
freq_0.1233,0.6669201355088978,0.047587880503535414,0.4584950309437639,0.5836347915297581,0.4661675854274309,0.8764470782582073
freq_0.1322,0.6064145726435938,0.04636171979927062,0.4429688123573908,0.5708618370145274,0.44673007760770456,0.849513018099372
freq_0.1417,0.5416985090246589,0.04476035657354836,0.4328552298171951,0.5474814804725112,0.44564994541196257,0.8280721558452226
freq_0.1520,0.47290303117345256,0.042240150938990265,0.43115167061447457,0.5049015863967489,0.44447619973516383,0.7989846476313668
freq_0.1630,0.4133786787005305,0.03994158130632224,0.4332520927133222,0.4638720812986917,0.4425276454239084,0.7737670195952278
freq_0.1748,0.3756061287534996,0.03878224836762972,0.4343099162105089,0.44358025333205203,0.4357552574250957,0.7584663399509026
freq_0.1874,0.35222546609033817,0.03792914098784009,0.42555814975111056,0.4341395574024122,0.42134436925134405,0.7396674736805479
freq_0.2009,0.3227352945725112,0.03707277576513502,0.4130321146914357,0.4241852469151059,0.4222038424812673,0.7271758632358857
freq_0.2154,0.291539607871407,0.03599464892409775,0.3984861710610383,0.41057167344333045,0.42684180941379946,0.7138306926888127
freq_0.2310,0.2687928411510604,0.035522138287521536,0.38684180619546177,0.4071743618679904,0.4270923422921005,0.705581613158765
freq_0.2477,0.24086279532924026,0.03568143187529917,0.3881029003471127,0.4084377306902203,0.4343625859065296,0.7114183699797364
freq_0.2656,0.21939073611506232,0.037056947756668686,0.38993048507447287,0.4312601575321812,0.44097401525395286,0.7297185682126288
freq_0.2848,0.20577766485812116,0.038792639965797696,0.38464276789164376,0.46295767334133603,0.4474742499036204,0.750008713631899
freq_0.3054,0.19671443993364632,0.04057850962210641,0.37841789179162577,0.49410666484948035,0.4621957036559735,0.7752202045578636
freq_0.3275,0.1748801968753873,0.041490346971701585,0.3697848373519182,0.5123429356240873,0.4646878758557605,0.7843283314955739
freq_0.3511,0.15880822098201633,0.04199172938516008,0.3647782748919266,0.5218761122922674,0.469641305327826,0.791189498214205
freq_0.3765,0.1529315454950143,0.04224283477704313,0.3666787283304322,0.5250294838181853,0.4729500481228327,0.7961099149663963
freq_0.4037,0.16744397021474727,0.042772692536702996,0.3680577551964191,0.5333784377007788,0.4734586987935246,0.8025722449895761
freq_0.4329,0.20744651703331837,0.043893221983935464,0.3702217211295054,0.5515130011244039,0.47215589167486294,0.8149612869631446
freq_0.4642,0.25608045303151256,0.045856126643890154,0.36587999848060815,0.5844478415370656,0.4796212037308597,0.8399309208701294
freq_0.4977,0.3089187247033717,0.047198898833213807,0.35240691744748615,0.6108353953202734,0.47565687330924833,0.8506232872236948
freq_0.5337,0.3437557408145797,0.04727212091958932,0.34387303774701494,0.6159078453941959,0.4623447100845393,0.8434179100841037
freq_0.5722,0.39433666215737434,0.04674201011983517,0.3426700991177699,0.6079797747121535,0.4596949901114402,0.835692340052235
