,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.21372034576990467,0.04073120618021574,0.40815190449585215,0.4779483364574674,0.5164362881888919,0.8134672883554518
PGV,0.19581973406162748,0.0392450135876832,0.38595150790395233,0.4633692043189663,0.4979729106968078,0.7820783884959214
CAV,0.3546471587816269,0.04181507510845346,0.3242194124922446,0.5460927251380298,0.3426040873202426,0.7216044986930392
AI,0.1728928091399112,0.08101482283975509,0.7151709020024378,1.0154691457356013,0.803817737176141,1.4794492081889612
Ds575,0.15413941496974087,0.029412680901596603,0.2844099010449153,0.32578431251637213,0.5273240173300879,0.6819787601877983
Ds595,0.502388766149645,0.025134850879477033,0.2670051296475644,0.2800328691653656,0.37557198082967286,0.539225796726588
pSA_0.010000000000,0.21617328950289638,0.040661335788998165,0.408382907119006,0.47683192768190763,0.5149942822359093,0.8120125595207836
pSA_0.010722672220,0.21643084801816498,0.040645070044816614,0.40846239173297844,0.47650453543343707,0.5150603440353839,0.8119022451913216
pSA_0.011497569954,0.21679760452906488,0.040621222113121934,0.4082090518339249,0.4761770772464329,0.5151344217080219,0.8116296639000853
pSA_0.012328467394,0.21708521638339592,0.04059209506286567,0.40777070149175665,0.4758385346423241,0.5151590412345641,0.8112262901381765
pSA_0.013219411485,0.21744393987601898,0.04058974538563588,0.4072716434837646,0.476018636790074,0.5150181637646353,0.8109917651646925
pSA_0.014174741629,0.21830982124883766,0.0405963564728797,0.4070872089613176,0.47628272029162083,0.5144995053155776,0.8107249634236484
pSA_0.015199110830,0.22113465891274037,0.040549936457478286,0.4067416637881558,0.47567086436787104,0.5140445646336098,0.8099033070058377
pSA_0.016297508346,0.22438418624008036,0.04052861265658295,0.40675840077612385,0.47532068908772385,0.5138238791222226,0.8095660151173509
pSA_0.017475284000,0.22444298044879277,0.04052968408621141,0.40727753606843603,0.4751873760475501,0.5134194009732909,0.809492134017808
pSA_0.018738174229,0.22610283023599057,0.04050614610891122,0.40752379440148867,0.4747434965206723,0.5129296971830198,0.8090450573017085
