,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
event_1,0.0941841502936768,0.09065949957169968,0.06399507674993629,0.14883302047714178,0.09201601983755915,0.06763109389281596,0.0939507365839379,0.09396231604595659,0.09396818163527662,0.09396203151386795,0.09392896976908707,0.09384114246433926,0.09375796001737895,0.09372136573760444,0.09366595517443883,0.09359000514741146,0.09351900198601557,0.09343948855293994,0.09332654862461383,0.09320133226490164,0.09310187014885263,0.09319921908178994,0.09318724425696245,0.09339751988268015,0.0935477760257355,0.09351968290697697,0.09336431957241265,0.09343460130432844,0.09353542605830253,0.09343703926317676,0.09364804549139472,0.09385179745607027,0.09392640026339051,0.09441874841304412,0.09488361055722155,0.09506347385949575,0.09514269239691335,0.09554933004997217,0.09556819014958097,0.09554106900958466,0.09603411752308169,0.09605860226351148,0.09625847206544445,0.09639523581693982,0.09696694773381931,0.09727675185057419,0.09882654985379141,0.09963438195058295,0.09999353631390012,0.10006514049825235,0.10002860050347749,0.10012337050897117,0.10012592487617213,0.10029386469824433,0.1001184721005517,0.10023432046056861,0.0996845676770843,0.09915924964095506,0.09885576650114589,0.09808920630282447,0.09722684495285075,0.09666378627080653,0.09569566335235319,0.09398254680609382,0.09270810228088121,0.09175813786925716,0.09107461996805977,0.08999898431050923,0.08812419051806779,0.08675365393013677,0.08509433847768208,0.08345735429429883,0.08195006399316462,0.08120503060367587,0.07999958771485513,0.07899164038520598,0.07834002460734987,0.0772193374562133,0.07628425342778594,0.07535239958008647,0.07491485742373323,0.0752132571291078,0.07515575752183203,0.07512931979579353,0.07485608086570358,0.07450620333777279,0.07395785550906649,0.07338053341772799,0.07307391797347432,0.07271352145919002,0.07192649223536365,0.07142090464681794,0.07114152266509392,0.07099182014960857,0.07066698291960387,0.07042451476242065,0.07032549327466976,0.07047501978674231,0.07060249154890276,0.07088101802466024,0.0707390595723272,0.0706737265535783,0.07078698302870509,0.07099682592281072,0.07121284509307954,0.07156296514503628
event_2,0.10194919888714546,0.09812322566035071,0.0692395112894612,0.1610805605964119,0.09928466418934874,0.07318489107433884,0.10169813554330093,0.1017108485987187,0.1017169675429835,0.10170988674250653,0.10167350668188825,0.10157843724913787,0.10148848524375795,0.10144916262550208,0.10139011411124232,0.10130866240699335,0.10123222491138344,0.1011468366809688,0.10102521584482936,0.10088977010923172,0.1007808611564398,0.1008835946532422,0.10087092312062045,0.1010974637871146,0.10125975291146667,0.10122718925972024,0.10105665849108429,0.10113184750393704,0.10123955622138082,0.1011337297932742,0.10136048096128886,0.10157743067143664,0.1016604339138442,0.10219386222939628,0.10269625035131277,0.10289254408947955,0.10298289188033632,0.10342353098217506,0.10344642778510905,0.10341778000048617,0.10395132860630309,0.10398010358921485,0.10419539599280901,0.10434163046190578,0.10495376687663471,0.10528987933239921,0.10696520576815068,0.10783803528132732,0.10821122632668917,0.10828621014667268,0.1082458716179737,0.10834894932133125,0.10835478763557595,0.10854203366942351,0.10836012214810427,0.10847993585620401,0.1078831136893946,0.10731006604042369,0.10697697989045479,0.10614224949817053,0.10519466486066803,0.10458600031759938,0.10354202370243218,0.10169020326180774,0.1003100388044392,0.09927516652555346,0.09853063366197365,0.09736525068276333,0.09533257137925964,0.09384550807022293,0.0920580833442872,0.09029810010450666,0.08867059740431452,0.087864439908937,0.08655937885536168,0.08547030765521228,0.08476405796301541,0.08355156721360879,0.08253980976268972,0.08153497620809325,0.08106403085669996,0.0813890311846767,0.08132951695828315,0.08130790953667864,0.08101860992336875,0.08064293043367725,0.08005110486000322,0.07942903580029163,0.07909713517061187,0.07870802024519342,0.07785992199733215,0.07731235640712932,0.0770113656881151,0.0768522124962602,0.0765023257562915,0.07624152339993241,0.07613373835828993,0.07629473131858741,0.07643215524035858,0.07673248910823316,0.07657948853921447,0.07651022426235456,0.07663329059186796,0.07685942940992654,0.07709277916152509,0.07747117882880002
event_3,0.11186181340186228,0.10764791535362493,0.0759119492850433,0.17668758650185284,0.10849456543869433,0.08027702168469827,0.1115886435444099,0.11160289589522204,0.11160931626712461,0.11160096730621014,0.11156015109758353,0.11145575611177802,0.11135720768548074,0.11131449899602029,0.11125104195812037,0.1111627797703102,0.11107938940722971,0.11098654718417433,0.11085384565465438,0.1107051940699601,0.11058358539680241,0.1106919965649824,0.11067821235831803,0.11092505263641655,0.11110229664078741,0.11106311150959043,0.11087171966930816,0.1109524911271352,0.11106854211401841,0.11095294511645752,0.11119844291162538,0.11143041266056428,0.11152456573083343,0.11211055825340913,0.11266056638936119,0.11287835998821531,0.11298462599440363,0.11346908866161454,0.11349795833788383,0.11346791376188191,0.11405413674587213,0.11408944830357831,0.11432438728547469,0.11448224822221603,0.11514445215246218,0.11551473897325794,0.11735091598723842,0.11830696284848001,0.1186943193459385,0.11877267227920058,0.11872650159095365,0.11884006967791999,0.11885061177186376,0.11906406424962447,0.11887549521286235,0.11899771599015735,0.11833884065979684,0.11770322733627993,0.11733127475706968,0.11640786880387698,0.11534744144378511,0.11468001303462932,0.11353934731872291,0.11151071843790397,0.109994497150673,0.1088483984519238,0.10802446441041094,0.10674410818286367,0.10450788035924895,0.10287049997168402,0.10092135526096305,0.09900750565345626,0.09722784940237389,0.09634420651495543,0.09491210222595182,0.09372034607278734,0.09294470607017323,0.09161549814029711,0.09050632628842904,0.08940931854233759,0.08889639893755824,0.0892560605543573,0.08919501762598137,0.08918217131189642,0.08887457269174452,0.08846745768855421,0.08782089738636624,0.08714268829931254,0.08677880536682489,0.08635377610701112,0.08542959567530979,0.08482879817648185,0.0845011723139056,0.0843314945024978,0.0839503036008873,0.08366705411814308,0.08354814282315946,0.08372380544444481,0.08387398730076197,0.08420179796323186,0.084034297594282,0.08395989354100926,0.0840955352771934,0.08434207458878534,0.08459704802449777,0.08501075647181766
event_4,0.087497203389411,0.08423011815361585,0.05960927964682367,0.13847893736795805,0.08552853474377398,0.06277552932015765,0.08727980472624171,0.08729013284398077,0.08729533801898602,0.08728950307218186,0.08725934459210809,0.08717841291144472,0.08710092559534711,0.08706666399438197,0.08701496422942802,0.08694405911127315,0.08687900634036531,0.08680603422771033,0.08670229236709705,0.08658737534430042,0.08649796076161044,0.08659339833932032,0.08658471221542183,0.08678191443303494,0.08692425641885272,0.08690175081104447,0.08676561913259241,0.08683503053638575,0.08692971617802844,0.08684201607318885,0.08704653489869292,0.08724457956570582,0.08731477648787217,0.08777208938260611,0.08820479964032903,0.08837056118042017,0.0884385742819039,0.08881357984655433,0.08882905762737013,0.08880041366279652,0.08924948584459526,0.08926761339759628,0.08945149802791123,0.0895789362524554,0.09011008629178233,0.09039436908442196,0.09182489580208619,0.09257045648440412,0.09290719900813812,0.09297698993771286,0.09294963364389583,0.0930394674943255,0.0930430570206001,0.09319597673431834,0.09303368474766448,0.09315314646548059,0.09265575896288603,0.09217329611859358,0.09189191661706002,0.09118456310553946,0.09039190651526852,0.08987488503544613,0.08898156736073577,0.08739267006176886,0.08621705385071823,0.08534675658805133,0.08471615169324949,0.08371846827489828,0.08198819741222221,0.08072218426729948,0.07918161322042976,0.07765705532713285,0.07625359254955484,0.07555696636999255,0.07443547864618673,0.07349527368045863,0.07288460625380032,0.07184039622145874,0.07096834767685402,0.07010183967000186,0.06969508298359686,0.06997012317248222,0.06991301342803218,0.06988002298206838,0.06962077563453395,0.06928850280721105,0.06877594979926523,0.06823748099248567,0.06794947419176725,0.06760967981726794,0.06686975896643638,0.06639572008650987,0.06613046427706135,0.06598366330273943,0.06567971310887846,0.0654493485755382,0.06535532221440422,0.0654919086484783,0.06560857241785943,0.06586803080487136,0.06574136826907392,0.06568537571825521,0.06579127924145335,0.06598758016095439,0.06619195508412876,0.06652367262202717
event_5,0.12954220033157968,0.12461587450267331,0.08798194288607833,0.204785324802514,0.12436104933816877,0.09281426181278157,0.1292334005398091,0.129250356755011,0.12925634937713865,0.12924438471004482,0.12919469103247758,0.1290744991978689,0.12896059953828493,0.12891232911767098,0.12884336141723507,0.1287446701129706,0.12865125298487523,0.12854824063494064,0.12839915056274295,0.1282290789771202,0.12808511444385895,0.1282025141720243,0.12819083337683296,0.1284731813162333,0.12867971905558923,0.1286271192827873,0.1284024606510896,0.1284960770403141,0.12862407421409564,0.12849811239573933,0.1287836778987607,0.12904339639052578,0.129165828276722,0.12984701489830536,0.13048059838103274,0.13073997348343946,0.13088147540211373,0.13144159222711663,0.13148625034612318,0.13145095536219129,0.1321176934971369,0.13216527670282585,0.13242943002324492,0.13260299659412378,0.13333447890127517,0.1337633539138294,0.13586828200221276,0.13696226326048358,0.13733749107696971,0.13741913261078387,0.13736802541963264,0.137503622102098,0.13753195966691836,0.13780297429674918,0.13762504119027227,0.13775070397552341,0.13699302145022582,0.13624022359944465,0.13578676216006363,0.13469731203145932,0.1334079231076049,0.13264476345739235,0.13134943215811845,0.12901557362660815,0.12726514627907143,0.1259170584136588,0.12494371496720813,0.12345720031170329,0.12086240068995817,0.118955665541389,0.11674453535452786,0.11458891676119709,0.1125469727329572,0.1115194784823922,0.10985761863433027,0.10848377935893881,0.10757367674514433,0.10603384278816937,0.10474756750334999,0.10349755497704557,0.10291841611979828,0.10334350415896135,0.10328360741797477,0.10329827885035783,0.10297367019079387,0.10250982479833605,0.10176707368675994,0.10099662155379824,0.10056992645554753,0.10007595401120863,0.09901575321464452,0.0983114058529993,0.09793201512902037,0.09774138185000747,0.09730716108023223,0.09698147418181437,0.09683721912511026,0.09703228945684865,0.09720056927946888,0.09757454352636338,0.09739157117193009,0.09732097952040238,0.09748197647071852,0.0977633950822793,0.09806142461146407,0.0985472047480604
event_6,0.11440819879857357,0.11009451737884222,0.07765196760674854,0.18073605386137348,0.11080760202559478,0.08208276132061931,0.1141294797470973,0.11414406304368807,0.11415047236493972,0.11414170515251751,0.11409977630374353,0.1139931278748607,0.11389233961529889,0.11384874911751533,0.1137842568934051,0.11369428874471779,0.11360937257560698,0.11351491240051989,0.11337971295940356,0.11322798383888204,0.11310355985578878,0.1132140934220521,0.11320058552924665,0.11345287294143895,0.11363448893056313,0.11359404019185633,0.11339866931409938,0.11348161038528053,0.11359980677882257,0.113482576383448,0.11373442245271234,0.11397155234418836,0.11406907329389301,0.11466862180539435,0.11523092728505463,0.11545419400304993,0.1155640379959739,0.11605925922623825,0.11608958291923041,0.11605857096195227,0.11665645633054872,0.11669281016972254,0.1169322720445719,0.11709293870510888,0.11776700736301404,0.11814543977990233,0.12002060272506826,0.1209967035264318,0.12138578374421836,0.12146529491105869,0.1214189482688946,0.12153569017262945,0.12154822493375061,0.12176863836513888,0.12157978473731841,0.12170428556705036,0.12103205071034714,0.12038085933899023,0.11999831283753402,0.11905235299526198,0.11796242940920222,0.11728136123883315,0.11611782326684035,0.11404473837347383,0.11249523861452765,0.11132211307714282,0.11047796322978755,0.10916823354797309,0.10688160043436269,0.10520655917721418,0.10321743288272674,0.10126502736641435,0.09944618979362291,0.09854177596529534,0.0970766683042417,0.0958580289756726,0.09506335353956355,0.09370361078472718,0.09256878374717965,0.09144847304082665,0.09092507566987397,0.09129347236266618,0.09123165461733387,0.0912202681749073,0.09090765681481962,0.09049141185970469,0.08983037172871523,0.08913761740504346,0.08876492396553176,0.08832982500706797,0.08738482525644618,0.08676948319993445,0.08643406575814198,0.08626050732262541,0.085871046568287,0.08558122024817134,0.08545897862984422,0.08563784181737645,0.0857908770437377,0.0861257401854803,0.08595564824071505,0.08588102169887077,0.08602008092964587,0.08627201381952217,0.08653320415701739,0.086957153237754
event_7,0.15376637274318455,0.14781758759319025,0.10479733484656643,0.24372417218135223,0.14500055568356715,0.10978820165379906,0.1534169727060437,0.1534377672147306,0.15344128314740046,0.15342160074859082,0.15335744463987996,0.1532170158796134,0.1530821529266212,0.1530273956534952,0.15295590448384644,0.15284669304424567,0.15274403412326876,0.15263316366469123,0.15246807826703587,0.15227240264177724,0.15209688401474705,0.15222163594889923,0.152220140257363,0.15254871672505463,0.1527994582466508,0.15272327153780227,0.1524570710341559,0.15257221712097915,0.15270992353752544,0.15258264224444223,0.1529326393042458,0.1532278981469582,0.15340621180593858,0.15422088661810837,0.15496568094109714,0.15528950374818706,0.1554965726119681,0.15615648267175297,0.15623466614918882,0.15618814836147082,0.15694154316127762,0.15700962716298503,0.15730247413745774,0.15748678891870793,0.15827127528945906,0.1587772865833885,0.16121736428686906,0.1624810457486064,0.16276103061431005,0.16283998872103117,0.1627900697277465,0.16296176440208918,0.16303319188303658,0.16340688901029884,0.16328977515335663,0.16341242236825482,0.1625372735303542,0.16160955036819005,0.16101896424466827,0.1596834324531966,0.15801955033272935,0.15714083018876812,0.1556670343725532,0.15293450976868495,0.15087652318629402,0.14923835787022016,0.14804227510624424,0.14627034015959628,0.14318797964230912,0.14090626292125685,0.13838982230238456,0.1359722187169332,0.13359142301069118,0.13235732912070985,0.13037493233917755,0.12875575227357983,0.12764185020585622,0.1258099031698734,0.12427569726160032,0.12284013396823493,0.12218844074652545,0.1227118015733432,0.1226634652124899,0.12274519618770395,0.12243325745082644,0.12189408947409518,0.1210242787681079,0.12014548801995828,0.11962205818692262,0.1190258256018454,0.11778326964497236,0.11692095656070423,0.11646458432835835,0.11624468850638488,0.11574498087632211,0.11535875121700298,0.11516909938783985,0.11537757532735173,0.115561666555895,0.11599246702618107,0.11580764251828599,0.1157675107127612,0.11596914855558421,0.11629438974164384,0.11665905060468924,0.11725964305073727
event_8,0.12958697253714752,0.12465853942588644,0.08801663803709,0.2048629501302991,0.12439119271101283,0.09284325635107236,0.12927814692924838,0.12929510479312614,0.12930107598511048,0.12928907590035832,0.1292393476662868,0.12911913809748804,0.1290051970471983,0.12895691862277153,0.1288879781001172,0.12878928852253976,0.12869589918266844,0.12859292789354995,0.12844387055348425,0.12827379834692298,0.1281298128804669,0.12824726478967077,0.12823568860386497,0.12851813211304086,0.1287248192052793,0.1286721914929055,0.12844760019790236,0.12854134114255966,0.12866932508118553,0.12854350020652427,0.12882936650079074,0.12908925308147895,0.12921191536674664,0.12989336840641874,0.13052714706974264,0.13078667352589438,0.13092833691872963,0.13148857519709153,0.13153334693261973,0.13149795728291133,0.13216457286164687,0.13221215434713585,0.13247625866534601,0.13264977725403745,0.1333810706127993,0.13381001620315214,0.1359151999744729,0.13700928709510074,0.13738382529383864,0.13746545904265234,0.13741450864304242,0.13755024066831445,0.13757880882577553,0.13785013671574387,0.13767265028654568,0.13779842341002532,0.1370408354377816,0.13628769214186792,0.1358338086552615,0.13474384052111918,0.13345345039268264,0.1326902698478132,0.13139492342142237,0.1290604965405581,0.12730970118273385,0.12596114344270098,0.12498732047829296,0.12350027697264698,0.12090474263256744,0.11899736094525189,0.11678603557777793,0.11463034092068418,0.11258786272745534,0.11155986994528126,0.10989735814404548,0.10852304456017096,0.10761237179352653,0.10607193506229004,0.10478512409199678,0.1035349154844296,0.10295575688783494,0.1033810569226798,0.10332120137180248,0.10333608309622211,0.10301166072288072,0.10254760138429436,0.1018046054892205,0.10103403964703411,0.10060705820850248,0.10011278361159574,0.09905215804302822,0.09834735833330618,0.09796771079731326,0.09777691669208878,0.09734259206883586,0.09701670825983912,0.09687227151162292,0.09706724774074472,0.09723547283156198,0.09760951926604096,0.09742674378338184,0.09735643748024111,0.09751755719579852,0.09779904946841939,0.09809730107880171,0.09858348195743734
event_9,0.12952164287416057,0.12459720471948095,0.08795572837504889,0.2047355423871895,0.12435898263077731,0.0928047956276996,0.12921268166048577,0.12922963763475825,0.1292356830374008,0.12922379536393822,0.1291741627814708,0.12905394356890115,0.1289400630672385,0.128891773928737,0.1288226865729308,0.1287239151861446,0.1286303795428849,0.12852720710363222,0.1283779486965973,0.12820778172726102,0.1280638221063065,0.12818126682169922,0.12816935242529978,0.12845169537277354,0.12865804829610825,0.12860554867150298,0.12838069506640912,0.12847412694968632,0.12860227504364385,0.1284759178500621,0.12876104151270978,0.12902065993210984,0.12914256328051496,0.12982355437655016,0.13045712123272116,0.13071625729377293,0.13085731381693555,0.1314174994612117,0.13146183066894007,0.13142671461880748,0.1320941759245509,0.13214171576260486,0.13240617915341846,0.13258001800672153,0.13331254699030085,0.1337414889382867,0.13584709251243438,0.13694146702881532,0.13731855821797898,0.1374003213262435,0.1373489512129997,0.13748436050889745,0.13751221693394494,0.13778262948409345,0.1376035216941252,0.13772920933220678,0.1369709896461212,0.13621862179839683,0.13576589834225725,0.13467704321715473,0.13338929078193618,0.13262579192509572,0.13132973913447704,0.12899570800687413,0.1272450963925201,0.12589742217392283,0.12492465710408013,0.12343843742004004,0.12084381031162836,0.11893744737066846,0.11672519321274326,0.11456796445520201,0.11252576976317946,0.11149879268692321,0.10983739157684198,0.10846370107472023,0.1075544026155635,0.10601496040995047,0.10472909090298423,0.10347857762620534,0.10289898585185986,0.1033237767872218,0.1032636392074147,0.10327752456591026,0.10295189756538763,0.10248816919049494,0.10174543094598498,0.10097453559190263,0.10054831637919352,0.10005476312305876,0.09899474731176221,0.09829110414532344,0.0979120628745507,0.09772160845157077,0.09728726564774424,0.09696179305124858,0.09681792911728022,0.09701341447773407,0.09718196997779385,0.09755606749327038,0.09737245002697256,0.09730099975994197,0.09746177169982695,0.0977432499971974,0.09804092425467358,0.09852599196352893
event_10,0.12958697253714752,0.12465853942588644,0.08801663803709,0.2048629501302991,0.12439119271101283,0.09284325635107236,0.12927814692924838,0.12929510479312614,0.12930107598511048,0.12928907590035832,0.1292393476662868,0.12911913809748804,0.1290051970471983,0.12895691862277153,0.1288879781001172,0.12878928852253976,0.12869589918266844,0.12859292789354995,0.12844387055348425,0.12827379834692298,0.1281298128804669,0.12824726478967077,0.12823568860386497,0.12851813211304086,0.1287248192052793,0.1286721914929055,0.12844760019790236,0.12854134114255966,0.12866932508118553,0.12854350020652427,0.12882936650079074,0.12908925308147895,0.12921191536674664,0.12989336840641874,0.13052714706974264,0.13078667352589438,0.13092833691872963,0.13148857519709153,0.13153334693261973,0.13149795728291133,0.13216457286164687,0.13221215434713585,0.13247625866534601,0.13264977725403745,0.1333810706127993,0.13381001620315214,0.1359151999744729,0.13700928709510074,0.13738382529383864,0.13746545904265234,0.13741450864304242,0.13755024066831445,0.13757880882577553,0.13785013671574387,0.13767265028654568,0.13779842341002532,0.1370408354377816,0.13628769214186792,0.1358338086552615,0.13474384052111918,0.13345345039268264,0.1326902698478132,0.13139492342142237,0.1290604965405581,0.12730970118273385,0.12596114344270098,0.12498732047829296,0.12350027697264698,0.12090474263256744,0.11899736094525189,0.11678603557777793,0.11463034092068418,0.11258786272745534,0.11155986994528126,0.10989735814404548,0.10852304456017096,0.10761237179352653,0.10607193506229004,0.10478512409199678,0.1035349154844296,0.10295575688783494,0.1033810569226798,0.10332120137180248,0.10333608309622211,0.10301166072288072,0.10254760138429436,0.1018046054892205,0.10103403964703411,0.10060705820850248,0.10011278361159574,0.09905215804302822,0.09834735833330618,0.09796771079731326,0.09777691669208878,0.09734259206883586,0.09701670825983912,0.09687227151162292,0.09706724774074472,0.09723547283156198,0.09760951926604096,0.09742674378338184,0.09735643748024111,0.09751755719579852,0.09779904946841939,0.09809730107880171,0.09858348195743734
