,PGA,PGV,CAV,AI,Ds575,Ds595,pSA_0.010000000000,pSA_0.010722672220,pSA_0.011497569954,pSA_0.012328467394,pSA_0.013219411485,pSA_0.014174741629,pSA_0.015199110830,pSA_0.016297508346,pSA_0.017475284000,pSA_0.018738174229,pSA_0.020092330026,pSA_0.021544346900,pSA_0.023101297001,pSA_0.024770763560,pSA_0.026560877829,pSA_0.028480358684,pSA_0.030538555088,pSA_0.032745491629,pSA_0.035111917342,pSA_0.037649358068,pSA_0.040370172586,pSA_0.043287612811,pSA_0.046415888336,pSA_0.049770235643,pSA_0.053366992312,pSA_0.057223676594,pSA_0.061359072734,pSA_0.065793322466,pSA_0.070548023107,pSA_0.075646332755,pSA_0.081113083079,pSA_0.086974900262,pSA_0.093260334688,pSA_0.100000000000,pSA_0.107226722201,pSA_0.114975699540,pSA_0.123284673944,pSA_0.132194114847,pSA_0.141747416293,pSA_0.151991108295,pSA_0.162975083462,pSA_0.174752840001,pSA_0.187381742286,pSA_0.200923300257,pSA_0.215443469003,pSA_0.231012970008,pSA_0.247707635599,pSA_0.265608778295,pSA_0.284803586844,pSA_0.305385550883,pSA_0.327454916288,pSA_0.351119173422,pSA_0.376493580679,pSA_0.403701725860,pSA_0.432876128108,pSA_0.464158883361,pSA_0.497702356433,pSA_0.533669923121,pSA_0.572236765935,pSA_0.613590727341,pSA_0.657933224658,pSA_0.705480231072,pSA_0.756463327555,pSA_0.811130830790,pSA_0.869749002618,pSA_0.932603346883,pSA_1.000000000000,pSA_1.072267222010,pSA_1.149756995398,pSA_1.232846739442,pSA_1.321941148466,pSA_1.417474162927,pSA_1.519911082953,pSA_1.629750834621,pSA_1.747528400008,pSA_1.873817422860,pSA_2.009233002565,pSA_2.154434690032,pSA_2.310129700083,pSA_2.477076355992,pSA_2.656087782947,pSA_2.848035868436,pSA_3.053855508833,pSA_3.274549162878,pSA_3.511191734215,pSA_3.764935806792,pSA_4.037017258597,pSA_4.328761281083,pSA_4.641588833613,pSA_4.977023564332,pSA_5.336699231206,pSA_5.722367659350,pSA_6.135907273413,pSA_6.579332246576,pSA_7.054802310719,pSA_7.564633275546,pSA_8.111308307897,pSA_8.697490026178,pSA_9.326033468832,pSA_10.000000000000
stat_1,0.0866243413829529,0.08345830753192339,0.05928820425760878,0.13753230048073764,0.08491538545730935,0.061926756359938474,0.08640054992025109,0.08640858806056802,0.08641389632447072,0.0864094851658327,0.08638397368358648,0.08630607926946599,0.08622828618751974,0.08619226504220495,0.08613641352409873,0.08606183019911849,0.08599860394026224,0.08592627086692546,0.08582447891400452,0.08571465553563618,0.08564102509580471,0.08576294876653162,0.08576017334986098,0.08596598198578094,0.08611653267113963,0.08611504355933403,0.08601463945643995,0.08609877640508949,0.08620270817922011,0.08612160886977821,0.08635336687636558,0.08658981249703895,0.08664752176343309,0.0870972449273611,0.08753243664178056,0.08768402158504436,0.08771166204512765,0.08807474020508836,0.08807048514301122,0.08803095929828642,0.0884572354464844,0.08845149129174183,0.08863509134752758,0.08877198837636488,0.08933212673260783,0.08959964367988885,0.09099706595652138,0.09172499715280402,0.09212672431360645,0.09221723157822527,0.09221848434755832,0.0923124543710818,0.09230914315692215,0.09242840106539019,0.09223695486323338,0.09241737184835305,0.09197245398946968,0.09153211406273903,0.09127705454946283,0.09061405144192242,0.08991786801929776,0.08942196611555249,0.08853723312194652,0.08695851244258161,0.08581902864202744,0.08502244518202638,0.08443388971295301,0.08345552811976079,0.0817868266281739,0.08056899954892346,0.07899148057453972,0.07739167116717408,0.07596618587562075,0.07526925319588232,0.07415799257327045,0.07320718919255532,0.07260252525491374,0.07155957367680943,0.07068790743965962,0.06980081276741969,0.0693772252839053,0.06963209130901944,0.06955056144703894,0.06945403510887332,0.0691378082699206,0.06877858427650353,0.06825370549091486,0.067692717741547,0.06740674302104363,0.0670591060853709,0.06628775132005327,0.06581721207761144,0.06553746622968623,0.06536099965201711,0.06504415735701174,0.06479710941323771,0.06470536734182117,0.06484275490440443,0.0649587347722362,0.06522439778188385,0.0651039556513492,0.06504450519053769,0.06514656651646374,0.06535035607184524,0.0655603877687237,0.06589876651983438
stat_2,0.11716805859028426,0.11295858217582215,0.08006506882949144,0.18600025301772766,0.11421682512930297,0.0835351692698717,0.11685527509793397,0.11686418179096221,0.11687209293492076,0.11686818272407286,0.11683820728310038,0.1167343874439704,0.11662819187530317,0.11657726930170889,0.11649604018987475,0.11639008932007903,0.11630410118973698,0.11620406864495708,0.11606481663371616,0.1159182639035981,0.11583193224634801,0.11602258910272294,0.1160209144062696,0.11630944139006853,0.1165196646961122,0.11653783239748798,0.11642984195325061,0.11655503245582023,0.11670751696147051,0.11659643901578935,0.11692971528866121,0.1172850545860935,0.11734304371453096,0.1179470044388579,0.11854344086390325,0.11873341642943179,0.11872683326745903,0.11921378853091075,0.11918414901291895,0.11912415039122878,0.1196998708275286,0.11967017101009433,0.1199259735867555,0.12012576544609127,0.12093175806174938,0.12128267235521399,0.12316721668584157,0.12414767511715034,0.12476546568158037,0.12490831822940376,0.12493577172754505,0.12506695807981463,0.12505371667301468,0.1251815057217847,0.12488343195103745,0.12518518212618354,0.12461937914967959,0.12406207199763786,0.12374647599535203,0.12288868603974759,0.12204114704317989,0.1213825661546594,0.1201775909610234,0.11803105913509815,0.11650684452921425,0.11549287029022408,0.1147358180016008,0.11342213618482584,0.11120401215673373,0.10959146946032304,0.10738584192537298,0.10509907819045486,0.10312452414741312,0.10218335418177482,0.10068356763405638,0.09937752867392415,0.09857393537589124,0.09715778517186482,0.09597516125561772,0.09473365897652923,0.09412926627146821,0.09445292088715604,0.09431411632483871,0.09410691911191016,0.09359793684203735,0.0930865352577845,0.09235812094375229,0.0915587855761758,0.09118256409345357,0.09071169347947876,0.08963454799060336,0.08901223725791318,0.0886259690773714,0.08836355293481431,0.08791630693764739,0.08756939020919656,0.08745506068325665,0.08765280523537489,0.08781658486452189,0.08818754312904462,0.08801454725167633,0.08791017864655905,0.08804090617535461,0.08832747608187555,0.0886106129186387,0.08906041812019062
stat_3,0.06225114698958708,0.059900626553547526,0.04314872042480568,0.0995653733415664,0.060279372070211,0.04433424711016054,0.06210325239353084,0.06210962107287424,0.06211079272274206,0.06210355775897133,0.06208124750772419,0.062026783850901934,0.061971177585900476,0.06194724624333662,0.06191492693052818,0.06186737733786969,0.06182800556469322,0.06178459725756321,0.061720463133358876,0.06164620577877083,0.06158933340500095,0.061664948782784404,0.06167252405235579,0.061815048972263455,0.06192752340580175,0.06191521460312693,0.061843137498621296,0.061906881825668,0.06196986903101627,0.06193007656887297,0.06210658588781602,0.06226623290552439,0.06233670876542032,0.06266520284121742,0.06297156553415656,0.06309438066995332,0.06314815376913607,0.06340388851626558,0.06342308264180378,0.06338968384131412,0.06366090690910314,0.06366623346605751,0.06378032539183369,0.06386048390339147,0.06419505727204391,0.06438528800578182,0.06534690607309156,0.06584618395943169,0.06602149567310085,0.06607319809342689,0.06607747097540202,0.06615113672355213,0.06617349358757467,0.06629625885480935,0.06622629926269141,0.06633346202052429,0.06602991019245404,0.06568619294329112,0.06546306619215744,0.06495407333978619,0.06435642256252497,0.06401651740731996,0.06342499649082936,0.06231840753543713,0.061513740808104754,0.060910029697841254,0.06045470664911177,0.05974562865410315,0.05854312222046989,0.057652642648206916,0.056608109294589044,0.05558494655745266,0.05460119887005264,0.05408506017996602,0.053277069047385606,0.05260386485861737,0.052136527614865355,0.051382748945932984,0.0507491042736059,0.05015599143279956,0.04988569932013425,0.050086095248165485,0.05004829220551724,0.05003936016527989,0.04988586603255432,0.04963535946694309,0.04926922299403094,0.04890407631842205,0.0486779854234694,0.048414439428776754,0.0478718697340934,0.0475040534818665,0.04729392139587984,0.047169642761583974,0.04695674596847277,0.046777111504937595,0.046692194051169915,0.0467678251062783,0.04683588257377264,0.04701483548718552,0.04696042277871461,0.04696284153042805,0.04704717514096784,0.0471852854813487,0.047349347563351865,0.04762162806500608
stat_4,0.05255809779239803,0.05052713304178128,0.03690274065111295,0.08472809367144424,0.05014251465042305,0.037229801999222906,0.05244187206624989,0.0524472304940377,0.05244608730185945,0.05243695670024917,0.052415856663366324,0.05237163295984617,0.05232468100239836,0.05230559614896116,0.05228364689250242,0.05224744658560129,0.05221943751938937,0.05218976720985278,0.05214317404544211,0.05208517470003393,0.05203734562514987,0.052097713821472574,0.05211321700561336,0.05223160891081561,0.0523322496157696,0.05231750874752502,0.05226460297285709,0.05232461262440519,0.05237066420858131,0.052353321375686906,0.05251706084705447,0.05265284398265332,0.052732880090367924,0.05301377833277884,0.05326889752716655,0.05338081740370912,0.05344418976155042,0.053654146857344424,0.0536835863983827,0.053648916581163435,0.05384582099931374,0.053852513317374284,0.053934904760591616,0.0539903838690985,0.05422566141700809,0.05438140438451558,0.055153875099953356,0.05555323249563911,0.05562179833979529,0.055659215908066835,0.05567261706885846,0.05574128280717115,0.05577954378469692,0.055906779981204836,0.0558968173577552,0.05598327283783029,0.05575149750423276,0.05544760164531975,0.055231757195399425,0.054783750836852975,0.05421819854575916,0.05394921369400838,0.05348718181739877,0.05257493734272438,0.05191326405198346,0.0513932419313197,0.050990459485062416,0.050389069244136914,0.04938189945999377,0.04862600188797495,0.04780545517215182,0.04702278658821831,0.046216264324614405,0.04576663367549399,0.04507673566325712,0.044511755878287027,0.044090902789436455,0.04344892228415854,0.042906172439226446,0.042434234073917027,0.04222835061617645,0.04240718972088374,0.04238595848919692,0.04241130793445492,0.04232554839107633,0.04211319858533104,0.04180868275834546,0.04152331725778943,0.041316471890248084,0.04108092693542566,0.04062327929015603,0.040289574270174884,0.040101331834690127,0.039991508331500406,0.03981970084993697,0.03966224016127393,0.039576102373048976,0.03962243190372683,0.03966802779515169,0.03981167818322579,0.039792014378139104,0.03982821389499855,0.039907294154016976,0.040019547971717494,0.04016987947071585,0.04042429900833647
stat_5,0.052756853395084395,0.05072607630374999,0.03702764286351921,0.08502459542149365,0.050417283278448174,0.03738120238241024,0.05263892970954622,0.05264418966634004,0.052643245753089596,0.05263443210505154,0.052613697299604065,0.05256926801071818,0.05252207968663115,0.05250270511797457,0.052479928462016066,0.0524429882983836,0.05241445993964562,0.05238403528858768,0.052336628929705975,0.05227820649704784,0.05223102397311893,0.05229349136244829,0.05230858235882545,0.05242820058926738,0.05252928236351916,0.05251606785597929,0.05246429687820165,0.052524928457713914,0.05257234877430815,0.052553944158844894,0.052718884874873376,0.05285758652278242,0.05293558368125372,0.05321706766193973,0.05347384868641676,0.05358475583755975,0.05364442848762221,0.05385513826652952,0.05388237598900784,0.053847402367589156,0.05404658509311854,0.054051675628885645,0.05413566012166351,0.05419303027878521,0.05443520604067948,0.05459115096303253,0.055368884974492084,0.05577114463423835,0.055850495279020744,0.05588967830839148,0.05590374158115907,0.05597238298014096,0.056008804088564075,0.05613282804573829,0.05611697934626066,0.05620756495274949,0.05597564246844582,0.05567382961524598,0.055460636716187825,0.05501443185565641,0.05445612745334584,0.054185704776190266,0.05371927324186942,0.05280172282835143,0.052137793716793134,0.05162039034323976,0.051219384774674685,0.05061645490360239,0.049607692618266315,0.04885136218905176,0.048021069681175754,0.04722488165157179,0.04641150444578322,0.04596055207339825,0.04526851446308095,0.044699889375759486,0.044279076205710914,0.043634453870626706,0.0430896229944173,0.042612204359606685,0.042402739900178586,0.04258042613434913,0.04255670027284343,0.042575483578245796,0.04248208313833911,0.042266841585409685,0.04195960790515741,0.04166944031729395,0.041462986075410345,0.04122677090798701,0.04076465038150523,0.04043147218545845,0.04024223753298298,0.04013031776577332,0.03995612692099563,0.039797304880314036,0.039712181769687514,0.03976034879184627,0.0398071813586321,0.03995257715674056,0.039930886307476696,0.03996403242123628,0.04004255027315635,0.04015623512286502,0.040306656670924874,0.04056067346165045
stat_6,0.05081359763525695,0.04884221138659622,0.0357905346734922,0.0820746215925315,0.04831656196547667,0.03594540403716361,0.05070280266863933,0.050707910689530546,0.05070635631395335,0.05069692795413359,0.050676181823914285,0.05063387062189845,0.05058844247917194,0.0505701640261849,0.05054993376850582,0.05051563691707014,0.0504897077060133,0.05046250377602441,0.05041909261914023,0.05036414287844636,0.0503184185727746,0.05037692363393,0.05039404588991708,0.05050843570851389,0.05060726402933731,0.0505927578771846,0.05054444268619192,0.05060430353824828,0.050647626448605064,0.050634557747071846,0.05079702756369801,0.050929893232971334,0.05101132326991983,0.0512835607091639,0.051529677091379136,0.05163923062938876,0.05170300203288966,0.051904420928019036,0.051935049656494384,0.05189975345797885,0.05208261048463885,0.0520887507117873,0.05216547694330655,0.05221685876494599,0.052435305093296594,0.05258438005801274,0.05332212983484365,0.053703143695154484,0.05375431560716399,0.05378976660649174,0.05380569815178144,0.05387364801759842,0.05391466094936819,0.05404182545256136,0.05404187091147734,0.05412655052148532,0.05390933056857842,0.05361373796217672,0.053399788540366366,0.0529638145932183,0.05240626748351649,0.052150725006264595,0.05171236842701458,0.05083513924476278,0.05020018967937908,0.049697280212914564,0.0493049105325847,0.04872317756463085,0.04775276658630632,0.04702223344507064,0.046241157963070684,0.045499636566645685,0.04472399303263306,0.04428592906117217,0.043617191330463455,0.043071016367437286,0.04265825084398624,0.04203602058511427,0.041509262026182145,0.041058402213656475,0.04086357308165828,0.04103797022142069,0.04101888631374847,0.04104824879170746,0.04097263455362199,0.04076599420826228,0.04047192110779025,0.04019989253458591,0.03999645559987208,0.03976550433017139,0.03932167746874707,0.03899405757983914,0.038809120176025,0.038700764125762135,0.03853576436176104,0.03838161388988568,0.03829532922500112,0.038336488346884995,0.0383780741360344,0.03851568510184346,0.03850242406731045,0.038544516072087365,0.03862253688467685,0.03873049022000022,0.03887861943858549,0.03913016928583228
stat_7,0.06147293316450445,0.05914618064786318,0.04264847717208975,0.09837738817634871,0.05943945287610679,0.043761157006070625,0.06132787626993487,0.06133419318732814,0.061335132696928925,0.061327664309795096,0.06130534537273912,0.06125171007620855,0.06119681318869323,0.06117332267337988,0.06114200984657887,0.061095512706252804,0.06105714503672402,0.06101498410487616,0.060952399692293616,0.06087948786572212,0.06082313663539782,0.06089707044973926,0.06090537761631254,0.0610457747613557,0.0611572690775379,0.06114437710674765,0.061073475951973016,0.061136799801727405,0.061198142210755244,0.061160356219327354,0.06133563781715581,0.061492734780936274,0.061564513802040054,0.06188929818440697,0.06219137848973051,0.062313662939514985,0.06236916050011801,0.06262125393327267,0.06264181486288548,0.06260838219003795,0.06287335996309197,0.06287920104648616,0.06299046804244454,0.06306825705682419,0.06339346450092721,0.06358103894507784,0.06452697087576598,0.06501791878501739,0.0651820945003548,0.0652322367199769,0.06523706587261015,0.06531039314415286,0.06533451040962578,0.0654585506818879,0.0653948086487899,0.0654993315524795,0.06520127576067525,0.06485993726691579,0.06463655008579448,0.06413155972850941,0.06353407279042618,0.06319991965242977,0.06261940615175443,0.061528851055857786,0.06073551512879396,0.06013724420946271,0.059685253716203826,0.058984608326769314,0.057797067910572826,0.05691666541305042,0.05589177442892442,0.05489056894333352,0.053922003483229675,0.053411171254438006,0.052612561205372846,0.05194845582547831,0.051484523883113954,0.05073980607887896,0.050113503416352345,0.049531017189102806,0.049266567254209366,0.04946569775945323,0.049429843249459225,0.04942532190013518,0.049278998486169664,0.04903211174556244,0.04867130764954908,0.048313413964404146,0.04808864492579338,0.047827353354562764,0.04729229800486274,0.04692686961241948,0.046718611841073183,0.04659593430809571,0.04638673461864386,0.046209090064166666,0.04612379774130687,0.04619672905724825,0.04626276119952939,0.046438608053196356,0.04638737765151882,0.046393169142130215,0.04647726290018688,0.04661306673035843,0.04677609812527833,0.0470471810367504
stat_8,0.10364645292085574,0.0998982681371353,0.0708010613951556,0.16442833189394632,0.10149044871818956,0.07403595169301043,0.1033727620260478,0.10338153884551247,0.1033885965981251,0.10338475848163967,0.10335659781029151,0.10326373382592072,0.1031702369751109,0.1031259858633943,0.10305573517625904,0.10296359375015926,0.10288678245451306,0.1027980156465972,0.10267416804085769,0.10254276322371773,0.10246031737442281,0.1026178708158183,0.10261377336230094,0.10286472711448624,0.10304664235677656,0.10305429598798728,0.10294459558648977,0.10304899132126186,0.10317974580255283,0.1030791238713638,0.10336216139226298,0.1036600167934469,0.1037167447231178,0.10425234605074102,0.10477702278509847,0.10495048064028117,0.10496156943650777,0.1053953113588335,0.1053776560858905,0.10532874813123752,0.10584423069668702,0.10582759786812972,0.10605299088048795,0.10622525832213607,0.10692482178099115,0.1072411328703019,0.10891809599924723,0.10979145566205767,0.11031930350344847,0.11043759669742641,0.11044825527673874,0.11056118289135582,0.11054969904440859,0.11067347294126205,0.11041832147188507,0.1106596673409633,0.11013807283015446,0.1096301511884469,0.10934277695544276,0.10856966950065138,0.10778888067675867,0.10719714753568253,0.10612763278026435,0.10422960400636001,0.10286998588494085,0.10194583849219709,0.10126182053740915,0.10009582988460121,0.098114077534715,0.09667241305153007,0.09474222692542851,0.0927603691569301,0.09103057451774849,0.09019994933523674,0.08887315809049913,0.08772642482396789,0.08701397651160969,0.08576482383301264,0.08472182143510357,0.08363730874584317,0.08311298367395274,0.08340723709630954,0.08329565798079722,0.08314176364760674,0.08272117696031853,0.08228075433838256,0.0816441205890016,0.08095172690431957,0.08061684741276035,0.08020292920241938,0.07926562595712817,0.07871269421999072,0.07837654508180766,0.0781561872499476,0.07776775618683256,0.07746775019699527,0.07736465780250186,0.07753719108544238,0.0776809954583153,0.07800513376142182,0.07785208610028226,0.0777647802179628,0.07788241298774544,0.07813164448926861,0.0783804820739621,0.07877773831978585
stat_9,0.12235306294230128,0.1179629754685356,0.08382544890222031,0.19455760732385363,0.11896701865777173,0.08709946290131655,0.12202656803734854,0.12203521052485292,0.12204285727183521,0.12203824327397829,0.12200753345422934,0.12190033210199866,0.12178911392800128,0.1217356591734385,0.12165109803136996,0.12154036906276713,0.12145253925018021,0.12135019569465985,0.1212073640512649,0.12105693839686295,0.12097131040678402,0.12117759146313936,0.12118038473948543,0.12148427781798113,0.12170845134757949,0.12173238667372828,0.1216325042221744,0.12176983970792651,0.12192999144700464,0.12182074576241839,0.12218226209219395,0.12256610060512858,0.12262925753561167,0.12326007705653616,0.12388394084829746,0.12408092452203853,0.12406713019959396,0.12457133513167813,0.1245382567644308,0.12447025233760019,0.12505629815321262,0.12501870108574986,0.1252821308834433,0.1254903567106123,0.12632794058559468,0.1266886390416918,0.12863846016723368,0.12965213930224576,0.13029131247811157,0.13044474349611432,0.1304852687541395,0.1306259912987128,0.1306166835234231,0.13074833480796616,0.13044377910355243,0.13077641808748838,0.1302079812495335,0.12963304524362187,0.12930169707443495,0.1284113141595927,0.1275324958214385,0.1268560460790631,0.12561062828497455,0.1233748896801527,0.1217968855595485,0.12075508512391046,0.11996955976423672,0.11859982063594725,0.11630060083388603,0.11462676981012933,0.11232802768913633,0.10993761740818384,0.10787173245666239,0.10688227144168286,0.10531345893872361,0.10394432133693389,0.10309684605053905,0.10161337885520814,0.10037332051169386,0.09907672885963552,0.09844586518699287,0.09878119409151909,0.09863148765384626,0.09840450143955876,0.09786663647300255,0.09732271860943727,0.09655781769474894,0.09572060597779829,0.09532304928763131,0.0948241553211031,0.09368722110293877,0.09303053507182611,0.09261878753999123,0.09233372026553543,0.09186395062908778,0.09149420827635853,0.09137121664282295,0.09157345958558614,0.09174127260285728,0.09212921593720073,0.09195755319323938,0.09185685568528315,0.09199467994058487,0.09229566761277312,0.09259698268251523,0.0930765151901248
stat_10,0.07459564017065203,0.07183392661079027,0.051266354692507475,0.1187068990726129,0.0728878356052206,0.05328361564978544,0.07440875642327625,0.07441608752583521,0.07441959214702581,0.07441406505283453,0.07439016726079158,0.07432351544674816,0.0742567292122179,0.07422665547605105,0.07418204659830581,0.07412058110897116,0.07406846633285655,0.07400961726015444,0.07392550641073332,0.07383250054335028,0.07376634256919828,0.07386436714984428,0.07386537624568978,0.07403961550148505,0.07417023858633884,0.07416280166557473,0.0740736920436554,0.07414627427878862,0.07423024256869319,0.07416745451907737,0.07436882072591221,0.07456512722984615,0.0746275896894973,0.0750172676959837,0.07538889014838025,0.0755260724579369,0.07556681745266064,0.07587796032826885,0.07588492486019037,0.07584967199985969,0.07620374748749968,0.07620446520896672,0.07635517236126645,0.07646482605780944,0.07691704988038668,0.07714770910972932,0.07833557544547974,0.07895381734084697,0.07924985350040724,0.07932082851674616,0.0793207847437987,0.0794036491035126,0.0794109825390375,0.07953084556275643,0.07939519626011127,0.07953659892490857,0.07915608712522094,0.0787629781972601,0.07852556649227146,0.07793867036166029,0.07729355491790918,0.07687154642428938,0.07612707291708316,0.07477909932964036,0.07380147465840906,0.07309762740025341,0.07257491443701825,0.07172922362472016,0.07028714225849553,0.06922929096497525,0.06791092440087113,0.06659219906281148,0.0653842746478303,0.06477835434343283,0.06381759839669082,0.063004544945621,0.06247034309254693,0.06157118119380806,0.060818246041804976,0.06007486214125666,0.059725812382630354,0.05995377212020238,0.059894105323815054,0.059840990007014004,0.05960403027640328,0.059300109704848065,0.05885405419012862,0.05838903895653941,0.05813414409491506,0.057829807983269144,0.05717331579100185,0.05675574884655557,0.05651228055830223,0.05636362831597887,0.05609812279802728,0.055885870877957364,0.055798853303394604,0.05590740213303833,0.05600090740438167,0.056224086119863105,0.0561333198403154,0.05610124511177592,0.056193933514555275,0.056365248977193305,0.05655106589879253,0.05685399356985782
